locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
spr0003,,1,372,E,Essential
spr0047,purF,1,372,E,Essential
spr0049,purN,1,372,E,Essential
spr0081,ABC-MSP,1,372,E,Essential
spr0091,,1,372,E,Essential
spr0129,,1,372,E,Essential
spr0131,gcp,1,372,E,Essential
spr0139,ugd,1,372,E,Essential
spr0145,,1,372,E,Essential
spr0156,,1,372,E,Essential
spr0173,arsC,1,372,E,Essential
spr0210,adk,1,372,E,Essential
spr0243,proS,1,372,E,Essential
spr0266,sulA,1,372,E,Essential
spr0267,sulB,1,372,E,Essential
spr0268,sulC,1,372,E,Essential
spr0269,sulD,1,372,E,Essential
spr0304,pbpX,1,372,E,Essential
spr0328,,1,372,E,Essential
spr0338,mvk,1,372,E,Essential
spr0356,mtlA,1,372,E,Essential
spr0359,mtlD,1,372,E,Essential
spr0372,serS,1,372,E,Essential
spr0393,gatB,1,372,E,Essential
spr0395,gatC,1,372,E,Essential
spr0478,nusA,1,372,E,Essential
spr0530,fba,1,372,E,Essential
spr0585,thyA,1,372,E,Essential
spr0603,murD,1,372,E,Essential
spr0604,murG,1,372,E,Essential
spr0626,lysS,1,372,E,Essential
spr0646,,1,372,E,Essential
spr0666,ftsE,1,372,E,Essential
spr0670,rheB,1,372,E,Essential
spr0671,metK,1,372,E,Essential
spr0729,folD,1,372,E,Essential
spr0755,,1,372,E,Essential
spr0756,parE,1,372,E,Essential
spr0788,,1,372,E,Essential
spr0796,pfkA,1,372,E,Essential
spr0797,pykF,1,372,E,Essential
spr0845,pyrH,1,372,E,Essential
spr0856,celA,1,372,E,Essential
spr0861,infC,1,372,E,Essential
spr0881,coiA,1,372,E,Essential
spr0882,pepB,1,372,E,Essential
spr0906,lmb,1,372,E,Essential
spr0965,,1,372,E,Essential
spr0972,,1,372,E,Essential
spr0978,dnaG,1,372,E,Essential
spr0979,rpoD,1,372,E,Essential
spr0982,,1,372,E,Essential
spr0992,map,1,372,E,Essential
spr0996,radC,1,372,E,Essential
spr1001,nifS,1,372,E,Essential
spr1024,ligA,1,372,E,Essential
spr1036,eno,1,372,E,Essential
spr1063,ptsH,1,372,E,Essential
spr1064,nrdH,1,372,E,Essential
spr1065,nrdE,1,372,E,Essential
spr1081,,1,372,E,Essential
spr1111,dfp N-terminus,1,372,E,Essential
spr1150,,1,372,E,Essential
spr1158,,1,372,E,Essential
spr1247,murB,1,372,E,Essential
spr1282,,1,372,E,Essential
spr1310,fms,1,372,E,Essential
spr1312,trxB,1,372,E,Essential
spr1329,glyQ,1,372,E,Essential
spr1359,atpC,1,372,E,Essential
spr1360,atpD,1,372,E,Essential
spr1361,atpG,1,372,E,Essential
spr1362,atpA,1,372,E,Essential
spr1364,atpF,1,372,E,Essential
spr1373,murC,1,372,E,Essential
spr1409,,1,372,E,Essential
spr1410,pacL,1,372,E,Essential
spr1411,,1,372,E,Essential
spr1413,cca,1,372,E,Essential
spr1419,,1,372,E,Essential
spr1427,clpX,1,372,E,Essential
spr1429,dfr,1,372,E,Essential
spr1430,dpr,1,372,E,Essential
spr1432,tpi,1,372,E,Essential
spr1433,,1,372,E,Essential
spr1434,metA,1,372,E,Essential
spr1439,codY,1,372,E,Essential
spr1458,fer,1,372,E,Essential
spr1460,galE,1,372,E,Essential
spr1468,,1,372,E,Essential
spr1472,thrS,1,372,E,Essential
spr1502,ileS,1,372,E,Essential
spr1510,ftsZ,1,372,E,Essential
spr1511,ftsA,1,372,E,Essential
spr1514,murF,1,372,E,Essential
spr1515,ddl,1,372,E,Essential
spr1535,,1,372,E,Essential
spr1540,alr,1,372,E,Essential
spr1541,acpS,1,372,E,Essential
spr1553,serA,1,372,E,Essential
spr1555,dnaI,1,372,E,Essential
spr1571,mvaS,1,372,E,Essential
spr1580,fmt,1,372,E,Essential
spr1603,,1,372,E,Essential
spr1617,sacA,1,372,E,Essential
spr1632,trpB,1,372,E,Essential
spr1642,,1,372,E,Essential
spr1647,galE,1,372,E,Essential
spr1666,,1,372,E,Essential
spr1671,,1,372,E,Essential
spr1674,,1,372,E,Essential
spr1696,murI,1,372,E,Essential
spr1697,,1,372,E,Essential
spr1715,birA,1,372,E,Essential
spr1776,rpoC,1,372,E,Essential
spr1797,rpe,1,372,E,Essential
spr1804,,1,372,E,Essential
spr1825,gapA,1,372,E,Essential
spr1853,rnpA,1,372,E,Essential
spr1856,,1,372,E,Essential
spr1881,gltX,1,372,E,Essential
spr1882,gpi,1,372,E,Essential
spr1910,tyrS,1,372,E,Essential
spr1914,,1,372,E,Essential
spr1950,,1,372,E,Essential
spr1963,adh2,1,372,E,Essential
spr1971,fucU,1,372,E,Essential
spr1973,fcsK,1,372,E,Essential
spr1987,,1,372,E,Essential
spr2012,comFC,1,372,E,Essential
spr2013,comFA,1,372,E,Essential
spr2027,pgsA,1,372,E,Essential
spr2034,trpS,1,372,E,Essential
