,Dextrin,Maltose,D-Trehalose,D-Cellobiose,Gentiobiose,Sucrose,Stachyose,D-Raffinose,a-D-Lactose,D-Melibiose,b-Methyl-D-Glucoside,Salicin,N-Acetyl-DGlucosamine,N-Acetyl-b-D-Mannosamine,N-Acetyl-DGalactosamine,N-Acetyl-Neuraminic Acid,a-D-Glucose,D-Mannose,D-Fructose,D-Galactose,D-Fucose,L-Fucose,L-Rhamnose,Inosine,D-Sorbitol,D-Mannitol,D-Arabitol,M-Inositol,Glycerol,Glucose-6-Phosphate,Fructose-6-Phosphate,D-Aspartic Acid,D-Serine,Gelatin,L-Alanine,L-Arginine,L-Aspartic Acid,L-Glutamic Acid,L-Histidine,L-PyroglutamicAcid,L-Serine,Pectin,D-GalacturonicAcid,L-GalactonicAcid-g-Lactone,D-Gluconic Acid,D-GlucuronicAcid,Mucic Acid,Quinic Acid,D-Saccharic Acid,P-HydroxyPhenyl AceticAcid,L-Lactic Acid,Citric Acid,a-Keto-GlutaricAcid,D-Malic Acid,L-Malic Acid,g-Amino-ButyricAcid,a-HydroxyButyric Acid,a-Keto-ButyricAcid,Acetoacetic Acid,Propionic Acid,Acetic Acid,Formic Acid
Staphylococcus aureus,55,68,68,9,17,68,7,0,64,0,63,0,49,46,1,46,57,64,65,68,10,9,11,65,5,63,56,0,65,69,68,24,0,0,26,34,34,69,45,17,58,50,9,0,69,12,0,5,2,0,69,8,54,0,30,0,66,45,65,19,51,65
Staphylococcus epidermidis,40,72,0,0,0,72,0,0,72,0,0,0,0,0,0,0,71,50,72,22,0,0,0,0,0,0,0,0,71,72,72,0,0,0,30,0,0,0,0,0,69,71,0,0,30,0,0,0,0,0,72,0,12,0,0,0,0,0,65,0,45,0
Corynebacterium efficiens,38,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,74,74,0,74,0,0,64,0,0,0,0,0,0,0,73,13,68,0
Haemophilus influenzae,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,65,0,16,40,1,17,0,75,0,0,0,0,0,42,30,0,0,0,0,0,0,0,0,0,24,4,0,0,0,15,0,0,0,0,75,0,5,0,6,0,76,63,1,0,1,0
Ralstonia solanacearum,3,0,61,0,1,55,0,1,0,0,0,0,0,0,0,0,79,0,45,81,0,0,0,0,31,57,4,5,82,0,1,4,0,0,82,0,86,86,85,77,24,65,71,0,80,86,82,85,86,9,65,82,61,2,85,81,7,0,7,35,40,14
Staphylococcus haemolyticus,65,81,81,3,9,81,0,2,21,1,0,0,79,67,0,77,80,0,40,44,17,16,18,46,5,12,16,0,79,9,27,5,0,3,67,40,18,77,0,32,79,63,33,0,81,30,5,2,3,0,81,75,31,0,0,6,77,37,78,7,79,77
Bacillus pumilus,27,0,65,64,63,63,25,45,8,40,62,63,64,28,0,0,62,59,59,61,20,9,4,57,0,61,0,0,59,8,15,66,0,56,63,63,67,67,0,53,56,58,20,0,55,42,3,57,0,0,52,59,30,46,67,66,12,38,60,28,58,12
Corynebacterium glutamicum,49,82,7,7,6,81,0,0,0,0,0,0,4,0,0,63,81,82,81,6,4,9,5,2,0,0,81,83,0,0,6,0,0,0,10,0,31,41,0,61,1,64,8,0,83,9,0,72,0,0,83,20,1,1,22,72,19,30,80,35,84,0
Streptococcus mitis,52,78,22,6,0,80,49,55,70,28,0,0,72,70,6,61,79,60,73,65,6,0,0,2,0,0,0,0,19,13,4,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,19,0
Flavobacterium johnsoniae,80,80,80,80,80,30,0,29,17,11,29,65,81,7,5,0,79,80,70,72,0,20,62,0,0,0,0,0,0,14,19,2,0,42,3,28,77,81,0,0,10,56,81,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,5,0,36,0
Pseudomonas stutzeri,63,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,66,0,0,1,0,0,0,47,4,0,69,0,0,0,0,0,77,0,58,68,0,61,0,15,30,0,67,38,42,0,41,0,81,82,71,17,81,21,2,16,14,26,82,13
