,importance,fraction active in 0,fraction active in 1
rxn18456_c_upper_bound,0.4801880314308019,0.6759259259259259,0.0
rxn29080_c_lower_bound,0.24083756022567776,0.35802469135802467,0.0
rxn05531_c_lower_bound,0.024304057198496244,0.5246913580246914,0.31798245614035087
rxn01640_c_lower_bound,0.018476474535672586,0.5030864197530864,0.33114035087719296
rxn31356_c_lower_bound,0.017718109617148422,0.5061728395061729,0.3399122807017544
rxn05316_c_lower_bound,0.01715341876245275,0.4012345679012346,0.2565789473684211
rxn12424_c_lower_bound,0.01639929485470434,0.33641975308641975,0.20175438596491227
rxn10960_c_lower_bound,0.015773701318035595,0.33024691358024694,0.21052631578947367
rxn05571_c_lower_bound,0.01576686421072765,0.2808641975308642,0.16885964912280702
rxn05229_c_upper_bound,0.014002653858645157,0.42901234567901236,0.4298245614035088
rxn05484_c_lower_bound,0.013545029809713432,0.22530864197530864,0.14473684210526316
rxn28604_c_lower_bound,0.013160745778577253,0.1882716049382716,0.17543859649122806
rxn38907_c_lower_bound,0.011789793351992534,0.5154320987654321,0.41885964912280704
rxn33986_c_upper_bound,0.011111441969680839,0.25308641975308643,0.2149122807017544
rxn00958_c_lower_bound,0.0098980387779857,0.7160493827160493,0.5942982456140351
rxn00467_c_lower_bound,0.009011414310943603,0.13271604938271606,0.21929824561403508
rxn38906_c_lower_bound,0.008390333566427686,0.18209876543209877,0.20833333333333334
rxn08131_c_lower_bound,0.008073437821152394,0.18209876543209877,0.26096491228070173
rxn01934_c_lower_bound,0.006727001380662138,0.10802469135802469,0.16666666666666666
rxn09997_c_lower_bound,0.0064967505635196215,0.8179012345679012,0.7390350877192983
rxn02928_c_lower_bound,0.005223759847838189,0.8055555555555556,0.7653508771929824
rxn00957_c_lower_bound,0.005201968451968211,0.17592592592592593,0.23903508771929824
rxn02929_c_lower_bound,0.005115261852638775,0.19753086419753085,0.23684210526315788
rxn06991_c_lower_bound,0.0038192733349833446,0.08641975308641975,0.13157894736842105
rxn05293_c_upper_bound,0.003537932563511314,0.9135802469135802,0.8728070175438597
rxn00465_c_lower_bound,0.0034584880140983297,0.027777777777777776,0.010964912280701754
rxn00993_c_lower_bound,0.0032600933690734085,0.9660493827160493,0.9758771929824561
rxn20495_c_lower_bound,0.002257870453724564,0.024691358024691357,0.03289473684210526
rxn35344_c_lower_bound,0.0021005145117917678,0.021604938271604937,0.03289473684210526
rxn00101_c_upper_bound,0.0015228703242741114,0.009259259259259259,0.010964912280701754
rxn13150_c_lower_bound,0.0013584168325087831,0.9907407407407407,0.9846491228070176
rxn00521_c_lower_bound,0.0013000536672034366,0.009259259259259259,0.0043859649122807015
rxn04954_c_lower_bound,0.0011917822211468107,0.006172839506172839,0.0021929824561403508
rxn38908_c_lower_bound,0.0006891361561362253,0.0,0.010964912280701754
rxn30324_c_upper_bound,0.0003533335359903352,0.0030864197530864196,0.0
rxn00910_c_lower_bound,0.00033716606074436095,0.0,0.006578947368421052
rxn00909_c_lower_bound,0.000303727750669613,0.0030864197530864196,0.0043859649122807015
rxn05942_c_lower_bound,7.32284817819223e-05,0.0,0.0043859649122807015
rxn02304_c_lower_bound,6.855904984986343e-05,1.0,0.9956140350877193
rxn12215_c_lower_bound,2.4101770484794215e-06,0.0,0.0021929824561403508
rxn00101_c_lower_bound,0.0,0.0,0.0
