,importance,fraction active in 0,fraction active in 1
rxn00213_c_lower_bound,0.18340339847172782,0.47689075630252103,0.0
rxn06822_c_lower_bound,0.0662648758762162,0.21008403361344538,0.5058365758754864
rxn09673_c_lower_bound,0.06602062242567991,0.22058823529411764,0.0
rxn09398_c_lower_bound,0.04933943687816385,0.13865546218487396,0.0
rxn05170_c_upper_bound,0.038977454592906836,0.1407563025210084,0.0
rxn00701_c_lower_bound,0.0358735194706331,0.10294117647058823,0.0
rxn06402_c_lower_bound,0.03524005220639048,0.07983193277310924,0.24124513618677043
rxn00553_c_lower_bound,0.027218549040857666,0.07352941176470588,0.1828793774319066
rxn38996_c_upper_bound,0.023706922194597583,0.07142857142857142,0.0
rxn18456_c_upper_bound,0.01345846830646276,0.19957983193277312,0.09727626459143969
rxn26761_c_lower_bound,0.00908086357407152,0.05672268907563025,0.0
rxn02005_c_lower_bound,0.00606434311918845,0.029411764705882353,0.058365758754863814
rxn12537_c_lower_bound,0.005691862479179802,0.5084033613445378,0.4085603112840467
rxn31356_c_lower_bound,0.005581793845252557,0.23949579831932774,0.14007782101167315
rxn01359_c_lower_bound,0.005512372916954206,0.38445378151260506,0.4143968871595331
rxn05554_c_lower_bound,0.005479274696704724,0.4264705882352941,0.3346303501945525
rxn36697_c_upper_bound,0.005445340537405594,0.31932773109243695,0.2723735408560311
rxn12575_c_lower_bound,0.005444348560176861,0.4495798319327731,0.5038910505836576
rxn05563_c_lower_bound,0.005227511169398639,0.3697478991596639,0.4474708171206226
rxn05531_c_lower_bound,0.005102097758856253,0.21428571428571427,0.14785992217898833
rxn01072_c_lower_bound,0.004855978957248764,0.542016806722689,0.42996108949416345
rxn01934_c_lower_bound,0.0047867165088621,0.6869747899159664,0.77431906614786
rxn00636_c_lower_bound,0.004758998597710019,0.15546218487394958,0.08171206225680934
rxn00957_c_lower_bound,0.004732369303216552,0.35084033613445376,0.301556420233463
rxn09637_c_lower_bound,0.004577215650817251,0.32142857142857145,0.41245136186770426
rxn00155_c_lower_bound,0.004569015460310432,0.15126050420168066,0.07392996108949416
rxn00979_c_upper_bound,0.004546500985162926,0.3487394957983193,0.3132295719844358
rxn05610_c_lower_bound,0.004534515729066248,0.20378151260504201,0.11089494163424124
rxn10960_c_lower_bound,0.004501139964278936,0.17436974789915966,0.1264591439688716
rxn21111_c_upper_bound,0.0044921959657434766,0.2184873949579832,0.13618677042801555
rxn29080_c_lower_bound,0.0044718035020013475,0.058823529411764705,0.02529182879377432
rxn01621_c_lower_bound,0.004445770502164449,0.18907563025210083,0.1614785992217899
rxn10838_c_lower_bound,0.0044419831345795125,0.17857142857142858,0.16731517509727625
rxn00125_c_lower_bound,0.004437260434059384,0.7037815126050421,0.6575875486381323
rxn01423_c_lower_bound,0.004422367766737911,0.5,0.5992217898832685
rxn09655_c_lower_bound,0.004368655599663581,0.11974789915966387,0.06031128404669261
rxn15947_c_lower_bound,0.004355954558175653,0.296218487394958,0.3424124513618677
rxn01620_c_lower_bound,0.004281186727136253,0.19327731092436976,0.16926070038910507
rxn00958_c_lower_bound,0.004279524271535448,0.5210084033613446,0.4649805447470817
rxn08688_c_lower_bound,0.0042126666176164375,0.7205882352941176,0.6303501945525292
rxn05693_c_lower_bound,0.004169257787806765,0.19747899159663865,0.13813229571984437
rxn00970_c_lower_bound,0.004166162930613712,0.5042016806722689,0.556420233463035
rxn01360_c_upper_bound,0.004025343010815647,0.1869747899159664,0.1614785992217899
rxn02928_c_lower_bound,0.004022947501161067,0.7037815126050421,0.72568093385214
rxn09997_c_lower_bound,0.0039861188707209505,0.8235294117647058,0.8035019455252919
rxn05612_c_lower_bound,0.003929624406596504,0.12394957983193278,0.09922178988326848
rxn00383_c_lower_bound,0.00390704930518795,0.3277310924369748,0.24124513618677043
rxn10839_c_lower_bound,0.00386971736209564,0.09873949579831932,0.09533073929961089
rxn07429_c_lower_bound,0.0038625085254383245,0.39285714285714285,0.48638132295719844
rxn05557_c_upper_bound,0.003828226936804697,0.17436974789915966,0.13813229571984437
rxn12204_c_lower_bound,0.003785043485034299,0.03571428571428571,0.0
rxn01909_c_lower_bound,0.0037722197014115576,0.18487394957983194,0.13424124513618677
rxn14299_c_lower_bound,0.0037465103169484386,0.12605042016806722,0.1264591439688716
rxn01611_c_lower_bound,0.0037250488910545235,0.5147058823529411,0.5719844357976653
rxn02929_c_lower_bound,0.0036830697277247227,0.3004201680672269,0.27626459143968873
rxn10170_c_lower_bound,0.0036503851273464423,0.13445378151260504,0.11673151750972763
rxn00317_c_lower_bound,0.0036500717133751714,0.14495798319327732,0.15953307392996108
rxn10175_c_lower_bound,0.003630596115444312,0.15336134453781514,0.11284046692607004
rxn09180_c_lower_bound,0.003597113625161783,0.23319327731092437,0.2237354085603113
rxn00586_c_lower_bound,0.003592704306043954,0.16176470588235295,0.11867704280155641
rxn13849_c_lower_bound,0.003571076696288578,0.10084033613445378,0.05252918287937743
rxn05938_c_lower_bound,0.0035203599220698877,0.14915966386554622,0.2509727626459144
rxn08131_c_lower_bound,0.0035147822942679444,0.8214285714285714,0.7120622568093385
rxn00422_c_lower_bound,0.0034218064764868173,0.10714285714285714,0.08754863813229571
rxn20627_c_lower_bound,0.0034092647649428573,0.16176470588235295,0.14785992217898833
rxn05488_c_lower_bound,0.0033935731742247926,0.1323529411764706,0.13229571984435798
rxn00419_c_lower_bound,0.00337990906005479,0.12394957983193278,0.14202334630350194
rxn00229_c_lower_bound,0.003342030565304532,0.12605042016806722,0.08365758754863813
rxn00559_c_lower_bound,0.0033404180738327524,0.18487394957983194,0.11089494163424124
rxn12524_c_lower_bound,0.0033101588132795306,0.18277310924369747,0.14007782101167315
rxn09638_c_lower_bound,0.0033014599975717553,0.18277310924369747,0.19066147859922178
rxn01256_c_upper_bound,0.0032170455590231854,0.865546218487395,0.7568093385214008
rxn01005_c_lower_bound,0.003183250564018588,0.17436974789915966,0.10700389105058365
rxn01123_c_lower_bound,0.0031724171304018858,0.14495798319327732,0.08949416342412451
rxn01361_c_lower_bound,0.0031093454134347664,0.1134453781512605,0.12840466926070038
rxn18574_c_upper_bound,0.0030974157823742948,0.08403361344537816,0.06420233463035019
rxn08445_c_lower_bound,0.003049708998125804,0.12605042016806722,0.0914396887159533
rxn01008_c_lower_bound,0.0030197081147925547,0.0819327731092437,0.04474708171206226
rxn25799_c_lower_bound,0.003009295254806072,0.1407563025210084,0.14396887159533073
rxn14000_c_lower_bound,0.0029901987065760085,0.08823529411764706,0.11673151750972763
rxn05303_c_lower_bound,0.0029820522221415545,0.1092436974789916,0.08365758754863813
rxn05217_c_lower_bound,0.002951916206453893,0.09033613445378151,0.05642023346303502
rxn29410_c_lower_bound,0.0028923596803284474,0.10084033613445378,0.06809338521400778
rxn01803_c_lower_bound,0.002891066782204364,0.06932773109243698,0.033073929961089495
rxn01484_c_lower_bound,0.0028564833264937283,0.19327731092436976,0.15953307392996108
rxn18396_c_upper_bound,0.0028511361724099147,0.20798319327731093,0.1517509727626459
rxn00315_c_lower_bound,0.002834175155506042,0.08823529411764706,0.10116731517509728
rxn15750_c_lower_bound,0.00278453965301729,0.16596638655462184,0.10700389105058365
rxn18555_c_upper_bound,0.002776364566419715,0.1092436974789916,0.0622568093385214
rxn00605_c_lower_bound,0.002666528969941802,0.01680672268907563,0.0311284046692607
rxn17713_c_lower_bound,0.0026646044504784494,0.19747899159663865,0.15953307392996108
