,importance,fraction active in 0,fraction active in 1
rxn00541_c_lower_bound,0.26161811279038727,0.0,0.9533333333333334
rxn04783_c_upper_bound,0.1403471353513322,0.0,0.6733333333333333
rxn00429_c_lower_bound,0.09349696518636016,0.0,0.52
rxn00993_c_lower_bound,0.08135436639091059,0.0,0.49333333333333335
rxn00690_c_lower_bound,0.07850131469940985,0.0,0.49333333333333335
rxn00688_c_lower_bound,0.051498645004704885,0.0,0.38666666666666666
rxn05488_c_lower_bound,0.05014763650560088,0.0,0.44
rxn01418_c_lower_bound,0.03680829272408143,0.25339366515837103,1.0
rxn07429_c_lower_bound,0.03267749530234392,0.25037707390648567,0.006666666666666667
rxn00958_c_lower_bound,0.029269352899504986,0.5082956259426847,0.0
rxn00957_c_lower_bound,0.02678939947651262,0.46304675716440424,0.0
rxn09468_c_lower_bound,0.01886170823463888,0.0,0.12666666666666668
rxn09637_c_lower_bound,0.010895802142775428,0.09049773755656108,0.46
rxn00966_c_upper_bound,0.009959029166682851,0.48868778280542985,1.0
rxn09638_c_lower_bound,0.008706780427510748,0.16289592760180996,0.54
rxn01662_c_lower_bound,0.007791774261857692,0.027149321266968326,0.25333333333333335
rxn18396_c_upper_bound,0.007681647326960931,0.12669683257918551,0.0
rxn12571_c_lower_bound,0.006031734093954092,0.22171945701357465,0.5066666666666667
rxn01005_c_lower_bound,0.004929091675223283,0.12368024132730016,0.0
rxn01663_c_lower_bound,0.004413469212854157,0.03469079939668175,0.24666666666666667
rxn35594_c_upper_bound,0.0036736505862673104,0.0,0.06
rxn14000_c_lower_bound,0.0035411277652094633,0.04524886877828054,0.23333333333333334
rxn10960_c_lower_bound,0.0033301812127106744,0.13725490196078433,0.0
rxn05634_c_lower_bound,0.0032092770048226514,0.26998491704374056,0.0
rxn00375_c_lower_bound,0.0031896847706236893,0.0,0.08
rxn10904_c_lower_bound,0.0029404840790165426,0.0,0.06666666666666667
rxn00317_c_lower_bound,0.002507031658327557,0.02564102564102564,0.18
rxn10818_c_lower_bound,0.0024975428564032198,0.3031674208144796,0.0
rxn05484_c_lower_bound,0.0020346385489297112,0.16591251885369532,0.0
rxn31356_c_lower_bound,0.0017600425178727213,0.27601809954751133,0.0
rxn05531_c_lower_bound,0.0017022798281380123,0.28054298642533937,0.0
rxn14144_c_lower_bound,0.0014523281969790179,0.06485671191553545,0.0
rxn00315_c_lower_bound,0.000969714806716129,0.00904977375565611,0.08666666666666667
rxn12424_c_lower_bound,0.0008119760752198446,0.23227752639517346,0.0
rxn01363_c_lower_bound,0.0007541486101469065,0.11613876319758673,0.22666666666666666
rxn35596_c_upper_bound,0.0006689365113297795,0.010558069381598794,0.08666666666666667
rxn02269_c_lower_bound,0.0005705016783915556,0.4177978883861237,0.5933333333333334
rxn05291_c_lower_bound,0.0003336433941259874,0.4781297134238311,0.29333333333333333
rxn08131_c_lower_bound,0.0003015342499753554,1.0,0.9866666666666667
rxn33937_c_upper_bound,0.00026626211112306455,0.521870286576169,0.38
rxn02929_c_lower_bound,0.0002471946548746834,0.3273001508295626,0.28
rxn00198_c_lower_bound,0.00024099989129682052,0.0,0.03333333333333333
rxn30666_c_upper_bound,0.00021074858744141793,0.6968325791855203,0.7066666666666667
rxn04661_c_lower_bound,0.0002056637555742417,0.09502262443438914,0.13333333333333333
rxn02928_c_lower_bound,0.0001971147104714329,0.6726998491704375,0.72
rxn00204_c_lower_bound,0.00016397392328890446,0.0,0.006666666666666667
rxn05571_c_lower_bound,0.00014884180720742407,0.06485671191553545,0.0
rxn00657_c_lower_bound,0.00011608427862659182,0.0,0.02
rxn05602_c_lower_bound,8.576250554281025e-05,0.13423831070889894,0.0
rxn24940_c_lower_bound,4.5457660020868684e-05,0.0,0.013333333333333334
rxn10053_c_lower_bound,2.197203799825084e-05,0.9819004524886877,0.9933333333333333
rxn08764_c_lower_bound,1.3142629130768248e-05,0.06033182503770739,0.02666666666666667
rxn10836_c_lower_bound,8.304222589936875e-06,0.00904977375565611,0.0
rxn05229_c_upper_bound,0.0,0.01809954751131222,0.006666666666666667
rxn11016_c_lower_bound,0.0,0.0015082956259426848,0.0
rxn00966_c_lower_bound,0.0,0.0,0.0
rxn00656_c_lower_bound,0.0,0.0,0.006666666666666667
