,importance,fraction active in 0,fraction active in 1
rxn00688_c_lower_bound,0.3975571030608203,0.9949494949494949,0.0
rxn04794_c_lower_bound,0.09417932884948876,0.08754208754208755,0.6253229974160207
rxn00186_c_upper_bound,0.034841915669198975,0.2474747474747475,0.007751937984496124
rxn12585_c_lower_bound,0.0342645420171613,0.07575757575757576,0.35917312661498707
rxn05743_c_lower_bound,0.03330227401311454,0.008417508417508417,0.17054263565891473
rxn12571_c_lower_bound,0.02628577314387518,0.22727272727272727,0.025839793281653745
rxn12522_c_lower_bound,0.02610539569377305,0.058922558922558925,0.2997416020671835
rxn09468_c_lower_bound,0.025651043358080036,0.5656565656565656,0.7441860465116279
rxn08131_c_lower_bound,0.022531167705952884,0.7643097643097643,0.9896640826873385
rxn10626_c_lower_bound,0.021519331209501842,0.2356902356902357,0.002583979328165375
rxn05564_c_lower_bound,0.018223243512200334,0.21717171717171718,0.002583979328165375
rxn05593_c_lower_bound,0.017056255116621018,0.06397306397306397,0.24806201550387597
rxn00229_c_lower_bound,0.016729735956414374,0.018518518518518517,0.12919896640826872
rxn00541_c_lower_bound,0.013409545206388837,0.15993265993265993,0.00516795865633075
rxn16140_c_lower_bound,0.01244085107909071,0.20202020202020202,0.002583979328165375
rxn28948_c_lower_bound,0.012225840240492029,0.1447811447811448,0.007751937984496124
rxn00198_c_lower_bound,0.010368543071901616,0.17676767676767677,0.012919896640826873
rxn02749_c_lower_bound,0.010168889717521702,0.09259259259259259,0.0103359173126615
rxn00949_c_lower_bound,0.009949599128099413,0.08754208754208755,0.0103359173126615
rxn00966_c_upper_bound,0.008802490208198958,0.5892255892255892,0.43669250645994834
rxn00257_c_lower_bound,0.008716244642631599,0.1717171717171717,0.007751937984496124
rxn00958_c_lower_bound,0.008574199051786689,0.2962962962962963,0.5090439276485789
rxn05488_c_lower_bound,0.00845710971465222,0.11784511784511785,0.17054263565891473
rxn00155_c_lower_bound,0.008164531394473276,0.1026936026936027,0.03359173126614987
rxn35594_c_upper_bound,0.007247814051290606,0.12962962962962962,0.015503875968992248
rxn00509_c_upper_bound,0.006403393258952742,0.14983164983164984,0.002583979328165375
rxn00957_c_lower_bound,0.005899883893918954,0.2962962962962963,0.43669250645994834
rxn00993_c_lower_bound,0.005621998824907872,0.06902356902356903,0.0
rxn00690_c_lower_bound,0.0047616168245552025,0.058922558922558925,0.0
rxn10904_c_lower_bound,0.004107842044339559,0.058922558922558925,0.07493540051679587
rxn00508_c_upper_bound,0.004006570162507741,0.09932659932659933,0.0
rxn38863_c_upper_bound,0.003979113796574192,0.04882154882154882,0.002583979328165375
rxn11676_c_lower_bound,0.0039249365059224346,0.06902356902356903,0.0
rxn00429_c_lower_bound,0.003575291054301778,0.05723905723905724,0.002583979328165375
rxn01363_c_lower_bound,0.002726896733703405,0.06060606060606061,0.00516795865633075
rxn05940_c_lower_bound,0.002674118025569711,0.03198653198653199,0.007751937984496124
rxn00204_c_lower_bound,0.0023160386558941366,0.030303030303030304,0.012919896640826873
rxn04661_c_lower_bound,0.0021004453122551617,0.045454545454545456,0.00516795865633075
rxn10818_c_lower_bound,0.0020677234594070754,0.1026936026936027,0.17054263565891473
rxn10838_c_lower_bound,0.0020097927367147663,0.45454545454545453,0.4392764857881137
rxn12777_c_lower_bound,0.0019629198481989772,0.025252525252525252,0.0103359173126615
rxn05531_c_lower_bound,0.0018775506935067277,0.1026936026936027,0.17571059431524547
rxn10878_c_lower_bound,0.0018753271765788015,0.04713804713804714,0.041343669250646
rxn04783_c_upper_bound,0.0018321768319315079,0.04377104377104377,0.0
rxn05229_c_upper_bound,0.0018315886781104522,0.398989898989899,0.45219638242894056
rxn04455_c_lower_bound,0.0018093942339355094,0.06734006734006734,0.0
rxn10053_c_lower_bound,0.0016311549324628933,0.601010101010101,0.5478036175710594
rxn10967_c_lower_bound,0.0016257393634811212,0.07744107744107744,0.1524547803617571
rxn05313_c_lower_bound,0.001552048310373034,0.30134680134680136,0.28165374677002586
rxn02929_c_lower_bound,0.0014590925476259625,0.45454545454545453,0.4315245478036176
rxn31356_c_lower_bound,0.0014546658213027207,0.11784511784511785,0.18604651162790697
rxn05634_c_lower_bound,0.001395029605026939,0.08417508417508418,0.1421188630490956
rxn05602_c_lower_bound,0.0013220459480314578,0.06734006734006734,0.12661498708010335
rxn02928_c_lower_bound,0.001303274203041556,0.5454545454545454,0.5710594315245479
rxn05571_c_lower_bound,0.0013023108955564418,0.09764309764309764,0.12144702842377261
rxn10156_c_lower_bound,0.0012986506833795603,0.06734006734006734,0.12919896640826872
rxn12551_c_lower_bound,0.001274286590384313,0.03535353535353535,0.09043927648578812
rxn05152_c_upper_bound,0.0011662634489310938,0.037037037037037035,0.08010335917312661
rxn01322_c_lower_bound,0.0011618324211143617,0.12626262626262627,0.15503875968992248
rxn05562_c_lower_bound,0.0010668797317123166,0.12962962962962962,0.15503875968992248
rxn00971_c_lower_bound,0.0010510935710793263,0.03367003367003367,0.00516795865633075
rxn13143_c_lower_bound,0.0010331850972621142,0.04208754208754209,0.0
rxn10155_c_lower_bound,0.0009893333574730468,0.06228956228956229,0.1111111111111111
rxn12424_c_lower_bound,0.0009151833061554565,0.05723905723905724,0.10335917312661498
rxn02760_c_lower_bound,0.0008990545673228022,0.08585858585858586,0.13695090439276486
rxn03883_c_lower_bound,0.0008832771900105223,0.07407407407407407,0.1111111111111111
rxn29748_c_upper_bound,0.0008804624514087497,0.08585858585858586,0.11627906976744186
rxn13794_c_lower_bound,0.0008769630378918665,0.050505050505050504,0.0
rxn04942_c_lower_bound,0.0008558788085567121,0.04208754208754209,0.09819121447028424
rxn10165_c_lower_bound,0.0008388612127407434,0.1127946127946128,0.12144702842377261
rxn04675_c_lower_bound,0.0008245055858454863,0.9292929292929293,0.9974160206718347
rxn00553_c_lower_bound,0.0008052101150216889,0.09259259259259259,0.14987080103359174
rxn00156_c_lower_bound,0.0007760958085301413,0.02356902356902357,0.0103359173126615
rxn05207_c_lower_bound,0.0006947399188507755,0.013468013468013467,0.03617571059431524
rxn07524_c_lower_bound,0.0006855368800298694,0.04377104377104377,0.0
rxn11735_c_lower_bound,0.0006558367795949357,0.006734006734006734,0.002583979328165375
rxn00521_c_lower_bound,0.0006410707797714666,0.016835016835016835,0.007751937984496124
rxn24940_c_lower_bound,0.0006252176094010279,0.02861952861952862,0.002583979328165375
rxn05217_c_lower_bound,0.0006069795363620348,0.06565656565656566,0.09819121447028424
rxn10153_c_lower_bound,0.0005677425088481394,0.016835016835016835,0.028423772609819122
rxn00703_c_lower_bound,0.0005609563524421638,0.050505050505050504,0.1111111111111111
rxn04941_c_lower_bound,0.0005474837642184598,0.03367003367003367,0.07235142118863049
rxn29406_c_lower_bound,0.0005313818823163091,0.018518518518518517,0.05426356589147287
rxn33675_c_upper_bound,0.0005221125624872975,0.05387205387205387,0.05426356589147287
rxn00656_c_lower_bound,0.00048395142628016735,0.006734006734006734,0.002583979328165375
rxn08933_c_lower_bound,0.0004452254254255169,0.015151515151515152,0.03359173126614987
rxn00607_c_upper_bound,0.0004390540647906362,0.050505050505050504,0.06976744186046512
rxn04932_c_lower_bound,0.0004375701130651656,0.04377104377104377,0.04392764857881137
rxn00657_c_lower_bound,0.0004176018146127724,0.006734006734006734,0.0103359173126615
rxn10836_c_lower_bound,0.00040727840513721567,0.025252525252525252,0.03617571059431524
rxn26127_c_upper_bound,0.0003958166002923525,0.008417508417508417,0.031007751937984496
rxn10151_c_lower_bound,0.0003675569773082533,0.0016835016835016834,0.012919896640826873
rxn30674_c_lower_bound,0.0003565942039172037,0.015151515151515152,0.03875968992248062
rxn08934_c_lower_bound,0.0003486219497987641,0.0016835016835016834,0.007751937984496124
rxn15076_c_upper_bound,0.0003438962082121654,0.03198653198653199,0.056847545219638244
rxn05563_c_lower_bound,0.00030848248079462374,0.018518518518518517,0.03359173126614987
rxn01927_c_upper_bound,0.00030742961418995683,0.04377104377104377,0.0
rxn13847_c_lower_bound,0.0002800802511110251,0.018518518518518517,0.0
rxn05676_c_lower_bound,0.00027807063376305825,0.016835016835016835,0.012919896640826873
rxn01188_c_upper_bound,0.0002632103375602072,0.030303030303030304,0.0
rxn12210_c_lower_bound,0.0002609002434640512,0.003367003367003367,0.0
rxn35596_c_upper_bound,0.00022184619438060635,0.018518518518518517,0.0
rxn11139_c_lower_bound,0.00020866587598029418,0.015151515151515152,0.023255813953488372
rxn10906_c_lower_bound,0.00019994034163094897,0.006734006734006734,0.020671834625323
rxn05026_c_lower_bound,0.00018985755114478493,0.011784511784511785,0.0
