,importance,fraction active in 0,fraction active in 1
rxn01934_c_lower_bound,0.09962909150856551,0.9971671388101983,0.02476780185758514
rxn05485_c_lower_bound,0.08961788021265524,0.0764872521246459,1.0
rxn05531_c_lower_bound,0.08630707870111241,0.08781869688385269,0.9829721362229102
rxn05610_c_lower_bound,0.06941050679078763,0.08781869688385269,0.9798761609907121
rxn01919_c_lower_bound,0.061047799943157705,0.11048158640226628,0.9814241486068112
rxn01620_c_lower_bound,0.06011713755169026,0.10198300283286119,0.9767801857585139
rxn21111_c_upper_bound,0.0588825707257292,0.07365439093484419,0.9798761609907121
rxn31356_c_lower_bound,0.05683467341607658,0.10198300283286119,0.978328173374613
rxn18396_c_upper_bound,0.04018028538098123,0.1501416430594901,0.9752321981424149
rxn12524_c_lower_bound,0.03992430153792029,0.12464589235127478,0.9829721362229102
rxn01761_c_lower_bound,0.03727599495549648,0.18980169971671387,0.9876160990712074
rxn29063_c_lower_bound,0.035438406544815886,0.08781869688385269,0.9117647058823529
rxn04455_c_lower_bound,0.031526963910404056,0.19830028328611898,0.9891640866873065
rxn02538_c_lower_bound,0.026930358095833332,0.1954674220963173,0.9829721362229102
rxn00608_c_upper_bound,0.024213030200293563,0.08498583569405099,0.8173374613003096
rxn00966_c_upper_bound,0.015864820238029664,0.5892351274787535,0.010835913312693499
rxn10175_c_lower_bound,0.014190671532286566,0.06515580736543909,0.7693498452012384
rxn18456_c_upper_bound,0.012046296438162194,0.12181303116147309,0.7925696594427245
rxn12537_c_lower_bound,0.010906815549530963,0.4730878186968839,0.9891640866873065
rxn05647_c_lower_bound,0.009435184697505507,0.1643059490084986,0.8142414860681114
rxn01909_c_lower_bound,0.008123273842378747,0.20396600566572237,0.8436532507739938
rxn01005_c_lower_bound,0.007200052801175595,0.1274787535410765,0.7585139318885449
rxn05598_c_upper_bound,0.006173325968851482,0.07365439093484419,0.5882352941176471
rxn09673_c_lower_bound,0.006093278030022182,0.05099150141643059,0.5959752321981424
rxn05612_c_lower_bound,0.005321786203130616,0.04815864022662889,0.586687306501548
rxn05655_c_lower_bound,0.005277851930991099,0.0679886685552408,0.6238390092879257
rxn12575_c_lower_bound,0.004641105580327191,0.5070821529745042,0.9473684210526315
rxn16359_c_upper_bound,0.004322498709591236,0.0708215297450425,0.6099071207430341
rxn05303_c_lower_bound,0.004156503553822279,0.11048158640226628,0.5928792569659442
rxn05488_c_lower_bound,0.003896444146414318,0.16997167138810199,0.7662538699690402
rxn07524_c_lower_bound,0.00263800260410128,0.056657223796033995,0.5170278637770898
rxn00432_c_lower_bound,0.002464475673116757,0.05099150141643059,0.5371517027863777
rxn16381_c_upper_bound,0.0024105478967110933,0.15864022662889518,0.007739938080495356
rxn10839_c_lower_bound,0.0023733709495121383,0.056657223796033995,0.5340557275541795
rxn29410_c_lower_bound,0.0021531024502074135,0.025495750708215296,0.4055727554179567
rxn07523_c_lower_bound,0.0020150580684591035,0.056657223796033995,0.47058823529411764
rxn09681_c_lower_bound,0.002000319262586176,0.042492917847025496,0.4458204334365325
rxn05643_c_lower_bound,0.001827877957607355,0.0226628895184136,0.39164086687306504
rxn15213_c_lower_bound,0.0017306332533982094,0.11048158640226628,0.3761609907120743
rxn01122_c_upper_bound,0.0015671968502657429,0.18413597733711048,0.6114551083591331
rxn00429_c_lower_bound,0.001464539889925897,0.4447592067988669,0.3018575851393189
rxn05170_c_upper_bound,0.0014525269359627032,0.039660056657223795,0.4241486068111455
rxn10169_c_lower_bound,0.0013792133497856,0.042492917847025496,0.4504643962848297
rxn09655_c_lower_bound,0.0012895772433854614,0.036827195467422094,0.4953560371517028
rxn10904_c_lower_bound,0.001277645335009762,0.07932011331444759,0.30959752321981426
rxn01826_c_lower_bound,0.0012486691407218962,0.11048158640226628,0.006191950464396285
rxn18574_c_upper_bound,0.0011761869241035251,0.0453257790368272,0.43498452012383904
rxn00354_c_lower_bound,0.0011684340773786466,0.14447592067988668,0.5526315789473685
rxn12996_c_lower_bound,0.0010902695626353383,0.028328611898016998,0.24303405572755418
rxn09992_c_upper_bound,0.0010841302172826077,0.13031161473087818,0.5510835913312694
rxn01920_c_lower_bound,0.0009462461976423756,0.07365439093484419,0.0030959752321981426
rxn00427_c_lower_bound,0.0008787805687924491,0.0679886685552408,0.4458204334365325
rxn36320_c_lower_bound,0.000877180212546181,0.019830028328611898,0.23529411764705882
rxn18575_c_upper_bound,0.0008755778147493663,0.04815864022662889,0.4102167182662539
rxn05291_c_lower_bound,0.0008249437225151266,0.35127478753541075,0.44272445820433437
rxn04783_c_upper_bound,0.0008153476431886403,0.5722379603399433,0.43343653250773995
rxn00213_c_lower_bound,0.0008150160933963213,0.35694050991501414,0.30030959752321984
rxn09398_c_lower_bound,0.0007843639258868589,0.056657223796033995,0.09287925696594428
rxn05154_c_upper_bound,0.0007759881802836959,0.042492917847025496,0.16563467492260062
rxn00957_c_lower_bound,0.0007707827142974773,0.29178470254957506,0.3746130030959752
rxn00958_c_lower_bound,0.000766992540277313,0.5354107648725213,0.6253869969040248
rxn01008_c_lower_bound,0.000720903602145811,0.06232294617563739,0.29721362229102166
rxn30666_c_upper_bound,0.0007156610551182894,0.6487252124645893,0.5588235294117647
rxn12215_c_lower_bound,0.0006923134387176627,0.311614730878187,0.43343653250773995
rxn05563_c_lower_bound,0.0006776246990280881,0.45609065155807366,0.5139318885448917
rxn00690_c_lower_bound,0.0006756376029195886,0.33994334277620397,0.3111455108359133
rxn15098_c_upper_bound,0.0006658337425729096,0.014164305949008499,0.16873065015479877
rxn15007_c_upper_bound,0.0006625631017582446,0.0056657223796034,0.05727554179566564
rxn05229_c_upper_bound,0.0006607213912874711,0.1388101983002833,0.14241486068111456
rxn09638_c_lower_bound,0.0006522341043535859,0.1274787535410765,0.030959752321981424
rxn18495_c_upper_bound,0.0006294193473377415,0.053824362606232294,0.39628482972136225
rxn05554_c_lower_bound,0.0006200448082203394,0.43909348441926344,0.43808049535603716
rxn05699_c_lower_bound,0.0006180989360710589,0.0169971671388102,0.3761609907120743
rxn01918_c_lower_bound,0.0005959596081871683,0.0453257790368272,0.0030959752321981426
rxn29068_c_lower_bound,0.00057519323897695,0.1048158640226629,0.5108359133126935
rxn02929_c_lower_bound,0.0005704410296586275,0.1501416430594901,0.10990712074303406
rxn02928_c_lower_bound,0.0005698352824343552,0.8526912181303116,0.891640866873065
rxn01418_c_lower_bound,0.0005404881088159616,0.311614730878187,0.1346749226006192
rxn00693_c_lower_bound,0.0005394085172609327,0.6883852691218131,0.5232198142414861
rxn05217_c_lower_bound,0.000523195289778997,0.0679886685552408,0.42879256965944273
rxn00553_c_lower_bound,0.0005209532124224316,0.0764872521246459,0.1393188854489164
rxn09637_c_lower_bound,0.0005112913848074106,0.18413597733711048,0.10371517027863777
rxn01123_c_lower_bound,0.0005081461154078982,0.23796033994334279,0.47523219814241485
rxn06822_c_lower_bound,0.000498817018062946,0.26628895184135976,0.21517027863777088
rxn00728_c_lower_bound,0.0004789096894437149,0.0056657223796034,0.09287925696594428
rxn05152_c_upper_bound,0.00047787929491454554,0.0764872521246459,0.413312693498452
rxn15078_c_upper_bound,0.0004641418229206474,0.0084985835694051,0.07120743034055728
rxn15947_c_lower_bound,0.0004512692675450347,0.1359773371104816,0.11919504643962849
rxn03482_c_upper_bound,0.0004480179116365654,0.09631728045325778,0.37306501547987614
rxn00125_c_lower_bound,0.00039512255882169744,0.8640226628895185,0.8808049535603715
rxn28574_c_lower_bound,0.0003856914867097033,0.036827195467422094,0.22136222910216719
rxn10917_c_lower_bound,0.000375821034921663,0.0453257790368272,0.19814241486068113
rxn10838_c_lower_bound,0.0003641801154515773,0.07365439093484419,0.04179566563467492
rxn10840_c_lower_bound,0.00035335897862376803,0.039660056657223795,0.30030959752321984
rxn29080_c_lower_bound,0.00032959839820738407,0.028328611898016998,0.30030959752321984
rxn01327_c_lower_bound,0.00032825206552200103,0.0339943342776204,0.2786377708978328
rxn00701_c_lower_bound,0.00031169746447022497,0.1274787535410765,0.13312693498452013
rxn00375_c_lower_bound,0.00029427810803807445,0.0679886685552408,0.029411764705882353
rxn06402_c_lower_bound,0.00028319004707880315,0.11898016997167139,0.0913312693498452
rxn29549_c_lower_bound,0.00025777575657855384,0.0084985835694051,0.0804953560371517
rxn18484_c_upper_bound,0.00023033136710244817,0.0113314447592068,0.06656346749226007
rxn01049_c_lower_bound,0.0001593291601623292,0.0028328611898017,0.0804953560371517
rxn14144_c_lower_bound,0.00014785534082952862,0.0226628895184136,0.2739938080495356
rxn14207_c_lower_bound,0.00014432340889596038,0.031161473087818695,0.1130030959752322
rxn05313_c_lower_bound,0.0001324362201007627,0.025495750708215296,0.009287925696594427
rxn05146_c_upper_bound,0.0001173109987921249,0.056657223796033995,0.25077399380804954
rxn15750_c_lower_bound,0.00011345948900396654,0.0764872521246459,0.1826625386996904
rxn15220_c_upper_bound,0.00011343335184089943,0.0339943342776204,0.0804953560371517
rxn18555_c_upper_bound,0.00010699476186986735,0.031161473087818695,0.26625386996904027
rxn11676_c_lower_bound,0.00010410207842934845,0.141643059490085,0.0
rxn09658_c_lower_bound,8.544635711432805e-05,0.0113314447592068,0.18575851393188855
rxn34080_c_lower_bound,7.732217856048145e-05,0.0113314447592068,0.06037151702786378
rxn00993_c_lower_bound,7.284512976745462e-05,0.0,0.26160990712074306
rxn10155_c_lower_bound,6.81372934694395e-05,0.056657223796033995,0.21517027863777088
rxn00257_c_lower_bound,6.366429523858262e-05,0.039660056657223795,0.0
rxn05560_c_lower_bound,5.2943139998732196e-05,0.0028328611898017,0.02476780185758514
rxn00212_c_upper_bound,4.1316456080448956e-05,0.028328611898016998,0.0046439628482972135
rxn01775_c_lower_bound,3.649067780216791e-05,0.10764872521246459,0.14086687306501547
rxn00499_c_lower_bound,3.542355917226788e-05,0.0028328611898017,0.0
rxn00605_c_lower_bound,3.430852053366621e-05,0.0056657223796034,0.03560371517027864
rxn38996_c_upper_bound,3.3083487954966616e-05,0.039660056657223795,0.047987616099071206
rxn10906_c_lower_bound,2.7663538190489467e-05,0.028328611898016998,0.14086687306501547
rxn00430_c_lower_bound,2.4926297554649063e-05,0.0226628895184136,0.18421052631578946
rxn01513_c_lower_bound,2.288415410039024e-05,0.0028328611898017,0.0046439628482972135
rxn29377_c_lower_bound,1.6610839595759384e-05,0.0,0.03869969040247678
rxn00688_c_lower_bound,1.3781865348465016e-05,0.09631728045325778,0.0
rxn13143_c_lower_bound,1.185698804033103e-05,0.06232294617563739,0.0
rxn02005_c_lower_bound,1.0384477785511625e-05,0.0084985835694051,0.04489164086687306
rxn05297_c_lower_bound,6.930139767832111e-06,0.0028328611898017,0.015479876160990712
rxn09014_c_lower_bound,6.6505414521569325e-06,0.9971671388101983,0.9953560371517027
rxn05562_c_lower_bound,4.534854030130224e-06,0.0056657223796034,0.0015479876160990713
rxn00541_c_lower_bound,3.924517372016014e-06,0.0821529745042493,0.0
rxn10151_c_lower_bound,3.908450704225351e-06,0.0056657223796034,0.04489164086687306
rxn29048_c_lower_bound,1.18896724091761e-06,0.0084985835694051,0.058823529411764705
rxn00971_c_lower_bound,5.316201508283727e-07,0.025495750708215296,0.0
rxn00579_c_lower_bound,3.307246146512045e-07,0.0056657223796034,0.010835913312693499
rxn00198_c_lower_bound,2.8477212464034654e-07,0.031161473087818695,0.0
rxn00204_c_lower_bound,9.53895071542127e-08,0.031161473087818695,0.0
rxn29243_c_lower_bound,0.0,0.0,0.0030959752321981426
rxn06710_c_lower_bound,0.0,0.0,0.009287925696594427
rxn29106_c_lower_bound,0.0,0.0,0.0030959752321981426
rxn13847_c_lower_bound,0.0,0.0028328611898017,0.0
rxn06195_c_lower_bound,0.0,0.0,0.017027863777089782
rxn00244_c_lower_bound,0.0,0.0056657223796034,0.0
rxn11735_c_lower_bound,0.0,0.0056657223796034,0.0
rxn24199_c_lower_bound,0.0,0.0,0.010835913312693499
rxn11535_c_lower_bound,0.0,0.0,0.017027863777089782
rxn00212_c_lower_bound,0.0,0.0,0.0
rxn09997_c_lower_bound,0.0,1.0,0.9272445820433437
rxn34086_c_lower_bound,0.0,0.0,0.01238390092879257
rxn01068_c_lower_bound,0.0,0.0056657223796034,0.0
rxn05298_c_lower_bound,0.0,0.0,0.007739938080495356
rxn12303_c_lower_bound,0.0,0.0028328611898017,0.01238390092879257
rxn08131_c_lower_bound,0.0,0.0,0.07275541795665634
rxn00373_c_lower_bound,0.0,0.014164305949008499,0.0
rxn00435_c_lower_bound,0.0,0.0,0.07739938080495357
rxn21076_c_lower_bound,0.0,0.0,0.009287925696594427
