,importance,fraction active in 0,fraction active in 1
rxn01748_c_lower_bound,0.12678670519594046,0.9726443768996961,0.0
rxn00663_c_lower_bound,0.10480708525131052,0.02735562310030395,0.9984639016897081
rxn00949_c_lower_bound,0.09282067960235484,0.057750759878419454,1.0
rxn09370_c_lower_bound,0.09170203305797393,0.9696048632218845,0.0
rxn01522_c_upper_bound,0.0814129983835185,0.9696048632218845,0.0
rxn05316_c_lower_bound,0.06404947402498455,0.9270516717325228,0.0
rxn21286_c_upper_bound,0.058881103655263334,0.02735562310030395,0.9615975422427036
rxn03374_c_lower_bound,0.05444973526995672,0.0,0.9278033794162827
rxn08114_c_lower_bound,0.0490838615918818,0.8024316109422492,0.0
rxn00128_c_lower_bound,0.03806422759016534,0.02735562310030395,0.8663594470046083
rxn00668_c_lower_bound,0.0352777690647557,0.02735562310030395,0.8847926267281107
rxn00327_c_upper_bound,0.03006045757752069,0.6534954407294833,0.0
rxn01934_c_lower_bound,0.023373838810101497,0.9696048632218845,0.21351766513056836
rxn00673_c_lower_bound,0.020157526094582028,0.0121580547112462,0.7711213517665131
rxn10036_c_lower_bound,0.01879524436700473,0.60790273556231,0.0
rxn00562_c_lower_bound,0.01608538634159726,0.5653495440729484,0.0
rxn00399_c_lower_bound,0.009796200439541545,0.3829787234042553,0.9477726574500768
rxn09429_c_lower_bound,0.009621262870038779,0.6109422492401215,0.07373271889400922
rxn12522_c_lower_bound,0.008577174036251895,0.0364741641337386,0.4823348694316436
rxn12585_c_lower_bound,0.008227628441415953,0.02127659574468085,0.5176651305683564
rxn01792_c_lower_bound,0.005433079257205786,0.78419452887538,0.8525345622119815
rxn01791_c_upper_bound,0.00525313537845489,0.21580547112462006,0.14746543778801843
rxn01746_c_lower_bound,0.004816189305004004,0.2006079027355623,0.0
rxn00229_c_lower_bound,0.0037988019969032094,0.21580547112462006,0.0
rxn03991_c_lower_bound,0.003200891509363925,0.20972644376899696,0.6344086021505376
rxn00657_c_lower_bound,0.0023825815188432244,0.18541033434650456,0.0
rxn05744_c_lower_bound,0.002318753571594018,0.015197568389057751,0.21351766513056836
rxn10030_c_lower_bound,0.0019134063276840215,0.7203647416413373,0.9185867895545314
rxn10665_c_lower_bound,0.00171002073362949,0.7872340425531915,0.6236559139784946
rxn00346_c_upper_bound,0.00147417246417369,0.7993920972644377,0.7880184331797235
rxn09427_c_lower_bound,0.0014587812820518826,0.15501519756838905,0.015360983102918587
rxn30666_c_upper_bound,0.0011890705672795393,0.9848024316109423,0.7880184331797235
rxn10663_c_lower_bound,0.0011598835297363665,0.8449848024316109,0.6236559139784946
rxn01188_c_upper_bound,0.0011064579004207021,0.2006079027355623,0.2119815668202765
rxn11158_c_lower_bound,0.0010696546320448262,0.2066869300911854,0.24270353302611367
rxn03990_c_lower_bound,0.0009299435590378092,0.17325227963525835,0.31336405529953915
rxn08445_c_lower_bound,0.0008043705472539278,0.24620060790273557,0.07987711213517665
rxn20495_c_lower_bound,0.0007963477924801701,0.06990881458966565,0.0
rxn00688_c_lower_bound,0.0007745837711692813,0.030395136778115502,0.0015360983102918587
rxn00962_c_lower_bound,0.0007670402391129736,0.1580547112462006,0.13517665130568357
