,importance,fraction active in 0,fraction active in 1
rxn03374_c_lower_bound,0.126184394511871,0.0,0.5796178343949044
rxn00541_c_lower_bound,0.1252339934550511,0.0,0.3885350318471338
rxn00668_c_lower_bound,0.06956669841398065,0.051094890510948905,0.589171974522293
rxn12522_c_lower_bound,0.06164056651510127,0.1416058394160584,0.732484076433121
rxn19118_c_upper_bound,0.05952933839123343,0.052554744525547446,0.4012738853503185
rxn00499_c_lower_bound,0.04533578313038601,0.05693430656934306,0.3853503184713376
rxn10030_c_lower_bound,0.04169302488162358,0.06569343065693431,0.5318471337579618
rxn00663_c_lower_bound,0.03589356808970756,0.01167883211678832,0.37261146496815284
rxn21286_c_upper_bound,0.022385329494687023,0.024817518248175182,0.321656050955414
rxn10036_c_lower_bound,0.022347884825828227,0.0,0.23885350318471338
rxn04782_c_lower_bound,0.021976664093973315,0.01167883211678832,0.16878980891719744
rxn00679_c_upper_bound,0.017659627054241744,0.2846715328467153,0.6751592356687898
rxn00128_c_lower_bound,0.016300585273278392,0.051094890510948905,0.3630573248407643
rxn05634_c_lower_bound,0.015548051495951688,0.32554744525547447,0.1337579617834395
rxn11132_c_lower_bound,0.0154381128187749,0.017518248175182483,0.16878980891719744
rxn05744_c_lower_bound,0.01428933607079172,0.07007299270072993,0.33121019108280253
rxn01508_c_lower_bound,0.01393747977136183,0.032116788321167884,0.19745222929936307
rxn00949_c_lower_bound,0.013489704005170019,0.4481751824817518,0.8694267515923567
rxn09997_c_lower_bound,0.013303838353244024,0.3518248175182482,0.5923566878980892
rxn01352_c_lower_bound,0.011225422710385864,0.030656934306569343,0.18152866242038215
rxn00673_c_lower_bound,0.010314940772238832,0.01167883211678832,0.18471337579617833
rxn02304_c_lower_bound,0.008785740257155592,0.4408759124087591,0.7038216560509554
rxn33742_c_lower_bound,0.008291775411938717,0.0,0.16878980891719744
rxn00507_c_lower_bound,0.007818647153986119,0.00583941605839416,0.09872611464968153
rxn13140_c_lower_bound,0.007187809274275387,0.021897810218978103,0.12101910828025478
rxn20627_c_lower_bound,0.006693637414791628,0.2364963503649635,0.028662420382165606
rxn02749_c_lower_bound,0.006285276259361933,0.21751824817518248,0.3885350318471338
rxn00456_c_lower_bound,0.0058642174351875255,0.0,0.13694267515923567
rxn00229_c_lower_bound,0.00528211495007051,0.3372262773722628,0.14331210191082802
rxn30666_c_upper_bound,0.0050129385986693795,1.0,0.8630573248407644
rxn12060_c_lower_bound,0.004905123372665128,0.049635036496350364,0.13694267515923567
rxn00399_c_lower_bound,0.0041931969283742175,0.41021897810218977,0.60828025477707
rxn00521_c_lower_bound,0.003994618437253157,0.5445255474452555,0.3853503184713376
rxn00168_c_lower_bound,0.003909120475722447,0.24963503649635035,0.022292993630573247
rxn02261_c_lower_bound,0.0038189715917064135,0.013138686131386862,0.12101910828025478
rxn01934_c_lower_bound,0.003739843590100028,0.7036496350364964,0.5987261146496815
rxn03991_c_lower_bound,0.0037332641249330735,0.32116788321167883,0.44904458598726116
rxn11158_c_lower_bound,0.0035822573067525246,0.3518248175182482,0.2802547770700637
rxn10663_c_lower_bound,0.003132240536756132,0.6160583941605839,0.47770700636942676
rxn09467_c_lower_bound,0.0026156120608223764,0.8905109489051095,0.8375796178343949
rxn02260_c_lower_bound,0.002611462942458456,0.01167883211678832,0.11146496815286625
rxn08131_c_lower_bound,0.0025877556197649184,0.9153284671532846,0.8121019108280255
rxn00957_c_lower_bound,0.002502664209237876,0.5430656934306569,0.5668789808917197
rxn09429_c_lower_bound,0.002470488583890341,1.0,0.9171974522292994
rxn00125_c_lower_bound,0.0023323649873188894,0.38248175182481753,0.42038216560509556
rxn01444_c_lower_bound,0.0023101881163583855,0.00291970802919708,0.03821656050955414
rxn08792_c_upper_bound,0.002068080404626745,0.00145985401459854,0.044585987261146494
rxn02929_c_lower_bound,0.002044757778722002,0.49635036496350365,0.49044585987261147
rxn13143_c_lower_bound,0.001972795486154618,0.0,0.006369426751592357
rxn00693_c_lower_bound,0.001972177812483385,0.6335766423357664,0.5700636942675159
rxn09427_c_lower_bound,0.001956556061373474,0.472992700729927,0.40445859872611467
rxn13085_c_lower_bound,0.0019310791572386325,0.4321167883211679,0.5573248407643312
rxn05493_c_lower_bound,0.0019048837723597241,0.20145985401459854,0.08917197452229299
rxn00958_c_lower_bound,0.0018182465169670889,0.3445255474452555,0.2770700636942675
rxn10213_c_upper_bound,0.0018169650120363522,0.00145985401459854,0.07961783439490445
rxn10923_c_lower_bound,0.0018160352342888558,0.07007299270072993,0.07643312101910828
rxn05487_c_lower_bound,0.0016958043777106396,0.21897810218978103,0.2643312101910828
rxn12424_c_lower_bound,0.0016826551365248727,0.16496350364963502,0.18152866242038215
rxn05488_c_lower_bound,0.0016189074277451214,0.32116788321167883,0.1305732484076433
rxn05484_c_lower_bound,0.0016163405191615854,0.17518248175182483,0.14331210191082802
rxn00705_c_lower_bound,0.0015851604848114867,0.14014598540145987,0.14331210191082802
rxn03990_c_lower_bound,0.0015749450948554624,0.10510948905109489,0.17834394904458598
rxn05728_c_lower_bound,0.0015731742256269526,0.19708029197080293,0.1942675159235669
