,importance,fraction active in 0,fraction active in 1
rxn01919_c_lower_bound,0.14219984537612612,0.9140625,0.20612813370473537
rxn12537_c_lower_bound,0.07673480697149779,0.8296875,0.25348189415041783
rxn00356_c_lower_bound,0.07587076646135034,0.746875,0.18384401114206128
rxn10960_c_lower_bound,0.0395594194581247,0.7421875,0.2618384401114206
rxn05646_c_lower_bound,0.03691838092291779,0.8328125,0.33147632311977715
rxn00989_c_lower_bound,0.03661522557087891,0.7015625,0.24512534818941503
rxn05531_c_lower_bound,0.03597867741213772,0.8375,0.34818941504178275
rxn12575_c_lower_bound,0.03459327412606423,0.7046875,0.233983286908078
rxn12524_c_lower_bound,0.0303244481705596,0.8390625,0.362116991643454
rxn29063_c_lower_bound,0.029967377763039777,0.8125,0.33147632311977715
rxn07524_c_lower_bound,0.028958710947531722,0.5203125,0.10306406685236769
rxn31356_c_lower_bound,0.02679835307217422,0.834375,0.3732590529247911
rxn07523_c_lower_bound,0.025084973174309997,0.421875,0.10584958217270195
rxn21111_c_upper_bound,0.02415864674951248,0.8328125,0.3871866295264624
rxn05598_c_upper_bound,0.02195865973852163,0.4890625,0.13649025069637882
rxn00988_c_upper_bound,0.02149178205952845,0.5328125,0.18662952646239556
rxn29748_c_upper_bound,0.021254206740276792,0.778125,0.33147632311977715
rxn10169_c_lower_bound,0.018696664549016893,0.4015625,0.0947075208913649
rxn15570_c_lower_bound,0.015133024168999224,0.24375,0.06685236768802229
rxn05484_c_lower_bound,0.00981263093722894,0.1765625,0.0584958217270195
rxn10183_c_lower_bound,0.008791784117177267,0.603125,0.26740947075208915
rxn04942_c_lower_bound,0.008584776817898068,0.5375,0.233983286908078
rxn01053_c_lower_bound,0.00835439045287188,0.425,0.13649025069637882
rxn28604_c_lower_bound,0.0071999663167968565,0.5078125,0.2841225626740947
rxn05902_c_lower_bound,0.007024184281192133,0.9921875,0.8440111420612814
rxn36320_c_lower_bound,0.00638141745762755,0.4609375,0.20334261838440112
rxn20627_c_lower_bound,0.0060014879592295844,0.621875,0.8105849582172702
rxn13786_c_lower_bound,0.005895630340098207,0.50625,0.5654596100278552
rxn01615_c_lower_bound,0.00582677724067875,0.3890625,0.14763231197771587
rxn01360_c_upper_bound,0.0057231168751097055,0.4875,0.2924791086350975
rxn00430_c_lower_bound,0.005713047934477733,0.44375,0.19498607242339833
rxn00663_c_lower_bound,0.005705786648401799,0.3328125,0.3064066852367688
rxn05316_c_lower_bound,0.005702621263431323,0.3921875,0.22841225626740946
rxn05699_c_lower_bound,0.005631549360469344,0.4203125,0.2200557103064067
rxn34080_c_lower_bound,0.005369724802683521,0.15,0.08913649025069638
rxn19115_c_lower_bound,0.005303788293099734,0.446875,0.21727019498607242
rxn01014_c_lower_bound,0.005204718500409214,0.4765625,0.6880222841225627
rxn01359_c_lower_bound,0.0051756482376406916,0.38125,0.3955431754874652
rxn00693_c_lower_bound,0.005149555059686307,0.4265625,0.3788300835654596
rxn36697_c_upper_bound,0.005138529268880724,0.409375,0.43175487465181056
rxn12215_c_lower_bound,0.005029597836727054,0.5671875,0.4596100278551532
rxn13085_c_lower_bound,0.004952516414991001,0.40625,0.5654596100278552
rxn15947_c_lower_bound,0.004742875858603705,0.2828125,0.181058495821727
rxn04932_c_lower_bound,0.004724537295899954,0.3375,0.15041782729805014
rxn13141_c_lower_bound,0.00471208906027499,0.3265625,0.3426183844011142
rxn00125_c_lower_bound,0.004674502443249396,0.40625,0.415041782729805
rxn13905_c_lower_bound,0.004638839032115307,0.6828125,0.6685236768802229
rxn05486_c_lower_bound,0.004613781175460326,0.2421875,0.06963788300835655
rxn00555_c_lower_bound,0.004551300074489907,0.675,0.6573816155988857
rxn05040_c_upper_bound,0.004514011616403147,0.3171875,0.33147632311977715
rxn00432_c_lower_bound,0.004191110234243455,0.4203125,0.20891364902506965
rxn03978_c_lower_bound,0.004162173269421049,0.5546875,0.724233983286908
rxn00668_c_lower_bound,0.0038274067257178263,0.30625,0.28690807799442897
rxn03374_c_lower_bound,0.003817216129441239,0.321875,0.12813370473537605
rxn29410_c_lower_bound,0.0037480862474354813,0.3015625,0.13649025069637882
rxn01361_c_lower_bound,0.0035691201418314197,0.1453125,0.11420612813370473
rxn05554_c_lower_bound,0.003533029041343684,0.0859375,0.036211699164345405
rxn02929_c_lower_bound,0.0034469496241575346,0.14375,0.14206128133704735
rxn00957_c_lower_bound,0.003384573747023529,0.24375,0.24233983286908078
rxn00958_c_lower_bound,0.0031198336168645436,0.75625,0.7576601671309192
rxn02928_c_lower_bound,0.0030856429490925047,0.8578125,0.8607242339832869
rxn00990_c_lower_bound,0.002869961790895977,0.1015625,0.04735376044568245
rxn02475_c_upper_bound,0.0026382856335845192,0.9015625,0.8857938718662952
rxn00435_c_lower_bound,0.002517412953602484,0.103125,0.04178272980501393
rxn08336_c_upper_bound,0.002426598265172256,0.040625,0.03899721448467967
rxn30012_c_upper_bound,0.0023155218016922005,0.0984375,0.11420612813370473
rxn05563_c_lower_bound,0.0022864007699653277,0.084375,0.033426183844011144
rxn00456_c_lower_bound,0.0022715538428289017,0.0,0.15041782729805014
rxn09458_c_lower_bound,0.002054439258890867,0.0640625,0.036211699164345405
rxn18555_c_upper_bound,0.002024882899379741,0.1109375,0.03064066852367688
rxn01617_c_lower_bound,0.001986946916994493,0.1125,0.052924791086350974
rxn24152_c_lower_bound,0.0016684115844791737,0.034375,0.05013927576601671
rxn12551_c_lower_bound,0.0016645018040567989,0.053125,0.027855153203342618
rxn02250_c_lower_bound,0.0016196455086992289,0.0359375,0.05013927576601671
rxn01645_c_lower_bound,0.0015275345384180093,0.01875,0.016713091922005572
rxn07465_c_lower_bound,0.001525106336079598,0.0296875,0.03064066852367688
rxn14207_c_lower_bound,0.001403302592158954,0.06875,0.011142061281337047
rxn04786_c_lower_bound,0.0007867164480318802,0.0109375,0.013927576601671309
rxn06195_c_lower_bound,0.0006270672756752539,0.0046875,0.013927576601671309
rxn21076_c_lower_bound,0.0005400075069824528,0.0078125,0.013927576601671309
rxn34028_c_upper_bound,0.0004750159722868056,0.0109375,0.011142061281337047
rxn00128_c_lower_bound,0.00036552696758241764,0.0984375,0.15041782729805014
rxn00673_c_lower_bound,0.0003058961694103267,0.0265625,0.03064066852367688
rxn07764_c_lower_bound,0.00020902394819342587,0.0,0.055710306406685235
rxn08335_c_upper_bound,0.00018742090346718325,0.0046875,0.002785515320334262
rxn00653_c_lower_bound,0.00016964897799298778,0.0015625,0.0
rxn24199_c_lower_bound,0.00010957173499873016,0.00625,0.0
rxn29406_c_lower_bound,0.00010341984407827184,0.0140625,0.002785515320334262
rxn11535_c_lower_bound,9.419670479204584e-05,0.015625,0.005571030640668524
rxn07758_c_lower_bound,7.86943110105053e-05,0.0,0.06128133704735376
rxn33742_c_lower_bound,7.352819747659963e-05,0.0640625,0.07520891364902507
rxn06710_c_lower_bound,3.432903991691155e-05,0.009375,0.0
rxn00944_c_lower_bound,5.96191891432203e-06,0.0015625,0.0
rxn07759_c_lower_bound,3.13842763108383e-06,0.0,0.03899721448467967
rxn00991_c_lower_bound,2.707349936779384e-06,0.0015625,0.0
rxn07760_c_lower_bound,4.529809860939491e-08,0.0,0.025069637883008356
rxn07765_c_lower_bound,8.374179883593275e-09,0.0,0.025069637883008356
rxn07763_c_lower_bound,0.0,0.0,0.03064066852367688
rxn07757_c_lower_bound,0.0,0.0,0.025069637883008356
rxn00988_c_lower_bound,0.0,0.0,0.0
rxn07766_c_lower_bound,0.0,0.0,0.03899721448467967
