,importance,fraction active in 0,fraction active in 1
rxn01919_c_lower_bound,0.18728833682281767,0.15608465608465608,0.8905228758169934
rxn10960_c_lower_bound,0.09190784794601313,0.18783068783068782,0.7418300653594772
rxn00356_c_lower_bound,0.07818660387915066,0.13756613756613756,0.6748366013071896
rxn05598_c_upper_bound,0.0708606758509168,0.10582010582010581,0.6225490196078431
rxn21111_c_upper_bound,0.04217947244777514,0.29365079365079366,0.7908496732026143
rxn07524_c_lower_bound,0.03757053009232921,0.08465608465608465,0.47549019607843135
rxn07523_c_lower_bound,0.03437329158812049,0.07407407407407407,0.43300653594771243
rxn00988_c_upper_bound,0.028807141202687334,0.15873015873015872,0.5326797385620915
rxn12524_c_lower_bound,0.027092050159850025,0.32275132275132273,0.7794117647058824
rxn15570_c_lower_bound,0.025949496837287752,0.06613756613756613,0.3022875816993464
rxn10183_c_lower_bound,0.02409559726696596,0.3333333333333333,0.7892156862745098
rxn10169_c_lower_bound,0.023927569483820958,0.06084656084656084,0.25163398692810457
rxn29748_c_upper_bound,0.023589584622566162,0.30158730158730157,0.7483660130718954
rxn05531_c_lower_bound,0.022822699597710168,0.35185185185185186,0.7908496732026143
rxn31356_c_lower_bound,0.01956901744400016,0.38095238095238093,0.7924836601307189
rxn00989_c_lower_bound,0.01939235845861563,0.09523809523809523,0.315359477124183
rxn29063_c_lower_bound,0.01667396654813605,0.3439153439153439,0.761437908496732
rxn05316_c_lower_bound,0.01249548187572109,0.3968253968253968,0.7581699346405228
rxn05484_c_lower_bound,0.01111250664186065,0.06878306878306878,0.1437908496732026
rxn03883_c_lower_bound,0.01075060657862825,0.19047619047619047,0.49019607843137253
rxn05488_c_lower_bound,0.010306775889025689,0.36507936507936506,0.6977124183006536
rxn36320_c_lower_bound,0.00690886176758237,0.17989417989417988,0.39869281045751637
rxn05902_c_lower_bound,0.00676680467785081,0.843915343915344,0.9901960784313726
rxn04941_c_lower_bound,0.006685391916471771,0.1455026455026455,0.35947712418300654
rxn03978_c_lower_bound,0.0066697296860656966,0.8068783068783069,0.5882352941176471
rxn00432_c_lower_bound,0.006149181597365432,0.1746031746031746,0.42320261437908496
rxn00430_c_lower_bound,0.006097067505345054,0.16137566137566137,0.4166666666666667
rxn13085_c_lower_bound,0.005776129625532072,0.48677248677248675,0.2565359477124183
rxn12215_c_lower_bound,0.005754475448477559,0.544973544973545,0.5849673202614379
rxn01360_c_upper_bound,0.00573872237430808,0.21957671957671956,0.3382352941176471
rxn13141_c_lower_bound,0.005662759834713854,0.40476190476190477,0.4068627450980392
rxn36697_c_upper_bound,0.005576099218632974,0.30423280423280424,0.3284313725490196
rxn00555_c_lower_bound,0.005379313480439456,0.5952380952380952,0.5931372549019608
rxn00693_c_lower_bound,0.005356785815364427,0.3386243386243386,0.40522875816993464
rxn01359_c_lower_bound,0.005313265019730396,0.4576719576719577,0.46405228758169936
rxn13905_c_lower_bound,0.004778821322746859,0.7037037037037037,0.7009803921568627
rxn00663_c_lower_bound,0.004747383526060266,0.26455026455026454,0.23529411764705882
rxn00125_c_lower_bound,0.004606747953638847,0.3783068783068783,0.2565359477124183
rxn05040_c_upper_bound,0.004538096469800971,0.2962962962962963,0.29901960784313725
rxn00957_c_lower_bound,0.004283846184765453,0.29365079365079366,0.3235294117647059
rxn00668_c_lower_bound,0.004200821055416439,0.2566137566137566,0.20261437908496732
rxn00958_c_lower_bound,0.0040553116809387505,0.7063492063492064,0.6764705882352942
rxn02929_c_lower_bound,0.0040350193192247846,0.23809523809523808,0.28921568627450983
rxn20627_c_lower_bound,0.0039648980384408535,0.7962962962962963,0.6977124183006536
rxn30012_c_upper_bound,0.003944251488470928,0.16666666666666666,0.1454248366013072
rxn15947_c_lower_bound,0.0038693991555091853,0.1349206349206349,0.21405228758169934
rxn02475_c_upper_bound,0.003719116217642336,0.8333333333333334,0.8562091503267973
rxn01361_c_lower_bound,0.003643939533650489,0.1984126984126984,0.15522875816993464
rxn02928_c_lower_bound,0.003604418697892823,0.7619047619047619,0.7205882352941176
rxn13786_c_lower_bound,0.003166445781610058,0.7328042328042328,0.815359477124183
rxn00435_c_lower_bound,0.003085665365316803,0.03968253968253968,0.14052287581699346
rxn14207_c_lower_bound,0.002959073438760666,0.06613756613756613,0.06535947712418301
rxn00990_c_lower_bound,0.0026661623065682653,0.0026455026455026454,0.03594771241830065
rxn03374_c_lower_bound,0.0022692274732790817,0.082010582010582,0.22549019607843138
rxn02250_c_lower_bound,0.00225228979092632,0.1349206349206349,0.1503267973856209
rxn10904_c_lower_bound,0.002251585482698661,0.04497354497354497,0.09313725490196079
rxn24108_c_upper_bound,0.0021937830226281185,0.06349206349206349,0.08333333333333333
rxn24152_c_lower_bound,0.0018649143233950363,0.12169312169312169,0.12908496732026145
