,importance,fraction active in 0,fraction active in 1
rxn12060_c_lower_bound,0.21340759200116166,0.9928825622775801,0.0
rxn00693_c_lower_bound,0.08350205676701192,0.08540925266903915,0.8539638386648123
rxn09458_c_lower_bound,0.06450683134823149,0.9928825622775801,0.29346314325452016
rxn10204_c_upper_bound,0.05718104686119914,0.9644128113879004,0.28929068150208626
rxn07764_c_lower_bound,0.05011923078700452,0.40213523131672596,0.0
rxn07758_c_lower_bound,0.04324162679230272,0.35231316725978645,0.0
rxn01188_c_upper_bound,0.04068538603338529,0.800711743772242,0.19610570236439498
rxn01934_c_lower_bound,0.03737470134953964,0.800711743772242,0.21835883171070933
rxn09460_c_lower_bound,0.035713288441519796,0.0071174377224199285,0.6036161335187761
rxn07757_c_lower_bound,0.035335721523906335,0.3167259786476868,0.0
rxn09180_c_lower_bound,0.026306385924465835,0.3487544483985765,0.004172461752433936
rxn07763_c_lower_bound,0.022636274014555407,0.2669039145907473,0.0
rxn00833_c_lower_bound,0.019001010112456963,0.25622775800711745,0.01808066759388039
rxn07760_c_lower_bound,0.018542025312692487,0.19572953736654805,0.0
rxn12424_c_lower_bound,0.015080135006887322,0.18861209964412812,0.6161335187760779
rxn09402_c_lower_bound,0.013798669012578701,0.08185053380782918,0.4951321279554937
rxn07766_c_lower_bound,0.013669522397625252,0.18505338078291814,0.0
rxn01072_c_lower_bound,0.013389669580798612,0.9928825622775801,0.7579972183588317
rxn12215_c_lower_bound,0.013331887902203124,0.02491103202846975,0.14603616133518776
rxn00993_c_lower_bound,0.012066264555260326,0.19217081850533807,0.02642559109874826
rxn00962_c_lower_bound,0.012029762102571758,0.44483985765124556,0.0917941585535466
rxn07765_c_lower_bound,0.010124917402865675,0.1387900355871886,0.0
rxn07759_c_lower_bound,0.009457790841096391,0.12811387900355872,0.0
rxn05313_c_lower_bound,0.009135706463895516,0.45195729537366547,0.7885952712100139
rxn01014_c_lower_bound,0.007692679490362357,0.12455516014234876,0.49235048678720444
rxn12585_c_lower_bound,0.007388348559575678,0.15658362989323843,0.4951321279554937
rxn00553_c_lower_bound,0.007138016567796613,0.17437722419928825,0.5730180806675939
rxn18910_c_upper_bound,0.006385226708062777,0.6548042704626335,0.8887343532684284
rxn13905_c_lower_bound,0.006303969852005119,0.3096085409252669,0.08762169680111266
rxn00960_c_lower_bound,0.0062905590209363475,0.35587188612099646,0.1043115438108484
rxn00777_c_lower_bound,0.005998666118573441,0.3594306049822064,0.11543810848400557
rxn05488_c_lower_bound,0.005564358456646371,0.22419928825622776,0.5785813630041725
rxn00178_c_lower_bound,0.00426078421737852,0.3594306049822064,0.6856745479833102
rxn00422_c_lower_bound,0.003935015031600293,0.06405693950177936,0.19749652294853964
rxn10960_c_lower_bound,0.0036125279017541214,0.30604982206405695,0.6175243393602226
rxn10878_c_lower_bound,0.0035261747614517263,0.0,0.08205841446453407
rxn00949_c_lower_bound,0.003507832946159659,0.08185053380782918,0.3713490959666203
rxn00419_c_lower_bound,0.0024969185192046197,0.3487544483985765,0.2851182197496523
rxn00229_c_lower_bound,0.002317386187050659,0.5587188612099644,0.4909596662030598
rxn00767_c_lower_bound,0.002272167751218136,0.27402135231316727,0.13351877607788595
rxn00456_c_lower_bound,0.0022098437521447406,0.0,0.12100139082058414
