,importance,fraction active in 0,fraction active in 1
rxn04794_c_lower_bound,0.11358999085216417,0.7879858657243817,0.015647226173541962
rxn09402_c_lower_bound,0.09872661409745791,0.7950530035335689,0.015647226173541962
rxn08688_c_lower_bound,0.09039536400907469,0.7985865724381626,0.021337126600284494
rxn00949_c_lower_bound,0.08843652352163195,0.7985865724381626,0.03698435277382646
rxn13143_c_lower_bound,0.050344615287732646,0.10600706713780919,0.0
rxn00128_c_lower_bound,0.044304636230335516,0.4840989399293286,0.0
rxn13085_c_lower_bound,0.04217383488980155,0.5159010600706714,0.007112375533428165
rxn09458_c_lower_bound,0.03338883830692692,0.47703180212014135,0.0
rxn09180_c_lower_bound,0.02931525897356533,0.4204946996466431,0.01991465149359886
rxn08518_c_lower_bound,0.029196556538048764,0.06007067137809187,0.0
rxn10204_c_upper_bound,0.028060057580505164,0.43109540636042404,0.0
rxn38863_c_upper_bound,0.024402167103838683,0.3462897526501767,0.001422475106685633
rxn03374_c_lower_bound,0.023777883876751043,0.3321554770318021,0.0
rxn10923_c_lower_bound,0.019272416241205233,0.3215547703180212,0.18492176386913228
rxn36655_c_lower_bound,0.017385565572449135,0.31448763250883394,0.001422475106685633
rxn00958_c_lower_bound,0.017346699590484623,0.05653710247349823,0.5007112375533428
rxn00777_c_lower_bound,0.01604140729618531,0.24734982332155478,0.7112375533428165
rxn00157_c_lower_bound,0.015244935832463407,0.07773851590106007,0.01991465149359886
rxn00957_c_lower_bound,0.011581530031794192,0.038869257950530034,0.3385490753911807
rxn00419_c_lower_bound,0.010555265964139153,0.1872791519434629,0.5675675675675675
rxn01101_c_lower_bound,0.010113410015354058,0.2049469964664311,0.5433854907539118
rxn00378_c_lower_bound,0.009695159106936349,0.26855123674911663,0.0
rxn13905_c_lower_bound,0.008725852759160171,0.14840989399293286,0.44096728307254623
rxn00229_c_lower_bound,0.008397760543907548,0.0,0.3399715504978663
rxn10115_c_lower_bound,0.007255852180531755,0.053003533568904596,0.01991465149359886
rxn13786_c_lower_bound,0.006311758159203634,0.3957597173144876,0.7197724039829303
rxn00383_c_lower_bound,0.006120739411631685,0.16607773851590105,0.0
rxn38867_c_lower_bound,0.004711917488967021,0.3745583038869258,0.4395448079658606
rxn00693_c_lower_bound,0.004579686688616224,0.2968197879858657,0.43243243243243246
rxn00125_c_lower_bound,0.004255169937610956,0.038869257950530034,0.007112375533428165
rxn12585_c_lower_bound,0.003846877386250552,0.4416961130742049,0.1721194879089616
rxn25799_c_lower_bound,0.00334993317028252,0.0636042402826855,0.22048364153627312
rxn38868_c_upper_bound,0.003299392673360192,0.392226148409894,0.44950213371266
rxn12777_c_lower_bound,0.003262692237472352,0.09540636042402827,0.0
rxn02250_c_lower_bound,0.0032624475737072136,0.0706713780918728,0.26173541963015645
rxn07766_c_lower_bound,0.0032263637548058228,0.26501766784452296,0.17780938833570412
rxn00103_c_lower_bound,0.0030172438411162125,0.014134275618374558,0.001422475106685633
rxn24152_c_lower_bound,0.002990599242795761,0.06713780918727916,0.2460881934566145
rxn31356_c_lower_bound,0.002837114918274829,0.16607773851590105,0.29445234708392604
rxn12522_c_lower_bound,0.0026331488154608842,0.4558303886925795,0.18776671408250356
rxn00467_c_lower_bound,0.0026090726661266023,0.22968197879858657,0.21337126600284495
rxn07764_c_lower_bound,0.0025501904651408294,0.43109540636042404,0.37268847795163584
rxn12215_c_lower_bound,0.0025268599652173663,0.22614840989399293,0.36984352773826457
rxn00178_c_lower_bound,0.002461414871371136,0.13780918727915195,0.3029871977240398
rxn38907_c_lower_bound,0.0024508809343971594,0.47703180212014135,0.5007112375533428
rxn38908_c_lower_bound,0.0024279312712713686,0.29328621908127206,0.28591749644381226
rxn00521_c_lower_bound,0.002391596307730196,0.2579505300353357,0.3314366998577525
rxn07758_c_lower_bound,0.0023583091594753802,0.4098939929328622,0.3755334281650071
rxn00647_c_lower_bound,0.002303839736437139,0.17667844522968199,0.33428165007112376
rxn34028_c_upper_bound,0.0022100167327668107,0.07420494699646643,0.02702702702702703
rxn05531_c_lower_bound,0.002203518807806719,0.16607773851590105,0.24466571834992887
rxn00914_c_lower_bound,0.00216803343445814,0.127208480565371,0.19630156472261737
rxn02929_c_lower_bound,0.0021145514755771073,0.15901060070671377,0.3314366998577525
rxn15091_c_lower_bound,0.002101443567613575,0.07420494699646643,0.18492176386913228
rxn01359_c_lower_bound,0.0019898353566545806,0.773851590106007,0.6586059743954481
rxn07760_c_lower_bound,0.0019178803837431068,0.22968197879858657,0.18349928876244664
rxn05563_c_lower_bound,0.0019164760107763623,0.26855123674911663,0.27453769559032715
rxn05291_c_lower_bound,0.0018961296118895894,0.38515901060070673,0.3485064011379801
rxn01014_c_lower_bound,0.0018066416854583065,0.872791519434629,0.9288762446657184
rxn12060_c_lower_bound,0.0017949784978736037,0.8409893992932862,0.8378378378378378
rxn30666_c_upper_bound,0.0017916609001992691,0.6148409893992933,0.65149359886202
rxn12537_c_lower_bound,0.001790870189123515,0.5017667844522968,0.5448079658605974
rxn12575_c_lower_bound,0.0017806345390489475,0.392226148409894,0.4238975817923186
rxn02928_c_lower_bound,0.0017236257065842162,0.8409893992932862,0.6742532005689901
rxn38902_c_lower_bound,0.0016658766145364813,0.04240282685512368,0.01991465149359886
rxn00916_c_lower_bound,0.001658575420559067,0.0035335689045936395,0.032716927453769556
rxn01361_c_lower_bound,0.0016346140195657038,0.13074204946996468,0.19914651493598862
rxn07757_c_lower_bound,0.0016174823619772467,0.10600706713780919,0.18634423897581792
rxn05493_c_lower_bound,0.0015896899918313222,0.024734982332155476,0.03698435277382646
rxn05554_c_lower_bound,0.00158922820213948,0.43109540636042404,0.44950213371266
rxn10960_c_lower_bound,0.0015338803580785092,0.127208480565371,0.2233285917496444
rxn10838_c_lower_bound,0.0014989881487603195,0.18021201413427562,0.13655761024182078
rxn00141_c_lower_bound,0.0014402815416465675,0.15901060070671377,0.1507823613086771
rxn08336_c_upper_bound,0.0014252215341805522,0.014134275618374558,0.02275960170697013
rxn00917_c_upper_bound,0.0013926037036696341,0.007067137809187279,0.03982930298719772
rxn07759_c_lower_bound,0.0013795831775807892,0.09540636042402827,0.09246088193456614
rxn09997_c_lower_bound,0.0013233197805585357,0.127208480565371,0.09388335704125178
rxn05488_c_lower_bound,0.0012490353770842056,0.17314487632508835,0.2034139402560455
rxn07763_c_lower_bound,0.001160277427363328,0.08480565371024736,0.1891891891891892
rxn26434_c_lower_bound,0.0011182320867599367,0.01060070671378092,0.051209103840682786
rxn02831_c_upper_bound,0.0009848760488642904,0.0,0.01422475106685633
rxn05313_c_lower_bound,0.0009280795810840026,0.06713780918727916,0.05405405405405406
rxn10155_c_lower_bound,0.0008491262411713258,0.0706713780918728,0.15362731152204837
rxn10904_c_lower_bound,0.0008284530774014964,0.024734982332155476,0.1251778093883357
rxn20627_c_lower_bound,0.0008270213070090738,0.0176678445229682,0.008534850640113799
rxn24330_c_lower_bound,0.0008206855835175787,1.0,0.9857752489331437
rxn00469_c_lower_bound,0.0008166007226670753,0.03180212014134275,0.0
rxn10967_c_lower_bound,0.0007829778002930708,0.07420494699646643,0.15789473684210525
rxn07765_c_lower_bound,0.0007600609730744095,0.06007067137809187,0.09815078236130868
rxn38903_c_upper_bound,0.0007519092511851743,0.03180212014134275,0.05263157894736842
rxn05940_c_lower_bound,0.0007364386847567165,0.05653710247349823,0.0
rxn36697_c_upper_bound,0.0006753659845880967,0.024734982332155476,0.05263157894736842
rxn00422_c_lower_bound,0.0006562418384486858,0.02120141342756184,0.06970128022759602
rxn09016_c_lower_bound,0.000629210521647457,0.9929328621908127,0.9715504978662873
rxn05152_c_upper_bound,0.0005484920463750079,0.06007067137809187,0.07965860597439545
rxn09460_c_lower_bound,0.0004983699944377726,0.0353356890459364,0.02275960170697013
rxn09566_c_lower_bound,0.00048535153296246346,0.01060070671378092,0.005689900426742532
rxn03167_c_upper_bound,0.0004685305228091402,1.0,0.9900426742532006
rxn05562_c_lower_bound,0.0004509090739478406,0.05653710247349823,0.034139402560455195
rxn09699_c_lower_bound,0.00044572810395310003,0.028268551236749116,0.031294452347083924
rxn00653_c_lower_bound,0.00043752864617875126,0.0035335689045936395,0.015647226173541962
rxn05728_c_lower_bound,0.00041320820305694385,0.0176678445229682,0.0
rxn13139_c_lower_bound,0.00036451716627143154,0.024734982332155476,0.02844950213371266
rxn10156_c_lower_bound,0.0003571290429920083,0.045936395759717315,0.10668563300142248
rxn00993_c_lower_bound,0.00035316157108393595,0.0,0.10526315789473684
rxn05217_c_lower_bound,0.0003232808810079659,0.0706713780918728,0.1166429587482219
rxn05207_c_lower_bound,0.00030183187474625293,0.053003533568904596,0.06970128022759602
rxn10151_c_lower_bound,0.00029716016142675297,0.0035335689045936395,0.017069701280227598
rxn08444_c_lower_bound,0.0002943146112301058,0.045936395759717315,0.0
rxn34080_c_lower_bound,0.0002808837259636636,0.01060070671378092,0.05405405405405406
rxn07465_c_lower_bound,0.00024514832082058623,0.014134275618374558,0.004267425320056899
rxn10906_c_lower_bound,0.0002449460324935135,0.01060070671378092,0.034139402560455195
rxn05604_c_lower_bound,0.0002431637580135624,0.028268551236749116,0.04551920341394026
rxn03168_c_upper_bound,0.00022895905507689767,0.0,0.00995732574679943
rxn05484_c_lower_bound,0.0002260653260685261,0.01060070671378092,0.07965860597439545
rxn38855_c_upper_bound,0.00021813547704418654,0.0,0.004267425320056899
rxn15947_c_lower_bound,0.00019623805680612957,0.0035335689045936395,0.007112375533428165
rxn10153_c_lower_bound,0.00019466965044103368,0.024734982332155476,0.02418207681365576
rxn01934_c_lower_bound,0.00018394674001303055,0.9787985865724381,0.9829302987197724
rxn01360_c_upper_bound,0.00013165396425636713,0.0,0.004267425320056899
rxn05676_c_lower_bound,8.23444937621696e-05,0.0176678445229682,0.02418207681365576
rxn08434_c_lower_bound,8.042065519094206e-05,0.007067137809187279,0.0
rxn08335_c_upper_bound,6.765935902311241e-05,0.01060070671378092,0.03840682788051209
rxn05210_c_lower_bound,6.749903782723123e-05,0.02120141342756184,0.005689900426742532
rxn00955_c_lower_bound,6.431795597860247e-05,0.0,0.004267425320056899
rxn04786_c_lower_bound,5.870699723681023e-05,0.01060070671378092,0.001422475106685633
rxn05605_c_lower_bound,3.908044664426008e-05,0.007067137809187279,0.011379800853485065
rxn01645_c_lower_bound,2.9228374407337804e-05,0.0035335689045936395,0.002844950213371266
rxn34086_c_lower_bound,2.5520920082083814e-05,0.0035335689045936395,0.002844950213371266
rxn00156_c_lower_bound,8.286879628161998e-06,0.0,0.001422475106685633
rxn00657_c_lower_bound,0.0,0.0,0.001422475106685633
rxn00917_c_lower_bound,0.0,0.0,0.0
rxn01649_c_lower_bound,0.0,0.0,0.001422475106685633
rxn01242_c_lower_bound,0.0,0.0,0.001422475106685633
rxn00833_c_lower_bound,0.0,0.0,0.001422475106685633
