,importance,fraction active in 0,fraction active in 1
rxn00419_c_lower_bound,0.17670094657048183,0.4810924369747899,0.0
rxn00422_c_lower_bound,0.0983988473538243,0.3130252100840336,0.0
rxn01072_c_lower_bound,0.09470910535524109,0.6491596638655462,1.0
rxn00777_c_lower_bound,0.05474521551851589,0.19957983193277312,0.0
rxn25799_c_lower_bound,0.051165008518483664,0.17016806722689076,0.0
rxn09402_c_lower_bound,0.04664432264239223,0.523109243697479,0.96
rxn12522_c_lower_bound,0.039979915313480295,0.523109243697479,0.958
rxn12585_c_lower_bound,0.03960082103849117,0.523109243697479,0.958
rxn00229_c_lower_bound,0.03497075894394762,0.45588235294117646,0.038
rxn18910_c_upper_bound,0.028070125748478395,0.8256302521008403,1.0
rxn00949_c_lower_bound,0.02560564828175676,0.4684873949579832,0.886
rxn01014_c_lower_bound,0.0233726966083263,0.29411764705882354,0.602
rxn00767_c_lower_bound,0.02204003630374544,0.01680672268907563,0.216
rxn10175_c_lower_bound,0.021622925740282753,0.07983193277310924,0.126
rxn05634_c_lower_bound,0.019268590249331675,0.4789915966386555,0.858
rxn13905_c_lower_bound,0.017435504997956618,0.12605042016806722,0.0
rxn10820_c_lower_bound,0.015597353427948196,0.12394957983193278,0.0
rxn09997_c_lower_bound,0.014556503671084006,0.11554621848739496,0.0
rxn26434_c_lower_bound,0.013568279178047574,0.037815126050420166,0.0
rxn00553_c_lower_bound,0.011469327182655463,0.5399159663865546,0.836
rxn09460_c_lower_bound,0.010311310762057466,0.4222689075630252,0.502
rxn09458_c_lower_bound,0.007758161620642491,0.37184873949579833,0.398
rxn10204_c_upper_bound,0.007655794574247996,0.3550420168067227,0.374
rxn33675_c_upper_bound,0.006782448973171933,0.29411764705882354,0.498
rxn10878_c_lower_bound,0.005869809972147463,0.07142857142857142,0.0
rxn02760_c_lower_bound,0.005776045607964722,0.34663865546218486,0.534
rxn00958_c_lower_bound,0.005271994163174924,0.14285714285714285,0.016
rxn38867_c_lower_bound,0.004656961962753305,0.31512605042016806,0.264
rxn01099_c_lower_bound,0.004645936763452405,0.008403361344537815,0.05
rxn00521_c_lower_bound,0.004368200866062236,0.23319327731092437,0.242
rxn38907_c_lower_bound,0.0042043378037807735,0.6218487394957983,0.544
rxn00957_c_lower_bound,0.004178062539927064,0.16806722689075632,0.044
