,importance,fraction active in 0,fraction active in 1
rxn09016_c_lower_bound,0.2531356328990388,0.27342549923195086,1.0
rxn01418_c_lower_bound,0.07914715951839568,0.45468509984639016,1.0
rxn01644_c_upper_bound,0.07017050225418649,0.5514592933947773,0.030395136778115502
rxn24330_c_lower_bound,0.04207017952857055,0.6251920122887865,0.9544072948328267
rxn00917_c_upper_bound,0.04202267268314831,0.4055299539170507,0.0911854103343465
rxn02831_c_upper_bound,0.04053474244974126,0.37480798771121354,0.04559270516717325
rxn00916_c_lower_bound,0.03485895795204327,0.261136712749616,0.0182370820668693
rxn07429_c_lower_bound,0.033665905333603974,0.2672811059907834,0.6534954407294833
rxn00993_c_lower_bound,0.030068732124495564,0.6021505376344086,0.9574468085106383
rxn09637_c_lower_bound,0.029655678978848916,0.2411674347158218,0.574468085106383
rxn02928_c_lower_bound,0.027694962999721823,0.3425499231950845,0.015197568389057751
rxn09638_c_lower_bound,0.019437784786532474,0.21505376344086022,0.425531914893617
rxn02929_c_lower_bound,0.013293985239766987,0.21044546850998463,0.015197568389057751
rxn01611_c_lower_bound,0.007620102888758966,0.24423963133640553,0.425531914893617
rxn00317_c_lower_bound,0.006574478167979519,0.11059907834101383,0.1884498480243161
rxn14000_c_lower_bound,0.005658153266169161,0.07680491551459294,0.1519756838905775
rxn00489_c_lower_bound,0.005524559205176839,0.15360983102918588,0.25835866261398177
rxn00926_c_upper_bound,0.005456212461243084,0.029185867895545316,0.0
rxn38906_c_lower_bound,0.004275134217907505,0.45622119815668205,0.5319148936170213
rxn20495_c_lower_bound,0.004265527019687485,0.0629800307219662,0.0425531914893617
rxn00530_c_lower_bound,0.004139850941571235,0.12903225806451613,0.23708206686930092
rxn38867_c_lower_bound,0.004036408074866164,0.49615975422427033,0.46504559270516715
rxn10960_c_lower_bound,0.003949901765516,0.043010752688172046,0.11854103343465046
rxn38868_c_upper_bound,0.003930504281022145,0.5069124423963134,0.49544072948328266
rxn13139_c_lower_bound,0.0039025120932076416,0.02457757296466974,0.05167173252279635
rxn15947_c_lower_bound,0.00386735248105237,0.44393241167434716,0.44072948328267475
rxn00156_c_lower_bound,0.003858751932087535,0.0706605222734255,0.16717325227963525
