,importance,fraction active in 0,fraction active in 1
rxn00958_c_lower_bound,0.3083384379453838,0.0,0.5833333333333334
rxn00957_c_lower_bound,0.14650313609202986,0.0,0.29444444444444445
rxn00521_c_lower_bound,0.10410789570684253,0.0,0.2740740740740741
rxn00993_c_lower_bound,0.06804857221713653,0.30368098159509205,0.0
rxn00033_c_lower_bound,0.027536037225444145,0.0,0.14074074074074075
rxn01990_c_lower_bound,0.020240263111133486,0.03680981595092025,0.1814814814814815
rxn01418_c_lower_bound,0.01836798790264802,0.20245398773006135,0.016666666666666666
rxn01644_c_upper_bound,0.01197544954664649,0.8374233128834356,0.9851851851851852
rxn31356_c_lower_bound,0.011587529498471374,0.009202453987730062,0.08333333333333333
rxn03886_c_lower_bound,0.011417937066456623,0.012269938650306749,0.10740740740740741
rxn09638_c_lower_bound,0.009309068345190252,0.15337423312883436,0.016666666666666666
rxn12424_c_lower_bound,0.008795704714384633,0.015337423312883436,0.08518518518518518
rxn01934_c_lower_bound,0.008795376421522533,1.0,0.9185185185185185
rxn02928_c_lower_bound,0.008491140430318287,0.656441717791411,0.8462962962962963
rxn05299_c_lower_bound,0.008447658218225082,0.0,0.05740740740740741
rxn05557_c_upper_bound,0.008393167601567839,0.012269938650306749,0.09074074074074075
rxn21635_c_upper_bound,0.006787298328049587,0.6012269938650306,0.5370370370370371
rxn01611_c_lower_bound,0.006538917907820937,0.0,0.07592592592592592
rxn07429_c_lower_bound,0.006383078208265936,0.10429447852760736,0.0
rxn03250_c_lower_bound,0.006333057046877923,0.08588957055214724,0.14444444444444443
rxn13905_c_lower_bound,0.006219997456017555,0.6503067484662577,0.6129629629629629
rxn10053_c_lower_bound,0.005661884774674321,0.7177914110429447,0.6555555555555556
rxn38906_c_lower_bound,0.005570705515336561,0.34355828220858897,0.32222222222222224
rxn34028_c_upper_bound,0.005535870357416654,0.32515337423312884,0.32592592592592595
rxn09462_c_lower_bound,0.005503682899498711,0.6533742331288344,0.7777777777777778
rxn00603_c_lower_bound,0.0054969982177983994,0.009202453987730062,0.06666666666666667
rxn38907_c_lower_bound,0.005416507011005381,0.3098159509202454,0.3148148148148148
rxn23024_c_upper_bound,0.0053880141570079474,0.2361963190184049,0.2462962962962963
rxn33986_c_upper_bound,0.0052708695462597805,0.35276073619631904,0.37037037037037035
rxn08131_c_lower_bound,0.005117516605314074,0.50920245398773,0.6074074074074074
rxn01359_c_lower_bound,0.005085209345458589,0.2668711656441718,0.3574074074074074
rxn36697_c_upper_bound,0.005063537911380006,0.15950920245398773,0.08333333333333333
rxn09997_c_lower_bound,0.005061849267315479,0.49079754601226994,0.3925925925925926
rxn09421_c_lower_bound,0.004756022927175439,0.1441717791411043,0.18333333333333332
rxn01114_c_lower_bound,0.00468441969147614,0.13496932515337423,0.13703703703703704
rxn05634_c_lower_bound,0.004608161051560487,0.0,0.03888888888888889
rxn02831_c_upper_bound,0.0044066791126957236,0.2852760736196319,0.2611111111111111
rxn11945_c_lower_bound,0.004349974627148506,0.11042944785276074,0.05740740740740741
rxn24330_c_lower_bound,0.004198236235598614,0.7147239263803681,0.7388888888888889
rxn05229_c_upper_bound,0.0039927881432325505,0.7423312883435583,0.8185185185185185
rxn12585_c_lower_bound,0.003849137777949618,0.03680981595092025,0.05925925925925926
rxn01360_c_upper_bound,0.0036096350638455087,0.1441717791411043,0.12037037037037036
rxn05316_c_lower_bound,0.0033891006761714304,0.0736196319018405,0.06111111111111111
rxn05744_c_lower_bound,0.0033312085848214252,0.19325153374233128,0.1037037037037037
rxn12522_c_lower_bound,0.003196271049781859,0.024539877300613498,0.05555555555555555
rxn05164_c_upper_bound,0.003077285973815274,0.012269938650306749,0.044444444444444446
