,importance,fraction active in 0,fraction active in 1
rxn01644_c_upper_bound,0.2217789156564794,1.0,0.011804384485666104
rxn01418_c_lower_bound,0.20483286985850316,0.0024752475247524753,1.0
rxn00993_c_lower_bound,0.11572435446458325,0.24752475247524752,1.0
rxn02928_c_lower_bound,0.07128619556715489,0.594059405940594,0.00505902192242833
rxn07429_c_lower_bound,0.06390837690371239,0.0024752475247524753,0.6087689713322091
rxn09637_c_lower_bound,0.05955236536388594,0.0,0.5564924114671164
rxn00489_c_lower_bound,0.058560272436356295,0.019801980198019802,0.6374367622259697
rxn09638_c_lower_bound,0.04485137517436501,0.0024752475247524753,0.44350758853288363
rxn02929_c_lower_bound,0.03700455691118424,0.41089108910891087,0.006745362563237774
rxn00317_c_lower_bound,0.01590888540856518,0.0024752475247524753,0.22596964586846544
rxn08131_c_lower_bound,0.009169066418834205,0.9925742574257426,0.7875210792580101
rxn00315_c_lower_bound,0.007709619873012808,0.0,0.12141652613827993
rxn14000_c_lower_bound,0.006171790096319316,0.0,0.11804384485666104
rxn01256_c_upper_bound,0.005109278055272369,1.0,0.8465430016863407
rxn00958_c_lower_bound,0.004832037824253722,0.41089108910891087,0.1973018549747049
rxn00521_c_lower_bound,0.004031413989509761,0.849009900990099,0.7065767284991569
rxn00957_c_lower_bound,0.0039799141646019885,0.4034653465346535,0.21247892074198987
rxn13943_c_lower_bound,0.003777317100710293,0.1707920792079208,0.03541315345699832
rxn00586_c_lower_bound,0.0033691790344654742,0.0024752475247524753,0.10286677908937605
rxn31356_c_lower_bound,0.0028304858505784195,0.18316831683168316,0.05733558178752108
rxn05531_c_lower_bound,0.00227493779379999,0.19306930693069307,0.06408094435075885
rxn02186_c_lower_bound,0.0021933692067471118,1.0,0.9089376053962901
rxn00899_c_lower_bound,0.001896358850794474,0.0,0.0893760539629005
rxn13905_c_lower_bound,0.0016783487749801394,0.1608910891089109,0.16020236087689713
rxn00128_c_lower_bound,0.0015976149280633415,0.0,0.0657672849915683
rxn12424_c_lower_bound,0.0013791837627107812,0.15346534653465346,0.05227655986509275
rxn02250_c_lower_bound,0.0013623542565051685,0.0,0.06239460370994941
rxn00155_c_lower_bound,0.0013483510664090285,0.22277227722772278,0.3625632377740304
rxn10878_c_lower_bound,0.0012130475975210301,0.039603960396039604,0.1433389544688027
rxn01990_c_lower_bound,0.0011534377507416399,0.30198019801980197,0.39291736930860033
rxn09462_c_lower_bound,0.0011041233381235615,0.8044554455445545,0.730185497470489
rxn00594_c_lower_bound,0.0010253531590856588,0.0,0.05902192242833052
rxn00156_c_lower_bound,0.0010226285755410125,0.04455445544554455,0.13490725126475547
rxn03374_c_lower_bound,0.0009918075343697667,0.0,0.05733558178752108
rxn01934_c_lower_bound,0.0009854540455982938,0.9801980198019802,0.9089376053962901
rxn38907_c_lower_bound,0.0009492428418570438,0.49257425742574257,0.3844856661045531
rxn05744_c_lower_bound,0.0008956060817056184,0.16584158415841585,0.11804384485666104
rxn04675_c_lower_bound,0.0008461896727262699,1.0,0.9578414839797639
rxn33907_c_upper_bound,0.0008352167446744028,0.0,0.047217537942664416
rxn01924_c_upper_bound,0.0006871083248190621,0.0,0.07082630691399663
rxn36697_c_upper_bound,0.0006803142627189709,0.20544554455445543,0.11129848229342328
rxn10967_c_lower_bound,0.0006603130520454361,0.039603960396039604,0.09106239460370995
rxn30674_c_lower_bound,0.000649305216739088,0.024752475247524754,0.0657672849915683
rxn38906_c_lower_bound,0.0006452036169894962,0.4628712871287129,0.5649241146711635
rxn10838_c_lower_bound,0.0005891603045948622,0.3564356435643564,0.30185497470489037
rxn00595_c_lower_bound,0.0005888304729065258,0.0024752475247524753,0.04384485666104553
rxn09402_c_lower_bound,0.0005836652879644501,0.13861386138613863,0.14165261382799327
rxn08335_c_upper_bound,0.000581208735180597,0.15346534653465346,0.08600337268128162
rxn00198_c_lower_bound,0.0005791632477834397,0.08168316831683169,0.16863406408094436
rxn01989_c_upper_bound,0.0005517684429660218,0.06435643564356436,0.11298482293423272
rxn19126_c_lower_bound,0.0005517225648816649,0.07178217821782178,0.021922428330522766
rxn05694_c_lower_bound,0.0005490047508989156,0.05198019801980198,0.11129848229342328
rxn10626_c_lower_bound,0.0005177759573787037,0.0,0.04215851602023609
rxn10156_c_lower_bound,0.0005131597846369443,0.04207920792079208,0.07588532883642496
rxn09421_c_lower_bound,0.0005058508219425058,0.25742574257425743,0.22259696458684655
rxn01359_c_lower_bound,0.0005025354000203516,0.09900990099009901,0.17706576728499157
rxn10960_c_lower_bound,0.000462766572912248,0.039603960396039604,0.06745362563237774
rxn12441_c_lower_bound,0.0004543824726686659,0.06188118811881188,0.09274873524451939
rxn34028_c_upper_bound,0.0004059023386659122,0.3118811881188119,0.3524451939291737
rxn16285_c_lower_bound,0.0004055660915083565,0.06188118811881188,0.11467116357504216
rxn02270_c_upper_bound,0.00039927583583511774,0.0,0.03709949409780776
rxn00157_c_lower_bound,0.00039765864580876736,0.0,0.03709949409780776
rxn10053_c_lower_bound,0.000397470807016079,0.5445544554455446,0.5059021922428331
rxn15947_c_lower_bound,0.00039673804508322843,0.42326732673267325,0.33220910623946037
rxn13085_c_lower_bound,0.00039034615157736656,0.5767326732673267,0.6037099494097807
rxn05565_c_lower_bound,0.0003760138668185581,0.10643564356435643,0.08600337268128162
rxn00125_c_lower_bound,0.0003752593720796572,0.5767326732673267,0.5379426644182125
rxn00186_c_upper_bound,0.00036942918264947237,0.05198019801980198,0.10286677908937605
rxn05604_c_lower_bound,0.0003663727976023238,0.03712871287128713,0.06745362563237774
rxn10155_c_lower_bound,0.0003649648033558248,0.07920792079207921,0.04047217537942664
rxn11132_c_lower_bound,0.0003647263339050843,0.03217821782178218,0.03372681281618887
rxn00688_c_lower_bound,0.00036105214464699707,0.07178217821782178,0.15008431703204048
rxn05564_c_lower_bound,0.00035111394525362956,0.054455445544554455,0.07251264755480608
rxn05229_c_upper_bound,0.0003454747280532895,0.6039603960396039,0.6239460370994941
rxn00229_c_lower_bound,0.0003336107934566202,0.0024752475247524753,0.00505902192242833
rxn00777_c_lower_bound,0.00033269260592679744,0.06188118811881188,0.08431703204047218
rxn00204_c_lower_bound,0.0003174171970107347,0.09405940594059406,0.12310286677908938
rxn12442_c_lower_bound,0.0003159253679139801,0.054455445544554455,0.10792580101180438
rxn05559_c_lower_bound,0.0003041587027423458,0.0297029702970297,0.003372681281618887
rxn05562_c_lower_bound,0.00029670005979917836,0.29207920792079206,0.2866779089376054
rxn00926_c_upper_bound,0.0002876814775355821,0.0297029702970297,0.00505902192242833
rxn10904_c_lower_bound,0.00028763246048089377,0.0297029702970297,0.08094435075885328
rxn12522_c_lower_bound,0.00028276534023719094,0.12871287128712872,0.12141652613827993
rxn38867_c_lower_bound,0.0002824077407199693,0.09653465346534654,0.05902192242833052
rxn00499_c_lower_bound,0.00028167032906668073,0.08663366336633663,0.07925801011804384
rxn38863_c_upper_bound,0.0002802876384424105,0.0,0.03035413153456998
rxn01114_c_lower_bound,0.00027891306984843757,0.03217821782178218,0.01854974704890388
rxn01361_c_lower_bound,0.0002759749916660004,0.09900990099009901,0.10286677908937605
rxn05488_c_lower_bound,0.00027422748234110677,0.05198019801980198,0.10118043844856661
rxn05673_c_lower_bound,0.0002594409473547766,0.12376237623762376,0.12478920741989882
rxn18910_c_upper_bound,0.00025315276421906333,0.1806930693069307,0.19898819561551434
rxn10923_c_lower_bound,0.0002530479839920858,0.03217821782178218,0.05902192242833052
rxn38902_c_lower_bound,0.00024543842891574917,0.07178217821782178,0.07251264755480608
rxn05554_c_lower_bound,0.00024343243749483143,0.07920792079207921,0.07251264755480608
rxn01242_c_lower_bound,0.0002417389450481396,0.04207920792079208,0.04215851602023609
rxn20495_c_lower_bound,0.00024161067955059812,0.0049504950495049506,0.03372681281618887
rxn05152_c_upper_bound,0.0002384539604777102,0.04702970297029703,0.03372681281618887
rxn38868_c_upper_bound,0.0002300396234856125,0.10396039603960396,0.06408094435075885
rxn01360_c_upper_bound,0.00022882103445187788,0.05693069306930693,0.07588532883642496
rxn00211_c_lower_bound,0.00022775727036421066,0.054455445544554455,0.05902192242833052
rxn05676_c_lower_bound,0.00022320271906557378,0.05693069306930693,0.09106239460370995
rxn28948_c_lower_bound,0.00021981340312462045,0.0,0.013490725126475547
rxn00734_c_lower_bound,0.00021867283958376766,0.06930693069306931,0.08768971332209106
rxn00160_c_upper_bound,0.00021682864912618148,0.06435643564356436,0.09106239460370995
rxn05217_c_lower_bound,0.00021082007179244362,0.039603960396039604,0.05227655986509275
rxn08793_c_upper_bound,0.000207037670457929,0.024752475247524754,0.03035413153456998
rxn08792_c_upper_bound,0.0001945601023770958,0.019801980198019802,0.02866779089376054
rxn05634_c_lower_bound,0.00019374713440760722,0.06188118811881188,0.07082630691399663
rxn09016_c_lower_bound,0.0001930825264236844,0.9381188118811881,0.96964586846543
rxn05207_c_lower_bound,0.00019194549110860962,0.01485148514851485,0.02023608768971332
rxn01054_c_lower_bound,0.00019111126646118314,0.007425742574257425,0.013490725126475547
rxn05563_c_lower_bound,0.0001830098228875216,0.18811881188118812,0.1821247892074199
rxn38903_c_upper_bound,0.00018299339718978,0.0891089108910891,0.07588532883642496
rxn10860_c_lower_bound,0.0001822729865731902,0.019801980198019802,0.0016863406408094434
rxn09699_c_lower_bound,0.00018174150763300542,0.0024752475247524753,0.008431703204047217
rxn00453_c_lower_bound,0.00016682996063563347,0.024752475247524754,0.03372681281618887
rxn13794_c_lower_bound,0.00016464718834921277,0.0024752475247524753,0.01854974704890388
rxn05144_c_upper_bound,0.00015827729423107496,0.9900990099009901,1.0
rxn00852_c_lower_bound,0.00015592014856898262,0.0,0.01854974704890388
rxn12587_c_lower_bound,0.0001497849306474004,0.019801980198019802,0.00505902192242833
rxn01401_c_lower_bound,0.00014503474682052737,0.0,0.03204047217537943
rxn08336_c_upper_bound,0.0001414587611724515,0.09653465346534654,0.10286677908937605
rxn05572_c_lower_bound,0.00014022403053719524,0.05198019801980198,0.06408094435075885
rxn02749_c_lower_bound,0.00013621319546325554,0.0,0.023608768971332208
rxn13906_c_lower_bound,0.00013307720517081892,0.0,0.02866779089376054
rxn00916_c_lower_bound,0.00011660172794769207,0.012376237623762377,0.0016863406408094434
rxn00168_c_lower_bound,0.00011590995119124154,0.0049504950495049506,0.01854974704890388
rxn05484_c_lower_bound,0.00011539053801900442,0.05693069306930693,0.0657672849915683
rxn05493_c_lower_bound,0.00011507184530236444,0.0891089108910891,0.05902192242833052
rxn00949_c_lower_bound,0.00011279808994126147,0.04455445544554455,0.06745362563237774
rxn24940_c_lower_bound,0.00010082411307037232,0.01485148514851485,0.016863406408094434
rxn03250_c_lower_bound,9.939909646374319e-05,0.009900990099009901,0.03035413153456998
rxn04794_c_lower_bound,9.423792619688947e-05,0.0024752475247524753,0.016863406408094434
rxn35374_c_upper_bound,9.397419000077342e-05,0.0,0.03372681281618887
rxn01207_c_lower_bound,9.257450924354041e-05,0.9925742574257426,1.0
rxn38855_c_upper_bound,9.145419058578486e-05,0.017326732673267328,0.003372681281618887
rxn02267_c_lower_bound,8.557150846126338e-05,0.0,0.03035413153456998
rxn04783_c_upper_bound,8.43493597554471e-05,0.0,0.02866779089376054
rxn00467_c_lower_bound,8.260031285831273e-05,0.019801980198019802,0.02866779089376054
rxn14246_c_lower_bound,6.828203870759669e-05,0.009900990099009901,0.006745362563237774
rxn00018_c_lower_bound,6.613235811767032e-05,0.022277227722772276,0.01517706576728499
rxn11326_c_lower_bound,5.947984106839725e-05,0.007425742574257425,0.016863406408094434
rxn00103_c_lower_bound,5.880373435185966e-05,0.0024752475247524753,0.0
rxn11735_c_lower_bound,5.143497293224913e-05,0.019801980198019802,0.021922428330522766
rxn00194_c_upper_bound,4.935187538213056e-05,0.0,0.011804384485666104
rxn00914_c_lower_bound,4.459434610766176e-05,0.017326732673267328,0.016863406408094434
rxn10153_c_lower_bound,4.329352187365549e-05,0.0049504950495049506,0.00505902192242833
rxn00917_c_upper_bound,4.0821441897209235e-05,0.03217821782178218,0.01517706576728499
rxn10906_c_lower_bound,4.0278468794440844e-05,0.009900990099009901,0.01517706576728499
rxn34086_c_lower_bound,3.708232655205321e-05,0.007425742574257425,0.0016863406408094434
rxn00542_c_lower_bound,3.598148515063469e-05,0.024752475247524754,0.006745362563237774
rxn00877_c_lower_bound,3.4701054198209524e-05,0.0,0.02023608768971332
rxn00203_c_upper_bound,3.2598836388754535e-05,0.0,0.006745362563237774
rxn33986_c_upper_bound,2.757977694301142e-05,0.027227722772277228,0.03709949409780776
rxn16140_c_lower_bound,2.606020010485873e-05,0.0,0.01517706576728499
rxn09682_c_lower_bound,2.5694185178744295e-05,0.012376237623762377,0.003372681281618887
rxn13853_c_lower_bound,2.508136191347263e-05,0.017326732673267328,0.008431703204047217
rxn00833_c_lower_bound,2.4027100715405947e-05,0.0049504950495049506,0.01517706576728499
rxn13139_c_lower_bound,2.3842274346297087e-05,0.0049504950495049506,0.008431703204047217
rxn14077_c_lower_bound,2.1881418363054604e-05,0.0,0.01011804384485666
rxn02346_c_lower_bound,2.0029167850705063e-05,0.0,0.00505902192242833
rxn00401_c_lower_bound,1.9557331862499994e-05,0.0,0.0016863406408094434
rxn05605_c_lower_bound,1.7283907264935807e-05,0.0049504950495049506,0.01011804384485666
rxn11040_c_lower_bound,1.6342966199134762e-05,0.0049504950495049506,0.011804384485666104
rxn00373_c_lower_bound,1.1890982079212418e-05,0.0,0.0016863406408094434
rxn00429_c_lower_bound,1.0458809615165061e-05,0.0,0.01517706576728499
rxn10836_c_lower_bound,9.639596732256252e-06,0.007425742574257425,0.016863406408094434
rxn12777_c_lower_bound,7.787517505732098e-06,0.0,0.003372681281618887
rxn01350_c_lower_bound,4.1855583543240965e-06,0.0,0.008431703204047217
rxn00562_c_lower_bound,3.1121724337063567e-06,0.0,0.006745362563237774
rxn30076_c_upper_bound,1.385033854839561e-06,0.0024752475247524753,0.0016863406408094434
rxn00015_c_lower_bound,1.1770977596587305e-06,0.0,0.0016863406408094434
rxn00856_c_lower_bound,4.600701487767819e-07,0.0,0.00505902192242833
rxn29986_c_upper_bound,1.2291365272747525e-07,0.007425742574257425,0.0016863406408094434
rxn10151_c_lower_bound,0.0,0.0024752475247524753,0.006745362563237774
rxn01560_c_lower_bound,0.0,0.0,0.0016863406408094434
rxn01328_c_lower_bound,0.0,0.0024752475247524753,0.003372681281618887
rxn00160_c_lower_bound,0.0,0.0,0.0
rxn10136_c_lower_bound,0.0,0.0049504950495049506,0.0
rxn10115_c_lower_bound,0.0,0.0024752475247524753,0.0
rxn09997_c_lower_bound,0.0,0.9975247524752475,1.0
rxn00690_c_lower_bound,0.0,0.0,0.0016863406408094434
rxn00857_c_lower_bound,0.0,0.0,0.0016863406408094434
rxn05571_c_lower_bound,0.0,0.009900990099009901,0.00505902192242833
rxn13933_c_lower_bound,0.0,0.0049504950495049506,0.0
rxn10589_c_lower_bound,0.0,0.0,0.0016863406408094434
