,importance,fraction active in 0,fraction active in 1
rxn00958_c_lower_bound,0.14972664803515007,0.5130315500685871,0.0
rxn00957_c_lower_bound,0.13121122266813137,0.4609053497942387,0.0
rxn01934_c_lower_bound,0.1035279327706448,0.5665294924554184,1.0
rxn08131_c_lower_bound,0.09803365213656363,0.9972565157750343,0.6118143459915611
rxn00521_c_lower_bound,0.0625000334247635,0.41975308641975306,0.0
rxn00993_c_lower_bound,0.062051231381863615,0.45816186556927296,0.7552742616033755
rxn01990_c_lower_bound,0.026709306171920636,0.25925925925925924,0.0
rxn05938_c_lower_bound,0.020068396053834366,0.06035665294924554,0.2616033755274262
rxn00917_c_upper_bound,0.016787599374504993,0.25925925925925924,0.5443037974683544
rxn00916_c_lower_bound,0.012686037337203445,0.7119341563786008,0.459915611814346
rxn01611_c_lower_bound,0.011111412072301685,0.14814814814814814,0.0
rxn31356_c_lower_bound,0.010221027960441996,0.13305898491083676,0.0
rxn01005_c_lower_bound,0.00977063513608002,0.1083676268861454,0.0
rxn38902_c_lower_bound,0.009287080084452922,0.40877914951989025,0.24050632911392406
rxn00530_c_lower_bound,0.009040212153631995,0.1440329218106996,0.0
rxn05557_c_upper_bound,0.008919845089452275,0.1262002743484225,0.0
rxn12571_c_lower_bound,0.008555788917271365,0.1056241426611797,0.1308016877637131
rxn18396_c_upper_bound,0.007736793400434162,0.11522633744855967,0.0
rxn10878_c_lower_bound,0.007250155021464889,0.0877914951989026,0.21518987341772153
rxn01640_c_lower_bound,0.007033652410840482,0.12208504801097393,0.0
rxn00155_c_lower_bound,0.006744304743344796,0.3813443072702332,0.3080168776371308
rxn12424_c_lower_bound,0.006464447777480033,0.10425240054869685,0.0
rxn15132_c_upper_bound,0.005189343868501408,0.1083676268861454,0.0
rxn00033_c_lower_bound,0.005184042597341137,0.12482853223593965,0.0
rxn05634_c_lower_bound,0.005087508334995818,0.10013717421124829,0.0
rxn13943_c_lower_bound,0.00499776220141773,0.09876543209876543,0.0
rxn10960_c_lower_bound,0.004791765338244303,0.09876543209876543,0.0
rxn00688_c_lower_bound,0.004665066449842667,0.07681755829903979,0.16455696202531644
rxn05565_c_lower_bound,0.004198117654735663,0.1111111111111111,0.0
rxn01306_c_lower_bound,0.004149147427880049,0.09876543209876543,0.11392405063291139
rxn12442_c_lower_bound,0.003823038747763831,0.08641975308641975,0.0
rxn16140_c_lower_bound,0.00378066665332193,0.09053497942386832,0.0
rxn25273_c_upper_bound,0.0036926114406441385,0.12208504801097393,0.20253164556962025
rxn33937_c_upper_bound,0.003643440298866159,0.3278463648834019,0.35864978902953587
rxn00156_c_lower_bound,0.0033962544831356743,0.16049382716049382,0.23628691983122363
rxn01363_c_lower_bound,0.003313948926096197,0.02606310013717421,0.03375527426160337
rxn09462_c_lower_bound,0.003313824158000311,0.50480109739369,0.569620253164557
rxn00168_c_lower_bound,0.0033088369288118867,0.009602194787379973,0.046413502109704644
rxn10626_c_lower_bound,0.0032713618847933054,0.31824417009602196,0.1729957805907173
rxn00499_c_lower_bound,0.0032499468815450528,0.06995884773662552,0.0
rxn09421_c_lower_bound,0.003244927910182442,0.438957475994513,0.33755274261603374
