,importance,fraction active in 0,fraction active in 1
rxn01640_c_lower_bound,0.2234055672363101,0.5635593220338984,0.0
rxn00688_c_lower_bound,0.21456541514215194,0.4152542372881356,0.0
rxn05299_c_lower_bound,0.12772518675493283,0.3559322033898305,0.0
rxn05164_c_upper_bound,0.08019043941781659,0.211864406779661,0.0
rxn10932_c_lower_bound,0.036604478041400816,0.11864406779661017,0.0
rxn04783_c_upper_bound,0.011959067521880385,0.0423728813559322,0.0
rxn00690_c_lower_bound,0.00625811360427098,0.025423728813559324,0.0013245033112582781
rxn07429_c_lower_bound,0.006237608802481013,0.538135593220339,0.6105960264900663
rxn00521_c_lower_bound,0.00553596473420046,0.3855932203389831,0.33112582781456956
rxn34028_c_upper_bound,0.0052600660693907396,0.5338983050847458,0.47549668874172185
rxn05229_c_upper_bound,0.005252153009100346,0.4872881355932203,0.49403973509933774
rxn00315_c_lower_bound,0.004939929547356087,0.2838983050847458,0.21986754966887417
rxn08131_c_lower_bound,0.004868461925392408,0.9322033898305084,0.9735099337748344
rxn00155_c_lower_bound,0.004806009236039896,0.288135593220339,0.38145695364238413
rxn00957_c_lower_bound,0.004383759320783658,0.3898305084745763,0.4
rxn00993_c_lower_bound,0.004315575302181415,0.4745762711864407,0.45165562913907287
rxn00958_c_lower_bound,0.0041941081826420866,0.4449152542372881,0.4503311258278146
rxn05563_c_lower_bound,0.004189159200768768,0.7161016949152542,0.7337748344370861
rxn05313_c_lower_bound,0.004103303638723961,0.1694915254237288,0.10198675496688742
rxn01207_c_lower_bound,0.0040962331253044095,0.15254237288135594,0.13642384105960265
rxn36697_c_upper_bound,0.003989762044617291,0.11016949152542373,0.17880794701986755
rxn00204_c_lower_bound,0.003879761654903185,0.06779661016949153,0.04768211920529802
rxn00317_c_lower_bound,0.003722817798554453,0.2076271186440678,0.20397350993377483
rxn01934_c_lower_bound,0.0037118323454680205,0.6398305084745762,0.6278145695364239
rxn24330_c_lower_bound,0.0036599087544886355,0.2542372881355932,0.21589403973509932
rxn05562_c_lower_bound,0.003634683529859092,0.19915254237288135,0.18543046357615894
rxn09637_c_lower_bound,0.0033771240984076163,0.18220338983050846,0.17086092715231788
rxn02831_c_upper_bound,0.00331647024306524,0.7457627118644068,0.7841059602649006
rxn09638_c_lower_bound,0.0032899965437450662,0.8177966101694916,0.8251655629139073
rxn05217_c_lower_bound,0.0032383988297262846,0.11864406779661017,0.06887417218543046
rxn00156_c_lower_bound,0.003230088031747287,0.13135593220338984,0.09536423841059603
rxn05488_c_lower_bound,0.0032240361026727136,0.1059322033898305,0.06887417218543046
rxn10999_c_lower_bound,0.0032211832501271233,0.11864406779661017,0.08609271523178808
rxn00508_c_upper_bound,0.003214919415489113,0.046610169491525424,0.02384105960264901
rxn05938_c_lower_bound,0.0032108050419385635,0.1228813559322034,0.13245033112582782
rxn05496_c_lower_bound,0.003150654738844775,0.05508474576271186,0.026490066225165563
rxn01361_c_lower_bound,0.003088887160025681,0.1016949152542373,0.08344370860927153
rxn29779_c_upper_bound,0.003003934336314383,0.03389830508474576,0.009271523178807948
rxn05557_c_upper_bound,0.0029778028538465988,0.17796610169491525,0.14172185430463577
rxn31356_c_lower_bound,0.002902476498007601,0.13135593220338984,0.10860927152317881
rxn00198_c_lower_bound,0.0028469665041318667,0.1228813559322034,0.1390728476821192
rxn10170_c_lower_bound,0.0028147270711530886,0.1016949152542373,0.07152317880794702
rxn15132_c_upper_bound,0.0027971101397189307,0.2033898305084746,0.1576158940397351
rxn09682_c_lower_bound,0.0027851531993234903,0.025423728813559324,0.0026490066225165563
rxn10053_c_lower_bound,0.002774846479911102,0.8940677966101694,0.8927152317880794
rxn10626_c_lower_bound,0.002734907878267942,0.1906779661016949,0.19602649006622516
rxn08793_c_upper_bound,0.0027218715758480128,0.0423728813559322,0.017218543046357615
rxn14000_c_lower_bound,0.002710110366776133,0.1271186440677966,0.1337748344370861
rxn05565_c_lower_bound,0.0026987740997009785,0.1271186440677966,0.08079470198675497
rxn05564_c_lower_bound,0.0026732887954955126,0.0847457627118644,0.07019867549668875
rxn05634_c_lower_bound,0.0025958334711396434,0.13983050847457626,0.10463576158940398
rxn01990_c_lower_bound,0.0024736635505298696,0.17796610169491525,0.16026490066225166
rxn01360_c_upper_bound,0.0024380995725462877,0.1059322033898305,0.1205298013245033
rxn10836_c_lower_bound,0.0024130134646048783,0.08050847457627118,0.04900662251655629
rxn08335_c_upper_bound,0.00240172200784508,0.06779661016949153,0.04370860927152318
rxn28948_c_lower_bound,0.00239089722605244,0.1228813559322034,0.08344370860927153
rxn04675_c_lower_bound,0.0023574938969440403,0.8983050847457628,0.904635761589404
rxn01359_c_lower_bound,0.002353214416526102,0.07627118644067797,0.07417218543046358
rxn12424_c_lower_bound,0.0023195300340193453,0.15254237288135594,0.12980132450331125
rxn18456_c_upper_bound,0.0022998538415332447,0.13135593220338984,0.10728476821192053
rxn05572_c_lower_bound,0.0022929543861746815,0.08898305084745763,0.12185430463576159
rxn00186_c_upper_bound,0.0022898173377928124,0.1440677966101695,0.11125827814569536
rxn05554_c_lower_bound,0.0022657908859233036,0.038135593220338986,0.015894039735099338
rxn00499_c_lower_bound,0.0022507161916530296,0.09745762711864407,0.10860927152317881
rxn03886_c_lower_bound,0.0022306148856418018,0.08898305084745763,0.10860927152317881
rxn05694_c_lower_bound,0.0022234720869031403,0.1483050847457627,0.11390728476821192
rxn18910_c_upper_bound,0.002196449178267116,0.1228813559322034,0.09801324503311258
rxn29070_c_lower_bound,0.0021915386836709435,0.03389830508474576,0.013245033112582781
rxn16140_c_lower_bound,0.0021725244830732215,0.06779661016949153,0.11788079470198676
rxn00103_c_lower_bound,0.0021696402873973945,0.09322033898305085,0.052980132450331126
rxn01005_c_lower_bound,0.002149549749057399,0.09745762711864407,0.13642384105960265
rxn00553_c_lower_bound,0.00213151441001151,0.11864406779661017,0.12450331125827814
rxn18396_c_upper_bound,0.0020693187358948937,0.11440677966101695,0.14172185430463577
rxn10155_c_lower_bound,0.0020568992453734564,0.038135593220338986,0.018543046357615896
rxn10906_c_lower_bound,0.002056156063073925,0.03389830508474576,0.017218543046357615
rxn00603_c_lower_bound,0.002045833275852894,0.1016949152542373,0.07682119205298013
rxn16285_c_lower_bound,0.002044190212802624,0.025423728813559324,0.009271523178807948
rxn10923_c_lower_bound,0.0020162897132089564,0.11864406779661017,0.09801324503311258
rxn10883_c_lower_bound,0.002010856852309692,0.06779661016949153,0.0423841059602649
rxn13943_c_lower_bound,0.001996503082390645,0.11016949152542373,0.10728476821192053
rxn00004_c_lower_bound,0.001961120898207141,0.0847457627118644,0.14304635761589404
rxn10921_c_lower_bound,0.0019415599758059003,0.059322033898305086,0.06490066225165562
rxn10967_c_lower_bound,0.001929759210702388,0.07203389830508475,0.0847682119205298
rxn23755_c_lower_bound,0.0019276662187545865,0.012711864406779662,0.0
rxn29080_c_lower_bound,0.0019034100003439828,0.07627118644067797,0.05562913907284768
rxn12571_c_lower_bound,0.0018996017731382142,0.11016949152542373,0.16423841059602648
rxn13853_c_lower_bound,0.0018683061346950445,0.038135593220338986,0.01456953642384106
rxn29769_c_upper_bound,0.0018297068022284759,0.0635593220338983,0.06225165562913907
rxn02346_c_lower_bound,0.0018176249706960143,0.0847457627118644,0.09536423841059603
rxn00429_c_lower_bound,0.0018125122335789301,0.012711864406779662,0.0026490066225165563
rxn11132_c_lower_bound,0.0018057489357036884,0.08050847457627118,0.05695364238410596
rxn12442_c_lower_bound,0.0017520696275461136,0.05508474576271186,0.038410596026490065
rxn30674_c_lower_bound,0.0017446871181956535,0.05508474576271186,0.05695364238410596
rxn01242_c_lower_bound,0.0017216634852303177,0.03389830508474576,0.03708609271523179
rxn08336_c_upper_bound,0.0016823186987909204,0.029661016949152543,0.038410596026490065
rxn06031_c_lower_bound,0.0015927243423818048,0.059322033898305086,0.06622516556291391
rxn02270_c_upper_bound,0.0015650544893587388,0.038135593220338986,0.0423841059602649
rxn12441_c_lower_bound,0.0015577078356515022,0.05084745762711865,0.05695364238410596
rxn08792_c_upper_bound,0.0015363379945648652,0.05508474576271186,0.046357615894039736
rxn10153_c_lower_bound,0.0014939049564168996,0.025423728813559324,0.018543046357615896
rxn10904_c_lower_bound,0.0014008228069789562,0.05084745762711865,0.046357615894039736
rxn05581_c_lower_bound,0.0013686007483223305,0.046610169491525424,0.04900662251655629
rxn05207_c_lower_bound,0.0013612186615671524,0.038135593220338986,0.026490066225165563
rxn05493_c_lower_bound,0.0013136919046183371,0.0423728813559322,0.05827814569536424
rxn01054_c_lower_bound,0.0012990938919878636,0.01694915254237288,0.006622516556291391
rxn05676_c_lower_bound,0.0012975809983786129,0.03389830508474576,0.04768211920529802
rxn05571_c_lower_bound,0.0012960600851672974,0.029661016949152543,0.03443708609271523
rxn35594_c_upper_bound,0.0012232560247298736,0.059322033898305086,0.0847682119205298
rxn13794_c_lower_bound,0.0012014377471421553,0.029661016949152543,0.0423841059602649
rxn01363_c_lower_bound,0.001199264253378466,0.05084745762711865,0.06754966887417219
rxn25273_c_upper_bound,0.0011941681669673952,0.025423728813559324,0.033112582781456956
rxn15071_c_lower_bound,0.0011347093538703295,0.038135593220338986,0.030463576158940398
rxn04661_c_lower_bound,0.0011140746123247782,0.0423728813559322,0.05562913907284768
rxn10156_c_lower_bound,0.0010728756814079765,0.03389830508474576,0.02913907284768212
rxn19126_c_lower_bound,0.0010422024263075788,0.046610169491525424,0.051655629139072845
rxn05604_c_lower_bound,0.0009967665031936478,0.025423728813559324,0.019867549668874173
rxn00375_c_lower_bound,0.0009810932166624223,0.00423728813559322,0.0
rxn05152_c_upper_bound,0.0009657907093175393,0.0211864406779661,0.030463576158940398
rxn05559_c_lower_bound,0.0009516139593875,0.029661016949152543,0.01456953642384106
rxn11326_c_lower_bound,0.0009454537869567767,0.029661016949152543,0.04370860927152318
rxn10115_c_lower_bound,0.0009266487972756646,0.038135593220338986,0.04768211920529802
rxn10151_c_lower_bound,0.0009136669543097246,0.01694915254237288,0.009271523178807948
rxn11735_c_lower_bound,0.0008671986521329862,0.0211864406779661,0.02384105960264901
rxn33675_c_upper_bound,0.0008503082480050971,0.025423728813559324,0.03443708609271523
rxn09662_c_lower_bound,0.0008125088171674929,0.01694915254237288,0.009271523178807948
rxn00509_c_upper_bound,0.0007044319063141959,0.00847457627118644,0.031788079470198675
rxn34086_c_lower_bound,0.0007043559958001927,0.00423728813559322,0.0
rxn12587_c_lower_bound,0.0006909103398105695,0.0211864406779661,0.019867549668874173
rxn05145_c_lower_bound,0.0006873313835365541,0.012711864406779662,0.015894039735099338
rxn12529_c_lower_bound,0.0006583349061787976,0.00847457627118644,0.033112582781456956
rxn05648_c_lower_bound,0.0005783977952817654,0.01694915254237288,0.01456953642384106
rxn00542_c_lower_bound,0.0005757709137652594,0.025423728813559324,0.026490066225165563
rxn01611_c_lower_bound,0.0005714599074777262,0.0211864406779661,0.03443708609271523
rxn05307_c_lower_bound,0.0005380150454723933,0.01694915254237288,0.031788079470198675
rxn00373_c_lower_bound,0.0005228129658047689,0.00423728813559322,0.0
rxn05215_c_lower_bound,0.0005201492491549391,0.00423728813559322,0.0
rxn36644_c_lower_bound,0.0005069581419326327,0.00847457627118644,0.005298013245033113
rxn04794_c_lower_bound,0.0004941316895189906,0.01694915254237288,0.007947019867549669
rxn13775_c_lower_bound,0.0004520294578646904,0.00847457627118644,0.015894039735099338
rxn35596_c_upper_bound,0.0004305853854459495,0.012711864406779662,0.033112582781456956
rxn24940_c_lower_bound,0.00041381169432667595,0.00847457627118644,0.011920529801324504
rxn02760_c_lower_bound,0.00039667032712270003,0.0211864406779661,0.02781456953642384
rxn10860_c_lower_bound,0.0003455522528590966,0.012711864406779662,0.010596026490066225
rxn00229_c_lower_bound,0.0003041872923699975,0.00847457627118644,0.01456953642384106
rxn00530_c_lower_bound,0.00029698720140456926,0.012711864406779662,0.011920529801324504
rxn00168_c_lower_bound,0.0002735304378698404,0.00423728813559322,0.0
rxn09699_c_lower_bound,0.00024183335716322638,0.00423728813559322,0.005298013245033113
rxn00673_c_lower_bound,0.00022338792589421616,0.00423728813559322,0.0026490066225165563
rxn10185_c_lower_bound,0.00019846029386421358,0.00423728813559322,0.007947019867549669
rxn00157_c_lower_bound,0.00018785292854347411,0.0,0.006622516556291391
rxn02392_c_lower_bound,0.00016461148949627744,0.00423728813559322,0.007947019867549669
rxn20733_c_lower_bound,0.00015029642430080325,0.00423728813559322,0.0
rxn00970_c_lower_bound,0.00014161456017107703,0.00423728813559322,0.007947019867549669
rxn01644_c_upper_bound,0.00013725271573139817,0.00423728813559322,0.003973509933774834
rxn05605_c_lower_bound,0.00011548549719909075,0.0,0.009271523178807948
rxn02929_c_lower_bound,9.438154809561408e-05,0.00423728813559322,0.0013245033112582781
rxn02267_c_lower_bound,9.117480989536296e-05,0.0,0.010596026490066225
rxn02394_c_lower_bound,5.5125819013765314e-05,0.0,0.006622516556291391
rxn13933_c_lower_bound,2.6812729756916144e-05,0.0,0.005298013245033113
rxn00145_c_lower_bound,1.6614492295419904e-05,0.0,0.0013245033112582781
rxn01560_c_lower_bound,1.0747997055346264e-05,0.0,0.0013245033112582781
rxn01418_c_lower_bound,6.425082896488587e-06,1.0,0.9960264900662251
rxn27205_c_lower_bound,6.490624682346155e-08,0.0,0.0013245033112582781
rxn00186_c_lower_bound,0.0,0.0,0.0
rxn02928_c_lower_bound,0.0,0.0,0.0026490066225165563
