,importance,fraction active in 0,fraction active in 1
rxn01068_c_lower_bound,0.08781560823951409,0.24193548387096775,0.0
rxn10139_c_lower_bound,0.058692608835587905,0.15591397849462366,0.0
rxn00229_c_lower_bound,0.05614155910646372,0.40860215053763443,0.7891373801916933
rxn04782_c_lower_bound,0.04318216177861821,0.13440860215053763,0.001597444089456869
rxn00429_c_lower_bound,0.0323972231052561,0.1935483870967742,0.05750798722044728
rxn00168_c_lower_bound,0.021697138534241513,0.08333333333333333,0.0
rxn01072_c_lower_bound,0.021472832996752875,0.22043010752688172,0.04792332268370607
rxn01014_c_lower_bound,0.02024726690264303,0.7876344086021505,0.952076677316294
rxn01934_c_lower_bound,0.017939643186575545,0.6747311827956989,0.426517571884984
rxn09997_c_lower_bound,0.015824894011380288,0.3924731182795699,0.16773162939297126
rxn01620_c_lower_bound,0.014408922587883113,0.1827956989247312,0.0670926517571885
rxn08131_c_lower_bound,0.01364432416775652,0.8064516129032258,0.8322683706070287
rxn00435_c_lower_bound,0.01256859508081668,0.08602150537634409,0.001597444089456869
rxn13775_c_lower_bound,0.012203387496670786,0.10215053763440861,0.01757188498402556
rxn00990_c_lower_bound,0.011882784574557465,0.45698924731182794,0.39456869009584666
rxn00542_c_lower_bound,0.011734103893435753,0.5510752688172043,0.6230031948881789
rxn00103_c_lower_bound,0.010076667491387756,0.07795698924731183,0.012779552715654952
rxn00993_c_lower_bound,0.009811028890007834,0.49193548387096775,0.48242811501597443
rxn00316_c_lower_bound,0.009531470686394025,0.051075268817204304,0.006389776357827476
rxn00688_c_lower_bound,0.008936148685614296,0.25,0.13258785942492013
rxn10115_c_lower_bound,0.008045671359454441,0.07258064516129033,0.01597444089456869
rxn00171_c_lower_bound,0.007416083894838473,0.02956989247311828,0.0
rxn00175_c_lower_bound,0.007178313238325988,0.03763440860215054,0.1182108626198083
rxn00172_c_lower_bound,0.006987314365217048,0.03494623655913978,0.10543130990415335
rxn01640_c_lower_bound,0.006753022866150508,0.08870967741935484,0.14376996805111822
rxn00422_c_lower_bound,0.006520154792932174,0.20967741935483872,0.3402555910543131
rxn00419_c_lower_bound,0.006218244926677871,0.27956989247311825,0.31150159744408945
rxn12215_c_lower_bound,0.006206437610219449,0.6451612903225806,0.7699680511182109
rxn05229_c_upper_bound,0.006026810540828952,0.5403225806451613,0.5095846645367412
rxn00125_c_lower_bound,0.006006752256240221,0.260752688172043,0.3514376996805112
rxn10053_c_lower_bound,0.0058625480356472625,0.46236559139784944,0.4952076677316294
rxn00213_c_lower_bound,0.005786142696955394,0.3844086021505376,0.36741214057507987
rxn15947_c_lower_bound,0.005699104678548893,0.739247311827957,0.6485623003194888
rxn00198_c_lower_bound,0.005422335063909347,0.0967741935483871,0.051118210862619806
rxn05485_c_lower_bound,0.005391019081128041,0.08064516129032258,0.17891373801916932
rxn00693_c_lower_bound,0.0053721022082731645,0.2849462365591398,0.22843450479233227
rxn25799_c_lower_bound,0.005362781804612618,0.28225806451612906,0.2971246006389776
rxn36697_c_upper_bound,0.005283325546059749,0.2661290322580645,0.2507987220447284
rxn00701_c_lower_bound,0.005186227552292831,0.20698924731182797,0.21565495207667731
rxn00958_c_lower_bound,0.0051363897447237366,0.3521505376344086,0.3706070287539936
rxn12524_c_lower_bound,0.005084187913275836,0.1639784946236559,0.10063897763578275
rxn00257_c_lower_bound,0.004999533955916882,0.08602150537634409,0.04952076677316294
rxn00957_c_lower_bound,0.004950537676786915,0.3897849462365591,0.38977635782747605
rxn00421_c_lower_bound,0.004868315135725729,0.23118279569892472,0.3226837060702875
rxn02928_c_lower_bound,0.0048296197717986305,0.28225806451612906,0.33865814696485624
rxn02929_c_lower_bound,0.004760100886834078,0.717741935483871,0.6613418530351438
rxn00690_c_lower_bound,0.004696464590851782,0.17473118279569894,0.20287539936102236
rxn01360_c_upper_bound,0.004661984369300716,0.20698924731182797,0.22843450479233227
rxn10999_c_lower_bound,0.004649011874355849,0.0913978494623656,0.0463258785942492
rxn05562_c_lower_bound,0.004550864041939858,0.06720430107526881,0.025559105431309903
rxn00606_c_lower_bound,0.004367089022387829,0.24193548387096775,0.20287539936102236
rxn10883_c_lower_bound,0.004354144317378849,0.0913978494623656,0.036741214057507986
rxn00895_c_lower_bound,0.004322787324961868,0.12634408602150538,0.20287539936102236
rxn05307_c_lower_bound,0.004305590076120643,0.10752688172043011,0.05591054313099041
rxn34028_c_upper_bound,0.00428754284193593,0.1693548387096774,0.15654952076677317
rxn04783_c_upper_bound,0.004175861941796571,0.1424731182795699,0.11501597444089456
rxn30062_c_upper_bound,0.003962552803590569,0.2553763440860215,0.24121405750798722
rxn01123_c_lower_bound,0.0038681268354294365,0.16129032258064516,0.09584664536741214
rxn02832_c_upper_bound,0.0038674401453484063,0.7446236559139785,0.7587859424920128
rxn09398_c_lower_bound,0.0038309012947436187,0.11021505376344086,0.15814696485623003
rxn10169_c_lower_bound,0.003538461567069244,0.06989247311827956,0.06230031948881789
rxn01359_c_lower_bound,0.0035267908399584168,0.07526881720430108,0.09584664536741214
rxn15750_c_lower_bound,0.00349411443834838,0.11021505376344086,0.07028753993610223
