,importance,fraction active in 0,fraction active in 1
rxn00917_c_upper_bound,0.16713294429018952,0.44424131627056673,0.0
rxn00916_c_lower_bound,0.1651549937544248,0.5374771480804388,0.0
rxn38855_c_upper_bound,0.11447580186016698,0.11151736745886655,0.6666666666666666
rxn38903_c_upper_bound,0.03233479914722077,0.0603290676416819,0.24282560706401765
rxn00957_c_lower_bound,0.029613369766479023,0.48628884826325414,0.08830022075055188
rxn02928_c_lower_bound,0.028817990915571762,0.5155393053016454,0.9116997792494481
rxn00958_c_lower_bound,0.027714848548345015,0.5155393053016454,0.9116997792494481
rxn02929_c_lower_bound,0.02475843604546922,0.4990859232175503,0.10154525386313466
rxn01361_c_lower_bound,0.024241456260188136,0.4643510054844607,0.0772626931567329
rxn01547_c_lower_bound,0.009344696738888672,0.014625228519195612,0.04194260485651214
rxn38868_c_upper_bound,0.00928700350076322,0.038391224862888484,0.13024282560706402
rxn12215_c_lower_bound,0.0074002709513797255,0.40585009140767825,0.6136865342163356
rxn09180_c_lower_bound,0.007002233319168315,0.4680073126142596,0.33774834437086093
rxn38867_c_lower_bound,0.006987552644892945,0.0712979890310786,0.16997792494481237
rxn01359_c_lower_bound,0.006237045642308897,0.22120658135283364,0.3730684326710817
rxn07757_c_lower_bound,0.005647448246311261,0.12431444241316271,0.01545253863134658
rxn13141_c_lower_bound,0.005375296418771276,0.396709323583181,0.32671081677704195
rxn08335_c_upper_bound,0.005347322641592477,0.11151736745886655,0.20750551876379691
rxn00555_c_lower_bound,0.005274665174245933,0.5795246800731262,0.6600441501103753
rxn11158_c_lower_bound,0.005159349125810339,0.27239488117001825,0.26269315673289184
rxn20627_c_lower_bound,0.005133384214984979,0.453382084095064,0.33995584988962474
rxn01014_c_lower_bound,0.005091387397631987,0.39488117001828155,0.45695364238410596
rxn05466_c_lower_bound,0.005002230725320049,0.5521023765996343,0.5562913907284768
rxn00693_c_lower_bound,0.004914404722816598,0.35283363802559414,0.24944812362030905
rxn03978_c_lower_bound,0.004816181191618383,0.3180987202925046,0.3995584988962472
rxn13647_c_lower_bound,0.004756043847580326,0.5301645338208409,0.6070640176600441
rxn07763_c_lower_bound,0.004706436214604733,0.10968921389396709,0.008830022075055188
rxn36697_c_upper_bound,0.0046966090618216026,0.14076782449725778,0.22737306843267108
rxn00605_c_lower_bound,0.00453602382045192,0.1590493601462523,0.16997792494481237
rxn00602_c_lower_bound,0.004416255781559799,0.6106032906764168,0.6445916114790287
rxn10868_c_lower_bound,0.004397021142531114,0.1773308957952468,0.18543046357615894
rxn01621_c_lower_bound,0.0042730831140020365,0.28884826325411334,0.3730684326710817
rxn31356_c_lower_bound,0.004259998818117004,0.3071297989031079,0.3620309050772627
rxn01640_c_lower_bound,0.004234702503051684,0.3436928702010969,0.32450331125827814
rxn12204_c_lower_bound,0.004213840835459853,0.26508226691042047,0.19426048565121412
rxn12303_c_lower_bound,0.004206036696238502,0.15722120658135283,0.16114790286975716
rxn05487_c_lower_bound,0.0041759925570059335,0.33638025594149906,0.3576158940397351
rxn00348_c_lower_bound,0.004157745089382604,0.4680073126142596,0.4304635761589404
rxn12404_c_lower_bound,0.0040763393666522416,0.2870201096892139,0.24061810154525387
rxn21111_c_upper_bound,0.003987317839790751,0.30347349177330896,0.38631346578366443
rxn08336_c_upper_bound,0.003977974210528237,0.062157221206581355,0.12141280353200883
rxn01360_c_upper_bound,0.003956480279203332,0.7367458866544789,0.7284768211920529
rxn00949_c_lower_bound,0.003944982814059841,0.6142595978062158,0.6445916114790287
rxn10960_c_lower_bound,0.003928095055399458,0.29250457038391225,0.31788079470198677
rxn12537_c_lower_bound,0.0037964524365398334,0.3290676416819013,0.33995584988962474
rxn00704_c_lower_bound,0.003715628252229263,0.1809872029250457,0.1390728476821192
rxn10183_c_lower_bound,0.0036926142668689903,0.1956124314442413,0.22958057395143489
rxn09978_c_lower_bound,0.003632877836187321,0.2906764168190128,0.33995584988962474
rxn05531_c_lower_bound,0.003624444205212301,0.3126142595978062,0.36423841059602646
rxn12060_c_lower_bound,0.003620622980546823,0.24862888482632542,0.1368653421633554
rxn05486_c_lower_bound,0.003555881201804963,0.113345521023766,0.1456953642384106
rxn10967_c_lower_bound,0.0035548397493082853,0.1882998171846435,0.16997792494481237
rxn03426_c_lower_bound,0.0035532293958399816,0.17550274223034734,0.16335540838852097
rxn12585_c_lower_bound,0.0035159986441707673,0.30895795246800734,0.3355408388520971
rxn00553_c_lower_bound,0.0034825454381970456,0.3217550274223035,0.3465783664459161
rxn13648_c_lower_bound,0.0034759921703597756,0.1809872029250457,0.2052980132450331
