,importance,fraction active in 0,fraction active in 1
rxn00553_c_lower_bound,0.15259967214326273,0.0,0.43733333333333335
rxn00214_c_lower_bound,0.1087034197395411,0.0,0.6186666666666667
rxn02094_c_lower_bound,0.09330007406810124,0.03210272873194221,0.648
rxn18456_c_upper_bound,0.06271461486114481,0.025682182985553772,0.5493333333333333
rxn02173_c_upper_bound,0.062228722139314574,0.030497592295345103,0.5333333333333333
rxn15122_c_lower_bound,0.06093661763148831,0.02086677367576244,0.5173333333333333
rxn02408_c_lower_bound,0.039576501243643716,0.0,0.32
rxn33675_c_upper_bound,0.03814184483119793,0.028892455858747994,0.224
rxn15120_c_upper_bound,0.034524285666825666,0.0,0.2853333333333333
rxn02760_c_lower_bound,0.025884146936231586,0.02247191011235955,0.19733333333333333
rxn01090_c_lower_bound,0.02554350090782426,0.0,0.2
rxn29080_c_lower_bound,0.020537310550510307,0.006420545746388443,0.21866666666666668
rxn15126_c_lower_bound,0.01569260022930899,0.012841091492776886,0.224
rxn38996_c_upper_bound,0.014790869356555072,0.0,0.152
rxn08582_c_lower_bound,0.011375524439350554,0.0,0.14133333333333334
rxn00355_c_lower_bound,0.006782006673339621,0.0,0.10666666666666667
rxn09348_c_lower_bound,0.006635038811025329,0.0,0.10666666666666667
rxn11342_c_lower_bound,0.006363083695482451,0.0,0.10666666666666667
rxn01620_c_lower_bound,0.006156462032539644,0.1476725521669342,0.34933333333333333
rxn05487_c_lower_bound,0.00469684854453121,0.18459069020866772,0.376
rxn34424_c_lower_bound,0.00457040314795269,0.1637239165329053,0.2986666666666667
rxn19753_c_lower_bound,0.004282670865602694,0.0,0.06133333333333333
rxn20627_c_lower_bound,0.004265487246957806,0.5746388443017657,0.36533333333333334
rxn10183_c_lower_bound,0.0038562491954399814,0.13804173354735153,0.264
rxn01621_c_lower_bound,0.003741077684766481,0.16693418940609953,0.312
rxn18575_c_upper_bound,0.003632766866364285,0.025682182985553772,0.07466666666666667
