,importance,fraction active in 0,fraction active in 1
rxn00656_c_lower_bound,0.2954070583110296,0.0058997050147492625,0.7526717557251908
rxn05291_c_lower_bound,0.13364807588892735,0.0,0.4916030534351145
rxn30666_c_upper_bound,0.10034511373958363,0.831858407079646,0.5145038167938931
rxn00278_c_lower_bound,0.06161264000114434,0.5014749262536873,0.16793893129770993
rxn01072_c_lower_bound,0.03683135287485817,0.40117994100294985,0.7969465648854962
rxn00321_c_lower_bound,0.017181942223131835,0.168141592920354,0.0
rxn09468_c_lower_bound,0.015019743310249554,0.19469026548672566,0.010687022900763359
rxn01256_c_upper_bound,0.01439507303286902,0.831858407079646,1.0
rxn10204_c_upper_bound,0.013651328086278953,0.17994100294985252,0.0061068702290076335
rxn09458_c_lower_bound,0.01210278174575268,0.18289085545722714,0.0061068702290076335
rxn00849_c_lower_bound,0.009692946940223783,0.2890855457227139,0.17557251908396945
rxn00657_c_lower_bound,0.007183783794499737,0.0,0.01984732824427481
rxn00347_c_lower_bound,0.0066147749890456695,0.5486725663716814,0.716030534351145
rxn11174_c_lower_bound,0.006571859202275397,0.23008849557522124,0.17251908396946564
rxn09978_c_lower_bound,0.006258066241400376,0.23008849557522124,0.41374045801526715
rxn13786_c_lower_bound,0.006081053731939228,0.5073746312684366,0.5603053435114503
rxn01961_c_upper_bound,0.005962864963429954,0.32448377581120946,0.1618320610687023
rxn00125_c_lower_bound,0.00596157950398957,0.4218289085545723,0.36946564885496186
rxn18574_c_upper_bound,0.005489199843813561,0.0855457227138643,0.17709923664122137
rxn15120_c_upper_bound,0.005400724828440096,0.2182890855457227,0.37251908396946565
rxn00130_c_lower_bound,0.005360343465848786,0.3775811209439528,0.5190839694656488
rxn29063_c_lower_bound,0.005328669276594992,0.24188790560471976,0.35877862595419846
rxn00489_c_lower_bound,0.005020928535608946,0.24188790560471976,0.2183206106870229
rxn00957_c_lower_bound,0.004732515090393197,0.39233038348082594,0.42748091603053434
rxn01369_c_lower_bound,0.004727160550884744,0.48672566371681414,0.38778625954198476
rxn05693_c_lower_bound,0.004682973334648888,0.25663716814159293,0.3603053435114504
rxn00916_c_lower_bound,0.004623283773171577,0.5870206489675516,0.5480916030534351
rxn00917_c_upper_bound,0.004583813633688219,0.31563421828908556,0.3190839694656489
rxn31356_c_lower_bound,0.004521782718199926,0.23303834808259588,0.3526717557251908
rxn05531_c_lower_bound,0.004515599419965251,0.2448377581120944,0.35725190839694654
rxn01253_c_lower_bound,0.004506748703307229,0.10029498525073746,0.0
rxn00419_c_lower_bound,0.004468269228644639,0.3421828908554572,0.24427480916030533
rxn25799_c_lower_bound,0.004332524675372206,0.1504424778761062,0.06259541984732825
rxn05643_c_lower_bound,0.004312296861840065,0.11799410029498525,0.19389312977099238
rxn01919_c_lower_bound,0.004259046356054738,0.2743362831858407,0.3648854961832061
rxn00958_c_lower_bound,0.004243787127188941,0.5162241887905604,0.5465648854961832
rxn21111_c_upper_bound,0.004194369300205697,0.25663716814159293,0.3374045801526718
rxn10960_c_lower_bound,0.004102763601679257,0.4631268436578171,0.4122137404580153
rxn18456_c_upper_bound,0.0040597728497359644,0.18289085545722714,0.28091603053435116
rxn05612_c_lower_bound,0.0040433575771874775,0.13864306784660768,0.19236641221374046
rxn04675_c_lower_bound,0.003928366856674793,0.23893805309734514,0.2564885496183206
rxn00290_c_lower_bound,0.003854953070616465,0.09144542772861357,0.025954198473282442
rxn00168_c_lower_bound,0.003700290567366711,0.0471976401179941,0.10076335877862595
rxn00399_c_lower_bound,0.0036969491569970275,0.35988200589970504,0.3053435114503817
rxn00993_c_lower_bound,0.0036495042552206207,0.5545722713864307,0.4488549618320611
rxn05699_c_lower_bound,0.0035957366691244164,0.12389380530973451,0.1648854961832061
rxn15076_c_upper_bound,0.0035600774428795395,0.02654867256637168,0.09618320610687023
rxn03991_c_lower_bound,0.0035062178689075894,0.2359882005899705,0.20305343511450383
rxn30062_c_upper_bound,0.0034962555702075125,0.7463126843657817,0.7419847328244275
rxn02832_c_upper_bound,0.003465463541422982,0.2536873156342183,0.2580152671755725
rxn20627_c_lower_bound,0.003461516327138108,0.4365781710914454,0.42748091603053434
rxn09673_c_lower_bound,0.0034284055684481955,0.0943952802359882,0.15725190839694655
rxn36320_c_lower_bound,0.003411648548601087,0.11504424778761062,0.2015267175572519
rxn05488_c_lower_bound,0.0033656921380728444,0.40412979351032446,0.4717557251908397
rxn00799_c_lower_bound,0.00332358725897566,0.035398230088495575,0.07786259541984733
rxn00155_c_lower_bound,0.0033152353727100674,0.17404129793510326,0.15419847328244274
rxn18495_c_upper_bound,0.0032807092039962627,0.11209439528023599,0.15725190839694655
rxn07523_c_lower_bound,0.003245636381871606,0.12389380530973451,0.14961832061068703
rxn07524_c_lower_bound,0.0032163201777358785,0.1504424778761062,0.2152671755725191
rxn03990_c_lower_bound,0.0031031351923257134,0.12389380530973451,0.10229007633587786
rxn09997_c_lower_bound,0.0030511772150649693,0.05309734513274336,0.1282442748091603
rxn05170_c_upper_bound,0.0030098049357417645,0.09144542772861357,0.10687022900763359
rxn29410_c_lower_bound,0.0029879037776517014,0.13274336283185842,0.17251908396946564
rxn00430_c_lower_bound,0.0029816103748467556,0.07964601769911504,0.166412213740458
rxn10036_c_lower_bound,0.0027612366766428345,0.0,0.004580152671755725
rxn26434_c_lower_bound,0.002578280714502531,0.08849557522123894,0.03816793893129771
rxn00432_c_lower_bound,0.0025174369855610838,0.12389380530973451,0.17557251908396945
rxn29080_c_lower_bound,0.002399244332472647,0.035398230088495575,0.0916030534351145
rxn00607_c_upper_bound,0.0022597872484633676,0.05309734513274336,0.11603053435114503
rxn02167_c_lower_bound,0.002221390423586854,0.06489675516224189,0.0
rxn10904_c_lower_bound,0.002117757622903049,0.02064896755162242,0.0183206106870229
rxn00229_c_lower_bound,0.0020644465615146097,0.8938053097345132,0.916030534351145
rxn00467_c_lower_bound,0.0019878878936024132,0.9056047197640118,0.9038167938931297
rxn05484_c_lower_bound,0.0019206808640664559,0.07374631268436578,0.06717557251908397
rxn00422_c_lower_bound,0.0019148010299108276,0.02654867256637168,0.012213740458015267
rxn38908_c_lower_bound,0.0018742832885802342,0.0943952802359882,0.09618320610687023
rxn15947_c_lower_bound,0.001867161213747283,0.0471976401179941,0.06259541984732825
rxn00962_c_lower_bound,0.0018400898831870856,0.05604719764011799,0.0183206106870229
rxn03874_c_lower_bound,0.0018129239240983702,0.05604719764011799,0.0
rxn04092_c_lower_bound,0.0017415828193711787,0.9705014749262537,0.9877862595419847
rxn00521_c_lower_bound,0.0016793186648868177,0.038348082595870206,0.010687022900763359
rxn01011_c_lower_bound,0.0015281537599521392,0.0471976401179941,0.015267175572519083
rxn08094_c_lower_bound,0.0014860988161999684,0.05014749262536873,0.013740458015267175
rxn00156_c_lower_bound,0.0014311841671914593,0.029498525073746312,0.015267175572519083
rxn01242_c_lower_bound,0.0013672294023853386,0.014749262536873156,0.0183206106870229
rxn02168_c_lower_bound,0.0013163232845503122,0.0471976401179941,0.0
rxn01013_c_lower_bound,0.0013110458043793984,0.05014749262536873,0.03816793893129771
rxn00960_c_lower_bound,0.0012988288709999492,0.035398230088495575,0.007633587786259542
