,importance,fraction active in 0,fraction active in 1
rxn11676_c_lower_bound,0.2919362755013116,0.9410112359550562,0.0
rxn10183_c_lower_bound,0.14762222192954966,0.6685393258426966,0.0015625
rxn05486_c_lower_bound,0.07613301506565988,0.4241573033707865,0.003125
rxn01014_c_lower_bound,0.04003419327495533,0.33146067415730335,0.0
rxn00168_c_lower_bound,0.023774639633963406,0.19382022471910113,0.0
rxn20627_c_lower_bound,0.023051353893824567,0.5056179775280899,0.828125
rxn00419_c_lower_bound,0.020819882888648823,0.22191011235955055,0.0
rxn00979_c_upper_bound,0.017599121103565103,0.6685393258426966,0.9140625
rxn01369_c_lower_bound,0.013220029919665725,0.848314606741573,1.0
rxn00155_c_lower_bound,0.012869280133266485,0.14887640449438203,0.003125
rxn00680_c_lower_bound,0.012538841617779531,0.1151685393258427,0.0375
rxn30071_c_upper_bound,0.012100238299722552,0.5561797752808989,0.853125
rxn11732_c_lower_bound,0.010830423310251042,0.07865168539325842,0.0234375
rxn05693_c_lower_bound,0.010236827973422891,0.5140449438202247,0.2453125
rxn25799_c_lower_bound,0.008184297344914826,0.10955056179775281,0.0
rxn02519_c_lower_bound,0.007367838339577263,0.056179775280898875,0.015625
rxn02596_c_upper_bound,0.007265306437387469,0.4550561797752809,0.2234375
rxn31356_c_lower_bound,0.006638779107275291,0.5,0.2796875
rxn10663_c_lower_bound,0.0062967267158733995,0.17696629213483145,0.034375
rxn18456_c_upper_bound,0.006049557597022599,0.41853932584269665,0.2171875
rxn22163_c_lower_bound,0.0058828617665933084,0.09269662921348315,0.0
rxn05531_c_lower_bound,0.00583578112158737,0.4747191011235955,0.2515625
rxn00195_c_lower_bound,0.005763043125627038,0.31741573033707865,0.321875
rxn34080_c_lower_bound,0.005735270713310771,0.4606741573033708,0.2515625
rxn00818_c_upper_bound,0.005618977712010274,0.5,0.284375
rxn10036_c_lower_bound,0.0054311024683617645,0.17134831460674158,0.034375
rxn00229_c_lower_bound,0.004709085413399355,0.9073033707865169,0.996875
rxn05643_c_lower_bound,0.004601019186578167,0.3258426966292135,0.1671875
rxn38867_c_lower_bound,0.004583151451565803,0.3960674157303371,0.5671875
rxn00395_c_upper_bound,0.004303582019948796,0.0,0.15
rxn00278_c_lower_bound,0.003924938552981926,0.43820224719101125,0.246875
rxn00272_c_lower_bound,0.0035465218753917356,0.29213483146067415,0.2875
rxn00849_c_lower_bound,0.0034720527120065325,0.449438202247191,0.2671875
rxn02760_c_lower_bound,0.0034497931779714714,0.2050561797752809,0.1109375
rxn08291_c_lower_bound,0.003439576887332611,0.06179775280898876,0.0421875
rxn00156_c_lower_bound,0.003135830531035692,0.05898876404494382,0.0
rxn10960_c_lower_bound,0.0031195068814599933,0.38764044943820225,0.346875
rxn00144_c_lower_bound,0.003113415331213814,0.07303370786516854,0.0
rxn10204_c_upper_bound,0.0030044482915022983,0.0056179775280898875,0.1171875
rxn30350_c_upper_bound,0.0029395174069319686,0.09831460674157304,0.1296875
rxn00553_c_lower_bound,0.0028947346280412053,0.35674157303370785,0.228125
rxn18574_c_upper_bound,0.002888737333547521,0.19101123595505617,0.090625
rxn00993_c_lower_bound,0.002840628806702277,0.46629213483146065,0.48125
rxn00607_c_upper_bound,0.0028388850886846883,0.24157303370786518,0.1421875
rxn30025_c_upper_bound,0.0027603018394225676,0.07584269662921349,0.0
rxn38902_c_lower_bound,0.0027411826883446625,0.23876404494382023,0.3671875
rxn00817_c_lower_bound,0.002673626625667083,0.36235955056179775,0.2171875
rxn11004_c_lower_bound,0.0026496658930915185,0.20786516853932585,0.084375
rxn01822_c_lower_bound,0.002581638651264442,0.3792134831460674,0.396875
rxn05488_c_lower_bound,0.0025373900928166273,0.449438202247191,0.4390625
rxn09468_c_lower_bound,0.0024812963420097678,0.011235955056179775,0.0984375
rxn09669_c_lower_bound,0.002472676464688023,0.1601123595505618,0.2421875
rxn00290_c_lower_bound,0.002445566399930954,0.2640449438202247,0.23125
