,importance,fraction active in 0,fraction active in 1
rxn11676_c_lower_bound,0.23800920134475473,0.0,1.0
rxn10183_c_lower_bound,0.1501742921578671,0.013280212483399735,0.7350427350427351
rxn05486_c_lower_bound,0.08214032285896262,0.0026560424966799467,0.42735042735042733
rxn09468_c_lower_bound,0.060327740231071646,0.9760956175298805,0.42735042735042733
rxn00916_c_lower_bound,0.037953512586494154,0.03054448871181939,0.4188034188034188
rxn10878_c_lower_bound,0.036163133088042865,0.006640106241699867,0.3333333333333333
rxn00917_c_upper_bound,0.034090120614117043,0.03054448871181939,0.41025641025641024
rxn01014_c_lower_bound,0.02399459422262912,0.0,0.2692307692307692
rxn00229_c_lower_bound,0.021506539724719623,1.0,0.7948717948717948
rxn00168_c_lower_bound,0.017210715283727956,0.0013280212483399733,0.16666666666666666
rxn30307_c_upper_bound,0.016118860926676925,0.0026560424966799467,0.1623931623931624
rxn10036_c_lower_bound,0.015986604043145596,0.006640106241699867,0.27350427350427353
rxn11004_c_lower_bound,0.01565841087530374,0.00796812749003984,0.27350427350427353
rxn00347_c_lower_bound,0.012690756530851069,0.005312084993359893,0.1623931623931624
rxn01369_c_lower_bound,0.012583235731417218,0.9760956175298805,0.7307692307692307
rxn08445_c_lower_bound,0.00984894973810217,0.40106241699867196,0.1794871794871795
rxn10204_c_upper_bound,0.008280404649449008,0.6653386454183267,0.29914529914529914
rxn00156_c_lower_bound,0.007994427288651894,0.00398406374501992,0.11965811965811966
rxn09458_c_lower_bound,0.007259263043834349,0.6666666666666666,0.3034188034188034
rxn00155_c_lower_bound,0.006785817113997929,0.0013280212483399733,0.09829059829059829
rxn00130_c_lower_bound,0.006305876646847345,0.025232403718459494,0.16666666666666666
rxn05531_c_lower_bound,0.006157666960787409,0.21779548472775564,0.5128205128205128
rxn09669_c_lower_bound,0.006088750378981084,0.17928286852589642,0.18803418803418803
rxn31356_c_lower_bound,0.005994662822078108,0.21779548472775564,0.49572649572649574
rxn00979_c_upper_bound,0.005702731152726301,0.9269588313413014,0.7307692307692307
rxn00606_c_lower_bound,0.004561886010875689,0.16334661354581673,0.41025641025641024
rxn01242_c_lower_bound,0.00452845756835007,0.0,0.06837606837606838
rxn36672_c_upper_bound,0.004210694181713425,0.021248339973439574,0.1623931623931624
rxn00605_c_lower_bound,0.003908544027247005,0.1049136786188579,0.3076923076923077
rxn38855_c_upper_bound,0.00350229576553484,0.8154050464807437,0.6196581196581197
rxn08443_c_lower_bound,0.0034757903343259214,0.0,0.09829059829059829
rxn05634_c_lower_bound,0.0034424384035022606,0.3200531208499336,0.452991452991453
rxn01188_c_upper_bound,0.003174986752997165,0.24169986719787517,0.0
rxn01547_c_lower_bound,0.002944465845041064,0.0013280212483399733,0.038461538461538464
rxn15171_c_lower_bound,0.0028305108691538045,0.199203187250996,0.4188034188034188
rxn25799_c_lower_bound,0.0028283013249568844,0.0,0.09401709401709402
rxn00419_c_lower_bound,0.0027043918489774734,0.0,0.08547008547008547
rxn18456_c_upper_bound,0.0025868188800234433,0.17662682602921648,0.358974358974359
rxn00553_c_lower_bound,0.0025541257835140097,0.15139442231075698,0.3547008547008547
rxn00422_c_lower_bound,0.0025088192000930834,0.0,0.08974358974358974
rxn09179_c_lower_bound,0.002438249811189565,0.09428950863213811,0.18376068376068377
rxn00663_c_lower_bound,0.0024094848114921924,0.16733067729083664,0.05982905982905983
rxn00993_c_lower_bound,0.0024086156752345786,0.08897742363877822,0.20085470085470086
rxn00195_c_lower_bound,0.0023691622018882866,0.450199203187251,0.42735042735042733
rxn09174_c_lower_bound,0.0023529317534624807,0.23638778220451528,0.2905982905982906
rxn30350_c_upper_bound,0.002306735981335302,0.47941567065073043,0.358974358974359
rxn30716_c_upper_bound,0.002239906771542661,0.19256308100929614,0.41452991452991456
rxn00958_c_lower_bound,0.0021439726573354865,0.43293492695883135,0.6196581196581197
rxn08444_c_lower_bound,0.001957051628208601,0.16865869853917662,0.08547008547008547
rxn20627_c_lower_bound,0.0018779257735247587,0.42363877822045154,0.3076923076923077
rxn12303_c_lower_bound,0.0018433844930771882,0.09428950863213811,0.2264957264957265
rxn30065_c_lower_bound,0.0018060347300567314,0.0,0.04700854700854701
rxn05488_c_lower_bound,0.0017475780193798919,0.27224435590969454,0.41452991452991456
rxn00128_c_lower_bound,0.0016945611051686473,0.07304116865869854,0.0
rxn00290_c_lower_bound,0.0016929668620013774,0.16069057104913678,0.2222222222222222
rxn30071_c_upper_bound,0.0016395728160090012,0.32270916334661354,0.20512820512820512
rxn03991_c_lower_bound,0.0016210161209924557,0.27091633466135456,0.21367521367521367
rxn00399_c_lower_bound,0.0015474457710601488,0.3240371845949535,0.2905982905982906
rxn15074_c_upper_bound,0.001547052675257471,0.06905710491367861,0.18376068376068377
rxn05040_c_upper_bound,0.001526699939988677,0.48738379814077026,0.47435897435897434
rxn02760_c_lower_bound,0.0015170260591204714,0.0650730411686587,0.1794871794871795
rxn38902_c_lower_bound,0.0014885716225545092,0.16865869853917662,0.0641025641025641
rxn05291_c_lower_bound,0.0014870301494857708,0.5205843293492696,0.5726495726495726
rxn30302_c_lower_bound,0.0014639592596069981,0.014608233731739707,0.08974358974358974
rxn15076_c_upper_bound,0.0014542618957945352,0.05843293492695883,0.14957264957264957
rxn10960_c_lower_bound,0.0014263521155339796,0.25630810092961487,0.2606837606837607
rxn09673_c_lower_bound,0.0014214191589182786,0.07436918990703852,0.19658119658119658
rxn05170_c_upper_bound,0.0013891364602406447,0.05843293492695883,0.1282051282051282
rxn02929_c_lower_bound,0.001375579469754319,0.38778220451527223,0.33760683760683763
rxn05728_c_lower_bound,0.0013534999483729223,0.027888446215139442,0.008547008547008548
rxn02928_c_lower_bound,0.0013433698381346013,0.6122177954847278,0.6623931623931624
rxn00623_c_lower_bound,0.0013089248225091074,0.021248339973439574,0.021367521367521368
rxn00957_c_lower_bound,0.001291810540907334,0.3253652058432935,0.3803418803418803
rxn30666_c_upper_bound,0.001280355928573188,0.42363877822045154,0.47435897435897434
rxn08094_c_lower_bound,0.0012586782750623965,0.0,0.05555555555555555
rxn13905_c_lower_bound,0.0011660067895380968,0.5126162018592297,0.5256410256410257
rxn13085_c_lower_bound,0.0011453659184739856,0.09561752988047809,0.017094017094017096
rxn01822_c_lower_bound,0.001134423990447587,0.05976095617529881,0.14102564102564102
rxn00990_c_lower_bound,0.0011199171616206717,0.12350597609561753,0.18376068376068377
