,importance,fraction active in 0,fraction active in 1
rxn05291_c_lower_bound,0.35382635335117174,0.9607476635514018,0.0
rxn30666_c_upper_bound,0.20545132732810323,0.18691588785046728,0.8939393939393939
rxn01822_c_lower_bound,0.01618587285182396,0.12897196261682242,0.37445887445887444
rxn00321_c_lower_bound,0.012840286905802436,0.0,0.10606060606060606
rxn00399_c_lower_bound,0.011422480773705215,0.4205607476635514,0.6341991341991342
rxn00989_c_lower_bound,0.01089843123059969,0.0,0.1038961038961039
rxn38867_c_lower_bound,0.010863865272340458,0.5644859813084112,0.3528138528138528
rxn03750_c_lower_bound,0.009631609568280313,0.12149532710280374,0.3225108225108225
rxn01256_c_upper_bound,0.009151808398793171,1.0,0.8939393939393939
rxn20627_c_lower_bound,0.00869410722002392,0.2542056074766355,0.2922077922077922
rxn09997_c_lower_bound,0.007504418721023208,0.31401869158878504,0.170995670995671
rxn01820_c_lower_bound,0.0069631543329650245,0.17757009345794392,0.08441558441558442
rxn09106_c_upper_bound,0.0064653720415077855,0.25981308411214954,0.11904761904761904
rxn09458_c_lower_bound,0.006344551443603188,0.5850467289719626,0.49134199134199136
rxn03991_c_lower_bound,0.006311811982969561,0.3514018691588785,0.5346320346320347
rxn05643_c_lower_bound,0.006278227278305663,0.2691588785046729,0.1471861471861472
rxn00229_c_lower_bound,0.006068814015062858,0.6392523364485981,0.7727272727272727
rxn10030_c_lower_bound,0.005824899051986547,0.020560747663551402,0.0
rxn10818_c_lower_bound,0.005723987153735342,0.33457943925233646,0.2077922077922078
rxn30074_c_upper_bound,0.005476000205796195,0.14579439252336449,0.04112554112554113
rxn00993_c_lower_bound,0.005450265433374295,0.31588785046728973,0.46320346320346323
rxn05488_c_lower_bound,0.005236264929611962,0.2766355140186916,0.26406926406926406
rxn08444_c_lower_bound,0.005216780626457118,0.04672897196261682,0.12554112554112554
rxn00656_c_lower_bound,0.005154734036360581,0.026168224299065422,0.0
rxn10667_c_lower_bound,0.005008146627803705,0.3719626168224299,0.4458874458874459
rxn08445_c_lower_bound,0.004976221291441304,0.37383177570093457,0.4458874458874459
rxn31356_c_lower_bound,0.004736506497670257,0.37570093457943926,0.25757575757575757
rxn05487_c_lower_bound,0.004574882108908535,0.36822429906542054,0.2813852813852814
rxn29063_c_lower_bound,0.00444221800926987,0.34579439252336447,0.26406926406926406
rxn30017_c_upper_bound,0.004418836513203665,0.38691588785046727,0.2813852813852814
rxn05693_c_lower_bound,0.004028386651481963,0.32710280373831774,0.24891774891774893
rxn38902_c_lower_bound,0.004017356686681548,0.19065420560747665,0.30735930735930733
rxn18456_c_upper_bound,0.0038514723863962777,0.23177570093457944,0.19696969696969696
rxn10960_c_lower_bound,0.00383870231200636,0.30467289719626167,0.3787878787878788
rxn00553_c_lower_bound,0.0037855669626417313,0.2523364485981308,0.23809523809523808
rxn09669_c_lower_bound,0.0037848186881843516,0.4672897196261682,0.41774891774891776
rxn00916_c_lower_bound,0.003655976617708351,0.5551401869158878,0.6147186147186147
rxn00957_c_lower_bound,0.003623786031414607,0.34766355140186916,0.27056277056277056
rxn00917_c_upper_bound,0.003593793985050026,0.44485981308411215,0.3852813852813853
rxn30007_c_upper_bound,0.0035861829331037564,0.12897196261682242,0.045454545454545456
rxn00657_c_lower_bound,0.0035827479286923533,0.014953271028037384,0.0
rxn21111_c_upper_bound,0.003551187816822624,0.33457943925233646,0.23593073593073594
rxn00958_c_lower_bound,0.003485840790550755,0.6336448598130842,0.6515151515151515
rxn00962_c_lower_bound,0.0034450230451179803,0.011214953271028037,0.06277056277056277
rxn00602_c_lower_bound,0.0034076476373324205,0.27102803738317754,0.26406926406926406
rxn05612_c_lower_bound,0.003371168260211209,0.2504672897196262,0.19913419913419914
rxn00607_c_upper_bound,0.0033410168873181474,0.15140186915887852,0.170995670995671
rxn05531_c_lower_bound,0.003231201174848086,0.308411214953271,0.25757575757575757
rxn00979_c_upper_bound,0.003169344853702171,0.1252336448598131,0.15367965367965367
rxn09673_c_lower_bound,0.0031313982190123426,0.10093457943925234,0.12337662337662338
rxn30350_c_upper_bound,0.00301256757051525,0.13644859813084112,0.15800865800865802
rxn00306_c_lower_bound,0.002970861029904214,0.2,0.21861471861471862
rxn18574_c_upper_bound,0.002946644313658415,0.12710280373831775,0.07575757575757576
rxn01072_c_lower_bound,0.002912852130676261,0.8411214953271028,0.7792207792207793
rxn07523_c_lower_bound,0.0027786480160281717,0.13457943925233645,0.1406926406926407
rxn30021_c_lower_bound,0.0027405798771607485,0.07102803738317758,0.04112554112554113
rxn01919_c_lower_bound,0.0027181616731794395,0.32149532710280376,0.3116883116883117
rxn30064_c_upper_bound,0.002695454668283564,0.18504672897196262,0.15151515151515152
rxn00290_c_lower_bound,0.0026447007495298343,0.03925233644859813,0.09956709956709957
rxn02760_c_lower_bound,0.002612917406950873,0.11962616822429907,0.11255411255411256
rxn01927_c_upper_bound,0.002609518259660393,0.1925233644859813,0.22510822510822512
rxn05484_c_lower_bound,0.0026088847666312933,0.09158878504672897,0.08225108225108226
rxn02831_c_upper_bound,0.0025825014456658836,0.2691588785046729,0.33766233766233766
rxn01188_c_upper_bound,0.002557519946441742,0.018691588785046728,0.07792207792207792
rxn24330_c_lower_bound,0.002527695556292134,0.7308411214953271,0.6623376623376623
rxn01792_c_lower_bound,0.0025245094078692218,0.7383177570093458,0.6883116883116883
rxn33742_c_lower_bound,0.0025131692845376504,0.12897196261682242,0.09956709956709957
rxn30062_c_upper_bound,0.0024840902294436967,0.056074766355140186,0.09523809523809523
rxn13786_c_lower_bound,0.0023951805386153314,0.8261682242990654,0.8506493506493507
rxn33675_c_upper_bound,0.002380339669943363,0.09158878504672897,0.08874458874458875
rxn00155_c_lower_bound,0.002357466904615261,0.17943925233644858,0.12987012987012986
rxn38868_c_upper_bound,0.002336554812004296,0.07102803738317758,0.08441558441558442
rxn02928_c_lower_bound,0.0023183165287540605,0.8242990654205608,0.8008658008658008
rxn11004_c_lower_bound,0.0022846591126443076,0.15514018691588785,0.2012987012987013
rxn38903_c_upper_bound,0.0022229695794377968,0.048598130841121495,0.09523809523809523
rxn01791_c_upper_bound,0.0022129666228950934,0.2616822429906542,0.3116883116883117
rxn02929_c_lower_bound,0.0022096139294414496,0.17570093457943925,0.19913419913419914
rxn00520_c_lower_bound,0.0022059080411383574,0.0616822429906542,0.11255411255411256
rxn00287_c_lower_bound,0.0021786459823252974,0.14766355140186915,0.09523809523809523
rxn02832_c_upper_bound,0.0021261758299452723,0.9439252336448598,0.9047619047619048
rxn25799_c_lower_bound,0.0021079011220455296,0.014953271028037384,0.06060606060606061
rxn01014_c_lower_bound,0.0020535448154168617,0.03364485981308411,0.07575757575757576
rxn00285_c_lower_bound,0.002035993150710189,0.0691588785046729,0.05194805194805195
