,importance,fraction active in 0,fraction active in 1
rxn00663_c_lower_bound,0.16916839678414855,0.9969230769230769,0.002967359050445104
rxn03374_c_lower_bound,0.14580554868722612,0.9907692307692307,0.0
rxn00668_c_lower_bound,0.12570318523660198,0.9753846153846154,0.002967359050445104
rxn00949_c_lower_bound,0.0952973095480576,1.0,0.013353115727002967
rxn00679_c_upper_bound,0.08302009154283733,0.8338461538461538,0.002967359050445104
rxn00128_c_lower_bound,0.08110587929783653,0.8861538461538462,0.002967359050445104
rxn00229_c_lower_bound,0.04475481169932967,0.3630769230769231,0.9821958456973294
rxn00195_c_lower_bound,0.03945506036056357,0.5784615384615385,0.001483679525222552
rxn00993_c_lower_bound,0.02731573775466925,0.0,0.6068249258160238
rxn05488_c_lower_bound,0.02577933317398065,0.003076923076923077,0.46142433234421365
rxn00990_c_lower_bound,0.01374124486725679,0.0,0.4317507418397626
rxn01822_c_lower_bound,0.011391326989692308,0.0,0.4169139465875371
rxn00602_c_lower_bound,0.009871355783100036,0.12,0.001483679525222552
rxn10960_c_lower_bound,0.00923161828200147,0.0,0.4332344213649852
rxn08445_c_lower_bound,0.008745665265528065,0.19384615384615383,0.001483679525222552
rxn09180_c_lower_bound,0.008006703566677596,0.7507692307692307,0.42433234421364985
rxn38863_c_upper_bound,0.006848177546691607,0.20923076923076922,0.0
rxn20627_c_lower_bound,0.006285019194758139,0.8923076923076924,0.6038575667655787
rxn36655_c_lower_bound,0.005746467768816741,0.20307692307692307,0.0
rxn03607_c_lower_bound,0.005362751050233714,0.14153846153846153,0.0
rxn10667_c_lower_bound,0.0051011996385677836,0.18769230769230769,0.001483679525222552
rxn00399_c_lower_bound,0.004972688102817254,0.1476923076923077,0.0
rxn13143_c_lower_bound,0.003664058463492016,0.15076923076923077,0.0
rxn03750_c_lower_bound,0.0033167696415720396,0.0,0.228486646884273
rxn09468_c_lower_bound,0.003087396492991388,0.24923076923076923,0.040059347181008904
rxn02749_c_lower_bound,0.0027351894118518754,0.13846153846153847,0.0
rxn09944_c_lower_bound,0.0024601778316096098,0.11384615384615385,0.0
rxn01820_c_lower_bound,0.0024018583556517986,0.0,0.1884272997032641
rxn04092_c_lower_bound,0.002332620085602281,0.8584615384615385,0.9970326409495549
rxn09458_c_lower_bound,0.002141801573778598,0.24923076923076923,0.08605341246290801
rxn00656_c_lower_bound,0.0020410446168310794,0.14153846153846153,0.013353115727002967
rxn00489_c_lower_bound,0.0018244751199853835,0.0,0.1513353115727003
rxn00346_c_upper_bound,0.0017357525817266468,0.7169230769230769,0.7893175074183977
rxn00657_c_lower_bound,0.0016538793523364656,0.13846153846153847,0.20178041543026706
rxn00197_c_lower_bound,0.001610995255085714,0.06461538461538462,0.05637982195845697
rxn04095_c_lower_bound,0.001593338084151938,0.1076923076923077,0.0
rxn00155_c_lower_bound,0.0015791032758817212,0.0,0.10089020771513353
rxn01369_c_lower_bound,0.0013560578789415395,0.23076923076923078,0.42136498516320475
rxn00347_c_lower_bound,0.0013477642708926644,0.7507692307692307,0.7106824925816023
rxn03991_c_lower_bound,0.001323340667381643,0.09846153846153846,0.0
