,mean cluster ratio,mean fractional importance,number of reactions,name
cpd11420_c,0.0,0.07972243904350126,7,trdox
cpd11421_c,0.0,0.07972243904350126,7,trdrd
cpd00363_c,0.0,0.05915627525851285,1,Ethanol
cpd03709_c,0.5066301708504857,0.052980154247830064,11,Salicylaldehyde
cpd01466_c,0.4685379522714992,0.051049815289388865,24,Maleylpyruvate
cpd00589_c,0.4732305829537986,0.04932354147351086,4,D-Tagatose
cpd01560_c,0.31847680338747597,0.04582749947711947,7,beta-Alanyl-CoA
cpd00248_e,0.47152771586706,0.045603452601222075,7,Quinate
cpd02211_c,0.0,0.04389690137929993,2,L-2-Amino-acetoacetate
cpd01501_c,0.27062990652508484,0.04367458288300103,13,2-Methylcitrate
cpd00269_c,0.3594121167476974,0.036337049102677293,19,2-Oxoadipate
cpd00413_c,0.3594121167476974,0.036337049102677293,19,Glutaryl-CoA
cpd03397_c,0.4772107205905953,0.034612449947951,2,Selenohomocysteine
cpd00894_c,0.4939363609897651,0.03376864542463005,4,2-Dehydro-3-deoxy-D-galactonate
cpd00524_c,0.049357208448117536,0.03330227401311454,1,2-Inosose
cpd00122_e,0.36272266656416347,0.03173678411602379,3,N-Acetyl-D-glucosamine
cpd01092_c,0.28294362648700866,0.02955337794539373,8,Allantoin
cpd02210_c,0.34730909278801886,0.028926090990987148,2,Indoleglycerol phosphate
cpd00196_c,0.2641884093712728,0.028435725336324193,22,Acetylphosphate
cpd00709_e,0.5758410975277578,0.026739486303144294,38,beta D-Galactose
cpd00497_c,0.5161691497568669,0.025715285594092113,39,XMP
cpd00038_c,0.6092792613087765,0.024919769612447896,11,GTP
cpd00421_c,0.6092792613087765,0.024919769612447896,11,Triphosphate
cpd01553_c,0.559386546227383,0.024692355107260085,26,Saligenin
cpd03698_c,0.559386546227383,0.024692355107260085,26,Salicin-6P
cpd00653_c,0.45844837605351524,0.0239416642636824,6,D-Galactonate
cpd00492_e,0.49656723196718444,0.023308616177663857,25,N-Acetyl-D-mannosamine
cpd02612_c,0.49656723196718444,0.023308616177663857,25,N-Acetylmannosamine 6-phosphate
cpd01133_e,0.5211373417126003,0.02280148588595257,7,Stachyose
cpd00126_c,0.5291239718613409,0.022709268343392135,54,GMP
cpd00311_c,0.5291239718613409,0.022709268343392135,54,Guanosine
cpd00344_c,0.34810000804143604,0.02228168143090155,12,N-Formimino-L-glutamate
cpd00770_c,0.34810000804143604,0.02228168143090155,12,N-Formyl-L-glutamate
cpd01186_c,0.44247762744536223,0.02144206125878119,8,L-Fuculose
cpd00094_e,0.4605533104064805,0.02088135761650434,12,2-Oxobutyrate
cpd00663_c,0.3109598185193573,0.02028855887145478,19,Acrylyl-CoA
cpd00296_c,0.2939850664730589,0.020068266957072402,14,dGMP
cpd00119_c,0.3423039152753802,0.01979463466354487,25,L-Histidine
cpd00119_e,0.3423039152753802,0.01979463466354487,25,L-Histidine
cpd00060_c,0.4231416347950765,0.019383186910360183,65,L-Methionine
cpd00087_c,0.4231416347950765,0.019383186910360183,65,Tetrahydrofolate
cpd00135_c,0.4231416347950765,0.019383186910360183,65,Homocysteine
cpd00216_c,0.5978143396418234,0.019211033577335283,36,Chorismate
cpd00219_c,0.5978143396418234,0.019211033577335283,36,Prephenate
cpd00763_c,0.43698708288172106,0.019185442437545996,51,4-Maleylacetoacetate
cpd00780_c,0.43698708288172106,0.019185442437545996,51,Fumarylacetoacetate
cpd00479_c,0.41692893112538165,0.019153183392675546,89,Gentisate
cpd00599_c,0.41692893112538165,0.019153183392675546,89,SALC
cpd00751_c,0.49519893355807554,0.0190824559791352,9,L-Fucose
cpd00751_e,0.49519893355807554,0.0190824559791352,9,L-Fucose
cpd00705_c,0.39755404667685595,0.018112596032176735,30,L-2-Aminoadipate
cpd00065_c,0.15560500188287957,0.01779024872797754,5,L-Tryptophan
cpd00359_c,0.15560500188287957,0.01779024872797754,5,indol
cpd01240_c,0.5492669054039272,0.017761621126734642,2,D-Glucoside
cpd11848_c,0.5492669054039272,0.017761621126734642,2,ROH
cpd00909_c,0.1774752940161225,0.017728405414897303,20,1-Aminocyclopropane-1-carboxylate
cpd00484_c,0.6315561130676411,0.017166445747420343,83,p-Hydroxybenzaldehyde
cpd00388_c,0.29377843451041874,0.017107133519051628,10,Allantoate
cpd00071_c,0.3102909343551066,0.017071687219805304,38,Acetaldehyde
cpd00094_c,0.2918581071473245,0.01681036142589993,130,2-Oxobutyrate
cpd03389_c,0.2918581071473245,0.01681036142589993,130,Selenocysteine
