,Achromobacter xylosoxidans_gapfilled_395
85698.28.peg.1253,184.78536378482576
85698.28.peg.3980,184.78536378482576
85698.28.peg.921,184.78536378482576
85698.28.peg.984,184.78536378482576
85698.28.peg.1381,184.78536378482576
85698.28.peg.297,184.78536378482576
85698.28.peg.3043,184.78536378482576
85698.28.peg.1856,184.78536378482576
85698.28.peg.317,184.78536378482576
85698.28.peg.2795,184.78536378482576
85698.28.peg.2957,184.78536378482576
85698.28.peg.4981,184.78536378482576
85698.28.peg.1531,184.78536378482576
85698.28.peg.2549,184.78536378482576
85698.28.peg.2789,184.78536378482576
85698.28.peg.3483,184.78536378482576
85698.28.peg.1950,184.78536378482576
85698.28.peg.2655,184.78536378482576
85698.28.peg.1729,184.78536378482576
85698.28.peg.480,184.78536378482576
85698.28.peg.2416,184.78536378482576
85698.28.peg.2000,178.28017447797265
85698.28.peg.4275,184.78536378482653
85698.28.peg.5396,184.78536378482653
85698.28.peg.4785,184.78536378482653
85698.28.peg.3413,184.78536378482653
85698.28.peg.913,184.78536378482653
85698.28.peg.337,184.78536378482653
85698.28.peg.841,184.78536378482653
85698.28.peg.2718,184.78536378482653
85698.28.peg.116,184.78536378482653
85698.28.peg.4758,184.78536378482653
85698.28.peg.1794,184.78536378482653
85698.28.peg.6017,184.78536378482653
85698.28.peg.4442,179.47908226893514
85698.28.peg.2349,184.78536378482653
85698.28.peg.1333,184.78536378482653
85698.28.peg.3167,184.78536378482653
85698.28.peg.4833,184.78536378482653
85698.28.peg.4278,184.78536378482653
85698.28.peg.2162,184.78536378482653
85698.28.peg.4849,184.78536378482653
85698.28.peg.5957,184.78536378482653
85698.28.peg.3380,184.78536378482653
85698.28.peg.2918,184.78536378482653
85698.28.peg.6189,184.78536378482653
85698.28.peg.5767,184.78536378482653
85698.28.peg.216,184.78536378482653
85698.28.peg.3782,184.78536378482653
85698.28.peg.4506,184.78536378482653
85698.28.peg.4426,184.78536378482653
85698.28.peg.3095,184.78536378482653
85698.28.peg.4702,184.78536378482653
85698.28.peg.4014,184.78536378482653
85698.28.peg.2848,184.78536378482653
85698.28.peg.3168,184.78536378482653
85698.28.peg.295,184.78536378482653
85698.28.peg.1791,184.78536378482653
85698.28.peg.839,184.78536378482653
85698.28.peg.5384,184.78536378482653
85698.28.peg.2364,184.78536378482653
85698.28.peg.6073,184.78536378482653
85698.28.peg.1537,184.78536378482653
85698.28.peg.4441,184.78536378482653
85698.28.peg.4866,184.78536378482653
85698.28.peg.5022,184.78536378482653
85698.28.peg.4021,184.78536378482653
85698.28.peg.1378,184.78536378482653
85698.28.peg.228,184.78536378482653
85698.28.peg.5557,184.78536378482653
85698.28.peg.5077,184.78536378482653
85698.28.peg.4935,184.78536378482653
85698.28.peg.218,184.78536378482622
85698.28.peg.940,184.78536378482622
85698.28.peg.377,184.78536378482622
85698.28.peg.4891,184.78536378482622
85698.28.peg.4346,184.78536378482622
85698.28.peg.2355,184.78536378482622
85698.28.peg.3324,184.78536378482622
85698.28.peg.900,184.78536378482622
85698.28.peg.5937,184.78536378482622
85698.28.peg.5716,184.7853637848262
85698.28.peg.2544,184.7853637848262
85698.28.peg.1422,184.7853637848262
85698.28.peg.1926,184.7853637848262
85698.28.peg.6302,184.7853637848262
85698.28.peg.345,184.7853637848262
85698.28.peg.4186,184.7853637848262
85698.28.peg.5161,184.7853637848262
85698.28.peg.5620,184.7853637848262
85698.28.peg.4273,184.7853637848262
85698.28.peg.294,184.7853637848262
85698.28.peg.1671,184.7853637848262
85698.28.peg.4672,184.7853637848262
85698.28.peg.4669,184.7853637848262
85698.28.peg.842,184.7853637848262
85698.28.peg.3774,184.7853637848262
85698.28.peg.4077,184.7853637848262
85698.28.peg.1884,184.7618710356296
85698.28.peg.518,184.78536378482576
85698.28.peg.3185,184.78536378482576
85698.28.peg.521,184.78536378482576
85698.28.peg.5255,184.78536378482576
85698.28.peg.1640,184.78536378482576
85698.28.peg.967,184.78536378482576
85698.28.peg.4001,184.78536378482576
85698.28.peg.2749,184.78536378482576
85698.28.peg.4366,184.78536378482576
85698.28.peg.523,184.78536378482576
85698.28.peg.6235,184.78536378482576
85698.28.peg.410,164.25365669762328
85698.28.peg.5051,183.2281189246818
85698.28.peg.4732,184.78536378482642
85698.28.peg.2039,184.78536378482642
85698.28.peg.753,184.78536378482642
85698.28.peg.1388,184.78536378482642
85698.28.peg.2993,184.78536378482642
85698.28.peg.442,184.78536378482642
85698.28.peg.4950,184.78536378482642
85698.28.peg.196,184.78536378482642
85698.28.peg.4169,184.78536378482642
85698.28.peg.2660,184.78536378482642
85698.28.peg.4775,184.78536378482642
85698.28.peg.6295,184.78536378482642
85698.28.peg.1503,184.78536378482642
85698.28.peg.4153,184.78536378482642
85698.28.peg.6288,184.78536378482642
85698.28.peg.118,184.78536378482642
85698.28.peg.382,184.78536378482642
85698.28.peg.5037,184.78536378482642
85698.28.peg.712,184.78536378482642
85698.28.peg.6053,184.78536378482642
85698.28.peg.620,184.78536378482642
85698.28.peg.274,184.78536378482642
85698.28.peg.5793,184.78536378482642
85698.28.peg.6275,184.78536378482642
85698.28.peg.437,184.78536378482642
85698.28.peg.5256,184.78536378482642
85698.28.peg.5643,178.28017447797242
85698.28.peg.4126,184.78536378482644
85698.28.peg.380,184.78536378482644
85698.28.peg.5386,184.78536378482644
85698.28.peg.411,164.25365669762385
85698.28.peg.1763,184.78536378482644
85698.28.peg.2486,184.78536378482644
85698.28.peg.2129,184.78536378482644
85698.28.peg.3417,184.78536378482644
85698.28.peg.2538,184.78536378482644
85698.28.peg.5710,184.78536378482644
85698.28.peg.1675,184.78536378482644
85698.28.peg.4750,184.78536378482644
85698.28.peg.1009,184.78536378482644
85698.28.peg.3917,184.78536378482644
85698.28.peg.5634,184.78536378482644
85698.28.peg.1283,184.78536378482644
85698.28.peg.2707,164.79532206964177
85698.28.peg.3936,181.96743173519843
85698.28.peg.3379,184.7853637848266
85698.28.peg.748,184.7853637848267
85698.28.peg.5675,184.7853637848267
85698.28.peg.369,184.7853637848267
85698.28.peg.1787,184.7853637848267
85698.28.peg.4310,184.7853637848267
85698.28.peg.2971,184.7853637848267
85698.28.peg.885,184.7853637848267
85698.28.peg.2287,184.7853637848268
85698.28.peg.2702,184.7853637848268
85698.28.peg.5393,184.7853637848268
85698.28.peg.2069,184.7853637848268
85698.28.peg.4240,184.7853637848268
85698.28.peg.2983,184.7853637848268
85698.28.peg.6096,184.7853637848268
85698.28.peg.5974,184.7853637848268
85698.28.peg.939,184.7853637848268
85698.28.peg.5401,184.7853637848268
85698.28.peg.3070,184.7853637848268
85698.28.peg.4131,184.7853637848268
85698.28.peg.4417,184.7853637848268
85698.28.peg.2399,184.7207730951153
85698.28.peg.2990,184.78536378482633
85698.28.peg.2670,184.78536378482633
85698.28.peg.1606,184.78536378482633
85698.28.peg.2525,184.78536378482633
