,Flavobacterium johnsoniae_gapfilled_40,Flavobacterium johnsoniae_gapfilled_64,Flavobacterium johnsoniae_gapfilled_87,Flavobacterium johnsoniae_gapfilled_73,Flavobacterium johnsoniae_gapfilled_90,Flavobacterium johnsoniae_gapfilled_92,Flavobacterium johnsoniae_gapfilled_36,Flavobacterium johnsoniae_gapfilled_25,Flavobacterium johnsoniae_gapfilled_98,Flavobacterium johnsoniae_gapfilled_59,Flavobacterium johnsoniae_gapfilled_46,Flavobacterium johnsoniae_gapfilled_96,Flavobacterium johnsoniae_gapfilled_57,Flavobacterium johnsoniae_gapfilled_31,Flavobacterium johnsoniae_gapfilled_13,Flavobacterium johnsoniae_gapfilled_3,Flavobacterium johnsoniae_gapfilled_12,Flavobacterium johnsoniae_gapfilled_65,Flavobacterium johnsoniae_gapfilled_22,Flavobacterium johnsoniae_gapfilled_50,Flavobacterium johnsoniae_gapfilled_52,Flavobacterium johnsoniae_gapfilled_10,Flavobacterium johnsoniae_gapfilled_44,Flavobacterium johnsoniae_gapfilled_26,Flavobacterium johnsoniae_gapfilled_77,Flavobacterium johnsoniae_gapfilled_61,Flavobacterium johnsoniae_gapfilled_48,Flavobacterium johnsoniae_gapfilled_4,Flavobacterium johnsoniae_gapfilled_41,Flavobacterium johnsoniae_gapfilled_63,Flavobacterium johnsoniae_gapfilled_86,Flavobacterium johnsoniae_gapfilled_95,Flavobacterium johnsoniae_gapfilled_27,Flavobacterium johnsoniae_gapfilled_5,Flavobacterium johnsoniae_gapfilled_78,Flavobacterium johnsoniae_gapfilled_37,Flavobacterium johnsoniae_gapfilled_39,Flavobacterium johnsoniae_gapfilled_97,Flavobacterium johnsoniae_gapfilled_24,Flavobacterium johnsoniae_gapfilled_47,Flavobacterium johnsoniae_gapfilled_93,Flavobacterium johnsoniae_gapfilled_66,Flavobacterium johnsoniae_gapfilled_29,Flavobacterium johnsoniae_gapfilled_19,Flavobacterium johnsoniae_gapfilled_67,Flavobacterium johnsoniae_gapfilled_54,Flavobacterium johnsoniae_gapfilled_55,Flavobacterium johnsoniae_gapfilled_91,Flavobacterium johnsoniae_gapfilled_17,Flavobacterium johnsoniae_gapfilled_45,Flavobacterium johnsoniae_gapfilled_2,Flavobacterium johnsoniae_gapfilled_8,Flavobacterium johnsoniae_gapfilled_33,Flavobacterium johnsoniae_gapfilled_0,Flavobacterium johnsoniae_gapfilled_7,Flavobacterium johnsoniae_gapfilled_51,Flavobacterium johnsoniae_gapfilled_21,Flavobacterium johnsoniae_gapfilled_1,Flavobacterium johnsoniae_gapfilled_30,Flavobacterium johnsoniae_gapfilled_85,Flavobacterium johnsoniae_gapfilled_16,Flavobacterium johnsoniae_gapfilled_53,Flavobacterium johnsoniae_gapfilled_15,Flavobacterium johnsoniae_gapfilled_42,Flavobacterium johnsoniae_gapfilled_68,Flavobacterium johnsoniae_gapfilled_69,Flavobacterium johnsoniae_gapfilled_99,Flavobacterium johnsoniae_gapfilled_71,Flavobacterium johnsoniae_gapfilled_72,Flavobacterium johnsoniae_gapfilled_56,Flavobacterium johnsoniae_gapfilled_32,Flavobacterium johnsoniae_gapfilled_49,Flavobacterium johnsoniae_gapfilled_38,Flavobacterium johnsoniae_gapfilled_60,Flavobacterium johnsoniae_gapfilled_20,Flavobacterium johnsoniae_gapfilled_88,Flavobacterium johnsoniae_gapfilled_6,Flavobacterium johnsoniae_gapfilled_94,Flavobacterium johnsoniae_gapfilled_74,Flavobacterium johnsoniae_gapfilled_80,Flavobacterium johnsoniae_gapfilled_81,Flavobacterium johnsoniae_gapfilled_79,Flavobacterium johnsoniae_gapfilled_62,Flavobacterium johnsoniae_gapfilled_75,Flavobacterium johnsoniae_gapfilled_83,Flavobacterium johnsoniae_gapfilled_18,Flavobacterium johnsoniae_gapfilled_84,Flavobacterium johnsoniae_gapfilled_70,Flavobacterium johnsoniae_gapfilled_43,Flavobacterium johnsoniae_gapfilled_89,Flavobacterium johnsoniae_gapfilled_11,Flavobacterium johnsoniae_gapfilled_58,Flavobacterium johnsoniae_gapfilled_82,Flavobacterium johnsoniae_gapfilled_34,Flavobacterium johnsoniae_gapfilled_23,Flavobacterium johnsoniae_gapfilled_76,Flavobacterium johnsoniae_gapfilled_9,Flavobacterium johnsoniae_gapfilled_14,Flavobacterium johnsoniae_gapfilled_28,Flavobacterium johnsoniae_gapfilled_35
376686.10.peg.4722,236.8994527476623,213.2095074728961,184.07056422701595,213.20950747289527,206.72363465024017,206.76562362830052,213.2095074728962,213.2095074728961,184.0705642270157,186.0769270512981,236.89945274766214,188.2144939320993,236.89945274766225,224.7689913046357,189.63299275428162,259.07530127874105,233.57552905303532,206.7236346502402,188.21449393209934,236.8994527476624,236.8994527476638,213.20950747289564,256.9330819583385,190.6275976679051,226.91247231287718,206.76562362830038,236.89945274766194,193.86978969811494,212.0634944116253,236.89945274766228,237.00376540017066,256.2555363287175,232.5961413613954,213.20950747289572,236.89945274766225,209.6590273758871,188.21449393209883,252.79772522668927,236.89945274766197,190.62759766790597,213.2095074728961,236.89945274766208,187.1508121360763,236.89945274766134,189.03135911016753,213.20950747289635,209.78008488575185,213.20950747289584,184.07056422701595,209.6590273758869,183.96570958576805,213.20950747289567,198.65636038503808,233.57552905303538,184.07056422701575,213.20950747289615,211.97070104624342,237.02115977402136,184.070564227016,213.2095074728961,183.9657095857683,209.65902737588686,206.72363465024105,231.7676476793822,227.48753996112862,232.95295136506664,213.20950747289575,184.07056422701592,236.89945274766183,236.89945274766228,233.57552905303496,213.20950747289578,187.15081213607698,211.7413056736116,237.0037654001705,188.2144939320991,213.20950747289567,213.20950747289587,213.20950747289606,236.89945274766177,236.89945274766237,236.89945274766188,183.9657095857684,206.91803508353195,210.29857469657065,236.89945274766202,183.9657095857683,186.47118656511242,255.29807467094727,213.20950747289598,233.57552905302796,213.20950747289584,190.62759766790515,213.20950747289584,186.36357988967737,213.084460765878,213.20950747289538,270.7930597001919,186.3635798896782,236.8994527476622
376686.10.peg.1777,-3.6322057305129043e-13,-1.7880523438278452e-14,-3.464850696760687e-14,5.706950774310182e-14,2.273348583937699e-13,-2.6942337921314697e-13,-3.5598740939216006e-13,3.638990918887044e-13,-2.3516172911792134e-13,3.4984978688105697e-14,-3.27591310058062e-14,-1.684025978843594e-13,2.325544641297635e-13,-2.68699013586419e-14,-1.5974750757648554e-13,3.3518170846840566e-14,-9.080480781683095e-14,0.0,-6.396563011644956e-14,5.524434764023625e-14,3.3645903076935006e-13,-8.820077469616393e-11,3.675861822846418e-14,-3.99870884046223e-13,1.0273673074038215e-14,-5.56983783287213e-15,-3.4591281674411233e-14,0.0,1.5915317062608208e-13,5.710654120343434e-13,4.588897418064589e-14,3.814516269660689e-15,1.0817039560974127e-13,-1.5413600548538453e-14,-3.1543819999302686e-13,-2.0753659949735854e-14,-1.9172933892568558e-15,2.1716951109894844e-13,4.735052707102725e-13,6.00405245764694e-14,3.198931480140201e-13,1.9538439161275983e-13,0.0,2.1340755992384406e-13,3.60333606423896e-14,3.521216059062101e-14,1.4360319030491987e-14,8.708200145750045e-13,5.797083185655903e-14,1.3504943516201953e-13,1.5645005036295988e-13,3.478243795859805e-14,1.35717840006003e-13,9.297734210260548e-14,8.218468692305603e-14,2.7050682315158895e-13,1.667741811380709e-13,-1.79042028403461e-14,1.880222887449092e-14,-8.25201382989267e-14,-6.106397677256439e-14,-1.8090507357598625e-13,3.3327131111667825e-14,-2.093671355365942e-13,-1.6313483368155117e-13,8.898524643839034e-12,0.0,2.6481605135196477e-14,3.599092270331798e-14,-3.0954572250652936e-14,-3.540675997379329e-14,2.8481241323888326e-14,9.606982998068995e-14,-4.745305457164027e-13,1.0499633909891255e-13,-2.5500365438962354e-14,1.6618330604315355e-13,-1.2316499422354032e-15,-3.545914153400898e-14,3.374303983303702e-12,0.0,-1.632984390137473e-14,-6.578842600142211e-16,4.148701760608699e-13,-1.464911263340517e-13,3.8525235692445375e-13,7.261544646298842e-14,-1.0746288036673412e-13,7.271538436172442e-14,2.1510214162311805e-14,4.8306602249322743e-14,-7.138969827967838e-14,-1.6367957156376983e-13,-7.607058040084271e-14,-8.403900702150359e-14,7.012929766431281e-14,7.901008209784453e-14,1.9908982594282983e-13,1.0776640134058754e-12,7.160794969511273e-13
376686.10.peg.4869,236.89945274766282,213.20950747289555,184.07056422701567,213.20950747289612,206.7236346502399,206.76562362830038,213.20950747289567,213.20950747289575,184.07056422701638,186.0769270512982,236.89945274766228,188.21449393209897,236.89945274766217,224.76899130463656,189.63299275428164,259.0753012787397,233.5755290530353,206.7236346502369,188.21449393209897,236.89945274766197,236.8994527476618,213.20950747289575,256.9330819583388,190.62759766790506,226.91247231287727,206.7656236283005,236.89945274766214,193.86978969811494,212.06349441162524,236.8994527476624,237.00376540017035,256.2555363287206,232.59614136139555,213.20950747289595,236.89945274766197,209.65902737588712,188.21449393209923,252.79772522668935,236.89945274766154,190.62759766790532,213.2095074728962,236.89945274766006,187.150812136077,236.89945274766228,189.03135911016813,213.20950747289595,209.78008488575173,213.20950747289564,184.07056422701606,209.65902737588732,183.96570958576913,213.20950747289584,198.65636038502882,233.5755290530347,184.07056422701592,213.20950747289575,211.97070104624223,237.02115977402138,184.07056422701623,213.20950747289587,183.96570958576822,209.65902737588735,206.72363465024,231.76764767938263,227.4875399611285,232.95295136506587,213.2095074728959,184.07056422701618,236.89945274766197,236.8994527476657,233.5755290530352,213.20950747289643,187.15081213607695,211.7413056736134,237.00376540017118,188.21449393209866,213.20950747289567,213.2095074728959,213.20950747289584,236.8994527476619,236.8994527476623,236.89945274766382,183.96570958576856,206.9180350835323,210.29857469657492,236.89945274766214,183.9657095857682,186.47118656508061,255.29807467094727,213.2095074728956,233.57552905303615,213.2095074728959,190.6275976679061,213.20950747289567,186.3635798896773,213.0844607658761,213.20950747289533,270.7930597001916,186.3635798896771,236.89945274766208
376686.10.peg.3080,236.8994527476626,213.20950747289555,184.07056422701567,213.20950747289612,206.7236346502399,206.76562362830026,213.20950747289567,213.20950747289575,184.07056422701638,186.0769270512982,236.89945274766228,188.21449393209897,236.89945274766217,224.76899130463713,189.63299275428164,259.07530127874026,233.5755290530353,206.72363465023608,188.21449393209897,236.89945274766197,236.8994527476618,213.20950747289575,256.93308195833873,190.62759766790506,226.91247231287727,206.7656236283005,236.89945274766217,193.86978969811494,212.06349441162536,236.8994527476624,237.00376540017035,256.2555363287206,232.59614136139575,213.20950747289595,236.89945274766197,209.65902737588746,188.21449393209923,252.79772522668938,236.89945274766154,190.62759766790532,213.2095074728962,236.89945274766006,187.150812136077,236.89945274766237,189.03135911016813,213.20950747289595,209.78008488575173,213.20950747289564,184.07056422701606,209.65902737588752,183.96570958576913,213.20950747289584,198.65636038502882,233.57552905303473,184.07056422701592,213.20950747289575,211.97070104624223,237.0211597740213,184.07056422701612,213.20950747289587,183.96570958576822,209.65902737588735,206.72363465024,231.76764767938272,227.4875399611285,232.9529513650661,213.2095074728959,184.07056422701618,236.89945274766217,236.89945274766592,233.5755290530352,213.20950747289643,187.15081213607695,211.7413056736134,237.00376540017118,188.21449393209866,213.20950747289623,213.209507472896,213.20950747289473,236.8994527476619,236.8994527476623,236.8994527476668,183.96570958576865,206.9180350835323,210.29857469657492,236.89945274766217,183.9657095857683,186.47118656507675,255.29807467094693,213.2095074728956,233.57552905303615,213.2095074728959,190.6275976679061,213.2095074728956,186.3635798896773,213.0844607658761,213.20950747289533,270.79305970019124,186.3635798896771,236.89945274766237
376686.10.peg.1966,236.8994527476626,213.20950747289555,184.07056422701567,213.20950747289612,206.7236346502399,206.76562362830026,213.20950747289567,213.20950747289575,184.07056422701638,186.0769270512982,236.89945274766228,188.21449393209897,236.89945274766217,224.7689913046351,189.63299275428048,259.07530127874026,233.57552905303558,206.72363465023608,188.21449393209895,236.89945274766197,236.8994527476618,213.20950747289575,256.93308195833873,190.62759766790506,226.91247231287727,206.76562362830038,236.89945274766217,193.86978969811494,212.06349441162536,236.8994527476624,237.00376540017035,256.2555363287175,232.59614136139575,213.20950747289595,236.89945274766197,209.65902737588746,188.21449393209923,252.0877277163528,236.89945274766154,190.62759766790532,213.2095074728962,236.89945274766006,187.150812136077,236.89945274766237,189.03135911016813,213.20950747289578,209.78008488575173,213.20950747289564,184.07056422701606,209.65902737588752,183.96570958576913,213.20950747289584,198.65636038502882,233.57552905303473,184.07056422701578,213.20950747289567,211.97070104624223,237.0211597740213,184.07056422701612,213.20950747289587,183.96570958576822,209.65902737588735,206.72363465024,231.64101508057334,226.3614632749342,231.72680723544366,213.2095074728959,184.07056422701618,236.89945274766217,236.89945274766592,233.5755290530352,213.2095074728955,187.15081213607695,211.7413056736134,237.00376540017118,188.21449393209866,213.20950747289623,213.209507472896,213.20950747289473,236.8994527476619,236.8994527476623,236.8994527476668,183.9657095857684,206.9180350835323,210.29857469657492,236.89945274766217,183.96570958576834,186.47118656507675,254.35369215058662,213.2095074728956,233.57552905303493,213.2095074728959,190.6275976679061,213.2095074728956,186.3635798896773,213.0844607658761,213.20950747289533,270.79305970019016,186.3635798896771,236.89945274766237
376686.10.peg.763,-9.097965523626326e-15,1.2077973174502662e-12,1.0167970187015534e-12,1.486295032485338e-13,9.836266547179105e-13,-7.644934770376321e-13,-6.430553075896885e-14,9.079993661420449e-13,1.0408537202809206e-12,-1.2365452735040404e-13,1.0466491294453887e-12,1.0716533860756317e-12,3.059881245424709e-12,1.254563004591544e-12,9.886431223985607e-13,9.81285569740935e-13,0.0,9.690973854201496e-13,1.4844351725792369e-12,-2.9233959081556623e-12,6.346664218620588e-13,-1.599661625212778e-17,1.1991598606192316e-12,9.351435620521746e-13,1.76244943724107e-13,9.667247315044463e-13,1.1100020209110688e-12,5.629348300968496e-13,1.111265261903876e-12,-1.749252526141842e-13,1.265805546797426e-12,9.439424192045875e-13,1.333954876402088e-12,9.3019248320585e-13,8.121160450975419e-13,1.0298368285243865e-12,-8.982875576896419e-15,0.0,1.1172225150159375e-12,4.758693605916123e-13,3.0947147155401223e-12,7.917801498840382e-13,1.0403250587182571e-12,1.7394337731448093e-12,1.1750447502185586e-12,1.156056196571713e-12,9.756067157524138e-13,-1.5702304477818016e-12,9.616901045786706e-13,-4.1572702046368996e-13,-5.391105155482161e-13,-6.477274112205453e-13,9.469419631749682e-13,2.0397155620689422e-13,9.47830971914249e-13,0.0,9.570406553684917e-13,1.5198895934637657e-12,1.0121574721515894e-12,-4.4129519119553137e-13,1.2363603838891155e-12,-4.5701972612139006e-14,4.776888792672389e-12,8.889978972708923e-13,9.955426597722507e-13,1.0552683053893562e-12,2.4029051168125557e-12,9.869557843301775e-13,1.1582515147788336e-12,9.227319905256376e-13,3.704197289153358e-12,9.585616730280245e-13,-1.5100861044269028e-13,-9.836510870770333e-12,-4.1688867597648095e-13,8.555722273981349e-13,-3.489690415767076e-14,9.640996962055681e-14,-1.2272573275886209e-13,8.518298096138649e-13,1.1267989498856409e-12,-4.2152255142928784e-13,1.1382796506658958e-12,1.0221576414127188e-12,9.691705627423687e-13,-1.3140215346467755e-12,-1.3319162097233756e-14,8.272234137691549e-13,-6.697090341448443e-13,1.114747611988956e-12,1.6563438144085615e-12,7.775740848760618e-13,1.463487933981942e-12,1.7125887503250583e-12,9.921484904772402e-13,1.1287741182922817e-12,9.16122608471259e-13,2.2759127956879557e-13,-1.288694537255122e-13,1.1982073859081673e-13
376686.10.peg.4410,-4.5489827618131636e-14,-1.9992669279615915e-13,-1.2260251500418206e-13,-1.001993707480469e-14,1.0929185052421225e-13,1.728044060436075e-13,0.0,4.1651347070736004e-14,-2.851654028166906e-14,1.0624211134324043e-27,2.46132494046508e-14,-2.1369060329925328e-13,-3.236827833665066e-14,1.7563882064281613e-13,6.330143556824024e-14,-1.1531244561080891e-13,-1.432158993902255e-13,9.547757491824133e-15,3.633739596115034e-13,-1.4616979540778311e-12,-9.828904763350468e-15,-1.599661625212778e-17,8.422809511640946e-14,2.9712067400653133e-14,-3.52489887448214e-13,-2.0395193510725455e-13,2.7156012744001683e-14,-4.314765197383809e-12,2.5055368799636455e-14,-2.223199294397869e-13,-1.3965583909504358e-13,-1.267982354155416e-13,1.2382828319333532e-13,1.0895993909506021e-13,2.130140446157487e-13,7.807687714774419e-14,7.094621306289721e-14,1.750309660771306e-13,6.273407365462145e-14,-1.1896734014790309e-13,1.4578063935922515e-14,1.6049597632784556e-14,1.0950790091771128e-13,-1.7156782284432868e-13,-7.949227131461807e-14,-3.2492703749796666e-14,2.795021300212644e-13,-2.3262673300471137e-13,1.5437412235952112e-14,2.598293877898062e-13,4.385983855307521e-13,2.7881179905556283e-13,3.170326516495042e-13,-7.765476154316848e-13,-1.8295342016019224e-13,0.0,9.20330309645378e-44,4.382898890413131e-13,-1.0964680637617381e-14,7.077375707852863e-14,-6.32145652863151e-14,-4.5701972612139006e-14,6.665426222333565e-14,7.70171445655476e-14,-1.0310185674701483e-13,-6.4196066592566114e-15,-6.731911051698706e-13,-7.89564627464142e-14,1.0126789200252098e-13,-7.689433254380315e-14,1.0911524027255922e-13,4.355430777501637e-14,1.4679753914777912e-14,-1.371998003549246e-13,-6.806826404361751e-13,-6.754517584722118e-14,-9.363399641421858e-14,1.3163668928960643e-13,-1.2584022777997332e-13,-8.73671599603964e-14,-1.1797854837773437e-13,-1.2367085909269904e-12,1.9796167837667756e-13,1.1359441539347081e-14,-5.027414782939943e-15,1.0094377220012572e-13,-8.953361277983818e-15,4.686346797761898e-13,5.175024354755615e-13,-7.142726936678183e-14,1.0968362692696107e-12,1.0085688967011689e-13,7.052663892380083e-13,-3.1397460422626063e-13,2.384972332877981e-13,1.9919543263981442e-13,-6.115172489069087e-14,-9.39214717093762e-13,-1.2371467557649173e-12,2.547925132183575e-13
376686.10.peg.1951,236.89945274778032,213.209507472896,184.070564227016,213.20950747289572,206.72363465024003,206.76562362830038,213.20950747289578,213.20950747289578,184.07056422701592,186.07692705129787,236.89945274766217,188.2144939320989,236.89945274766168,224.76899130463562,189.6329927542821,259.07530127874077,233.57552905303504,206.72363465024,188.2144939320998,236.89945274766183,236.8994527476626,213.20950747289575,256.93308195833873,190.6275976679052,226.91247231287682,206.76562362830043,236.89945274766237,193.86978969811543,212.06349441162493,236.89945274766214,237.00376540017055,256.2555363287157,232.5961413613959,213.20950747289606,236.89945274768314,209.659027375887,188.21449393209932,252.79772522668924,236.89945274766214,190.62759766790435,213.20950747289615,236.89945274766202,187.150812136077,236.89945274766188,189.03135911016815,213.20950747289578,209.78008488575136,213.20950747289538,184.07056422701575,209.65902737588712,183.9657095857685,213.20950747289584,198.656360385029,233.57552905303515,184.0705642270158,213.2095074728961,211.9707010456765,237.02115977402187,184.07056422701618,213.20950747289533,183.9657095857683,209.65902737588712,206.72363465024011,231.7676476793818,227.48753996112887,232.952951365067,213.2095074728959,184.07056422701555,236.89945274766217,236.8994527476625,233.5755290530347,213.209507472896,187.15081213607638,211.74130567361243,237.00376540017052,188.21449393209895,213.20950747289615,213.20950747289587,213.20950747289575,236.89945274766214,236.89945274766242,236.89945274766237,183.9657095857683,206.91803508353223,210.29857469657003,236.89945274766205,183.9657095857681,186.47118656511236,255.2980746709476,213.20950747289615,233.57552905303515,213.20950747289572,190.62759766857312,213.20950747289587,186.36357988967742,213.08446076587677,213.20950747289788,270.7930597001899,186.36357988967725,236.8994527476622
376686.10.peg.2054,236.8994527477797,213.209507472896,184.070564227016,213.20950747289572,206.72363465024003,206.76562362830026,213.20950747289552,213.20950747289578,184.07056422701592,186.07692705129787,236.89945274766217,188.2144939320989,236.89945274766168,224.7689913046355,189.6329927542821,259.0753012787408,233.57552905303487,206.72363465024,188.2144939320998,236.89945274766183,236.8994527476626,213.20950747289564,256.9330819583387,190.6275976679052,226.91247231287733,206.76562362830043,236.89945274766265,193.86978969811543,212.06349441162493,236.89945274766214,237.00376540017064,256.2555363287157,232.59614136139584,213.20950747289606,236.89945274768314,209.659027375887,188.21449393209923,252.79772522668924,236.89945274766214,190.62759766790435,213.20950747289615,236.89945274766202,187.150812136077,236.89945274766177,189.03135911016815,213.20950747289578,209.78008488575136,213.20950747289496,184.07056422701575,209.65902737588712,183.96570958576834,213.2095074728959,198.656360385029,233.57552905303515,184.0705642270158,213.20950747289612,211.9707010456765,237.02115977402187,184.07056422701618,213.2095074728961,183.9657095857683,209.65902737588712,206.72363465024014,231.7676476793818,227.48753996112887,232.952951365067,213.20950747289595,184.07056422701555,236.89945274766197,236.89945274766248,233.5755290530347,213.209507472896,187.15081213607638,211.7413056736125,237.00376540017052,188.21449393209895,213.20950747289615,213.20950747289587,213.20950747289578,236.89945274766214,236.8994527476624,236.89945274766237,183.9657095857683,206.91803508353217,210.29857469657003,236.89945274766205,183.9657095857683,186.47118656511242,255.2980746709476,213.20950747289615,233.57552905303515,213.20950747289572,190.62759766857312,213.2095074728961,186.36357988967742,213.08446076587677,213.20950747289788,270.79305970019,186.36357988967723,236.8994527476622
376686.10.peg.665,236.8994527477797,213.209507472896,184.070564227016,213.20950747289572,206.72363465024003,206.76562362830026,213.20950747289552,213.20950747289578,184.07056422701592,186.07692705129787,236.89945274766217,188.2144939320989,236.89945274766168,224.7689913046355,189.6329927542821,259.0753012787408,233.57552905303487,206.72363465024,188.2144939320998,236.89945274766183,236.8994527476626,213.20950747289564,256.9330819583387,190.6275976679052,226.91247231287733,206.76562362830043,236.89945274766265,193.86978969811543,212.06349441162493,236.89945274766214,237.00376540017064,256.2555363287157,232.59614136139584,213.20950747289606,236.89945274768314,209.659027375887,188.21449393209923,252.79772522668924,236.89945274766214,190.62759766790435,213.20950747289615,236.89945274766202,187.150812136077,236.89945274766177,189.03135911016815,213.20950747289578,209.78008488575136,213.20950747289496,184.07056422701575,209.65902737588712,183.96570958576834,213.2095074728959,198.656360385029,233.57552905303515,184.0705642270158,213.20950747289612,211.9707010456765,237.02115977402187,184.07056422701618,213.2095074728961,183.9657095857683,209.65902737588712,206.72363465024014,231.7676476793818,227.48753996112887,232.952951365067,213.20950747289595,184.07056422701555,236.89945274766197,236.89945274766248,233.5755290530347,213.209507472896,187.15081213607638,211.7413056736125,237.00376540017052,188.21449393209895,213.20950747289615,213.20950747289587,213.20950747289578,236.89945274766214,236.8994527476624,236.89945274766237,183.9657095857683,206.91803508353217,210.29857469657003,236.89945274766205,183.9657095857683,186.47118656511242,255.2980746709476,213.20950747289615,233.57552905303515,213.20950747289572,190.62759766857312,213.2095074728961,186.36357988967742,213.08446076587677,213.20950747289788,270.79305970019,186.36357988967723,236.8994527476622
