,Haemophilus parasuis_gapfilled_70,Haemophilus parasuis_gapfilled_90,Haemophilus parasuis_gapfilled_5,Haemophilus parasuis_gapfilled_12,Haemophilus parasuis_gapfilled_25,Haemophilus parasuis_gapfilled_24,Haemophilus parasuis_gapfilled_86,Haemophilus parasuis_gapfilled_77,Haemophilus parasuis_gapfilled_53,Haemophilus parasuis_gapfilled_1,Haemophilus parasuis_gapfilled_96,Haemophilus parasuis_gapfilled_74,Haemophilus parasuis_gapfilled_93,Haemophilus parasuis_gapfilled_66,Haemophilus parasuis_gapfilled_22,Haemophilus parasuis_gapfilled_64,Haemophilus parasuis_gapfilled_29,Haemophilus parasuis_gapfilled_61,Haemophilus parasuis_gapfilled_30,Haemophilus parasuis_gapfilled_68,Haemophilus parasuis_gapfilled_32,Haemophilus parasuis_gapfilled_17,Haemophilus parasuis_gapfilled_21,Haemophilus parasuis_gapfilled_31,Haemophilus parasuis_gapfilled_87,Haemophilus parasuis_gapfilled_50,Haemophilus parasuis_gapfilled_62,Haemophilus parasuis_gapfilled_20,Haemophilus parasuis_gapfilled_3,Haemophilus parasuis_gapfilled_38,Haemophilus parasuis_gapfilled_52,Haemophilus parasuis_gapfilled_26,Haemophilus parasuis_gapfilled_48,Haemophilus parasuis_gapfilled_88,Haemophilus parasuis_gapfilled_97,Haemophilus parasuis_gapfilled_80,Haemophilus parasuis_gapfilled_76,Haemophilus parasuis_gapfilled_75,Haemophilus parasuis_gapfilled_27,Haemophilus parasuis_gapfilled_63,Haemophilus parasuis_gapfilled_6,Haemophilus parasuis_gapfilled_39,Haemophilus parasuis_gapfilled_36,Haemophilus parasuis_gapfilled_42,Haemophilus parasuis_gapfilled_78,Haemophilus parasuis_gapfilled_83,Haemophilus parasuis_gapfilled_34,Haemophilus parasuis_gapfilled_4,Haemophilus parasuis_gapfilled_2,Haemophilus parasuis_gapfilled_56,Haemophilus parasuis_gapfilled_0,Haemophilus parasuis_gapfilled_9,Haemophilus parasuis_gapfilled_69,Haemophilus parasuis_gapfilled_73,Haemophilus parasuis_gapfilled_44,Haemophilus parasuis_gapfilled_37,Haemophilus parasuis_gapfilled_47,Haemophilus parasuis_gapfilled_54,Haemophilus parasuis_gapfilled_10,Haemophilus parasuis_gapfilled_11,Haemophilus parasuis_gapfilled_40,Haemophilus parasuis_gapfilled_98,Haemophilus parasuis_gapfilled_89,Haemophilus parasuis_gapfilled_95,Haemophilus parasuis_gapfilled_99,Haemophilus parasuis_gapfilled_49,Haemophilus parasuis_gapfilled_81,Haemophilus parasuis_gapfilled_19,Haemophilus parasuis_gapfilled_41,Haemophilus parasuis_gapfilled_51,Haemophilus parasuis_gapfilled_55,Haemophilus parasuis_gapfilled_35,Haemophilus parasuis_gapfilled_65,Haemophilus parasuis_gapfilled_8,Haemophilus parasuis_gapfilled_43,Haemophilus parasuis_gapfilled_72,Haemophilus parasuis_gapfilled_14,Haemophilus parasuis_gapfilled_85,Haemophilus parasuis_gapfilled_23,Haemophilus parasuis_gapfilled_92,Haemophilus parasuis_gapfilled_57,Haemophilus parasuis_gapfilled_91,Haemophilus parasuis_gapfilled_94,Haemophilus parasuis_gapfilled_59,Haemophilus parasuis_gapfilled_15,Haemophilus parasuis_gapfilled_79,Haemophilus parasuis_gapfilled_16,Haemophilus parasuis_gapfilled_18,Haemophilus parasuis_gapfilled_82,Haemophilus parasuis_gapfilled_60,Haemophilus parasuis_gapfilled_71,Haemophilus parasuis_gapfilled_46,Haemophilus parasuis_gapfilled_67,Haemophilus parasuis_gapfilled_28,Haemophilus parasuis_gapfilled_13,Haemophilus parasuis_gapfilled_58,Haemophilus parasuis_gapfilled_33,Haemophilus parasuis_gapfilled_45,Haemophilus parasuis_gapfilled_84,Haemophilus parasuis_gapfilled_7
557723.8.peg.105,226.2176406194682,236.56511361303998,236.56511361304155,262.5055379034821,232.43801603070554,250.03766804444064,337.145413639073,233.46512486753932,337.472767311794,209.40910454884124,260.5993120394311,274.6734408864787,285.05736471700845,278.53072688889307,254.7534160350669,265.69904453156755,207.7359369602859,232.43801603070588,264.8291005133526,235.3628698971813,236.92846724136962,325.59411964392814,221.43984477189335,285.9465012419037,337.78632439969573,238.02051878952014,228.71851914391263,211.70878972931695,342.9905807151756,250.47276648068043,236.76993570030638,234.06173208887046,270.1091382055878,260.7734977790602,233.26920212344686,276.9226080578339,237.54780393084064,257.8080838533609,259.52762449435255,313.36756964666745,276.6350558779422,264.34727762076795,209.40910454884158,253.25323639256646,237.0506870423846,237.33210497998505,237.5478039308405,239.93622919484474,333.3955777161807,228.45515935025327,239.08517801146178,270.888881930197,271.80548957040367,235.78390524569102,281.4975912762743,286.03294707896146,260.2423599222203,244.91971555810602,254.44589355608127,280.4705721305585,260.46602534369043,246.0737590297793,260.5993120394308,242.82143324474058,229.02869422347993,253.75221427888246,238.00506118350856,237.8304041277291,236.7132185207202,209.40910454884246,234.45754394456583,278.0482522268882,236.86939014501655,257.60086295278614,209.37893405175592,233.0144455510384,256.3471900698638,236.7699357003071,249.23932244872267,286.3696777128877,276.61534156595513,263.9494623605315,235.43451897309524,337.4727673117948,335.197875212536,236.90846549039185,261.78627431359996,250.1375583606214,285.3155108226209,236.92846724137024,236.62622670837234,211.70878972931666,238.00506118350918,361.6854718632025,308.9018867698792,226.89558064005766,236.76993570030695,237.54780393084044,212.67388441122955,219.54179477790555
557723.8.peg.837,226.21764061946814,235.13354956930877,235.1335495693092,262.5055379034821,232.43801603070554,249.80410138764157,336.47624348442366,233.46512486753932,337.472767311794,209.4091045488411,260.5993120394311,274.6734408864787,285.05736471700845,278.1967646221008,254.7534160350669,265.6990445315675,207.7359369602859,232.438016030706,264.8291005133526,230.45702107374416,236.92846724136962,325.59411964392797,221.4398447718932,285.94650124190423,337.7863243996955,238.02051878952014,228.71851914391263,211.70878972931695,332.3561335423235,250.26931066086718,232.25695266111157,234.0617320888707,265.64716002221513,255.80438397685035,233.26920212344686,276.910205865013,237.0744864691032,257.8080838533609,259.52762449435255,313.3675696466649,276.63505587794225,264.34727762076795,209.40910454884158,253.25323639256646,230.7114515402046,233.07826316339273,234.59628765372145,239.75299569361567,333.3955777161801,227.6504430561501,239.08517801146178,270.88888193019807,271.80548957040344,231.4370780853915,276.581525494256,286.03294707896146,260.24235992222026,239.60904278113873,254.44589355609045,275.1280817624454,257.83087783894325,246.0737590297793,260.5993120394308,235.74702170390654,229.02869422347993,253.75221427888155,236.86657992838707,232.58945184411866,236.7132185207202,209.4091045488421,234.22760748637833,273.5870285018214,235.38036011063198,254.0057344188879,209.37893405175592,233.01444555103834,253.12974665449403,236.7699357003067,249.23932244872267,286.3696777128877,268.7671652001258,263.9494623605315,235.43451897309225,337.47276731179494,330.4517997445341,236.9084654903917,260.6820757268032,250.13755836062197,285.3155108226209,236.92846724137024,236.6262267083723,211.70878972931666,238.00506118350899,361.68547186320205,308.9018867698792,226.4750648312992,230.85612108290633,237.54780393084044,212.6738844112301,219.54179477790555
557723.8.peg.1258,226.21764061946814,236.56511361304152,236.56511361304155,262.5055379034821,232.43801603070554,250.03766804444032,337.14541363907057,233.46512486753932,337.472767311794,209.4091045488411,260.5993120394311,274.6734408864787,285.05736471700845,278.53072688889245,254.7534160350669,265.6990445315675,207.7359369602859,232.438016030706,264.8291005133526,235.3628698971816,236.92846724136962,325.59411964392797,221.4398447718932,285.94650124190423,337.7863243996955,238.02051878952014,228.71851914391263,211.70878972931695,342.99058071517686,250.47276648068058,236.76993570030646,234.0617320888707,270.10913820559483,260.7734977790571,233.26920212344686,276.9226080578345,237.5478039308403,257.8080838533609,259.52762449435255,313.3675696466649,276.63505587794225,264.34727762076795,209.40910454884158,253.25323639256646,237.0506870423835,237.33210497998587,237.54780393084064,239.93622919484704,333.3955777161801,228.4551593502532,239.08517801146178,270.88888193019807,271.80548957040344,235.78390524569167,281.4975912762729,286.03294707896146,260.24235992222026,244.91971555810588,254.44589355609045,280.470572130559,260.4660253436912,246.0737590297793,260.5993120394308,242.82143324474092,229.02869422347993,253.75221427888155,238.00506118350862,237.8304041277293,236.7132185207202,209.4091045488421,234.45754394455594,278.0482522268883,236.86939014501647,257.60086295278575,209.37893405175592,233.01444555103834,256.34719006986563,236.7699357003067,249.23932244872267,286.3696777128877,276.6153415659557,263.9494623605318,235.43451897309225,337.47276731179494,335.1978752125856,236.9084654903917,261.786274313601,250.13755836062197,285.3155108226209,236.92846724137024,236.62622670837234,211.70878972931666,238.00506118350899,361.68547186320205,308.9018867698792,226.89558064005723,236.76993570030683,237.54780393084044,212.6738844112301,219.54179477790555
557723.8.peg.1578,1.2195015005884507e-13,0.0,-1.3725176619536805e-12,-2.9582849549149575e-13,4.3391286877818917e-13,-7.403120704372145e-14,3.560859798912045e-13,3.580527498851818e-13,3.0541334661514783e-13,-4.769218116294715e-13,2.5937192700021717e-13,9.992303452118749e-14,-1.2364723552173085e-13,-1.796566113840907e-13,0.0,-2.2547601277732953e-13,-1.7903992230758948e-13,2.7488064384454786e-14,-3.4634759332806893e-13,1.1996295226307072e-13,1.298659392275756e-13,-1.2780902228377967e-13,9.246607444267525e-14,-2.970234887284117e-13,-1.1157064155690095e-13,-1.0985406907061662e-13,6.513906414170846e-13,-2.549248542216641e-13,-3.2115228512507485e-13,-1.646786324619413e-13,4.970150635264335e-13,9.355149236709451e-15,-5.292053982788135e-13,5.0695305582196874e-14,-9.019909281741109e-13,-6.824722277292869e-13,8.878069957373758e-13,1.1511599467199842e-14,5.072241171354219e-13,0.0,4.523636594847586e-14,1.2783043903164006e-13,0.0,-2.536671791120861e-13,0.0,4.800178221910827e-14,8.749601151404697e-14,-4.021732676835619e-14,-4.8486197231791764e-14,1.0156112470999149e-13,-1.7683111248394162e-13,-3.1798765892868406e-13,1.4783715866553747e-14,-1.2765269224097112e-13,0.0,-4.148585774461064e-14,-9.586364260494996e-14,-2.0848939298453404e-12,-1.9031304246439148e-13,7.352873441551412e-15,-8.714132314878688e-13,2.391741381626246e-13,-1.9553492975380158e-14,-1.0214714923182252e-13,-1.5045949144644417e-13,-1.4174528891845358e-13,-4.14862185736016e-12,5.4331695198183637e-14,-1.5674733521879482e-12,-8.851193689380751e-14,-2.1578176007526242e-14,0.0,1.576857069419927e-13,-2.632751259982369e-13,7.385725604663013e-13,6.110852114674199e-14,-1.3653429645258499e-15,-7.412857373476159e-14,4.4100586207259185e-14,-5.484962602873754e-13,0.0,8.084214057779471e-14,9.201249652030897e-15,-4.242775751209101e-12,-1.31836428702926e-13,-1.5818891213325927e-14,-6.668482333249517e-13,-3.824236855969705e-13,4.2897173971719405e-13,3.701647528788665e-13,-8.973901432806931e-14,1.518045542764429e-13,-4.5750681276818225e-14,2.093494894761697e-12,2.0774145203850424e-13,-4.000294586435945e-14,6.002278170723507e-14,1.8701769148001274e-12,-8.349125555104889e-14,-2.8851182836950717e-12
557723.8.peg.1998,226.21764061946874,236.56511361304118,236.56511361304123,262.50553790348243,232.43801603070656,250.03766804443944,337.14541363907387,233.46512486754023,337.4727673117943,209.40910454884167,260.59931203943063,274.6734408864447,285.05736471700703,278.53072688889245,254.75341603506718,265.69904453156784,207.73593696028547,232.43801603070483,264.8291005133539,235.36286989718175,236.92846724136882,325.59411964392734,221.43984477189477,285.9465012419049,337.7863243996932,238.02051878952048,228.7185191439123,211.70878972931732,342.99058071517794,250.4727664806801,236.76993570030683,234.06173208886975,270.10913820558875,260.7734977790637,233.26920212344592,276.9226080578351,237.54780393084056,257.808083853361,259.5276244943533,313.3675696466672,276.6350558779428,264.3472776207684,209.40910454884153,253.2532363925655,237.0506870423832,237.33210497998596,237.54780393084002,239.93622919484454,333.39557771617984,228.45515935025213,239.08517801146147,270.88888193019557,271.8054895704027,235.7839052456923,281.49759127627306,286.03294707895753,260.2423599222205,244.91971555810625,254.44589355608855,280.4705721305592,260.4660253436905,246.07375902977813,260.59931203943285,242.8214332447396,229.02869422347936,253.75221427888255,238.0050611835088,237.8304041277298,236.71321852072066,209.40910454883257,234.45754394455523,278.04825222688885,236.8693901450169,257.6008629527791,209.37893405175654,233.01444555103876,256.34719006986495,236.7699357003069,249.23932244872432,286.36967771289096,276.6153415659561,263.94946236053147,235.4345189730979,337.47276731179454,335.1978752125855,236.90846549039478,261.7862743136008,250.13755836062282,285.31551082262115,236.92846724137183,236.62622670837234,211.70878972931698,238.00506118350884,361.6854718632042,308.9018867698788,226.89558064005848,236.7699357003068,237.5478039308408,212.6738844112312,219.54179477790512
557723.8.peg.144,226.2176406194689,236.56511361304118,236.56511361304123,262.50553790348243,232.43801603070656,250.03766804443944,337.1454136390733,233.46512486754023,337.47276731179437,209.40910454884155,260.59931203943063,274.6734408864447,285.0573647170078,278.53072688889245,254.75341603506718,265.69904453156784,207.73593696028507,232.4380160307056,264.8291005133539,235.36286989718175,236.92846724136882,325.59411964392734,221.43984477189477,285.9465012419096,337.7863243996933,238.02051878952048,228.7185191439123,211.70878972931732,342.9905807151781,250.4727664806801,236.76993570030683,234.06173208886975,270.10913820558955,260.7734977790637,233.26920212344592,276.9226080578351,237.5478039308405,257.808083853361,259.5276244943534,313.3675696466669,276.6350558779428,264.3472776207684,209.40910454884153,253.2532363925655,237.0506870423832,237.33210497998587,237.54780393084002,239.93622919484454,333.39557771617996,228.45515935025213,239.08517801146147,270.88888193019557,271.8054895704027,235.7839052456923,281.4975912762731,286.03294707895753,260.2423599222205,244.91971555810625,254.44589355608855,280.4705721305592,260.46602534369043,246.07375902977813,260.59931203943285,242.8214332447396,229.02869422347877,253.75221427888292,238.00506118350856,237.83040412772962,236.71321852072006,209.40910454883257,234.45754394455508,278.04825222688885,236.8693901450169,257.6008629527849,209.37893405175654,233.01444555103896,256.34719006986506,236.76993570030723,249.23932244872432,286.3696777128922,276.6153415659561,263.94946236053147,235.4345189730979,337.47276731179466,335.1978752125851,236.90846549039478,261.7862743136008,250.13755836062282,285.31551082262115,236.92846724137183,236.62622670837234,211.70878972931698,238.00506118350884,361.6854718632042,308.9018867698788,226.89558064005848,236.7699357003068,237.54780393084084,212.67388441123146,219.54179477790512
557723.8.peg.1406,-1.6730674462741087e-13,7.063831152126067e-14,2.4048306865836405e-13,1.9580635941858455e-13,-4.946432908334032e-14,3.307119599900178e-13,-1.8609646746745867e-13,2.907135784501753e-13,2.1751102343423362e-14,0.0,1.287630085213983e-13,-8.214389771708945e-14,-7.13372478956464e-13,1.7059497729267065e-14,1.3378094115990588e-13,4.0213765347775017e-13,1.7248131533624002e-13,3.416486504169733e-14,-1.0263983857395791e-13,0.0,1.7002454403558504e-14,0.0,-1.1683242330794509e-13,7.617685919593899e-14,-4.3712331701714255e-14,-3.97147027248607e-13,2.046095306045046e-13,-1.0759532559077053e-13,-3.026869518084046e-13,7.085153978560257e-14,7.71917731075108e-13,1.6002439037871883e-13,3.538451376830826e-13,2.958065001893614e-14,3.584288942062521e-12,5.010113421052522e-13,-1.8378304854723602e-13,-3.39052152244763e-13,-1.8957368559003083e-13,-6.372206365676372e-13,-4.1119371323524665e-13,-9.894095937171882e-14,6.917265029409111e-14,-9.837042746159315e-13,1.6048262696760152e-13,1.5845187073966176e-13,9.840213766714748e-15,-1.0341644609712168e-13,4.4238522460387926e-13,6.889068764097987e-13,-2.4276533696725053e-12,7.808134044393837e-13,1.09190816133329e-13,-7.820966404454064e-13,2.694442657816108e-13,1.7994792000043833e-13,-1.1576075219579212e-13,2.673726624792341e-13,-1.2800814029420163e-13,-4.565335811348448e-13,0.0,1.9239189723322495e-13,2.864738501248647e-14,5.720768375793396e-14,-2.56131813520079e-14,-1.6267970717444792e-13,0.0,-2.0770304053750104e-13,2.1019511475486833e-13,9.560708930972288e-13,1.364078651227708e-13,4.981088068091234e-14,0.0,1.1459984992684008e-14,1.127076543654271e-14,-1.401817470409034e-13,1.7181294921316233e-13,-1.760451251311225e-13,3.4233759607766606e-13,8.126634363977786e-15,-6.162959083075395e-13,2.624466706569784e-14,3.4616416749808166e-14,4.647907756068584e-13,4.92689158814546e-14,5.8583041442037e-14,1.4157658430530532e-13,-1.9010486986416965e-13,-2.3758254565096044e-13,-2.9557303522761183e-13,5.854156244656209e-13,3.423769310474641e-13,3.0380710021155568e-12,-2.782819270113488e-15,-1.3910010008923536e-13,7.746322235639537e-13,8.838176966938935e-14,-1.6632245199515526e-13,-1.142713193381355e-13,4.2093034644384044e-13
557723.8.peg.827,226.2176406194692,236.56511361304118,236.56511361304126,262.50553790348266,232.4380160307053,250.03766804443998,337.1454136390735,233.46512486754054,337.472767311795,209.40910454884158,260.5993120394311,274.6734408864883,285.05736471700584,278.53072688889273,254.7534160350663,265.69904453156784,207.73593696028362,232.43801603068894,264.82910051335364,235.3628698971819,236.9284672413691,325.5941196439269,221.43984477189377,285.9465012419038,337.78632439969414,238.02051878952088,228.71851914391175,211.70878972931624,342.9905807151754,250.4727664806807,236.76993570030473,234.06173208887137,270.1091382055943,260.773497779063,233.26920212327096,276.92260805783474,237.54780393084064,257.80808385336127,259.5276244943543,313.36756964666745,276.63505587794265,264.3472776207684,209.4091045488433,253.25323639256442,237.05068704238377,237.3321049799856,237.5478039308406,239.93622919484383,333.39557771618036,228.45515935024702,239.08517801146203,270.8888819301957,271.8054895704026,235.78390524569198,281.4975912762733,286.0329470789628,260.24235992222435,244.9197155581061,254.44589355608645,280.47057213055945,260.4660253436905,246.0737590297801,260.5993120394312,242.82143324474202,229.02869422347916,253.75221427888275,238.0050611835088,237.8304041277292,236.71321852072003,209.40910454884155,234.45754394455616,278.04825222688896,236.86939014501627,257.6008629527864,209.37893405175532,233.01444555103905,256.3471900698657,236.7699357003068,249.23932244872302,286.3696777128895,276.61534156595576,263.9494623605314,235.43451897309734,337.4727673117947,335.197875212585,236.908465490391,261.7862743136015,250.13755836062197,285.3155108226213,236.92846724136933,236.6262267083722,211.70878972931675,238.00506118350955,361.6854718632032,308.9018867698719,226.89558064005774,236.76993570030365,237.54780393084036,212.67388441123128,219.54179477790572
557723.8.peg.288,-8.302040846735776e-14,1.7702236601889816e-13,2.520459442529307e-13,3.3609479778590986e-13,5.067593130296354e-13,-3.3395225966451397e-13,1.5074929625536746e-12,-2.206889164185085e-12,-9.787445783723752e-14,-9.971754515155026e-14,3.543691780944271e-13,2.580191335132055e-13,-2.7023957645543173e-13,-4.316376369601839e-12,5.552363894407836e-13,1.3266385618530663e-13,-8.860553138150641e-13,5.355370104625256e-14,7.431575929957861e-13,2.1153287333364985e-15,3.9960381317709004e-14,-8.156934225084424e-14,8.199364351535401e-14,9.441542999213486e-14,1.827999624785184e-14,4.302946104777682e-13,-1.0535090455969265e-13,1.1327653466124797e-13,1.574827784856392e-13,-9.260640880652125e-16,-1.6183684221014203e-14,2.6692896400137094e-13,1.9252451981698396e-12,9.022440109308566e-14,1.799476349752247e-13,5.14987572131385e-13,-8.863852900765118e-14,-1.2414370329636884e-13,-4.3412693349809044e-13,2.468623341904768e-13,-7.909793659269482e-14,-4.833539419146649e-15,-1.749732719576163e-13,7.585408429988349e-13,0.0,-1.7137031050623948e-14,-2.893551827221157e-14,3.163642028477086e-13,1.716683843353197e-13,-2.4965791666790514e-13,-2.6359904274349554e-13,-8.512629111323119e-13,-1.209479365508367e-13,-1.5874831403439827e-13,5.704572876286363e-13,3.4487471190070696e-13,0.0,-2.632575153329409e-13,3.929865686384553e-13,-3.6307543068511227e-13,7.571899054743941e-14,1.0535125556418783e-12,-2.2805797917369077e-13,-5.9830154134353695e-12,3.2042181826069253e-13,6.258526686448179e-14,-8.019392465604693e-15,-8.640694092353803e-13,-6.678850296716226e-13,3.57432479378845e-14,-8.474330612986155e-14,3.6400154153906653e-13,3.15958281279471e-13,-6.99279065720551e-14,7.418259776612295e-13,-2.2119943413983634e-14,-1.2435539673711022e-13,-8.547749247729018e-14,0.0,3.49469909653934e-13,-2.6447441812583655e-13,5.796233982894999e-15,2.421883860260174e-12,0.0,9.707069023414811e-15,3.126451476783864e-12,-2.044956407138326e-13,-3.047502288597501e-13,-8.024828784229498e-14,-7.051283273977113e-14,1.0210752605590945e-13,-7.590875851979807e-14,2.3137402652087516e-13,1.8671745959384343e-13,9.62561229465283e-13,-7.92298951754173e-14,2.129859727931161e-15,-4.006131633047902e-13,2.493561300632463e-13,-3.288852002426637e-13
557723.8.peg.21,226.21764061946757,236.5651136130419,236.56511361304123,262.5055379034819,232.43801603071498,250.0376680444394,337.14541363907114,233.46512486754023,337.4727673117948,209.40910454884184,260.59931203943086,274.6734408864768,285.05736471700817,278.5307268888941,254.7534160350674,265.69904453156715,207.7359369602834,232.43801603070582,264.8291005133537,235.3628698971817,236.92846724136945,325.59411964393223,221.43984477189377,285.9465012419045,337.7863243997049,238.02051878952068,228.71851914391297,211.7087897293134,342.9905807151767,250.4727664806801,236.76993570030714,234.06173208887108,270.1091382055877,260.7734977790635,233.26920212344595,276.92260805783513,237.5478039308403,257.8080838533611,259.52762449435335,313.36756964666637,276.6350558779426,264.347277620767,209.4091045488415,253.2532363925659,237.05068704238357,237.33210497998581,237.5478039308407,239.9362291948448,333.39557771618047,228.45515935025264,239.08517801146115,270.88888193019744,271.80548957040344,235.78390524569159,281.49759127627283,286.03294707895685,260.2423599222214,244.9197155581068,254.44589355608696,280.4705721305594,260.46602534369106,246.07375902977455,260.5993120394309,242.82143324473418,229.0286942234795,253.75221427888278,238.00506118350927,237.83040412772917,236.7132185207204,209.4091045488417,234.45754394455497,278.048252226891,236.86939014501598,257.6008629527858,209.3789340517561,233.0144455510375,256.34719006986484,236.76993570030646,249.23932244872418,286.36967771289073,276.6153415659581,263.9494623605286,235.43451897310064,337.4727673117954,335.1978752125833,236.90846549039247,261.78627431360155,250.13755836062066,285.3155108226224,236.92846724136976,236.62622670837183,211.70878972931675,238.0050611835092,361.6854718632041,308.90188676987157,226.89558064005996,236.7699357003066,237.54780393084155,212.67388441123128,219.54179477790535
