,Sphingobacterium spiritivorum_gapfilled_48,Sphingobacterium spiritivorum_gapfilled_49,Sphingobacterium spiritivorum_gapfilled_28,Sphingobacterium spiritivorum_gapfilled_60,Sphingobacterium spiritivorum_gapfilled_88,Sphingobacterium spiritivorum_gapfilled_46,Sphingobacterium spiritivorum_gapfilled_27,Sphingobacterium spiritivorum_gapfilled_30,Sphingobacterium spiritivorum_gapfilled_96,Sphingobacterium spiritivorum_gapfilled_47,Sphingobacterium spiritivorum_gapfilled_62,Sphingobacterium spiritivorum_gapfilled_35,Sphingobacterium spiritivorum_gapfilled_43,Sphingobacterium spiritivorum_gapfilled_87,Sphingobacterium spiritivorum_gapfilled_99,Sphingobacterium spiritivorum_gapfilled_55,Sphingobacterium spiritivorum_gapfilled_23,Sphingobacterium spiritivorum_gapfilled_9,Sphingobacterium spiritivorum_gapfilled_37,Sphingobacterium spiritivorum_gapfilled_73,Sphingobacterium spiritivorum_gapfilled_11,Sphingobacterium spiritivorum_gapfilled_53,Sphingobacterium spiritivorum_gapfilled_81,Sphingobacterium spiritivorum_gapfilled_68,Sphingobacterium spiritivorum_gapfilled_29,Sphingobacterium spiritivorum_gapfilled_20,Sphingobacterium spiritivorum_gapfilled_10,Sphingobacterium spiritivorum_gapfilled_1,Sphingobacterium spiritivorum_gapfilled_41,Sphingobacterium spiritivorum_gapfilled_15,Sphingobacterium spiritivorum_gapfilled_75,Sphingobacterium spiritivorum_gapfilled_59,Sphingobacterium spiritivorum_gapfilled_2,Sphingobacterium spiritivorum_gapfilled_84,Sphingobacterium spiritivorum_gapfilled_64,Sphingobacterium spiritivorum_gapfilled_98,Sphingobacterium spiritivorum_gapfilled_40,Sphingobacterium spiritivorum_gapfilled_95,Sphingobacterium spiritivorum_gapfilled_70,Sphingobacterium spiritivorum_gapfilled_8,Sphingobacterium spiritivorum_gapfilled_14,Sphingobacterium spiritivorum_gapfilled_52,Sphingobacterium spiritivorum_gapfilled_74,Sphingobacterium spiritivorum_gapfilled_4,Sphingobacterium spiritivorum_gapfilled_54,Sphingobacterium spiritivorum_gapfilled_45,Sphingobacterium spiritivorum_gapfilled_44,Sphingobacterium spiritivorum_gapfilled_16,Sphingobacterium spiritivorum_gapfilled_66,Sphingobacterium spiritivorum_gapfilled_18,Sphingobacterium spiritivorum_gapfilled_51,Sphingobacterium spiritivorum_gapfilled_89,Sphingobacterium spiritivorum_gapfilled_19,Sphingobacterium spiritivorum_gapfilled_71,Sphingobacterium spiritivorum_gapfilled_83,Sphingobacterium spiritivorum_gapfilled_17,Sphingobacterium spiritivorum_gapfilled_7,Sphingobacterium spiritivorum_gapfilled_82,Sphingobacterium spiritivorum_gapfilled_0,Sphingobacterium spiritivorum_gapfilled_58,Sphingobacterium spiritivorum_gapfilled_76,Sphingobacterium spiritivorum_gapfilled_77,Sphingobacterium spiritivorum_gapfilled_63,Sphingobacterium spiritivorum_gapfilled_86,Sphingobacterium spiritivorum_gapfilled_93,Sphingobacterium spiritivorum_gapfilled_69,Sphingobacterium spiritivorum_gapfilled_13,Sphingobacterium spiritivorum_gapfilled_42,Sphingobacterium spiritivorum_gapfilled_91,Sphingobacterium spiritivorum_gapfilled_32,Sphingobacterium spiritivorum_gapfilled_5,Sphingobacterium spiritivorum_gapfilled_12,Sphingobacterium spiritivorum_gapfilled_72,Sphingobacterium spiritivorum_gapfilled_94,Sphingobacterium spiritivorum_gapfilled_90,Sphingobacterium spiritivorum_gapfilled_6,Sphingobacterium spiritivorum_gapfilled_92,Sphingobacterium spiritivorum_gapfilled_80,Sphingobacterium spiritivorum_gapfilled_39,Sphingobacterium spiritivorum_gapfilled_31,Sphingobacterium spiritivorum_gapfilled_34,Sphingobacterium spiritivorum_gapfilled_25,Sphingobacterium spiritivorum_gapfilled_57,Sphingobacterium spiritivorum_gapfilled_36,Sphingobacterium spiritivorum_gapfilled_79,Sphingobacterium spiritivorum_gapfilled_85,Sphingobacterium spiritivorum_gapfilled_97,Sphingobacterium spiritivorum_gapfilled_3,Sphingobacterium spiritivorum_gapfilled_78,Sphingobacterium spiritivorum_gapfilled_21,Sphingobacterium spiritivorum_gapfilled_67,Sphingobacterium spiritivorum_gapfilled_22,Sphingobacterium spiritivorum_gapfilled_26,Sphingobacterium spiritivorum_gapfilled_56,Sphingobacterium spiritivorum_gapfilled_24,Sphingobacterium spiritivorum_gapfilled_38,Sphingobacterium spiritivorum_gapfilled_33,Sphingobacterium spiritivorum_gapfilled_61,Sphingobacterium spiritivorum_gapfilled_50,Sphingobacterium spiritivorum_gapfilled_65
525372.3.peg.3695,217.662754204362,240.51581548534378,216.3836581532435,263.45746273181254,217.13739023252404,217.13739023252083,239.21234557948753,208.70335521558823,217.48735063731695,217.13739023253038,257.2519255442057,217.13739023252285,240.69618633336734,217.48735063731863,218.250376051738,239.21234557948685,241.26376692502544,216.05483636972008,241.84750467151275,237.24495581792564,239.23006566380985,262.7144389541725,215.9953737135715,229.32933088247978,237.49079902234007,212.18519826100047,218.6203788488624,217.153613024492,214.948177326135,214.94817732614283,262.71443895417366,214.94817732614064,218.03076559745884,228.34625688894195,214.94817732614206,262.8993036670464,238.8313081401598,217.13739023252404,240.04308591989613,239.23006566380994,248.0629602763438,238.83130814015792,216.76942988697925,287.07607879657166,233.43616553807243,241.5630231043542,242.23823498632197,238.8313081401578,252.78317389688783,241.2637669250251,214.9481773261421,262.71443895417184,267.2512788214168,233.43616553807212,244.91135264362353,252.1209221397217,222.6787994875074,246.63194779586863,214.82140708114034,215.2911110215373,238.8313081401578,217.13739023252276,233.4361655380721,217.13739023252307,214.9481773261421,238.83130814015783,262.3521999904386,288.0517031038749,240.04308591989636,215.29111102153752,241.28179224943563,211.71284382289062,215.46298854057605,214.948177326142,214.94817732614214,245.6506539295606,214.94817732614192,217.48735063731874,217.1373902325259,211.9158362035904,282.548353874577,215.29111102153823,214.94817732614138,241.2637669250253,240.4280028853326,241.2637669250247,217.13739023252353,218.0307655974587,239.21234557948688,215.80756820516942,228.3462568889419,214.948177326159,215.80756820516612,211.99822469488728,204.2381215620731,218.2503760517391,217.4873506373188,214.94817732614214,211.95589278446369,214.948177326142
525372.3.peg.2194,217.662754204362,240.51581548534378,216.3836581532435,263.45746273181254,217.13739023252404,217.13739023252083,239.21234557948753,208.70335521558823,217.48735063731695,217.13739023253092,257.2519255442057,217.13739023252285,240.6961863333647,217.48735063731866,218.25037605173688,239.21234557948685,241.26376692502544,216.05483636972008,241.84750467151278,237.24495581792553,239.23006566380985,262.7144389541725,215.9953737135715,229.32933088248,237.49079902234067,212.18519826100047,218.6203788488624,217.1536130244924,214.94817732613546,214.94817732614192,262.71443895417366,214.94817732614064,218.03076559745884,228.34625688894195,214.94817732614206,262.8993036670464,238.8313081401598,217.13739023252515,240.04308591989616,239.23006566380994,248.0629602763438,238.83130814015792,216.76942988697925,287.07607879657184,233.43616553807226,241.5630231043542,242.23823498632186,238.83130814015783,252.7831738968879,241.2637669250251,214.9481773261421,262.71443895417184,267.2512788214166,233.43616553807212,244.91135264362305,252.1209221397217,222.6787994875074,246.63194779586897,214.82140708113872,215.2911110215373,238.8313081401578,217.13739023252276,233.43616553807212,217.13739023252307,214.9481773261421,238.83130814015783,262.3521999904386,288.0517031038746,240.04308591989647,215.29111102153752,241.28179224943563,211.71284382289062,215.46298854057605,214.948177326142,214.94817732614214,245.6506539295606,214.94817732614192,217.48735063731874,217.1373902325259,211.9158362035904,282.54835387460315,215.29111102153823,214.94817732614138,241.2637669250253,240.42800288533218,241.2637669250247,217.13739023252353,218.0307655974587,239.21234557948688,215.80756820516942,228.3462568889419,214.948177326159,215.8075682051662,211.99822469488757,204.2381215620731,218.2503760517391,217.4873506373188,214.94817732614214,211.95589278446369,214.948177326142
525372.3.peg.207,217.662754204362,240.51581548534378,216.3836581532435,263.45746273181254,217.13739023252404,217.13739023252083,239.21234557948753,208.70335521558823,217.48735063731695,217.13739023253092,257.2519255442057,217.13739023252285,240.6961863333647,217.48735063731866,218.25037605173688,239.21234557948685,241.26376692502544,216.05483636972008,241.84750467151278,237.24495581792553,239.23006566380985,262.7144389541725,215.9953737135715,229.32933088248,237.49079902234067,212.18519826100047,218.6203788488624,217.1536130244924,214.94817732613546,214.94817732614192,262.71443895417366,214.94817732614064,218.03076559745884,228.34625688894195,214.94817732614206,262.8993036670464,238.8313081401598,217.13739023252515,240.04308591989616,239.23006566380994,248.0629602763438,238.83130814015792,216.76942988697925,287.07607879657184,233.43616553807226,241.5630231043542,242.23823498632186,238.83130814015783,252.7831738968879,241.2637669250251,214.9481773261421,262.71443895417184,267.2512788214166,233.43616553807212,244.91135264362305,252.1209221397217,222.6787994875074,246.63194779586897,214.82140708113872,215.2911110215373,238.8313081401578,217.13739023252276,233.43616553807212,217.13739023252307,214.9481773261421,238.83130814015783,262.3521999904386,288.0517031038746,240.04308591989647,215.29111102153752,241.28179224943563,211.71284382289062,215.46298854057605,214.948177326142,214.94817732614214,245.6506539295606,214.94817732614192,217.48735063731874,217.1373902325259,211.9158362035904,282.54835387460315,215.29111102153823,214.94817732614138,241.2637669250253,240.42800288533218,241.2637669250247,217.13739023252353,218.0307655974587,239.21234557948688,215.80756820516942,228.3462568889419,214.948177326159,215.8075682051662,211.99822469488757,204.2381215620731,218.2503760517391,217.4873506373188,214.94817732614214,211.95589278446369,214.948177326142
525372.3.peg.4672,217.662754204362,240.5158154853423,216.38365815324343,263.4574627318805,217.1373902325241,217.13739023252083,239.2123455794883,208.70335521558823,217.48735063731638,217.13739023252307,257.2519255442061,217.13739023252276,240.69618633336827,217.48735063731863,218.25037605173648,239.21234557948688,241.26376692502544,216.05483636971988,241.84750467151275,237.24495581792553,239.23006566381076,262.7144389541706,215.9953737135711,229.3293308824797,237.49079902234067,212.1851982610006,218.62037884886257,217.153613024492,214.94817732614206,214.948177326142,262.71443895417366,214.94817732614064,218.03076559745884,228.34625688894204,214.94817732614206,262.8993036670464,238.83130814015772,217.13739023252478,240.04308591989604,239.23006566380985,248.06296027634468,238.83130814015792,216.76942988697908,287.0760787965718,233.43616553807254,241.56302310435427,242.23823498632197,238.83130814015774,252.7831738968879,241.2637669250252,214.94817732614217,262.7144389541734,267.2512788214166,233.43616553807217,244.91135264362305,252.1209221397217,222.67879948750743,246.63194779587033,214.8214070811377,215.2911110215373,238.8313081401578,217.13739023252276,233.4361655380722,217.13739023252262,214.94817732614277,238.83130814015783,262.3521999904387,288.0517031038754,240.0430859198967,215.29111102153726,241.2817922494352,211.6836032618798,215.4629885405765,214.9481773261421,214.94817732614283,245.32595708903855,214.94817732614192,217.48735063731866,217.137390232526,211.91583620359012,282.5483538745942,215.2911110215382,214.94817732614112,241.2637669250253,240.42800288533266,241.26376692502475,217.1373902325225,218.0307655974587,239.2123455794867,215.80756820516942,228.34625688894187,214.948177326159,215.8075682051694,211.99822469488754,204.238121562073,218.25037605173912,217.4873506373188,214.94817732614214,211.95589278446386,214.9481773261419
525372.3.peg.4133,2.292177072088238e-13,-1.7892157309160912e-14,-6.87839073310671e-14,1.1351351241385834e-12,-2.2331207911273274e-13,6.97398826256098e-14,-4.862340579352093e-14,-2.534739665901158e-12,4.315952639002055e-11,-8.982648266115569e-14,-1.7533879898844869e-13,1.2442504332888888e-13,3.326484833866834e-14,-1.5897369886803975e-13,-2.5653041725851526e-13,-2.302564897825722e-13,5.253584658935308e-15,2.51335158073974e-13,-4.749075495202807e-13,0.0,9.815638699793962e-14,-3.8321752380900324e-13,0.0,5.259661974507848e-14,-1.0885723672593958e-14,-5.514165701539596e-14,-3.544778228082771e-13,-1.2953288899090854e-13,-5.939727517659134e-14,-2.4639471517252455e-13,1.1427149339012297e-13,1.3033497452631236e-13,5.57764751350212e-14,-1.3399835124741047e-13,-5.893018342412111e-14,-1.3493224598458633e-14,-8.061005990902535e-14,-1.1198626498378444e-14,0.0,1.553378493669723e-13,3.9447457931443453e-13,-2.562021781947168e-13,-6.464051345742215e-13,-5.794723856332483e-13,2.794550412490704e-13,-3.0945533306333677e-13,-1.2118995520813854e-14,-1.0704057021899713e-13,-3.1969668214324424e-13,-1.7043958581452087e-13,-8.492448918529757e-14,1.917886066051037e-12,-7.052698120172716e-13,6.571945517643045e-14,-5.957394697783605e-14,-5.448105432867642e-13,-7.578075065498473e-14,7.275349959070671e-13,2.3795538482926957e-13,1.4237058155682286e-12,3.8162675512248467e-13,5.1440665033586125e-14,7.014732385654266e-14,9.299410574607848e-16,1.4618943725732996e-13,-2.887627836940183e-13,-1.9396303060902643e-13,9.683761564904023e-14,-3.0566309023101013e-14,-4.69265821821228e-13,1.4134282070204354e-14,1.323610625926918e-13,-5.408820093404498e-13,-7.188182146699268e-15,-8.194550080961144e-14,-7.564814981630144e-14,2.209445833278881e-13,0.0,-2.6450223564737244e-15,0.0,-2.5224822961414173e-14,-2.4669021145985093e-13,-5.733057583002398e-13,1.406505511603566e-13,-1.781288328780284e-12,-1.4995411878084054e-14,1.7593380630589373e-14,-6.3410295450238e-14,-7.304888350659508e-14,-1.3728450281991876e-13,-8.579316805727459e-14,-5.763020150107601e-15,-8.87498665663099e-14,-9.589983141859702e-14,2.337278202674873e-13,3.527571645021881e-14,-5.766732127497122e-13,-4.923285415751473e-14,-1.4791759405221722e-13,2.3880939471937513e-14
525372.3.peg.496,217.6627542043619,240.51581548534412,216.38365815324755,263.45746273187643,217.13739023252282,217.1373902325229,239.21234557948745,208.7033552155882,217.48735063731814,217.1373902325219,257.25192554420005,217.13739023252293,240.696186333368,217.48735063731863,218.25037605173824,239.21234557948685,241.2637669250252,216.05483636971945,241.84750467151278,237.24495581792405,239.23006566380872,262.7144389541736,215.99537371357093,229.32933088247984,237.4907990223335,212.18519826100078,218.62037884886308,217.15361302449267,214.94817732614183,214.94817732614328,262.71443895417354,214.94817732614231,218.03076559745884,228.34625688894144,214.9481773261419,262.8993036670514,238.83130814015686,217.13739023252268,240.0430859198959,239.23006566380977,248.062960276344,238.83130814015757,216.7694298869792,287.07607879657104,233.43616553807195,241.5630231043542,242.23823498632134,238.8313081401579,252.78317389688738,241.26376692502535,214.94817732614175,262.71443895417303,267.2512788214172,233.43616553807263,244.9113526436234,252.12092213972124,222.67879948750752,246.63194779586865,214.8214070811405,215.2911110215376,238.83130814015746,217.13739023252307,233.43616553807212,217.1373902325236,214.94817732614234,238.831308140158,262.35219999043727,288.0517031038751,240.04308591989547,215.29111102154846,241.2817922494354,211.71284382289065,215.46298854057773,214.9481773261419,214.94817732614223,245.6506539295606,214.94817732614132,217.4873506373184,217.13739023252285,211.91583620359015,282.54835387459684,215.29111102153803,214.94817732614223,241.2637669250244,240.42800288533525,241.2637669250253,217.13739023252262,218.03076559745955,239.21234557948685,215.8075682051696,228.34625688894258,214.94817732614217,215.80756820516595,211.99822469488865,204.2381215620724,218.250376051738,217.4873506373183,214.94817732614183,211.9558927844639,214.9481773261419
525372.3.peg.1051,217.6627542043619,240.51581548534412,216.38365815324755,263.45746273187643,217.13739023252282,217.1373902325229,239.21234557948745,208.7033552155882,217.48735063731814,217.13739023252126,257.25192554420005,217.13739023252293,240.696186333368,217.48735063731863,218.25037605173824,239.21234557948685,241.2637669250251,216.05483636971945,241.84750467151278,237.24495581792405,239.23006566380872,262.7144389541736,215.99537371357093,229.32933088247984,237.4907990223335,212.18519826100078,218.62037884886308,217.15361302449267,214.94817732614192,214.94817732614328,262.71443895417354,214.94817732614231,218.03076559745884,228.34625688894144,214.9481773261419,262.8993036670514,238.83130814015686,217.13739023252268,240.0430859198959,239.23006566380977,248.062960276344,238.83130814015755,216.7694298869792,287.07607879657104,233.43616553807195,241.5630231043542,242.23823498632134,238.8313081401579,252.78317389688732,241.26376692502535,214.94817732614175,262.7144389541736,267.25127882141715,233.43616553807263,244.91135264362322,252.12092213972124,222.67879948750752,246.63194779586865,214.82140708114073,215.2911110215376,238.83130814015746,217.13739023252307,233.4361655380721,217.13739023252342,214.94817732614234,238.831308140158,262.35219999043744,288.0517031038752,240.04308591989547,215.29111102154846,241.28179224943554,211.71284382289065,215.46298854057773,214.94817732614166,214.94817732614223,245.6506539295606,214.94817732614132,217.4873506373184,217.13739023252293,211.91583620359015,282.54835387459684,215.29111102153803,214.94817732614223,241.26376692502518,240.42800288533525,241.2637669250253,217.13739023252262,218.0307655974597,239.21234557948685,215.8075682051696,228.34625688894258,214.94817732614217,215.80756820517118,211.998224694888,204.2381215620724,218.250376051738,217.4873506373183,214.94817732614183,211.9558927844639,214.9481773261419
525372.3.peg.2711,-7.473768569854941e-14,0.0,-1.1531299254381307e-13,2.2574170964260677e-13,-3.790253591471561e-13,3.2641428480022235e-14,3.0299499411815067e-13,-9.603426253892355e-14,-8.931999190067798e-14,-4.945938971221245e-13,-6.053877512787598e-13,4.8485852115857407e-14,-1.183252263684818e-14,0.0,-2.1403251403934165e-13,5.110376248247921e-14,-1.997904520220438e-13,1.4730684768750465e-13,-3.8498003641253317e-14,0.0,7.330704767239069e-13,-2.2715162367690235e-13,-4.719200453049563e-14,9.495700464331737e-14,-9.372185973630206e-13,1.8757900673568914e-13,0.0,2.8583028630237e-13,-2.6115042275939117e-13,-5.574606716843137e-13,-1.243750129622869e-13,1.187866424536562e-13,-1.0028276388753027e-13,3.400125096482199e-14,7.792284176460628e-14,-7.838047748165229e-14,3.8596314079793386e-13,-7.537058084999006e-13,3.2375487529684106e-13,-1.637955417125368e-13,-2.5493105844932704e-15,-1.0601505971211314e-13,-1.5318209931780672e-11,-9.156110566117881e-14,2.492804736301371e-13,9.330927504238967e-13,-2.1984104593464184e-14,4.0341250123187955e-14,-6.668495247871192e-16,-7.090607131445944e-14,-3.6942776324398696e-13,-1.8803602921170783e-13,-1.660333170530005e-13,7.890239235813215e-15,9.264608097256786e-13,8.057907526160027e-14,-7.906353425992681e-13,-2.2166668769326826e-13,-6.55358076423666e-13,-1.2554847700873724e-13,-2.348706818434164e-14,-3.2068801326282616e-13,2.2354897410125176e-13,1.449713012754244e-13,1.8416421136040523e-13,7.241731460101922e-15,2.6917950435157896e-12,-6.784097485992474e-14,-5.269988692497373e-13,-2.1025400166053754e-13,9.578873357054165e-14,-4.987592997948029e-15,1.2747755364157344e-13,2.2517290514432968e-14,7.799408562997511e-14,2.371191563665577e-13,-3.757919122694356e-12,-5.4545816019308754e-14,-9.530285906482351e-14,-1.4779716226771767e-14,-6.113971918087456e-13,3.0507861127245135e-13,-1.5567641494482179e-13,2.7796172020255563e-14,2.3195216414207143e-13,7.113676395683902e-14,0.0,5.619004487568226e-14,1.8880953208223065e-13,3.0837144675725075e-12,-7.443227281905661e-14,-5.65329520047544e-14,1.1622365992103874e-13,4.658626029252994e-13,7.47251930841909e-14,4.0341045535676764e-14,-3.760625202835329e-14,-6.461812108173809e-13,-8.650795442864086e-13,1.779149706672014e-14
525372.3.peg.3970,217.66275420436133,240.51581548534386,216.38365815324775,263.45746273188087,217.1373902325235,217.13739023252302,239.2123455794868,208.70335521558124,217.4873506373193,217.13739023252293,257.2519255442056,217.13739023252282,240.696186333368,217.48735063731863,218.25037605173844,239.21234557948722,241.26376692502424,216.05483636972014,241.84750467150164,237.24495581792658,239.23006566380965,262.714438954173,215.99537371357127,229.32933088247927,237.4907990223342,212.18519826100012,218.620378848862,217.15361302449335,214.94817732614172,214.9481773261418,262.71443895417246,214.94817732614197,218.03076559745764,228.34625688894172,214.9481773261425,262.89930366704556,238.83130814015766,217.1373902325229,240.0430859198959,239.2300656638099,248.06296027634474,238.83130814015746,216.7694298869789,287.0760787965717,233.43616553807254,241.56302310435396,242.23823498631793,238.83130814015715,252.7831738968886,241.2637669250268,214.94817732614223,262.71443895417195,267.25127882141766,233.4361655380731,244.91135264362296,252.12092213972082,222.67879948750536,246.6319477958696,214.82140708114076,215.29111102153746,238.83130814015772,217.13739023252225,233.4361655380721,217.1373902325227,214.94817732614234,238.8313081401579,262.3521999904372,288.05170310387285,240.0430859198959,215.2911110215379,241.28179224943554,211.71284382289062,215.4629885405768,214.94817732614226,214.94817732614217,245.65065392956032,214.9481773261414,217.48735063731712,217.13739023252268,211.9158362035902,282.5483538745974,215.29111102153772,214.94817732614223,241.26376692502495,240.42800288533292,241.26376692502467,217.13739023252202,218.0307655974587,239.21234557948696,215.8075682051693,228.34625688894326,214.9481773261419,215.80756820516964,211.9982246948883,204.238121562073,218.250376051738,217.48735063731857,214.94817732614192,211.9558927844641,214.948177326142
525372.3.peg.3968,217.66275420436125,240.51581548534386,216.38365815324775,263.45746273188104,217.1373902325235,217.13739023252302,239.2123455794868,208.70335521558124,217.4873506373193,217.13739023252293,257.2519255442056,217.1373902325227,240.696186333368,217.48735063731863,218.25037605173844,239.21234557948705,241.26376692502424,216.05483636972014,241.84750467150153,237.24495581792658,239.23006566380965,262.71443895417303,215.99537371357127,229.32933088247927,237.4907990223342,212.18519826100012,218.620378848862,217.15361302449335,214.9481773261419,214.9481773261418,262.71443895417246,214.94817732614197,218.03076559745764,228.34625688894172,214.9481773261425,262.89930366704556,238.83130814015766,217.13739023252282,240.0430859198959,239.2300656638099,248.06296027634474,238.83130814015746,216.76942988697874,287.0760787965717,233.43616553807254,241.56302310435404,242.23823498631793,238.83130814015715,252.7831738968886,241.2637669250268,214.94817732614217,262.71443895417195,267.2512788214178,233.4361655380731,244.91135264362296,252.12092213972082,222.67879948750536,246.6319477958696,214.82140708114076,215.29111102153746,238.83130814015772,217.13739023252225,233.4361655380723,217.1373902325227,214.94817732614234,238.8313081401579,262.352199990437,288.05170310387285,240.0430859198959,215.2911110215379,241.28179224943554,211.71284382289062,215.4629885405768,214.9481773261421,214.94817732614217,245.65065392956018,214.94817732614166,217.48735063731712,217.13739023252268,211.91583620359023,282.5483538745974,215.29111102153772,214.94817732614223,241.26376692502495,240.42800288533292,241.26376692502518,217.13739023252202,218.0307655974587,239.21234557948696,215.8075682051693,228.34625688894326,214.9481773261419,215.80756820516964,211.9982246948883,204.238121562073,218.2503760517382,217.48735063731857,214.94817732614192,211.9558927844641,214.94817732614206
