,Stenotrophomonas maltophilia_gapfilled_0,Stenotrophomonas maltophilia_gapfilled_3
522373.3.peg.3661,0.0,0.0
522373.3.peg.3415,164.5518567610863,164.55185676108582
522373.3.peg.625,164.5518567610863,164.55185676108582
522373.3.peg.4330,164.5518567610863,164.55185676108582
522373.3.peg.2957,164.5518567610863,164.55185676108582
522373.3.peg.888,-7.523398645853906e-15,3.7418584767944784e-14
522373.3.peg.4107,163.11248388547736,163.11248388547781
522373.3.peg.4077,164.55185676108565,164.5518567610881
522373.3.peg.3937,164.55185676108565,164.5518567610881
522373.3.peg.881,1.3962645008876798e-13,2.381440483110842e-13
522373.3.peg.1929,164.5518567610863,164.551856761085
522373.3.peg.2720,164.5518567610863,164.551856761085
522373.3.peg.3801,164.5518567610863,164.551856761085
522373.3.peg.868,2.336587560684725e-13,-3.7990696049095223e-13
522373.3.peg.1200,164.5518567610864,164.551856761087
522373.3.peg.3283,164.5518567610864,164.551856761087
522373.3.peg.887,3.208822084404385e-13,-2.765941424674967e-13
522373.3.peg.3196,163.25621607817428,163.25621607816802
522373.3.peg.1643,1.4458098161328073e-13,-3.216148701771179e-14
522373.3.peg.3388,164.55185676108619,164.55185676108522
522373.3.peg.385,164.55185676108619,164.55185676108522
522373.3.peg.1714,164.55185676108619,164.5518567610852
522373.3.peg.1131,164.45516792254105,164.45516792253963
522373.3.peg.87,-1.5363242638664063e-12,-7.580500709076732e-14
522373.3.peg.1943,164.5518567610864,164.55185676108607
522373.3.peg.3892,164.55185676108638,164.55185676108607
522373.3.peg.3901,164.55185676108638,164.55185676108607
522373.3.peg.653,164.55185676108638,164.55185676108607
522373.3.peg.3269,6.387889822051454e-14,1.511294300705271e-14
522373.3.peg.743,141.04444865235936,141.044448652359
522373.3.peg.962,164.5518567610862,164.55185676108746
522373.3.peg.925,162.93496419125708,162.9349641912597
522373.3.peg.2994,164.5518567610859,164.5518567610882
522373.3.peg.3445,164.5518567610859,164.5518567610882
522373.3.peg.2544,164.55185676108596,164.5518567610882
522373.3.peg.4233,-1.1332996369910793e-13,3.672814749238127e-13
522373.3.peg.377,164.55185676108655,164.55185676108735
522373.3.peg.2900,164.55185676108655,164.55185676108735
522373.3.peg.2804,164.55185676108655,164.55185676108735
522373.3.peg.2770,164.55185676108655,164.55185676108735
522373.3.peg.1434,1.2653727222752894e-13,-7.552437694847483e-14
522373.3.peg.4130,164.55185676108692,164.55185676108627
522373.3.peg.3800,164.55185676108692,164.55185676108627
522373.3.peg.1198,164.55185676108692,164.55185676108627
522373.3.peg.3891,164.55185676108692,164.55185676108627
522373.3.peg.139,0.0,-7.377650337560171e-13
522373.3.peg.2910,164.5518567610858,164.55185676108556
522373.3.peg.3320,164.5518567610858,164.55185676108556
522373.3.peg.1657,164.5518567610858,164.55185676108556
522373.3.peg.617,1.9286840285610114e-12,1.5160559165026089e-13
522373.3.peg.981,1.8970662576009952e-13,4.322144265750659e-13
522373.3.peg.3165,1.8970662576009952e-13,4.322144265750659e-13
522373.3.peg.2313,164.55185676108712,164.5518567610753
522373.3.peg.150,164.55185676108712,164.5518567610753
522373.3.peg.1086,164.55185676108712,164.55185676107723
522373.3.peg.4203,164.55185676108712,164.55185676107723
522373.3.peg.4129,164.55185676108712,164.55185676107723
522373.3.peg.2062,-4.2128009609341065e-13,-1.6816239414175462e-13
522373.3.peg.4,1.862684722396485e-13,1.345299153134037e-13
522373.3.peg.876,1.862684722396485e-13,1.345299153134037e-13
522373.3.peg.39,164.5518567610882,164.55185676108584
522373.3.peg.4368,-1.7373632846278476e-13,1.880185286336567e-13
522373.3.peg.4158,164.55185676108596,164.55185676108547
522373.3.peg.1722,164.55185676108596,164.55185676108547
522373.3.peg.2065,164.55185676108596,164.55185676108547
522373.3.peg.2908,164.55185676108596,164.55185676108547
522373.3.peg.1196,164.55185676108596,164.55185676108547
522373.3.peg.1003,5.708198890606983e-13,0.0
522373.3.peg.2667,164.55185676108607,164.5518567610864
522373.3.peg.381,164.55185676108607,164.5518567610864
522373.3.peg.4018,164.55185676108607,164.5518567610864
522373.3.peg.1050,164.5518567610864,164.5518567610864
522373.3.peg.2993,164.5518567610864,164.55185676108633
522373.3.peg.3184,164.5518567610864,164.55185676108633
522373.3.peg.1720,164.5518567610864,164.55185676108633
522373.3.peg.3179,-1.4894578379040972e-13,-2.7737926188931355e-14
522373.3.peg.1721,164.55185676108678,164.55185676108565
522373.3.peg.2050,164.55185676108678,164.55185676108565
522373.3.peg.2131,164.55185676108678,164.55185676108565
522373.3.peg.3619,-6.743840231133086e-14,2.6015033097583133e-13
522373.3.peg.1519,164.5398799180388,164.53987991803987
522373.3.peg.2447,164.5518567610868,164.55185676108735
522373.3.peg.2795,164.5518567610868,164.55185676108735
522373.3.peg.4080,164.5518567610868,164.5518567610867
522373.3.peg.3763,164.5518567610868,164.5518567610867
522373.3.peg.2647,164.5518567610868,164.5518567610867
522373.3.peg.2136,164.5518567610864,164.55185676106146
522373.3.peg.3001,164.5518567610864,164.55185676105685
522373.3.peg.1580,1.8954913075279383e-13,3.259414126358757e-14
522373.3.peg.326,2.10610145280882e-14,-3.5853555389946326e-13
522373.3.peg.970,0.0,-9.77824237907627e-14
522373.3.peg.3911,164.55185676108655,164.55185676108707
522373.3.peg.1307,164.55185676108655,164.55185676108707
522373.3.peg.3517,164.55185676108655,164.55185676108707
522373.3.peg.726,-1.631464845028866e-13,1.8067539523828916e-14
522373.3.peg.3464,164.55185676108712,164.55185676108687
522373.3.peg.4157,164.55185676108712,164.55185676108687
522373.3.peg.1550,164.55185676108712,164.55185676108687
522373.3.peg.3692,164.55185676108866,164.55185676108687
