,Haemophilus parasuis_gapfilled_0,Haemophilus parasuis_gapfilled_62,Haemophilus parasuis_gapfilled_8,Haemophilus parasuis_gapfilled_76,Haemophilus parasuis_gapfilled_6,Haemophilus parasuis_gapfilled_55,Haemophilus parasuis_gapfilled_77,Haemophilus parasuis_gapfilled_84,Haemophilus parasuis_gapfilled_26,Haemophilus parasuis_gapfilled_61,Haemophilus parasuis_gapfilled_64,Haemophilus parasuis_gapfilled_96,Haemophilus parasuis_gapfilled_44,Haemophilus parasuis_gapfilled_46,Haemophilus parasuis_gapfilled_53,Haemophilus parasuis_gapfilled_63,Haemophilus parasuis_gapfilled_91,Haemophilus parasuis_gapfilled_52,Haemophilus parasuis_gapfilled_1,Haemophilus parasuis_gapfilled_83,Haemophilus parasuis_gapfilled_58,Haemophilus parasuis_gapfilled_10,Haemophilus parasuis_gapfilled_99,Haemophilus parasuis_gapfilled_37,Haemophilus parasuis_gapfilled_25,Haemophilus parasuis_gapfilled_5,Haemophilus parasuis_gapfilled_70,Haemophilus parasuis_gapfilled_23,Haemophilus parasuis_gapfilled_33,Haemophilus parasuis_gapfilled_59,Haemophilus parasuis_gapfilled_72,Haemophilus parasuis_gapfilled_60,Haemophilus parasuis_gapfilled_31,Haemophilus parasuis_gapfilled_14,Haemophilus parasuis_gapfilled_92,Haemophilus parasuis_gapfilled_41,Haemophilus parasuis_gapfilled_94,Haemophilus parasuis_gapfilled_68,Haemophilus parasuis_gapfilled_22,Haemophilus parasuis_gapfilled_67,Haemophilus parasuis_gapfilled_85,Haemophilus parasuis_gapfilled_28,Haemophilus parasuis_gapfilled_98,Haemophilus parasuis_gapfilled_45,Haemophilus parasuis_gapfilled_13,Haemophilus parasuis_gapfilled_18,Haemophilus parasuis_gapfilled_36,Haemophilus parasuis_gapfilled_12,Haemophilus parasuis_gapfilled_48,Haemophilus parasuis_gapfilled_30,Haemophilus parasuis_gapfilled_17,Haemophilus parasuis_gapfilled_21,Haemophilus parasuis_gapfilled_87,Haemophilus parasuis_gapfilled_24,Haemophilus parasuis_gapfilled_97,Haemophilus parasuis_gapfilled_40,Haemophilus parasuis_gapfilled_19,Haemophilus parasuis_gapfilled_34,Haemophilus parasuis_gapfilled_20,Haemophilus parasuis_gapfilled_9,Haemophilus parasuis_gapfilled_86,Haemophilus parasuis_gapfilled_57,Haemophilus parasuis_gapfilled_27,Haemophilus parasuis_gapfilled_3,Haemophilus parasuis_gapfilled_75,Haemophilus parasuis_gapfilled_16,Haemophilus parasuis_gapfilled_93,Haemophilus parasuis_gapfilled_42,Haemophilus parasuis_gapfilled_32,Haemophilus parasuis_gapfilled_38,Haemophilus parasuis_gapfilled_47,Haemophilus parasuis_gapfilled_78,Haemophilus parasuis_gapfilled_82,Haemophilus parasuis_gapfilled_29,Haemophilus parasuis_gapfilled_66,Haemophilus parasuis_gapfilled_39,Haemophilus parasuis_gapfilled_51,Haemophilus parasuis_gapfilled_15,Haemophilus parasuis_gapfilled_69,Haemophilus parasuis_gapfilled_79,Haemophilus parasuis_gapfilled_4,Haemophilus parasuis_gapfilled_88,Haemophilus parasuis_gapfilled_35,Haemophilus parasuis_gapfilled_2,Haemophilus parasuis_gapfilled_89,Haemophilus parasuis_gapfilled_65,Haemophilus parasuis_gapfilled_49,Haemophilus parasuis_gapfilled_81,Haemophilus parasuis_gapfilled_74,Haemophilus parasuis_gapfilled_80,Haemophilus parasuis_gapfilled_73,Haemophilus parasuis_gapfilled_50,Haemophilus parasuis_gapfilled_7,Haemophilus parasuis_gapfilled_54,Haemophilus parasuis_gapfilled_11,Haemophilus parasuis_gapfilled_71,Haemophilus parasuis_gapfilled_95,Haemophilus parasuis_gapfilled_43,Haemophilus parasuis_gapfilled_56,Haemophilus parasuis_gapfilled_90
rxn08618_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn04750_c,239.0851780114616,228.718519143912,257.6008629527849,237.5478039308398,276.6350558779541,234.45754394455594,233.46512486754074,212.6738844112314,234.06173208887196,232.4380160307039,265.6990445315676,260.59931203944683,281.49759127627294,211.7087897293168,337.4727673117943,313.3675696466669,263.9494623605309,236.7699357003069,209.40910454884116,237.33210497998581,226.89558064005774,254.44589355608542,229.02869422347953,286.03294707895736,232.4380160307056,236.5651136130419,226.21764061946882,249.23932244872407,236.76993570030675,337.47276731179824,233.01444555103822,236.92846724136945,285.94650124190423,256.3471900698638,286.3696777128901,236.7132185207204,235.4345189731078,235.3628698971825,254.75341603506416,238.00506118350953,236.76993570030695,361.6854718632039,246.07375902977842,237.5478039308406,308.9018867698712,250.13755836062091,209.40910454884164,262.5055379034825,270.10913820558915,264.82910051335296,325.5941196439344,221.439844771892,337.78632439969437,250.03766804443993,233.269202123446,260.46602534369043,237.83040412772863,237.54780393084022,211.70878972931695,270.8888819301981,337.14541363907546,276.61534156595593,259.5276244943552,342.9905807151741,257.80808385336013,261.78627431360127,285.05736471700885,253.25323639256584,236.9284672413689,250.4727664806805,260.24235992222015,237.05068704238343,285.31551082262075,207.7359369602859,278.5307268888931,264.34727762076795,209.40910454884104,335.19787521258627,271.8054895704031,236.90846549039176,239.93622919484102,260.7734977790623,278.0482522268887,333.3955777161798,260.59931203943074,236.86939014501655,253.7522142788825,238.00506118351234,274.67344088647604,276.92260805783513,235.78390524569213,238.02051878952028,219.54179477790555,244.91971555810645,280.47057213056655,236.62622670837163,242.82143324474177,209.37893405175626,228.45515935025284,236.56511361304104
rxn03062_c,239.0851780114615,228.71851914391206,257.60086295278427,237.54780393084044,276.6350558779541,234.45754394455594,233.46512486754074,212.6738844112314,234.06173208887196,232.4380160307039,265.6990445315676,260.5993120394248,281.49759127627294,211.7087897293168,337.47276731179426,313.3675696466667,263.9494623605309,236.7699357003069,209.40910454884127,237.33210497998581,226.89558064005774,254.44589355608542,229.0286942234781,286.03294707895725,232.43801603070554,236.5651136130419,226.21764061946882,249.23932244872412,236.7699357003068,337.47276731179824,233.0144455510384,236.92846724136945,285.94650124190423,256.34719006986313,286.3696777128901,236.71321852072055,235.4345189731147,235.3628698971825,254.75341603506416,238.00506118350953,236.76993570030695,361.6854718632039,246.0737590297791,237.5478039308406,308.9018867698712,250.13755836062091,209.40910454884155,262.5055379034823,270.10913820558915,264.8291005133536,325.59411964392973,221.439844771892,337.78632439969437,250.03766804444012,233.269202123446,260.46602534369043,237.83040412772925,237.54780393084022,211.70878972931695,270.8888819301981,337.1454136390755,276.61534156595593,259.5276244943552,342.9905807151735,257.80808385336155,261.78627431360127,285.05736471700885,253.25323639256584,236.92846724136876,250.47276648068043,260.24235992221975,237.05068704238343,285.31551082262087,207.7359369602859,278.5307268888926,264.34727762076716,209.40910454884104,335.19787521258627,271.8054895704031,236.90846549039162,239.93622919484062,260.7734977790623,277.9972580038121,333.39557771618007,260.59931203943074,236.86939014501607,253.7522142788814,238.00506118351234,274.67344088647627,276.92260805783513,235.78390524569207,238.02051878952034,219.54179477790555,244.91971555810673,280.44053727803276,236.62622670837163,242.8214332447419,209.37893405175626,228.4551593502497,236.56511361304104
rxn05398_c,-1.2492530219288034e-15,-8.608143373269194e-14,1.7237336909917135e-13,2.9040251850316736e-13,-2.306486355310364e-13,-4.291499736107812e-13,0.0,2.5151602121288207e-14,1.175797516163876e-13,0.0,1.7639804167653969e-13,3.449464243180854e-13,2.9919227568537564e-13,-7.096957923218185e-14,-5.97869674700832e-14,4.417327562738725e-14,-2.4459366654124338e-14,1.0438973940694076e-13,-2.174918851583903e-12,-4.761579173378401e-14,3.495872905876937e-13,1.1340855627494213e-13,-2.155734030255117e-14,0.0,0.0,0.0,-1.64858196694004e-13,-7.839456136875978e-13,-1.1291863668388738e-14,1.202751798369154e-13,3.7704714702886035e-13,0.0,2.2052029330053588e-13,-7.464061477313765e-14,-3.6900356760248454e-13,-2.0867900124880166e-12,-1.9334851911876658e-13,0.0,-4.4330353763973744e-13,3.3713082386970537e-13,6.434369609796914e-13,1.8516989590754467e-13,1.066300774189371e-13,1.5159611017828818e-13,1.6435964897430063e-13,-6.105520924655168e-13,2.0912280239117173e-12,7.560142166208097e-14,3.666092907070103e-14,1.6645500500600354e-13,4.643365696434667e-13,3.942076490575296e-14,8.043861533312883e-14,2.361851605161139e-13,-5.218670104148401e-13,-1.2045145145725998e-12,-4.695398367900507e-13,-9.184487405426125e-12,-5.886557641848135e-15,-2.1503304429170945e-14,2.2301220948680364e-13,-2.4920848665272e-13,-8.171784406083849e-15,-8.666411782272587e-14,9.394898399670813e-13,-5.497010716117203e-15,3.0321057026068015e-13,1.5546158158860324e-13,6.743556213151512e-14,-1.0552039303657951e-14,4.3685587546074683e-13,3.98685608088459e-13,-1.0036727703216949e-13,-1.159654453336428e-13,2.291922631439545e-13,3.7428012275058544e-13,4.594416074706481e-14,1.4276125156442738e-13,5.6737781947533904e-14,-2.1472872203065811e-13,-1.5037215984278016e-13,2.128264606035805e-14,1.4379696970373838e-13,-5.588083721773412e-14,7.088680424749855e-13,-2.2421056929395752e-12,5.332303383062878e-13,1.0416826057347501e-14,1.6005976423342313e-13,5.5419107551585904e-14,4.081703429576887e-14,-2.1436041604874336e-13,-2.7875914284424273e-14,1.1415951711443526e-14,9.488190665346326e-15,-2.1378506733309686e-13,1.4602251353436328e-14,0.0,-2.506700435905266e-13,-1.13166607664747e-12
rxn01274_c,239.0851780114612,228.7185191439118,257.600862952785,237.54780393084044,276.63505587794305,234.45754394455517,233.4651248675405,212.6738844112333,234.06173208887094,232.4380160307056,265.69904453156875,260.59931203943165,281.4975912762747,211.7087897293168,337.4727673117927,313.3675696466667,263.94946236053073,236.76993570030675,209.40910454884187,237.3321049799872,226.89558064005718,254.4458935560868,229.02869422347922,286.03294707895714,232.43801603070617,236.5651136130418,226.21764061946814,249.23932244872407,236.76993570030703,337.4727673117957,233.01444555103885,236.92846724136962,285.94650124190406,256.34719006986217,286.3696777128897,236.71321852072055,235.43451897309686,235.3628698971817,254.75341603507448,238.00506118350884,236.76993570030675,361.6854718632039,246.07375902977677,237.54780393083595,308.90188676987333,250.13755836062205,209.40910454884133,262.50553790348255,270.1091382055895,264.82910051335233,325.59411964392706,221.43984477189377,337.7863243996981,250.03766804444007,233.26920212344956,260.4660253436905,237.83040412772954,237.54780393084394,211.70878972931683,270.88888193019534,337.14541363907375,276.6153415659562,259.52762449435517,342.9905807151766,257.8080838533599,261.7862743136015,285.05736471700885,253.25323639256422,236.9284672413684,250.4727664806803,260.2423599222205,237.0506870423834,285.3155108226222,207.7359369602863,278.5307268888888,264.347277620768,209.40910454884173,335.19787521258365,271.8054895704037,236.90846549039208,239.9362291948427,260.77349777906136,278.04825222688453,333.3955777161795,260.59931203942966,236.8693901450155,253.75221427888275,238.0050611835092,274.6734408864779,276.9226080578296,235.78390524569235,238.02051878952062,219.54179477790584,244.91971555810684,280.4705721305587,236.62622670837592,242.8214332447379,209.37893405175626,228.45515935025327,236.5651136130425
rxn02374_c,239.08517801146132,228.7185191439109,257.6008629527855,237.54780393084044,276.22929795788923,234.4575439445551,233.4651248675404,212.6738844112314,234.0617320888697,232.4380160307056,265.69904453156875,260.59931203943165,281.4975912762727,211.7087897293168,337.4727673117937,313.36756964666665,263.9494623605313,236.76993570030666,209.40910454884187,237.33210497998596,226.89558064005683,254.4458935560868,229.02869422347922,286.0329470789572,232.43801603070617,236.56511361304175,226.21764061946834,249.02964044881256,236.76993570031718,337.4727673117957,233.01444555103905,236.92846724136953,285.94650124190423,256.34719006986217,286.3696777128891,236.61881733063538,235.43451897309728,235.3628698971816,254.75341603506732,238.00506118350876,236.76993570030675,361.685471863204,245.9957772304285,237.54780393083595,308.9018867698736,250.13755836062225,209.40910454884153,262.5055379034824,270.1091382055866,264.6414169350285,325.59411964392706,221.43984477189372,337.7863243996934,250.03766804444007,233.26920212344956,260.4660253436905,237.8304041277296,237.54780393084394,211.70878972931686,270.6512296059004,337.14541363907387,276.6153415659562,259.5276244943541,342.99058071517663,257.7061787182653,261.7862743136022,285.05736471700914,252.9524770686415,236.9284672413684,250.4727664806803,260.24235992222043,237.05068704238334,285.31551082262075,207.7359369602863,278.5307268888888,264.3472776207681,209.40910454884187,335.1978752125853,271.8054895704042,236.9084654903922,239.9362291948444,260.7734977790614,278.04825222688896,333.3955777161796,260.5993120394311,236.86939014501417,253.46757364296218,238.00506118350913,274.6734408864779,276.9226080578377,235.78390524569235,238.0205187895201,219.54179477790584,244.91971555810665,280.4705721305584,236.62622670837177,242.82143324474234,209.37893405175637,228.45515935025347,236.56511361304146
rxn05236_c,239.08517801146087,228.71851914391084,257.60086295278586,237.54780393084044,276.635055877943,234.4575439445551,233.4651248675404,212.6738844112314,234.0617320888709,232.4380160307056,265.6990445315657,260.59931203943165,281.4975912762727,211.7087897293168,337.4727673117937,313.36756964666665,263.9494623605313,236.76993570030646,209.40910454884187,237.33210497998596,226.89558064005683,254.4458935560868,229.02869422347922,286.0329470789572,232.43801603070617,236.56511361304175,226.2176406194682,249.23932244872398,236.76993570031718,337.4727673117957,233.01444555103905,236.92846724136953,285.94650124190423,256.34719006986217,286.3696777128891,236.71321852071992,235.43451897309757,235.36286989718164,254.75341603506732,238.00506118350893,236.769935700307,361.685471863204,246.0737590297763,237.54780393083595,308.9018867698731,250.13755836062225,209.40910454884144,262.5055379034824,270.1091382055866,264.82910051335165,325.59411964392706,221.43984477189372,337.7863243996934,250.03766804444007,233.26920212344606,260.4660253436905,237.8304041277298,237.54780393084084,211.70878972931686,270.8888819301971,337.14541363907387,276.6153415659562,259.5276244943541,342.99058071517663,257.8080838533607,261.7862743136022,285.0573647170094,253.25323639256493,236.9284672413693,250.4727664806803,260.24235992222043,237.05068704238343,285.31551082262087,207.7359369602861,278.53072688888795,264.3472776207681,209.40910454884187,335.1978752125853,271.80548957040344,236.90846549039122,239.9362291948444,260.7734977790614,278.0482522268891,333.3955777161796,260.5993120394311,236.86939014501417,253.7522142788827,238.00506118350913,274.6734408864779,276.9226080578377,235.78390524569198,238.02051878952062,219.54179477790584,244.91971555810665,280.4705721305584,236.62622670837212,242.82143324474234,209.37893405175637,228.45515935025333,236.56511361304155
rxn03052_c,239.08517801146093,228.66925739961627,257.60086295278586,237.49539637504253,276.635055877943,234.4575439445551,233.4651248675404,212.6738844112314,234.0617320888709,232.4380160307056,265.6990445315657,260.5993120394317,281.4362629401374,211.7087897293168,337.3972163700475,313.36756964666665,263.9494623605313,236.76993570030683,209.40910454884187,237.33210497998596,226.89558064005683,254.3046152180395,229.02869422347922,286.0329470789572,232.43801603070617,236.56511361304175,226.2176406194682,249.1894559916781,236.76993570031718,337.4727673117957,233.01444555103905,236.92846724136953,284.9944756500512,256.34719006986217,286.3696777128891,236.71321852071992,235.43451897309757,235.36286989718164,254.75341603506732,238.00506118350893,236.34523184508882,361.685471863204,246.0737590297763,237.49539637504253,308.72210104839763,250.13755836062225,209.40910454884144,262.44735764060545,270.09672314559924,264.7887951655666,325.59411964392706,221.43984477189383,337.7863243996934,249.6593716465519,233.197123735404,260.4660253436905,237.77787181760996,237.54780393084084,211.70878972931686,270.8888819301971,336.4815747936633,276.6153415659562,259.5276244943541,342.99058071517663,257.8080838533607,261.7862743136022,284.9944756500522,253.25323639256555,236.8502738436165,250.0931533657148,260.24235992222043,237.05068704238343,285.31551082262087,207.62706446565994,278.53072688888795,264.3472776207681,209.0237067058154,335.1978752125853,271.8054895704035,236.90846549039122,239.8827625956846,260.28272942010426,278.0482522268891,333.3955777161796,260.5993120394311,236.86939014501417,253.7495066499341,238.00506118350913,274.1995270639321,276.9226080578377,235.78317115359414,238.02051878952062,219.48983358433276,244.89612634473528,280.4702154908366,236.62622670837212,242.82143324474234,208.99364715051692,228.45515935025333,236.56511361304155
rxn10060_c,239.08517801146087,228.718519143912,257.60086295278586,237.54780393084044,276.635055877943,234.4575439445551,233.4651248675404,212.6738844112314,234.0617320888709,232.4380160307056,265.6990445315657,260.5993120394317,281.4975912762727,211.7087897293168,337.47276731179323,313.36756964666665,263.94946236053124,236.76993570030683,209.40910454884187,237.33210497998596,226.89558064005683,254.4458935560868,229.02869422347922,286.0329470789572,232.4380160307063,236.56511361304175,226.2176406194682,249.23932244872404,236.76993570031718,337.4727673117957,233.01444555103905,236.92846724136953,285.94650124190423,256.34719006986217,286.3696777128891,236.71321852071992,235.43451897309757,235.36286989718164,254.75341603506732,238.00506118350893,236.76993570030683,361.685471863204,246.0737590297763,237.5478039308405,308.90188676987333,250.13755836062225,209.40910454884153,262.5055379034823,270.1091382055866,264.82910051335165,325.59411964392706,221.43984477189383,337.78632439969334,250.03766804444018,233.26920212344635,260.4660253436905,237.8304041277298,237.54780393084073,211.70878972931686,270.8888819301971,337.14541363907387,276.6153415659562,259.5276244943541,342.99058071517663,257.8080838533607,261.7862743136022,285.0573647170096,253.25323639256555,236.9284672413693,250.4727664806802,260.24235992222054,237.05068704238343,285.31551082262087,207.7359369602858,278.53072688888795,264.3472776207681,209.40910454884187,335.1978752125853,271.8054895704035,236.90846549039122,239.93622919484423,260.7734977790614,278.0482522268891,333.3955777161796,260.5993120394311,236.86939014501417,253.75221427888255,238.00506118350913,274.6734408864779,276.922608057838,235.78390524569198,238.0205187895206,219.54179477790584,244.9197155581066,280.4705721305584,236.62622670837206,242.82143324474234,209.37893405175637,228.45515935025333,236.56511361304152
rxn09197_c,239.08517801146087,228.718519143912,257.60086295278586,237.54780393084044,276.635055877943,234.4575439445551,233.4651248675404,212.6738844112314,234.0617320888709,232.4380160307056,265.6990445315657,260.5993120394317,281.4975912762727,211.7087897293168,337.47276731179323,313.36756964666665,263.94946236053124,236.76993570030683,209.40910454884187,237.33210497998596,226.89558064005683,254.4458935560868,229.02869422347922,286.0329470789572,232.4380160307063,236.56511361304175,226.2176406194682,249.23932244872404,236.76993570031718,337.4727673117957,233.01444555103905,236.92846724136953,285.94650124190423,256.34719006986217,286.3696777128891,236.71321852071992,235.43451897309757,235.36286989718164,254.75341603506732,238.00506118350893,236.76993570030683,361.685471863204,246.0737590297763,237.5478039308405,308.90188676987333,250.13755836062225,209.40910454884153,262.5055379034823,270.1091382055866,264.82910051335165,325.59411964392706,221.43984477189383,337.78632439969334,250.03766804444018,233.26920212344635,260.4660253436905,237.8304041277298,237.54780393084073,211.70878972931686,270.8888819301971,337.14541363907387,276.6153415659562,259.5276244943541,342.99058071517663,257.8080838533607,261.7862743136022,285.0573647170096,253.25323639256555,236.9284672413693,250.4727664806802,260.24235992222054,237.05068704238343,285.31551082262087,207.7359369602858,278.53072688888795,264.3472776207681,209.40910454884195,335.1978752125853,271.8054895704035,236.90846549039122,239.93622919484423,260.7734977790614,278.0482522268891,333.3955777161796,260.5993120394311,236.86939014501417,253.75221427888255,238.00506118350913,274.6734408864779,276.922608057838,235.78390524569198,238.0205187895206,219.54179477790584,244.9197155581066,280.4705721305584,236.62622670837206,242.82143324474234,209.37893405175637,228.45515935025333,236.56511361304152
