,Sphingobacterium spiritivorum_gapfilled_86,Sphingobacterium spiritivorum_gapfilled_56,Sphingobacterium spiritivorum_gapfilled_39,Sphingobacterium spiritivorum_gapfilled_73,Sphingobacterium spiritivorum_gapfilled_2,Sphingobacterium spiritivorum_gapfilled_60,Sphingobacterium spiritivorum_gapfilled_33,Sphingobacterium spiritivorum_gapfilled_66,Sphingobacterium spiritivorum_gapfilled_31,Sphingobacterium spiritivorum_gapfilled_21,Sphingobacterium spiritivorum_gapfilled_53,Sphingobacterium spiritivorum_gapfilled_37,Sphingobacterium spiritivorum_gapfilled_91,Sphingobacterium spiritivorum_gapfilled_23,Sphingobacterium spiritivorum_gapfilled_81,Sphingobacterium spiritivorum_gapfilled_28,Sphingobacterium spiritivorum_gapfilled_25,Sphingobacterium spiritivorum_gapfilled_3,Sphingobacterium spiritivorum_gapfilled_11,Sphingobacterium spiritivorum_gapfilled_88,Sphingobacterium spiritivorum_gapfilled_34,Sphingobacterium spiritivorum_gapfilled_0,Sphingobacterium spiritivorum_gapfilled_47,Sphingobacterium spiritivorum_gapfilled_90,Sphingobacterium spiritivorum_gapfilled_29,Sphingobacterium spiritivorum_gapfilled_78,Sphingobacterium spiritivorum_gapfilled_76,Sphingobacterium spiritivorum_gapfilled_62,Sphingobacterium spiritivorum_gapfilled_65,Sphingobacterium spiritivorum_gapfilled_58,Sphingobacterium spiritivorum_gapfilled_13,Sphingobacterium spiritivorum_gapfilled_35,Sphingobacterium spiritivorum_gapfilled_44,Sphingobacterium spiritivorum_gapfilled_50,Sphingobacterium spiritivorum_gapfilled_61,Sphingobacterium spiritivorum_gapfilled_30,Sphingobacterium spiritivorum_gapfilled_40,Sphingobacterium spiritivorum_gapfilled_41,Sphingobacterium spiritivorum_gapfilled_82,Sphingobacterium spiritivorum_gapfilled_63,Sphingobacterium spiritivorum_gapfilled_69,Sphingobacterium spiritivorum_gapfilled_46,Sphingobacterium spiritivorum_gapfilled_95,Sphingobacterium spiritivorum_gapfilled_15,Sphingobacterium spiritivorum_gapfilled_19,Sphingobacterium spiritivorum_gapfilled_71,Sphingobacterium spiritivorum_gapfilled_16,Sphingobacterium spiritivorum_gapfilled_59,Sphingobacterium spiritivorum_gapfilled_84,Sphingobacterium spiritivorum_gapfilled_57,Sphingobacterium spiritivorum_gapfilled_32,Sphingobacterium spiritivorum_gapfilled_4,Sphingobacterium spiritivorum_gapfilled_43,Sphingobacterium spiritivorum_gapfilled_20,Sphingobacterium spiritivorum_gapfilled_42,Sphingobacterium spiritivorum_gapfilled_54,Sphingobacterium spiritivorum_gapfilled_79,Sphingobacterium spiritivorum_gapfilled_99,Sphingobacterium spiritivorum_gapfilled_92,Sphingobacterium spiritivorum_gapfilled_17,Sphingobacterium spiritivorum_gapfilled_36,Sphingobacterium spiritivorum_gapfilled_93,Sphingobacterium spiritivorum_gapfilled_77,Sphingobacterium spiritivorum_gapfilled_89,Sphingobacterium spiritivorum_gapfilled_52,Sphingobacterium spiritivorum_gapfilled_26,Sphingobacterium spiritivorum_gapfilled_97,Sphingobacterium spiritivorum_gapfilled_98,Sphingobacterium spiritivorum_gapfilled_10,Sphingobacterium spiritivorum_gapfilled_6,Sphingobacterium spiritivorum_gapfilled_5,Sphingobacterium spiritivorum_gapfilled_64,Sphingobacterium spiritivorum_gapfilled_94,Sphingobacterium spiritivorum_gapfilled_49,Sphingobacterium spiritivorum_gapfilled_48,Sphingobacterium spiritivorum_gapfilled_87,Sphingobacterium spiritivorum_gapfilled_67,Sphingobacterium spiritivorum_gapfilled_55,Sphingobacterium spiritivorum_gapfilled_38,Sphingobacterium spiritivorum_gapfilled_7,Sphingobacterium spiritivorum_gapfilled_14,Sphingobacterium spiritivorum_gapfilled_27,Sphingobacterium spiritivorum_gapfilled_22,Sphingobacterium spiritivorum_gapfilled_96,Sphingobacterium spiritivorum_gapfilled_9,Sphingobacterium spiritivorum_gapfilled_68,Sphingobacterium spiritivorum_gapfilled_83,Sphingobacterium spiritivorum_gapfilled_8,Sphingobacterium spiritivorum_gapfilled_85,Sphingobacterium spiritivorum_gapfilled_80,Sphingobacterium spiritivorum_gapfilled_45,Sphingobacterium spiritivorum_gapfilled_75,Sphingobacterium spiritivorum_gapfilled_70,Sphingobacterium spiritivorum_gapfilled_74,Sphingobacterium spiritivorum_gapfilled_51,Sphingobacterium spiritivorum_gapfilled_1,Sphingobacterium spiritivorum_gapfilled_72,Sphingobacterium spiritivorum_gapfilled_24,Sphingobacterium spiritivorum_gapfilled_18,Sphingobacterium spiritivorum_gapfilled_12
rxn06493_c,217.13739023252307,211.99822469489138,217.13739023252185,237.24495581792587,218.03076559745884,263.45746273181254,217.4873506373188,252.7831738968879,211.91583620359032,215.8075682051693,262.7144389541757,241.84750467151275,240.04308591989616,241.26376692502546,215.99537371357135,216.3836581532435,215.29111102153823,218.03076559745094,239.23006566380985,217.13739023252302,282.5483538745971,214.82140708114042,217.13739023252353,214.94817732614234,237.49079902234007,239.21234557948688,238.83130814015797,257.2519255442057,214.94817732614192,215.29111102153726,262.3521999904371,217.13739023252336,242.23823498632214,211.9558927844631,214.94817732614214,208.70335521558823,238.83130814015442,214.9481773261413,246.63194779587027,233.4361655380722,238.83130814015783,217.13739023252282,217.137390232523,214.9481773261425,267.25127882141726,233.43616553807192,238.83130814015797,214.94817732612898,228.34625688894212,214.94817732614223,215.2911110215316,287.0760787965729,240.69618633336785,212.1851982610002,288.05170310387524,233.4361655380704,240.42800288533175,218.25037605174282,214.948177326142,252.12092213972196,241.26376692502535,214.9481773261526,217.1373902325214,262.7144389541738,238.83130814015797,215.80756820516947,217.13739023252353,262.8993036670464,218.62037884886138,245.65065392956092,241.2817922494331,214.94817732614206,214.94817732614206,240.51581548534398,217.662754204362,217.4873506373187,228.3462568889412,239.2123455794821,218.2503760517391,222.6787994875074,248.0629602763438,239.21234557948927,214.94817732616926,217.48735063731874,216.05483636971948,229.32933088247992,244.9113526436228,239.23006566380968,241.26376692502544,217.48735063731823,241.56302310435325,262.71443895417366,240.04308591989613,216.7694298869824,214.94817732614274,217.15361302449207,215.4629885405767,204.23812156207165,241.2637669250251,211.6520035159636
rxn08822_c,1.6371693809362805e-12,-9.456574409454506e-15,-5.108330631499491e-13,-9.620334273286478e-14,0.0,-5.371118382158456e-13,1.0568108216029967e-12,5.613877213253564e-15,5.010201621283826e-13,-3.3666499527380826e-13,9.660353629289408e-14,-2.5984106463860397e-14,3.1705926886923e-13,-1.084361709672279e-13,-1.303070840490339e-12,-6.030910619519027e-14,-3.6416204736013674e-14,-5.4101758201734854e-14,5.342749736862901e-12,-1.2983920810301302e-12,3.175801375692293e-15,2.5960984528981787e-13,7.543477165047464e-15,6.420362995156395e-13,-3.718394423546898e-13,-2.432302230214474e-14,-8.035786233250168e-14,1.4656048290464825e-13,-1.3794877158065597e-14,-8.889406482086214e-13,-3.902455519208442e-15,-1.0268111689641472e-13,-3.306697266680231e-13,1.2915151578554435e-13,-1.5104656526185828e-13,5.627145776080553e-14,-7.580752575881312e-14,-4.0082771230423967e-13,2.6633465073970686e-13,0.0,0.0,-2.3078553990556054e-13,-2.000256784010147e-13,0.0,2.11302772547185e-13,-5.693040204629606e-14,1.9228851734856145e-13,1.8662387806363648e-13,7.146578733195224e-13,0.0,3.019885235500213e-13,4.103320437269897e-14,-1.641363980673465e-13,0.0,1.732846803213115e-13,1.4121866114770708e-13,-2.9780697866875385e-12,-2.9627967777832796e-13,-3.344129357990845e-13,5.3789916181013214e-15,-3.291380266630574e-14,-2.3485652076677535e-14,5.6621999206356473e-14,-7.727452930183878e-14,-2.0369645581393267e-13,1.7017247023845927e-14,-8.138548405963074e-13,1.1604173154674425e-12,-1.1989780721006264e-12,1.033812027685287e-13,-8.495031087826987e-14,-1.2834566031081553e-15,8.483536885004842e-13,-1.8720821431398796e-12,-9.168708288352952e-13,3.14872847457689e-13,-4.852022726490844e-13,1.8937839118471774e-13,2.3974655897698504e-12,9.503746667187944e-13,1.7362806924763886e-13,9.548194496378928e-14,-2.0568169059995444e-13,1.281211514606061e-14,1.3698471237230837e-13,-5.308938882585733e-15,3.2181092379032565e-13,1.867153310815258e-28,-7.255605177108583e-13,-4.899321528524695e-14,5.79259631553155e-13,0.0,-3.7037929554563355e-13,1.6909831814653908e-14,3.735221297270175e-17,1.4602415230825223e-15,-6.410204514754098e-13,-1.345090411582365e-13,5.1619425141778457e-14,-3.208970592353337e-14
rxn00726_c,217.13739023251912,211.99822469488586,217.137390232523,237.24495581792482,218.03076559745867,263.4574627318801,217.48735063731866,252.78317389688738,211.91583620358836,215.80756820516956,262.71443895417354,241.84750467151278,240.04308591989653,241.2637669250251,215.99537371357084,216.3836581532473,215.2911110215378,218.03076559745818,239.23006566381008,217.13739023252538,282.5483538745975,214.8214070811412,217.13739023252282,214.94817732614376,237.49079902233353,239.21234557948856,238.83130814015894,257.2519255442056,214.94817732614217,215.29111102153786,262.35219999043784,217.1373902325229,242.23823498632152,211.9558927844639,214.94817732614214,208.70335521558832,238.8313081401579,214.94817732614217,246.63194779586973,233.43616553800103,238.8313081401495,217.1373902325231,217.13739023252276,214.94817732614192,267.2512788214172,233.43616553807246,238.831308140158,214.94817732614123,228.34625688894204,214.94817732614175,215.29111102153786,287.0760787965718,240.6961863333682,212.18519826100132,288.0517031038754,233.4361655380716,240.42800288533286,218.25037605173807,214.948177326142,252.1209221397215,241.26376692502512,214.94817732614396,217.13739023252268,262.7144389541735,238.83130814015604,215.8075682052067,217.13739023252427,262.899303667046,218.6203788488613,245.65065392956075,241.28179224943565,214.94817732614214,214.94817732614183,240.51581548534423,217.66275420436253,217.48735063728301,228.34625688894468,239.2123455794868,218.2503760517384,222.6787994875081,248.06296027634474,239.21234557948677,214.94817732614197,217.4873506373182,216.05483636971945,229.32933088247935,244.9113526436216,239.23006566380968,241.26376692502518,217.4873506373184,241.56302310435316,262.7144389541784,240.04308591989616,216.76942988697937,214.94817732614183,217.15361302449196,215.4629885405765,204.2381215620723,241.26376692502527,211.71284382289062
rxn05319_c,217.13739023252185,211.99822469488566,217.13739023252234,237.24495581792507,218.03076559745867,263.4574627318805,217.48735063731866,252.78317389688738,211.91583620358858,215.80756820516973,262.71443895417445,241.84750467151267,240.04308591989673,241.2637669250251,215.99537371357076,216.38365815324738,215.29111102153811,218.03076559745892,239.23006566380968,217.13739023252262,282.5483538745981,214.8214070811382,217.13739023252285,214.94817732614217,236.22912476881655,239.2123455794868,238.83130814015894,257.2519255442056,214.94817732614217,215.29111102153828,262.3521999904377,217.13739023251998,242.23823498632177,211.9558927844639,214.94817732614214,207.823369178137,238.83130814015792,214.94817732614277,246.63194779586973,233.43616553800103,238.8313081401578,217.1373902325231,217.13739023252285,214.94817732614192,267.2512788214176,233.43616553807212,238.83130814015783,214.94817732613905,228.34625688894204,214.94817732614206,215.2911110215359,287.0760787965718,240.41367798432944,212.18519826100004,288.0517031038754,233.43616553807152,240.42800288533326,218.25037605173773,214.94817732614192,252.1209221397215,241.26376692502606,214.94817732613637,217.13739023252293,262.71443895417354,238.831308140158,215.8075682051694,217.13739023252228,262.8993036670459,218.6203788488613,245.65065392956075,241.281792249432,214.94817732614334,214.94817732614197,240.51581548534423,217.66275420436253,217.48735063731854,228.34625688893976,239.21234557948688,218.25037605173824,222.67879948750735,248.06296027634482,239.21234557948642,214.94817732614197,217.48735063731803,216.0548363697206,229.32933088247967,244.91135264362134,239.23006566380968,241.263766925025,217.48735063732016,241.5630231043546,262.7144389541843,240.0430859198963,216.7694298869795,214.9481773261413,217.1536130244918,215.4629885405763,204.2381215620723,241.2637669250253,211.71284382289053
rxn01268_c,217.13739023252185,211.99822469488566,217.13739023252234,237.24495581792507,218.03076559745867,263.4574627318805,217.48735063731866,252.78317389688738,211.91583620358858,215.80756820516973,262.71443895417445,241.84750467151267,240.04308591989673,241.2637669250251,215.99537371357076,216.38365815324738,215.2911110215384,218.03076559745892,239.23006566380968,217.13739023252262,282.5483538745981,214.8214070811382,217.13739023252285,214.94817732614217,237.49079902233353,239.2123455794868,238.83130814015894,257.2519255442056,214.94817732614217,215.29111102153828,262.3521999904377,217.13739023252194,242.23823498632177,211.9558927844639,214.94817732614214,208.70335521558866,238.83130814015792,214.94817732614277,246.63194779586973,233.43616553800103,238.8313081401578,217.1373902325231,217.13739023252285,214.94817732614192,267.2512788214176,233.43616553807212,238.83130814015783,214.94817732613905,228.34625688894204,214.94817732614206,215.2911110215359,287.0760787965718,240.69618633336833,212.18519826100004,288.0517031038754,233.43616553807152,240.42800288533326,218.25037605173773,214.94817732614192,252.1209221397215,241.26376692502606,214.94817732613637,217.1373902325229,262.71443895417354,238.831308140158,215.8075682051694,217.13739023252228,262.8993036670459,218.6203788488613,245.65065392956075,241.281792249432,214.9481773261498,214.94817732614197,240.51581548534423,217.66275420436253,217.48735063731854,228.34625688893976,239.21234557948688,218.25037605173824,222.67879948750735,248.06296027634482,239.21234557948642,214.94817732614197,217.48735063731803,216.0548363697206,229.32933088247967,244.91135264362134,239.23006566380968,241.263766925025,217.48735063732016,241.5630231043546,262.7144389541843,240.0430859198963,216.7694298869795,214.9481773261413,217.1536130244918,215.4629885405763,204.2381215620723,241.2637669250253,211.71284382289053
rxn10118_c,217.13739023252185,211.99822469488566,217.13739023252234,237.24495581792507,218.03076559745867,263.4574627318805,217.48735063731866,252.78317389688738,211.91583620358858,215.80756820516973,262.71443895417445,241.84750467151267,240.04308591989673,241.2637669250251,215.99537371357076,216.38365815324738,215.2911110215384,218.03076559745892,239.23006566380968,217.13739023252262,282.5483538745981,214.8214070811382,217.13739023252285,214.94817732614217,237.49079902233362,239.2123455794868,238.83130814015894,257.2519255442056,214.94817732614217,215.29111102153828,262.3521999904377,217.13739023252194,242.23823498632177,211.9558927844639,214.94817732614214,208.70335521558866,238.83130814015792,214.94817732614277,246.63194779586973,233.43616553800103,238.8313081401578,217.1373902325231,217.13739023252285,214.94817732614192,267.2512788214176,233.43616553807212,238.83130814015783,214.94817732613905,228.34625688894204,214.94817732614206,215.2911110215359,287.0760787965718,240.69618633336833,212.18519826100004,288.0517031038754,233.43616553807152,240.42800288533326,218.25037605173773,214.94817732614192,252.1209221397215,241.26376692502606,214.94817732613637,217.1373902325229,262.71443895417354,238.831308140158,215.8075682051694,217.13739023252228,262.8993036670459,218.6203788488613,245.65065392956075,241.281792249432,214.9481773261498,214.94817732614197,240.51581548534423,217.66275420436253,217.48735063731854,228.34625688893976,239.21234557948688,218.25037605173824,222.67879948750735,248.06296027634482,239.21234557948642,214.94817732614197,217.48735063731803,216.0548363697206,229.32933088247967,244.91135264362134,239.23006566380968,241.263766925025,217.48735063732016,241.5630231043546,262.7144389541843,240.0430859198963,216.7694298869795,214.9481773261413,217.1536130244918,215.4629885405763,204.2381215620723,241.2637669250253,211.71284382289053
rxn00586_c,217.13739023252185,211.99822469488566,217.13739023252234,237.24495581792507,218.03076559745867,263.4574627318805,217.48735063731866,252.78317389688738,211.91583620358858,215.80756820516973,262.71443895417445,241.84750467151267,240.04308591989673,241.2637669250251,215.99537371357076,216.38365815324738,215.2911110215384,218.03076559745892,239.23006566380968,217.13739023252262,282.5483538745981,214.8214070811382,217.13739023252285,214.94817732614217,237.49079902233362,239.2123455794868,238.83130814015894,257.2519255442056,214.94817732614217,215.29111102153828,262.3521999904377,217.13739023252194,242.23823498632177,211.9558927844639,214.94817732614214,208.70335521558866,238.83130814015792,214.94817732614277,246.63194779586973,233.43616553800103,238.8313081401578,217.1373902325231,217.13739023252285,214.94817732614192,267.2512788214176,233.43616553807212,238.83130814015783,214.94817732613905,228.34625688894204,214.94817732614206,215.2911110215359,287.0760787965718,240.69618633336833,212.18519826100004,288.0517031038754,233.43616553807152,240.42800288533326,218.25037605173773,214.94817732614192,252.1209221397215,241.26376692502606,214.94817732613637,217.1373902325229,262.71443895417354,238.831308140158,215.8075682051694,217.13739023252228,262.8993036670459,218.62037884886132,245.65065392956075,241.281792249432,214.9481773261498,214.94817732614197,240.51581548534423,217.66275420436253,217.48735063731854,228.34625688893976,239.21234557948688,218.25037605173824,222.67879948750735,248.06296027634482,239.21234557948642,214.94817732614197,217.48735063731866,216.0548363697206,229.32933088247967,244.91135264362134,239.23006566380968,241.263766925025,217.48735063732016,241.5630231043546,262.7144389541843,240.0430859198963,216.7694298869795,214.9481773261413,217.1536130244918,215.4629885405763,204.2381215620723,241.2637669250253,211.71284382289053
rxn00247_c,217.13739023252379,211.99822469488566,217.13739023252234,237.24495581792507,218.03076559745867,263.4574627318805,217.48735063731866,252.78317389688738,211.91583620358858,215.80756820516942,262.71443895417445,241.84750467151267,240.04308591989673,241.2637669250251,215.99537371357076,216.38365815324738,215.2911110215384,218.03076559745892,239.23006566380968,217.13739023252262,282.5483538745981,214.8214070811382,217.13739023252282,214.94817732614217,237.49079902233362,239.2123455794868,238.83130814015894,257.2519255442056,214.94817732614214,215.29111102153828,262.3521999904377,217.13739023252194,242.23823498632177,211.9558927844639,214.94817732614214,208.70335521558866,238.83130814015792,214.94817732614277,246.63194779586973,233.43616553800103,238.8313081401578,217.1373902325231,217.13739023252285,214.94817732614192,267.2512788214176,233.43616553807212,238.83130814015783,214.94817732613905,228.34625688894204,214.94817732614206,215.2911110215359,287.0760787965718,240.69618633336833,212.18519826100004,288.0517031038754,233.43616553807152,240.42800288533326,218.25037605173773,214.94817732614192,252.1209221397215,241.26376692502606,214.94817732613637,217.1373902325229,262.71443895417354,238.831308140158,215.8075682051694,217.13739023252228,262.8993036670459,218.62037884886226,245.65065392956075,241.281792249432,214.9481773261498,214.94817732614197,240.51581548534423,217.66275420436253,217.48735063731854,228.34625688893976,239.21234557948688,218.25037605173824,222.67879948750735,248.06296027634482,239.21234557948642,214.94817732614197,217.48735063731866,216.0548363697206,229.32933088247967,244.91135264362134,239.23006566380968,241.263766925025,217.48735063732016,241.5630231043546,262.7144389541843,240.0430859198963,216.7694298869795,214.9481773261413,217.1536130244918,215.4629885405763,204.2381215620723,241.2637669250253,211.71284382289053
rxn04989_c,217.13739023252379,211.99822469488566,217.13739023252234,237.24495581792507,218.03076559745867,263.4574627318805,217.48735063731866,252.78317389688738,211.91583620358858,215.80756820516942,262.71443895417445,241.84750467151267,240.04308591989673,241.2637669250251,215.99537371357076,216.38365815324738,215.2911110215384,218.03076559745892,239.23006566380968,217.13739023252262,282.5483538745981,214.8214070811382,217.13739023252282,214.94817732614217,237.49079902233362,239.2123455794868,238.83130814015894,257.2519255442056,214.94817732614214,215.29111102153828,262.3521999904377,217.13739023252194,242.23823498632177,211.9558927844639,214.94817732614214,208.70335521558866,238.83130814015792,214.94817732614277,246.63194779586973,233.43616553800103,238.8313081401578,217.1373902325231,217.13739023252285,214.94817732614192,267.2512788214176,233.43616553807212,238.83130814015783,214.94817732613905,228.34625688894204,214.94817732614206,215.2911110215359,287.0760787965718,240.69618633336833,212.18519826100004,288.0517031038754,233.43616553807152,240.42800288533326,218.25037605173773,214.94817732614192,252.1209221397215,241.26376692502606,214.94817732613637,217.1373902325229,262.71443895417354,238.831308140158,215.8075682051694,217.13739023252228,262.8993036670459,218.62037884886226,245.65065392956075,241.281792249432,214.9481773261498,214.94817732614197,240.51581548534423,217.66275420436253,217.48735063731854,228.34625688893976,239.21234557948688,218.25037605173824,222.67879948750735,248.06296027634482,239.21234557948642,214.94817732614197,217.48735063731866,216.0548363697206,229.32933088247967,244.91135264362134,239.23006566380968,241.263766925025,217.48735063732016,241.5630231043546,262.7144389541843,240.0430859198963,216.7694298869795,214.9481773261413,217.1536130244918,215.4629885405763,204.2381215620723,241.2637669250253,211.71284382289053
rxn05667_c,217.13739023252379,210.9717959296005,217.13739023252276,235.90715680457762,218.03076559745867,261.69107032044377,217.48735063731866,243.07670937052433,211.08378388473938,214.53847677792857,261.17562027897793,241.8475046715127,240.04308591989647,239.836285225468,214.32530793934265,215.10780213021332,215.29111102153811,218.03076559745844,239.23006566380965,217.1373902325226,280.8697312299624,213.42155739687067,217.13739023252282,214.94817732614223,235.05898497879232,239.21234557948702,237.4323820718259,251.82279191900057,214.94817732614214,215.29111102153828,260.0916982760344,217.13739023252262,240.79923314696754,211.08893369579232,213.6891438646443,207.46147526201713,238.83130814015774,214.94817732614197,232.19773538047497,230.0428355541231,237.43238207182654,217.13739023252268,217.13739023252293,214.94817732614192,265.5573655890154,232.31720717262994,238.83130814015783,214.94817732614226,228.34625688894195,214.94817732614206,215.29111102153803,285.39177368698915,238.88261058827624,211.244541665779,286.3559641749872,230.04283555412223,239.0103649049879,218.25037605173773,213.6891438646438,252.12092213972144,241.26376692502606,214.94817732614206,217.13739023252472,261.17562027900846,238.83130814015908,215.8075682051694,217.13739023252242,261.2146589290114,218.62037884886166,244.35586972414893,239.85409787268344,214.94817732614231,214.94817732614206,239.0971448304686,217.66275420436253,217.48735063731854,228.34625688893976,237.80896530172177,218.25037605173824,219.95041755663104,248.06296027634482,237.8089653017225,214.94817732614231,217.48735063731863,216.05483636971954,229.32933088247952,232.96383270889712,237.82647807248978,241.26376692502504,217.48735063732525,238.25063188545442,261.1756202790086,238.62997014582325,215.48903404118693,214.94817732614197,217.15361302449188,215.4629885405763,203.625296497474,241.26376692502527,211.68393655035132
