,Stenotrophomonas maltophilia_gapfilled_0,Stenotrophomonas maltophilia_gapfilled_3
rxn07841_c,164.5518567610864,164.55185676108715
rxn01111_c,164.5518567610864,164.551856761086
rxn10125_c,164.5518567610864,164.551856761086
rxn00623_c,164.5518567610864,164.551856761086
rxn02270_c,164.55185676108576,164.551856761086
rxn00927_c,164.55185676108576,164.551856761086
EX_cpd00154_e,164.55185676108576,164.551856761086
rxn01315_c,164.55185676108576,164.551856761086
rxn09203_c,164.55185676108576,164.551856761086
rxn05319_c,164.5518567610858,164.5518567610863
rxn00302_c,164.5518567610858,164.5518567610863
rxn10218_c,164.5518567610858,164.5518567610863
rxn05219_c,164.5518567610858,164.5518567610863
rxn00148_c,164.55185676108673,164.5518567610863
rxn11759_c,164.55185676108673,164.5518567610863
rxn01851_c,164.55185676108673,164.5518567610863
rxn00441_c,164.55185676108673,164.5518567610863
EX_cpd00750_e,164.55185676108673,164.5518567610863
rxn00146_c,164.55185676108673,164.5518567610863
rxn00484_c,164.55185676108673,164.5518567610863
rxn02008_c,-7.749497038374956e-14,-1.3852294310961603e-13
rxn10216_c,164.55185676108624,164.55185676108752
rxn01270_c,164.55185676108624,164.55185676108752
rxn00181_c,164.55185676108624,164.55185676108752
rxn01528_c,164.55185676108624,164.55185676108752
rxn08619_c,6.732659076913277e-13,0.0
rxn11944_c,164.5518567610845,164.55185676108616
rxn08688_c,164.5518567610845,164.55185676108667
rxn00363_c,164.5518567610845,164.55185676108667
rxn01670_c,164.5518567610845,164.55185676108667
rxn05468_c,164.55185676108474,164.55185676108675
rxn05380_c,-3.8859875104100775e-14,1.474330201936759e-13
rxn05390_c,1.554395004164031e-13,-9.828868012911727e-14
EX_cpd00028_e,7.771975020820155e-14,-1.474330201936759e-13
rxn00320_c,164.55185676108596,164.5518567610867
rxn03035_c,164.55185676108596,164.5518567610867
rxn12640_c,164.55185676108596,164.5518567610867
rxn00839_c,164.55185676108596,164.5518567610867
rxn00800_c,2.515113433970099e-12,1.2299561076458012e-11
rxn04727_c,164.55185676108312,164.55185676108673
rxn05454_c,0.0,8.617828357232566e-14
rxn11801_c,164.5518567610861,164.55185676107538
rxn04132_c,164.5518567610861,164.55185676107538
rxn00428_c,164.5518567610861,164.55185676107538
rxn01044_c,164.5518567610861,164.55185676107538
rxn08306_c,164.5518567610861,164.55185676107538
rxn04954_c,164.5518567610861,164.55185676107538
EX_cpd01012_e,164.5518567610861,164.55185676107538
EX_cpd00119_e,164.5518567610861,164.55185676107538
rxn05368_c,7.027764170613492e-15,-7.83295393697501e-14
rxn07673_c,164.55185676108567,164.55185676108678
rxn00798_c,164.55185676108567,164.55185676108678
EX_cpd00099_e,-1.7613589688763599e-13,-3.697733986945495e-13
rxn05362_c,2.7398917293632266e-13,-3.16948627452471e-13
rxn01509_c,164.551856761087,164.5518567610858
rxn09310_c,164.551856761087,164.5518567610858
rxn04675_c,164.551856761087,164.5518567610858
rxn01429_c,164.551856761087,164.5518567610858
rxn01268_c,164.551856761087,164.5518567610858
rxn03463_c,164.551856761087,164.5518567610858
rxn11712_c,164.551856761087,164.5518567610858
rxn00292_c,164.551856761087,164.5518567610858
rxn00874_c,164.551856761087,164.5518567610858
rxn03933_c,164.551856761087,164.5518567610858
rxn03860_c,164.551856761087,164.5518567610858
EX_cpd00246_e,164.551856761087,164.5518567610858
rxn02895_c,164.551856761087,164.5518567610858
rxn08087_c,164.551856761087,164.5518567610858
rxn00211_c,164.551856761087,164.5518567610858
EX_cpd00971_e,164.551856761087,164.5518567610858
rxn12191_c,164.551856761087,164.5518567610858
rxn01790_c,164.551856761087,164.5518567610858
rxn00938_c,164.55185676108695,164.5518567610858
rxn05393_c,2.3346883387891495e-14,-9.689497485103975e-14
rxn10163_c,164.55185676108619,164.5518567610867
rxn06194_c,164.55185676108619,164.5518567610867
rxn08088_c,164.55185676108619,164.5518567610867
rxn03921_c,164.55185676108619,164.5518567610867
rxn01299_c,164.55185676108619,164.5518567610867
rxn13783_c,-8.483750203285756e-14,-7.650495877352605e-15
rxn03282_c,164.5518567610862,164.55185676108604
rxn10222_c,164.55185676108673,164.55185676108604
rxn07100_c,164.55185676108673,164.55185676108604
rxn10148_c,164.55185676108673,164.55185676108604
rxn00058_c,164.5518567610867,164.5518567610864
rxn00321_c,164.55185676108715,164.5518567610864
rxn05607_c,164.55185676108715,164.5518567610864
rxn05104_c,164.55185676108715,164.5518567610864
rxn05871_c,164.55185676108715,164.5518567610864
rxn02569_c,164.55185676108715,164.5518567610864
rxn10265_c,1.7651269612615513e-13,-1.106284469588996e-13
rxn10209_c,164.5518567610862,164.55185676108601
rxn00515_c,164.5518567610855,164.5518567610861
rxn00735_c,164.5518567610855,164.5518567610861
rxn10256_c,164.5518567610855,164.5518567610861
rxn02889_c,162.7893556468155,162.78935564681777
rxn00676_c,164.55185676108644,164.551856761084
rxn00549_c,164.55185676108644,164.551856761084
rxn05466_c,164.55185676108644,164.551856761084
rxn00686_c,-1.8910339334199353e-13,-4.929959599085653e-13
rxn10264_c,164.55185676108604,164.55185676108525
rxn05465_c,-1.0020123638181851e-13,-1.196656025686175e-13
rxn00508_c,164.55185676108573,164.5518567610858
rxn06600_c,164.55185676108698,164.55185676108584
rxn06804_c,164.55185676108698,164.55185676108584
rxn10227_c,-6.592415977276182e-14,-1.0944325185049397e-14
rxn00297_c,164.5518567610864,164.5518567610853
rxn00095_c,164.5518567610864,164.5518567610853
rxn09208_c,164.5518567610864,164.5518567610853
rxn01649_c,141.61747634851753,141.6174763485167
rxn02819_c,164.55185676108587,164.55185676108493
rxn09979_c,164.55185676108587,164.55185676108493
rxn00478_c,164.55185676108587,164.55185676108493
rxn05306_c,162.19525525923197,162.19525525923206
EX_cpd00108_e,164.55185676108633,164.55185676108638
rxn05343_c,164.55185676108633,164.55185676108638
rxn01018_c,-1.157632831442014e-13,1.158433685953007e-13
rxn08094_c,164.5518567610865,164.55185676108624
rxn06865_c,-4.5550161184715784e-14,2.6687282031937706e-13
rxn10123_c,164.55185676108695,164.55185676108843
rxn03174_c,164.55185676108695,164.55185676108843
rxn00604_c,164.55185676108695,164.55185676108852
rxn01101_c,164.55185676108695,164.55185676108852
rxn01477_c,4.425049699838654e-12,5.978836710007907e-12
rxn06038_c,164.55185676108624,164.55185676108604
rxn00178_c,162.78935564681507,162.78935564681476
rxn03323_c,164.5518567610867,164.55185676108587
rxn12664_c,164.4321667349366,164.4082496208009
rxn00214_c,164.5518567610867,164.55185676108587
rxn09207_c,164.5518567610867,164.55185676108587
rxn04070_c,164.5518567610867,164.55185676108587
rxn01169_c,164.5518567610867,164.55185676108587
rxn00872_c,164.5518567610867,164.55185676108587
rxn03970_c,164.5518567610867,164.55185676108587
rxn00973_c,164.5518567610867,164.55185676108587
rxn03135_c,4.269685831917963e-13,-2.0838912175896336e-14
rxn10224_c,164.55185676106873,164.5518567610865
rxn05142_c,164.55185676106873,164.5518567610865
rxn03084_c,164.55185676106873,164.5518567610865
rxn00472_c,164.55185676106873,164.5518567610865
EX_cpd00067_e,164.5518567610696,164.551856761087
rxn00364_c,164.5518567610864,164.55185676108576
rxn12860_c,164.5518567610864,164.55185676108496
rxn00714_c,164.5518567610864,164.55185676108496
rxn01115_c,164.55185676108653,164.5518567610859
rxn03887_c,164.55185676108653,164.5518567610859
rxn01480_c,164.55185676108653,164.5518567610859
rxn06723_c,-2.8133012457723856e-13,2.8090989574820073e-13
rxn05378_c,1.5521662045640748e-13,1.4045494787410036e-14
rxn01157_c,164.55185676108644,164.551856761087
rxn10230_c,164.55185676108644,164.5518567610861
EX_cpd00550_e,164.55185676108644,164.5518567610861
rxn00656_c,164.55185676108644,164.55185676108692
rxn01286_c,164.55185676108644,164.55185676108692
rxn03108_c,164.55185676108644,164.55185676108692
rxn02186_c,3.8262154543632246e-13,1.010451456134165e-13
EX_cpd00080_e,164.5518567610894,164.55185676108596
rxn00497_c,164.5518567610894,164.55185676108596
rxn01827_c,164.5518567610894,164.55185676108596
rxn00935_c,164.5518567610894,164.55185676108596
rxn06624_c,164.5518567610894,164.55185676108596
EX_cpd00588_e,164.5518567610894,164.55185676108596
EX_cpd00034_e,3.4815835561940303e-13,-4.609665176713306e-14
rxn05618_c,7.275872608653146e-14,-4.609665176713306e-14
rxn00414_c,162.7893556468328,162.78935564681547
rxn10233_c,1.7841538693961545e-12,-1.573360905322625e-13
rxn03378_c,164.55185676108712,164.55185676108516
rxn02285_c,-2.5371934801259373e-12,6.942883792522718e-15
rxn05494_c,164.55185676108601,164.5518567610858
rxn00913_c,164.55185676108601,164.5518567610858
rxn03408_c,-3.573528473311352e-13,-4.085809452987282e-12
rxn09112_c,164.55185676108627,164.55185676108755
rxn01451_c,164.55185676108627,164.55185676108755
EX_cpd01914_e,164.55185676108627,164.55185676108755
rxn00124_c,164.55185676108627,164.55185676108755
rxn02104_c,164.55185676108627,164.55185676108755
rxn02975_c,164.55185676108653,164.55185676114456
EX_cpd00033_e,164.55185676108653,164.55185676118757
rxn05301_c,162.70560747088703,162.70560747100453
rxn11711_c,164.55185676108653,164.55185676118757
rxn02268_c,164.55185676108633,164.55185676118757
rxn00980_c,164.55185676108633,164.55185676118757
rxn05651_c,9.399625029791733e-12,164.55185676116636
rxn01504_c,162.78935564681578,162.78935564681558
rxn01518_c,164.55185676108647,164.55185676108619
rxn08583_c,-1.1118745102219456e-13,-1.0505500029051567e-13
rxn04723_c,164.55185676108638,164.55185676108584
rxn10213_c,-2.366639089319497e-14,4.28672963300952e-14
rxn13952_c,164.55185676108624,164.5518567610859
rxn01256_c,164.55185676108624,164.5518567610859
rxn00519_c,164.5518567610861,164.55185676108582
rxn04052_c,164.5518567610861,164.55185676108582
rxn01361_c,-6.084081229715817e-13,4.0240920900477175e-13
rxn03194_c,164.55185676108596,164.5518567610859
rxn01479_c,164.55185676108698,164.5518567610858
rxn02503_c,164.55185676108698,164.5518567610858
rxn06510_c,164.55185676108698,164.5518567610858
EX_cpd00030_e,-1.1188285359416188e-13,2.3993679552365896e-13
rxn05039_c,0.0,2.067984701247589e-13
rxn05012_c,164.55185676108655,164.55185676108442
EX_cpd00540_e,164.55185676108295,164.55185676108442
rxn00350_c,164.55185676108658,164.55185676108678
rxn10343_c,164.55185676108658,164.55185676108678
rxn03287_c,164.55185676108658,164.55185676108678
rxn01211_c,164.55185676108658,164.55185676108678
EX_cpd00069_e,162.70560747088712,162.70560747088743
rxn11268_c,164.55185676108658,164.55185676108678
rxn01353_c,2.1530560866483955e-14,8.308719107826679e-14
rxn12847_c,164.55185676108624,164.55185676108516
rxn05158_c,164.5518567610858,164.55185676108516
rxn01641_c,164.5518567610858,164.55185676108516
rxn07586_c,164.5518567610858,164.55185676108516
rxn00836_c,164.55185676108593,164.55185676108516
rxn00772_c,164.5518567610862,164.55185676108525
rxn00605_c,164.55185676108664,164.55185676108525
rxn02866_c,162.78935564681612,162.789355646814
rxn10204_c,-5.905201139132359e-13,-7.84896214583673e-13
rxn12636_c,164.55185676108587,164.55185676108513
rxn09197_c,164.55185676108587,164.55185676108513
rxn12844_c,164.55185676108587,164.55185676108513
rxn06805_c,164.55185676108587,164.55185676108513
EX_cpd00051_e,164.55185676108607,164.55185676108582
rxn12239_c,164.5518567610859,164.55185676108556
EX_cpd00094_e,164.5518567610859,164.55185676108556
EX_cpd00276_e,164.5518567610859,164.55185676108556
rxn04750_c,164.5518567610859,164.55185676108556
rxn05289_c,1.162053572426624e-13,2.86400382173367e-14
rxn09206_c,164.55185676108624,164.55185676108596
rxn00274_c,162.9349641912573,162.93496419125702
EX_cpd00322_e,164.55185676108624,164.5518567610861
rxn00832_c,1.3893172830303794e-13,-1.3673269814433854e-13
rxn04757_c,164.55185676109286,164.55185676108684
rxn05528_c,164.55185676109286,164.55185676108684
rxn10832_c,164.4560908087249,164.4560908087175
rxn00283_c,164.5518567610859,164.5518567610866
rxn07670_c,164.5518567610859,164.5518567610866
rxn10263_c,164.5518567610859,164.5518567610866
rxn03146_c,-4.677542653909104e-13,-4.613201640958211e-13
rxn11713_c,164.55185676108658,164.55185676108644
rxn03538_c,9.069426680630003e-13,0.0
rxn08783_c,164.5518567610855,164.55185676107453
rxn03903_c,164.5518567610855,164.55185676107453
rxn00543_c,164.5518567610855,164.55185676107453
rxn10162_c,164.5518567610855,164.55185676109352
rxn01754_c,164.5518567610855,164.55185676109352
rxn02342_c,164.5518567610855,164.55185676109352
rxn08444_c,164.55185676108556,164.5518567610538
rxn01644_c,164.55185676108556,164.5518567610538
rxn00404_c,164.55185676108556,164.5518567610538
rxn03046_c,164.55185676108556,164.5518567610538
rxn01653_c,164.55185676108556,164.5518567610538
EX_cpd00138_e,164.55185676108556,164.5518567610538
rxn08127_c,164.55185676108556,164.5518567610538
rxn03087_c,164.5518567610862,164.55185676108636
rxn00138_c,164.5518567610861,164.55185676108624
rxn00330_c,164.5518567610861,164.55185676108624
rxn05505_c,164.5518567610861,164.55185676108624
rxn06394_c,164.5518567610861,164.55185676108624
EX_cpd00079_e,164.5518567610861,164.55185676108624
rxn05649_c,164.5518567610861,164.55185676108624
rxn01216_c,164.5518567610861,164.55185676108624
rxn00324_c,164.5518567610861,164.55185676108624
rxn00141_c,-1.1209178610432524e-13,6.522902251769391e-14
rxn00289_c,164.55185676108601,164.55185676108695
rxn00495_c,164.55185676108601,164.55185676108695
EX_cpd01188_e,164.55185676108601,164.55185676108695
rxn03360_c,164.55185676108601,164.55185676108695
rxn00313_c,164.45516792254068,164.45516792254116
rxn10211_c,164.55185676108601,164.5518567610867
rxn01678_c,164.55185676108601,164.5518567610867
rxn01445_c,164.55185676108601,164.5518567610867
rxn03060_c,164.55185676108601,164.5518567610867
rxn11663_c,164.55185676108601,164.5518567610867
rxn02400_c,164.55185676108601,164.5518567610867
rxn02791_c,164.55185676108601,164.5518567610867
rxn02821_c,164.55185676108601,164.5518567610867
rxn01466_c,164.55185676108613,164.55185676108667
rxn02201_c,164.55185676108613,164.55185676108667
rxn02345_c,164.55185676108613,164.55185676108667
rxn00867_c,164.55185676108613,164.55185676108667
rxn01388_c,164.55185676108613,164.55185676108687
rxn02584_c,164.55185676108613,164.55185676108687
rxn03137_c,0.0,2.1518105887326892e-13
