,importance,fraction active in 0,fraction active in 1
rxn18456_c_upper_bound,0.42098068881979345,0.0,0.6759259259259259
rxn29080_c_upper_bound,0.12475368504365732,0.0,0.35802469135802467
rxn29080_c_lower_bound,0.12297461615759984,0.0,0.35802469135802467
rxn05229_c_upper_bound,0.012719025808469224,0.4298245614035088,0.42901234567901236
rxn05316_c_upper_bound,0.01111284233099699,0.2565789473684211,0.4012345679012346
rxn05531_c_lower_bound,0.010965844267457494,0.31798245614035087,0.5246913580246914
rxn01640_c_upper_bound,0.010650758123211122,0.33114035087719296,0.5030864197530864
rxn05316_c_lower_bound,0.010617282974720348,0.2565789473684211,0.4012345679012346
rxn31356_c_upper_bound,0.010514704681901856,0.3399122807017544,0.5061728395061729
rxn31356_c_lower_bound,0.010270839550625754,0.3399122807017544,0.5061728395061729
rxn05531_c_upper_bound,0.010246976984295993,0.31798245614035087,0.5246913580246914
rxn01640_c_lower_bound,0.01022998672035135,0.33114035087719296,0.5030864197530864
rxn12424_c_upper_bound,0.009970000193105092,0.20175438596491227,0.33641975308641975
rxn10960_c_lower_bound,0.00987650777794923,0.21052631578947367,0.33024691358024694
rxn09989_c_upper_bound,0.009760558136126857,0.31798245614035087,0.5246913580246914
rxn12424_c_lower_bound,0.009419732579530143,0.20175438596491227,0.33641975308641975
rxn05571_c_lower_bound,0.009325480861952676,0.16885964912280702,0.2808641975308642
rxn10960_c_upper_bound,0.009287033266440748,0.21052631578947367,0.33024691358024694
rxn33986_c_upper_bound,0.009121457361289064,0.2149122807017544,0.25308641975308643
rxn05571_c_upper_bound,0.009087072754168923,0.16885964912280702,0.2808641975308642
rxn05484_c_upper_bound,0.008428814093309799,0.14473684210526316,0.22530864197530864
rxn28604_c_upper_bound,0.008381118210192502,0.17543859649122806,0.1882716049382716
rxn05484_c_lower_bound,0.00830813613620516,0.14473684210526316,0.22530864197530864
rxn28604_c_lower_bound,0.007937292702367265,0.17543859649122806,0.1882716049382716
rxn38907_c_lower_bound,0.00786321123973108,0.41885964912280704,0.5154320987654321
rxn38907_c_upper_bound,0.0073187645504656194,0.41885964912280704,0.5154320987654321
rxn38906_c_lower_bound,0.005641822378173055,0.20833333333333334,0.18209876543209877
rxn00467_c_upper_bound,0.005632619655280979,0.21929824561403508,0.13271604938271606
rxn00467_c_lower_bound,0.005618858807973972,0.21929824561403508,0.13271604938271606
rxn38906_c_upper_bound,0.0053159586210211026,0.20833333333333334,0.18209876543209877
rxn00958_c_upper_bound,0.005053833375893279,0.5942982456140351,0.7160493827160493
rxn00958_c_lower_bound,0.004735682225527338,0.5942982456140351,0.7160493827160493
rxn08131_c_lower_bound,0.004651690340766267,0.26096491228070173,0.18209876543209877
rxn09997_c_lower_bound,0.004490369716092377,0.7390350877192983,0.8179012345679012
rxn08131_c_upper_bound,0.004423864814518205,0.26096491228070173,0.18209876543209877
rxn09997_c_upper_bound,0.004198662770595907,0.7390350877192983,0.8179012345679012
rxn02929_c_lower_bound,0.003350103439700034,0.23684210526315788,0.19753086419753085
rxn02929_c_upper_bound,0.003332009317539633,0.23684210526315788,0.19753086419753085
rxn00957_c_lower_bound,0.0033260778202662492,0.23903508771929824,0.17592592592592593
rxn00957_c_upper_bound,0.0033181793456356643,0.23903508771929824,0.17592592592592593
rxn02928_c_upper_bound,0.0032915154809890247,0.7653508771929824,0.8055555555555556
rxn01934_c_upper_bound,0.003112339123488997,0.16666666666666666,0.10802469135802469
rxn11674_c_lower_bound,0.003011251668467371,0.16666666666666666,0.10802469135802469
rxn02928_c_lower_bound,0.002869133675380488,0.7653508771929824,0.8055555555555556
rxn06991_c_upper_bound,0.002762525615292604,0.13157894736842105,0.08641975308641975
rxn01934_c_lower_bound,0.002697089757441874,0.16666666666666666,0.10802469135802469
