,importance,fraction active in 0,fraction active in 1
rxn12571_c_lower_bound,0.17633705039471362,0.0,0.56353591160221
rxn12571_c_upper_bound,0.15706601230162318,0.0,0.56353591160221
rxn12298_c_upper_bound,0.061879640112598396,0.0,0.47513812154696133
rxn01919_c_upper_bound,0.05741548608242931,0.0,0.47513812154696133
rxn01919_c_lower_bound,0.05272836612167119,0.0,0.47513812154696133
rxn04455_c_lower_bound,0.04938249783476653,0.0,0.47513812154696133
rxn23629_c_upper_bound,0.04802892022801879,0.0,0.47513812154696133
rxn04455_c_upper_bound,0.046224905188824376,0.0,0.47513812154696133
rxn12298_c_lower_bound,0.03476151220131315,0.0,0.47513812154696133
rxn35596_c_upper_bound,0.03285764509640119,0.0,0.13812154696132597
rxn01363_c_lower_bound,0.030732230235885904,0.0,0.17679558011049723
rxn01363_c_upper_bound,0.02934908004459142,0.0,0.17679558011049723
rxn07524_c_upper_bound,0.026953585854413455,0.0,0.2983425414364641
rxn04661_c_upper_bound,0.024891441854108506,0.0,0.13812154696132597
rxn35594_c_upper_bound,0.023661547175131668,0.0,0.1270718232044199
rxn07524_c_lower_bound,0.019986817084076656,0.0,0.2983425414364641
rxn04661_c_lower_bound,0.018369571342568617,0.0,0.13812154696132597
rxn07523_c_upper_bound,0.012024260667616546,0.0,0.17679558011049723
rxn07523_c_lower_bound,0.011688846149308466,0.0,0.17679558011049723
rxn00155_c_lower_bound,0.0020353622307244515,0.521680216802168,0.7071823204419889
rxn00155_c_upper_bound,0.0016741185123942577,0.521680216802168,0.7071823204419889
rxn04794_c_upper_bound,0.0014912052812350674,0.32791327913279134,0.1712707182320442
rxn00156_c_upper_bound,0.0013541438928931554,0.13550135501355012,0.20994475138121546
rxn04794_c_lower_bound,0.0013510150296264433,0.32791327913279134,0.1712707182320442
rxn00553_c_upper_bound,0.001253573649508488,0.052845528455284556,0.1270718232044199
rxn00156_c_lower_bound,0.0011499928658531445,0.13550135501355012,0.20994475138121546
rxn18574_c_upper_bound,0.0011276748885034145,0.036585365853658534,0.09944751381215469
rxn00553_c_lower_bound,0.0010248910310835745,0.052845528455284556,0.1270718232044199
rxn05643_c_lower_bound,0.0010241833438303558,0.03523035230352303,0.08287292817679558
rxn12585_c_upper_bound,0.0010223129991485888,0.12195121951219512,0.027624309392265192
rxn05643_c_upper_bound,0.0009987521571199276,0.03523035230352303,0.08287292817679558
rxn00656_c_lower_bound,0.0009261444471160693,0.06775067750677506,0.13259668508287292
rxn36697_c_upper_bound,0.0008780071303687284,0.3346883468834688,0.3370165745856354
rxn34424_c_lower_bound,0.0008557477793254886,0.08536585365853659,0.143646408839779
rxn13775_c_lower_bound,0.0008519962880000801,0.0,0.0055248618784530384
rxn12585_c_lower_bound,0.0008447693244394472,0.12195121951219512,0.027624309392265192
rxn12522_c_upper_bound,0.000834878054766132,0.10840108401084012,0.027624309392265192
rxn05694_c_lower_bound,0.000820511739063599,0.1043360433604336,0.1712707182320442
rxn00656_c_upper_bound,0.0008146187654446035,0.06775067750677506,0.13259668508287292
rxn34424_c_upper_bound,0.0008105881272198528,0.08536585365853659,0.143646408839779
rxn00555_c_lower_bound,0.0007913524566091828,0.4823848238482385,0.48066298342541436
rxn13141_c_upper_bound,0.0007753908402020336,0.5149051490514905,0.5138121546961326
rxn05938_c_upper_bound,0.0007719024031335018,0.01084010840108401,0.027624309392265192
rxn01072_c_lower_bound,0.0007535568237275367,0.23983739837398374,0.281767955801105
rxn00103_c_upper_bound,0.0007395736924237398,0.017615176151761516,0.03314917127071823
rxn00555_c_upper_bound,0.0007161817190156482,0.4823848238482385,0.48066298342541436
rxn01934_c_upper_bound,0.0007120027137857401,0.0027100271002710027,0.011049723756906077
rxn00103_c_lower_bound,0.0007117639065207086,0.017615176151761516,0.03314917127071823
rxn02929_c_upper_bound,0.0007090758916913102,0.6422764227642277,0.6850828729281768
rxn34028_c_upper_bound,0.0007036985465106278,0.27371273712737126,0.3259668508287293
rxn13141_c_lower_bound,0.0006909041486928081,0.5149051490514905,0.5138121546961326
rxn05938_c_lower_bound,0.000688800065053428,0.01084010840108401,0.027624309392265192
rxn31356_c_upper_bound,0.0006834058092001361,0.0948509485094851,0.15469613259668508
rxn02250_c_upper_bound,0.0006784179935233097,0.0,0.0055248618784530384
rxn00957_c_upper_bound,0.0006766353609393917,0.5636856368563685,0.6077348066298343
rxn00957_c_lower_bound,0.0006730410597733373,0.5636856368563685,0.6077348066298343
rxn00958_c_lower_bound,0.0006697861696299789,0.43360433604336046,0.3812154696132597
rxn10878_c_lower_bound,0.0006597355241471191,0.14769647696476965,0.10497237569060773
rxn31356_c_lower_bound,0.000644476074873004,0.0948509485094851,0.15469613259668508
rxn01072_c_upper_bound,0.0006304976236995025,0.23983739837398374,0.281767955801105
rxn00229_c_lower_bound,0.0006299767547444898,0.12466124661246612,0.09944751381215469
rxn05694_c_upper_bound,0.0006284815243526316,0.1043360433604336,0.1712707182320442
rxn00958_c_upper_bound,0.0006243140783487552,0.43360433604336046,0.3812154696132597
rxn00204_c_lower_bound,0.0006133587211898594,0.06097560975609756,0.08839779005524862
rxn00204_c_upper_bound,0.0006128366835195249,0.06097560975609756,0.08839779005524862
rxn11674_c_lower_bound,0.0006097908888979158,0.0027100271002710027,0.011049723756906077
rxn18575_c_upper_bound,0.0006097056945825904,0.023035230352303523,0.049723756906077346
rxn10923_c_lower_bound,0.000602428222132142,0.05962059620596206,0.11049723756906077
rxn11674_c_upper_bound,0.000585635985858178,0.0027100271002710027,0.011049723756906077
rxn12537_c_upper_bound,0.0005783767523687681,0.11788617886178862,0.14917127071823205
rxn10115_c_lower_bound,0.00057786302697382,0.0013550135501355014,0.011049723756906077
rxn00657_c_lower_bound,0.000555380028439079,0.032520325203252036,0.04419889502762431
rxn10878_c_upper_bound,0.0005500710890946035,0.14769647696476965,0.10497237569060773
rxn10923_c_upper_bound,0.000537053118617756,0.05962059620596206,0.11049723756906077
rxn02929_c_lower_bound,0.0005319071087796138,0.6422764227642277,0.6850828729281768
rxn12522_c_lower_bound,0.0005268761743221123,0.10840108401084012,0.027624309392265192
rxn29063_c_upper_bound,0.0005247483397549522,0.09349593495934959,0.10497237569060773
rxn18456_c_upper_bound,0.0004986933948373007,0.07317073170731707,0.11049723756906077
rxn02928_c_upper_bound,0.0004981622052770275,0.3604336043360434,0.3149171270718232
rxn05693_c_upper_bound,0.0004929026892818215,0.0948509485094851,0.13259668508287292
rxn05634_c_lower_bound,0.00047963808263455155,0.09078590785907859,0.11049723756906077
rxn13690_c_lower_bound,0.0004786188003007184,0.02032520325203252,0.027624309392265192
rxn10115_c_upper_bound,0.00047584794333668193,0.0013550135501355014,0.011049723756906077
rxn05531_c_upper_bound,0.00047118140377687103,0.09349593495934959,0.11049723756906077
rxn05693_c_lower_bound,0.00046664808161470323,0.0948509485094851,0.13259668508287292
rxn29410_c_upper_bound,0.0004650047723106386,0.1016260162601626,0.13259668508287292
rxn05612_c_lower_bound,0.00045689918331830095,0.051490514905149054,0.0718232044198895
rxn00432_c_lower_bound,0.00045507654566864504,0.04200542005420054,0.0718232044198895
rxn10626_c_lower_bound,0.0004478025308890804,0.09620596205962059,0.1270718232044199
rxn10183_c_lower_bound,0.000444899196821146,0.11517615176151762,0.0718232044198895
rxn29063_c_lower_bound,0.00044398603650773434,0.09349593495934959,0.10497237569060773
rxn05493_c_lower_bound,0.0004421893091935234,0.018970189701897018,0.027624309392265192
rxn10960_c_upper_bound,0.0004421664229172156,0.07723577235772358,0.055248618784530384
rxn02928_c_lower_bound,0.00043473038594165714,0.3604336043360434,0.3149171270718232
rxn21111_c_upper_bound,0.00043142981745325623,0.1016260162601626,0.13259668508287292
rxn18396_c_upper_bound,0.00042961077913488023,0.13143631436314362,0.17679558011049723
rxn00229_c_upper_bound,0.0004261502196024604,0.12466124661246612,0.09944751381215469
rxn01361_c_lower_bound,0.00042273303895419957,0.08943089430894309,0.055248618784530384
rxn10960_c_lower_bound,0.00041973996601269705,0.07723577235772358,0.055248618784530384
rxn05486_c_lower_bound,0.00041943813544061256,0.1043360433604336,0.055248618784530384
rxn16140_c_lower_bound,0.0004182586044711547,0.0989159891598916,0.1270718232044199
rxn01360_c_upper_bound,0.00041671231052566016,0.14769647696476965,0.11602209944751381
rxn00509_c_upper_bound,0.00041597754271966494,0.03929539295392954,0.06629834254143646
rxn00966_c_upper_bound,0.0004118147075609599,0.0027100271002710027,0.011049723756906077
rxn00432_c_upper_bound,0.0004108549330265584,0.04200542005420054,0.0718232044198895
rxn13775_c_upper_bound,0.0004092968019739043,0.0,0.0055248618784530384
rxn02760_c_lower_bound,0.0004043741903279261,0.032520325203252036,0.055248618784530384
rxn15209_c_upper_bound,0.00039728378216756494,0.12872628726287264,0.16574585635359115
rxn01953_c_upper_bound,0.00039528753388296694,0.1043360433604336,0.055248618784530384
rxn12537_c_lower_bound,0.00039242816437445047,0.11788617886178862,0.14917127071823205
rxn01359_c_lower_bound,0.00039184745663767273,0.1016260162601626,0.11602209944751381
rxn10183_c_upper_bound,0.00039105433382190117,0.11517615176151762,0.0718232044198895
rxn29410_c_lower_bound,0.0003885485113323552,0.1016260162601626,0.13259668508287292
rxn00427_c_upper_bound,0.0003881211567848921,0.044715447154471545,0.07734806629834254
rxn02250_c_lower_bound,0.0003811427208404385,0.0,0.0055248618784530384
rxn01359_c_upper_bound,0.0003806523877223473,0.1016260162601626,0.11602209944751381
rxn00508_c_upper_bound,0.000379555442586265,0.07317073170731707,0.09944751381215469
rxn16140_c_upper_bound,0.00037908476941009116,0.0989159891598916,0.1270718232044199
rxn01005_c_lower_bound,0.00036732226930082877,0.12872628726287264,0.16574585635359115
rxn05316_c_upper_bound,0.00036628754824153027,0.1070460704607046,0.09392265193370165
rxn01005_c_upper_bound,0.00036292565875001824,0.12872628726287264,0.16574585635359115
rxn09989_c_upper_bound,0.00035799377119547166,0.09349593495934959,0.11049723756906077
rxn05316_c_lower_bound,0.0003547669393084152,0.1070460704607046,0.09392265193370165
rxn05531_c_lower_bound,0.00034730053479392674,0.09349593495934959,0.11049723756906077
rxn01934_c_lower_bound,0.00034089255443188634,0.0027100271002710027,0.011049723756906077
rxn00657_c_upper_bound,0.00033953521690980763,0.032520325203252036,0.04419889502762431
rxn01506_c_lower_bound,0.0003282802354863845,0.11517615176151762,0.0718232044198895
rxn28604_c_lower_bound,0.0003279536334227493,0.005420054200542005,0.011049723756906077
rxn05612_c_upper_bound,0.0003257791674177821,0.051490514905149054,0.0718232044198895
rxn13690_c_upper_bound,0.0003140535581381086,0.02032520325203252,0.027624309392265192
rxn00427_c_lower_bound,0.0003105832141290179,0.044715447154471545,0.07734806629834254
rxn12524_c_upper_bound,0.00030988831750303946,0.0989159891598916,0.12154696132596685
