,importance,fraction active in 0,fraction active in 1
rxn04455_c_upper_bound,0.09049171194911705,0.0,0.9318181818181818
rxn12298_c_upper_bound,0.07850908530531883,0.0,0.9318181818181818
rxn04455_c_lower_bound,0.07641139157464573,0.0,0.9318181818181818
rxn02538_c_upper_bound,0.0762083494271572,0.0,0.9204545454545454
rxn12540_c_upper_bound,0.06438955980391325,0.0,0.9204545454545454
rxn12298_c_lower_bound,0.06438675078993071,0.0,0.9318181818181818
rxn12540_c_lower_bound,0.06324543043370433,0.0,0.9204545454545454
rxn02538_c_lower_bound,0.061249358088904124,0.0,0.9204545454545454
rxn05647_c_upper_bound,0.05125113820031626,0.0,0.8295454545454546
rxn05647_c_lower_bound,0.045387718681669,0.0,0.8295454545454546
rxn23629_c_upper_bound,0.02746258737850431,0.0,0.7159090909090909
rxn01919_c_upper_bound,0.025793660968181958,0.0,0.7159090909090909
rxn09992_c_upper_bound,0.022853095400924863,0.0,0.5113636363636364
rxn01919_c_lower_bound,0.01968264663613105,0.0,0.7159090909090909
rxn07524_c_lower_bound,0.018685548154002914,0.0,0.3693181818181818
rxn03482_c_upper_bound,0.01594333878328355,0.0,0.48863636363636365
rxn11258_c_upper_bound,0.014589700847732732,0.0,0.11363636363636363
rxn11258_c_lower_bound,0.01413857851815721,0.0,0.11363636363636363
rxn07523_c_lower_bound,0.012832751457743301,0.0,0.38636363636363635
rxn07524_c_upper_bound,0.011607838120607996,0.0,0.3693181818181818
rxn07523_c_upper_bound,0.00896098037096603,0.0,0.38636363636363635
rxn16381_c_upper_bound,0.007964978848120271,0.0,0.24431818181818182
rxn01803_c_upper_bound,0.007475869263736137,0.0,0.2840909090909091
rxn01803_c_lower_bound,0.0067565100996516666,0.0,0.2840909090909091
rxn00383_c_upper_bound,0.005618437959967141,0.20024570024570024,0.6647727272727273
rxn00963_c_upper_bound,0.005004155796831463,0.0,0.17613636363636365
rxn00383_c_lower_bound,0.003989794012105515,0.20024570024570024,0.6647727272727273
rxn00586_c_upper_bound,0.003500136201495169,0.09336609336609336,0.3522727272727273
rxn00963_c_lower_bound,0.0033016714455427402,0.0,0.17613636363636365
rxn00595_c_lower_bound,0.003035529598652221,0.04668304668304668,0.1875
rxn00586_c_lower_bound,0.0028692294639742102,0.09336609336609336,0.3522727272727273
rxn00595_c_upper_bound,0.0027621427755347076,0.04668304668304668,0.1875
rxn00961_c_lower_bound,0.0023564846090782378,0.0,0.10795454545454546
rxn00961_c_upper_bound,0.0021538230436489755,0.0,0.10795454545454546
rxn08688_c_upper_bound,0.0017591874805856205,0.6142506142506142,0.9488636363636364
rxn00993_c_upper_bound,0.0016342620994945292,0.9778869778869779,0.8238636363636364
rxn08688_c_lower_bound,0.0015997056888039471,0.6142506142506142,0.9488636363636364
rxn02276_c_lower_bound,0.0014018150769530796,0.9778869778869779,0.8238636363636364
rxn09180_c_upper_bound,0.0013677368099933402,0.2727272727272727,0.022727272727272728
rxn00993_c_lower_bound,0.0012344130566945808,0.9778869778869779,0.8238636363636364
rxn09180_c_lower_bound,0.0011568684018999895,0.2727272727272727,0.022727272727272728
rxn02276_c_upper_bound,0.0011457241483486334,0.9778869778869779,0.8238636363636364
rxn11674_c_lower_bound,0.0010297041513123973,0.7764127764127764,0.5284090909090909
rxn01934_c_upper_bound,0.0009744727062448337,0.7764127764127764,0.5284090909090909
rxn01934_c_lower_bound,0.0009641379473703483,0.7764127764127764,0.5284090909090909
rxn09997_c_lower_bound,0.0008355374310898678,0.8525798525798526,0.6306818181818182
rxn09997_c_upper_bound,0.0008126388082009684,0.8525798525798526,0.6306818181818182
rxn05488_c_lower_bound,0.0008028573767903282,0.1167076167076167,0.20454545454545456
rxn06200_c_lower_bound,0.0007980076526603686,0.013513513513513514,0.045454545454545456
rxn00155_c_lower_bound,0.0007805270391215201,0.07985257985257985,0.2556818181818182
rxn00155_c_upper_bound,0.0007670022461902019,0.07985257985257985,0.2556818181818182
rxn11877_c_lower_bound,0.0007462899231990618,0.02457002457002457,0.07954545454545454
rxn03504_c_lower_bound,0.0007158057763433473,0.02457002457002457,0.07954545454545454
rxn11674_c_upper_bound,0.0006958715836594992,0.7764127764127764,0.5284090909090909
rxn05176_c_upper_bound,0.0006700790457755069,0.0,0.005681818181818182
rxn10904_c_lower_bound,0.0005939577103519337,0.052825552825552825,0.08522727272727272
rxn05488_c_upper_bound,0.0005904103807772858,0.1167076167076167,0.20454545454545456
rxn06200_c_upper_bound,0.0005893691670614826,0.013513513513513514,0.045454545454545456
rxn00787_c_upper_bound,0.0005866812606130389,0.0085995085995086,0.03409090909090909
rxn00594_c_lower_bound,0.0005490579921958464,0.04668304668304668,0.16477272727272727
rxn09673_c_lower_bound,0.0005467243423756522,0.08353808353808354,0.21022727272727273
rxn10840_c_upper_bound,0.000543254448850298,0.036855036855036855,0.07386363636363637
rxn20627_c_upper_bound,0.0005399416654291411,0.18427518427518427,0.017045454545454544
rxn20627_c_lower_bound,0.0005306151229429708,0.18427518427518427,0.017045454545454544
rxn13849_c_lower_bound,0.0005219309981946112,0.060196560196560195,0.14772727272727273
rxn03504_c_upper_bound,0.000516555737610604,0.02457002457002457,0.07954545454545454
rxn09673_c_upper_bound,0.0005153335355765789,0.08353808353808354,0.21022727272727273
rxn01072_c_lower_bound,0.0005136312147210893,0.44594594594594594,0.6590909090909091
rxn15728_c_upper_bound,0.0005124248459307075,0.02457002457002457,0.07954545454545454
rxn11877_c_upper_bound,0.000505641581514208,0.02457002457002457,0.07954545454545454
rxn00594_c_upper_bound,0.0005045088767153355,0.04668304668304668,0.16477272727272727
rxn00229_c_lower_bound,0.0005010771749444704,0.10810810810810811,0.08522727272727272
rxn00787_c_lower_bound,0.0004921525583708549,0.0085995085995086,0.03409090909090909
rxn10960_c_upper_bound,0.00047527123939053055,0.13022113022113022,0.23863636363636365
rxn05699_c_lower_bound,0.00047406471075490454,0.002457002457002457,0.03409090909090909
rxn05560_c_lower_bound,0.00047071456593165083,0.036855036855036855,0.06818181818181818
