,importance,fraction active in 0,fraction active in 1
rxn00541_c_upper_bound,0.1619197784859534,0.0,1.0
rxn00541_c_lower_bound,0.15238340513637616,0.0,1.0
rxn04783_c_upper_bound,0.06197418985775447,0.008955223880597015,0.6643356643356644
rxn00429_c_lower_bound,0.053040945074218096,0.007462686567164179,0.5104895104895105
rxn00690_c_upper_bound,0.04501142501960589,0.0014925373134328358,0.5104895104895105
rxn00429_c_upper_bound,0.04090241032630331,0.007462686567164179,0.5104895104895105
rxn00690_c_lower_bound,0.039783133405490834,0.0014925373134328358,0.5104895104895105
rxn01825_c_lower_bound,0.03445998983863697,0.0029850746268656717,0.5034965034965035
rxn02276_c_upper_bound,0.03126479002274715,0.0029850746268656717,0.5034965034965035
rxn02276_c_lower_bound,0.027625600606126212,0.0029850746268656717,0.5034965034965035
rxn01825_c_upper_bound,0.02754095898581298,0.0029850746268656717,0.5034965034965035
rxn00993_c_upper_bound,0.025305838220825914,0.0029850746268656717,0.5034965034965035
rxn00993_c_lower_bound,0.0251824253263174,0.0029850746268656717,0.5034965034965035
rxn05488_c_upper_bound,0.019717333635774836,0.0029850746268656717,0.44755244755244755
rxn05488_c_lower_bound,0.018898076996553978,0.0029850746268656717,0.44755244755244755
rxn00688_c_upper_bound,0.018870591861167275,0.007462686567164179,0.3706293706293706
rxn01423_c_upper_bound,0.018135969961369888,0.26119402985074625,1.0
rxn01418_c_upper_bound,0.018063862241343414,0.26119402985074625,1.0
rxn07429_c_upper_bound,0.017926098045295373,0.24776119402985075,0.006993006993006993
rxn00688_c_lower_bound,0.01764785983301624,0.007462686567164179,0.3706293706293706
rxn07429_c_lower_bound,0.017068722569386005,0.24776119402985075,0.006993006993006993
rxn01423_c_lower_bound,0.010370544609664979,0.26119402985074625,1.0
rxn00958_c_upper_bound,0.009444606385549925,0.5029850746268657,0.0
rxn01418_c_lower_bound,0.007272843625263812,0.26119402985074625,1.0
rxn09468_c_upper_bound,0.005841798048959015,0.005970149253731343,0.1048951048951049
rxn10030_c_upper_bound,0.005754141711170571,0.005970149253731343,0.1048951048951049
rxn10030_c_lower_bound,0.005599178796418827,0.005970149253731343,0.1048951048951049
rxn00958_c_lower_bound,0.005520149754330044,0.5029850746268657,0.0
rxn12571_c_lower_bound,0.005212498052299016,0.22686567164179106,0.4965034965034965
rxn00957_c_lower_bound,0.00520345536315325,0.4582089552238806,0.0
rxn09468_c_lower_bound,0.005086212548799789,0.005970149253731343,0.1048951048951049
rxn12571_c_upper_bound,0.0044522968234705475,0.22686567164179106,0.4965034965034965
rxn00957_c_upper_bound,0.003975648028454786,0.4582089552238806,0.0
rxn09638_c_lower_bound,0.002592487404988259,0.16417910447761194,0.5524475524475524
rxn09638_c_upper_bound,0.002288218377518536,0.16417910447761194,0.5524475524475524
rxn35594_c_upper_bound,0.001955963118307217,0.0,0.06293706293706294
rxn01005_c_upper_bound,0.0019153472075557254,0.12238805970149254,0.0
rxn00375_c_lower_bound,0.001766058738722469,0.0029850746268656717,0.06993006993006994
rxn09637_c_lower_bound,0.0017566901905920907,0.09701492537313433,0.44755244755244755
rxn01663_c_upper_bound,0.001728447566098411,0.03582089552238806,0.2517482517482518
rxn00375_c_upper_bound,0.0017170120904876963,0.0029850746268656717,0.06993006993006994
rxn11674_c_lower_bound,0.0016103301443529323,0.49402985074626865,1.0
rxn11674_c_upper_bound,0.0016077391148817074,0.49402985074626865,1.0
rxn01663_c_lower_bound,0.001562681838137193,0.03582089552238806,0.2517482517482518
rxn09637_c_upper_bound,0.0015571597494011642,0.09701492537313433,0.44755244755244755
rxn15209_c_upper_bound,0.0014956351376248119,0.12238805970149254,0.0
rxn00966_c_upper_bound,0.0013321965711671888,0.49402985074626865,1.0
rxn14000_c_upper_bound,0.0012851005665993607,0.04776119402985075,0.23076923076923078
rxn01934_c_lower_bound,0.0012741494794359864,0.49402985074626865,1.0
rxn01662_c_lower_bound,0.001132330937043933,0.03134328358208955,0.24475524475524477
rxn10960_c_upper_bound,0.0011202665783681693,0.13582089552238805,0.0
rxn14000_c_lower_bound,0.0010897716438167853,0.04776119402985075,0.23076923076923078
rxn10960_c_lower_bound,0.0010451188068313117,0.13582089552238805,0.0
rxn01934_c_upper_bound,0.0008781761027604573,0.49402985074626865,1.0
rxn00317_c_lower_bound,0.0008600760085128091,0.025373134328358207,0.1888111888111888
rxn18396_c_upper_bound,0.000763818355951486,0.1253731343283582,0.0
rxn00373_c_upper_bound,0.0007555173432687939,0.0014925373134328358,0.0
rxn00315_c_lower_bound,0.0007539395659531294,0.010447761194029851,0.08391608391608392
