,importance,fraction active in 0,fraction active in 1
rxn00541_c_upper_bound,0.2062871730896043,0.0,0.8434782608695652
rxn00541_c_lower_bound,0.1696486692801799,0.0,0.8434782608695652
rxn08131_c_upper_bound,0.05052262297031866,0.930715935334873,0.26956521739130435
rxn13143_c_lower_bound,0.045352465480593816,0.0,0.21739130434782608
rxn13143_c_upper_bound,0.04494692750113854,0.0,0.21739130434782608
rxn08131_c_lower_bound,0.03553201833997059,0.930715935334873,0.26956521739130435
rxn00198_c_lower_bound,0.030593871726186123,0.050808314087759814,0.5739130434782609
rxn00198_c_upper_bound,0.0302055280863577,0.050808314087759814,0.5739130434782609
rxn00257_c_upper_bound,0.023540321943617243,0.04849884526558892,0.5478260869565217
rxn00257_c_lower_bound,0.023288148740959067,0.04849884526558892,0.5478260869565217
rxn09468_c_upper_bound,0.021423400004708,0.7205542725173211,0.0
rxn09468_c_lower_bound,0.017909699038734368,0.7205542725173211,0.0
rxn00429_c_lower_bound,0.0073434213628631815,0.018475750577367205,0.16521739130434782
rxn00690_c_lower_bound,0.007128634514683196,0.03695150115473441,0.02608695652173913
rxn00966_c_upper_bound,0.007026086572477541,0.4665127020785219,1.0
rxn00429_c_upper_bound,0.006901064438568488,0.018475750577367205,0.16521739130434782
rxn00690_c_upper_bound,0.006633252300564458,0.03695150115473441,0.02608695652173913
rxn00688_c_lower_bound,0.006464935569677526,0.5531177829099307,0.9739130434782609
rxn01934_c_lower_bound,0.006317032160457384,0.4665127020785219,1.0
rxn11674_c_lower_bound,0.006063193029441403,0.4665127020785219,1.0
rxn04783_c_upper_bound,0.006015612372626585,0.021939953810623556,0.06086956521739131
rxn00688_c_upper_bound,0.005913747546780018,0.5531177829099307,0.9739130434782609
rxn11676_c_lower_bound,0.005553629472127051,0.02424942263279446,0.17391304347826086
rxn11674_c_upper_bound,0.005541223323571616,0.4665127020785219,1.0
rxn01934_c_upper_bound,0.005415925176110126,0.4665127020785219,1.0
rxn00958_c_upper_bound,0.005279896817726676,0.43071593533487296,0.0
rxn04794_c_upper_bound,0.005203207039669578,0.30138568129330257,0.28695652173913044
rxn04675_c_lower_bound,0.004871504659440332,0.9711316397228638,0.8434782608695652
rxn04675_c_upper_bound,0.004798681676793745,0.9711316397228638,0.8434782608695652
rxn04794_c_lower_bound,0.004754261359044515,0.30138568129330257,0.28695652173913044
rxn00958_c_lower_bound,0.004603883582717581,0.43071593533487296,0.0
rxn00949_c_lower_bound,0.004572502432718717,0.049653579676674366,0.11304347826086956
rxn24940_c_upper_bound,0.0045521156455345215,0.008083140877598153,0.09565217391304348
rxn00957_c_upper_bound,0.00431434778526122,0.39838337182448036,0.0
rxn11676_c_upper_bound,0.004244784133541211,0.02424942263279446,0.17391304347826086
rxn24940_c_lower_bound,0.003726133186318129,0.008083140877598153,0.09565217391304348
rxn00949_c_upper_bound,0.003704258334995081,0.049653579676674366,0.11304347826086956
rxn00971_c_upper_bound,0.0034536067649862177,0.010392609699769052,0.11304347826086956
rxn05229_c_upper_bound,0.003339077699472028,0.4284064665127021,0.3565217391304348
rxn05313_c_upper_bound,0.0032393666209485335,0.3071593533487298,0.19130434782608696
rxn10053_c_upper_bound,0.003112779830599299,0.5715935334872979,0.6434782608695652
rxn10053_c_lower_bound,0.0030918629746764857,0.5715935334872979,0.6434782608695652
rxn00957_c_lower_bound,0.0029406406032855396,0.39838337182448036,0.0
rxn05313_c_lower_bound,0.0028897745914798607,0.3071593533487298,0.19130434782608696
rxn12585_c_lower_bound,0.0027784333819228964,0.18475750577367206,0.20869565217391303
rxn10838_c_lower_bound,0.0025393396271867225,0.4457274826789838,0.46956521739130436
rxn10626_c_upper_bound,0.0024917919288196793,0.1420323325635104,0.1565217391304348
rxn05109_c_lower_bound,0.0024785404921678837,0.049653579676674366,0.1391304347826087
rxn10838_c_upper_bound,0.0024083873788205384,0.4457274826789838,0.46956521739130436
rxn02929_c_lower_bound,0.0023991063334761497,0.45265588914549654,0.391304347826087
rxn38863_c_upper_bound,0.0023680792451794873,0.026558891454965358,0.06086956521739131
rxn02929_c_upper_bound,0.0023312692410400295,0.45265588914549654,0.391304347826087
rxn02749_c_lower_bound,0.002219928477462054,0.049653579676674366,0.1391304347826087
rxn02928_c_lower_bound,0.002219355174681611,0.5484988452655889,0.6086956521739131
rxn02751_c_lower_bound,0.002217547856981039,0.049653579676674366,0.1391304347826087
rxn10626_c_lower_bound,0.0021792707821036376,0.1420323325635104,0.1565217391304348
rxn02751_c_upper_bound,0.0020463866782149107,0.049653579676674366,0.1391304347826087
rxn02928_c_upper_bound,0.002018329409080458,0.5484988452655889,0.6086956521739131
