,importance,fraction active in 0,fraction active in 1
rxn12298_c_lower_bound,0.10140775915911092,0.0,1.0
rxn01919_c_upper_bound,0.0964620714322402,0.0,1.0
rxn23629_c_upper_bound,0.08771742715081904,0.0,1.0
rxn04455_c_lower_bound,0.08663650318337958,0.0,1.0
rxn12298_c_upper_bound,0.08389064664041612,0.0,1.0
rxn01919_c_lower_bound,0.0808446679801848,0.0,1.0
rxn04455_c_upper_bound,0.08009571442077575,0.0,1.0
rxn07524_c_upper_bound,0.040148675008524384,0.0,0.5804878048780487
rxn07524_c_lower_bound,0.037534309513849236,0.0,0.5804878048780487
rxn07523_c_upper_bound,0.027039276425498696,0.0,0.43414634146341463
rxn00347_c_upper_bound,0.024300057444529125,0.0,0.44390243902439025
rxn00347_c_lower_bound,0.023074576452684705,0.0,0.44390243902439025
rxn07523_c_lower_bound,0.021055903647148468,0.0,0.43414634146341463
rxn08291_c_upper_bound,0.019276866646042893,0.0,0.3853658536585366
rxn08291_c_lower_bound,0.018125651517056952,0.0,0.3853658536585366
rxn29994_c_lower_bound,0.013540865669866878,0.0,0.2682926829268293
rxn38902_c_upper_bound,0.010237273875797034,0.02269861286254729,0.35609756097560974
rxn00799_c_upper_bound,0.009927675985700537,0.0,0.22439024390243903
rxn38902_c_lower_bound,0.009132602206328845,0.02269861286254729,0.35609756097560974
rxn29994_c_upper_bound,0.007941024543647547,0.0,0.2682926829268293
rxn38853_c_upper_bound,0.007600368052690937,0.03278688524590164,0.33658536585365856
rxn00799_c_lower_bound,0.006637286959514799,0.0,0.22439024390243903
rxn00155_c_upper_bound,0.006493446786974066,0.5952080706179067,0.2146341463414634
rxn01369_c_lower_bound,0.006386512130633043,0.14880201765447668,0.4975609756097561
rxn11004_c_lower_bound,0.0062157125232365305,0.19041614123581338,0.624390243902439
rxn11004_c_upper_bound,0.0052108614029389416,0.19041614123581338,0.624390243902439
rxn00155_c_lower_bound,0.003222282961620353,0.5952080706179067,0.2146341463414634
rxn01369_c_upper_bound,0.003214084026211266,0.14880201765447668,0.4975609756097561
rxn00229_c_upper_bound,0.0028833427726027987,0.4060529634300126,0.06829268292682927
rxn01207_c_upper_bound,0.0028371292669993713,0.46153846153846156,0.12195121951219512
rxn00656_c_upper_bound,0.0025630674417347157,0.34047919293820933,0.6097560975609756
rxn09468_c_upper_bound,0.0024415724902703082,0.0,0.0975609756097561
rxn08445_c_lower_bound,0.0023601476666000316,0.0,0.0975609756097561
rxn00229_c_lower_bound,0.0022543191519838156,0.4060529634300126,0.06829268292682927
rxn16381_c_upper_bound,0.0021498758919803363,0.0,0.09268292682926829
rxn08445_c_upper_bound,0.001966051135040554,0.0,0.0975609756097561
rxn01207_c_lower_bound,0.001743934312370651,0.46153846153846156,0.12195121951219512
rxn01927_c_upper_bound,0.001723564794914214,0.0,0.07804878048780488
rxn00656_c_lower_bound,0.001683026884013991,0.34047919293820933,0.6097560975609756
rxn09468_c_lower_bound,0.0015754385398984144,0.0,0.0975609756097561
rxn00130_c_lower_bound,0.0015591290809936736,0.0,0.07317073170731707
rxn35210_c_lower_bound,0.001489345993351775,0.06935687263556116,0.24390243902439024
rxn10663_c_lower_bound,0.0014481191382509021,0.19041614123581338,0.4195121951219512
rxn16359_c_upper_bound,0.0013893217979920125,0.0,0.07804878048780488
rxn35210_c_upper_bound,0.0013171035071142562,0.06935687263556116,0.24390243902439024
rxn15171_c_upper_bound,0.0012067484300672005,0.4337957124842371,0.47317073170731705
rxn10663_c_upper_bound,0.0010765765778434921,0.19041614123581338,0.4195121951219512
