,importance,fraction active in 0,fraction active in 1
rxn11674_c_lower_bound,0.06230272001997016,0.03522205206738132,0.9971098265895953
rxn05485_c_upper_bound,0.05921630557624937,0.9877488514548239,0.08092485549132948
rxn11674_c_upper_bound,0.05038162486755216,0.03522205206738132,0.9971098265895953
rxn01934_c_lower_bound,0.04641577970667345,0.03522205206738132,0.9971098265895953
rxn09989_c_upper_bound,0.04012777184957883,0.9739663093415007,0.08670520231213873
rxn01934_c_upper_bound,0.04012719036891762,0.03522205206738132,0.9971098265895953
rxn05531_c_lower_bound,0.03989581287954659,0.9739663093415007,0.08670520231213873
rxn21111_c_upper_bound,0.03702255412190604,0.9693721286370597,0.07514450867052024
rxn05485_c_lower_bound,0.030723316559891432,0.9877488514548239,0.08092485549132948
rxn01919_c_lower_bound,0.027589983735994625,0.9754977029096478,0.10404624277456648
rxn02263_c_lower_bound,0.025517605226344876,0.9663093415007658,0.10404624277456648
rxn05610_c_upper_bound,0.02469753124309574,0.9693721286370597,0.08959537572254335
rxn02263_c_upper_bound,0.024177643447932815,0.9663093415007658,0.10404624277456648
rxn23629_c_upper_bound,0.02413177960732503,0.9754977029096478,0.10404624277456648
rxn05531_c_upper_bound,0.021593913697403048,0.9739663093415007,0.08670520231213873
rxn02319_c_upper_bound,0.020729885111825136,0.9663093415007658,0.10404624277456648
rxn01919_c_upper_bound,0.019556457323578903,0.9754977029096478,0.10404624277456648
rxn05610_c_lower_bound,0.019279210076715243,0.9693721286370597,0.08959537572254335
rxn02319_c_lower_bound,0.018990221032335896,0.9663093415007658,0.10404624277456648
rxn01620_c_upper_bound,0.018494182213668685,0.9663093415007658,0.10404624277456648
rxn01620_c_lower_bound,0.01710541248579704,0.9663093415007658,0.10404624277456648
rxn31356_c_lower_bound,0.017045326164714467,0.9663093415007658,0.1069364161849711
rxn04455_c_upper_bound,0.016713925711862816,0.9892802450229708,0.18208092485549132
rxn04455_c_lower_bound,0.015296802022750187,0.9892802450229708,0.18208092485549132
rxn18396_c_upper_bound,0.01516410817870568,0.9647779479326187,0.1531791907514451
rxn12298_c_lower_bound,0.013954943807217943,0.9892802450229708,0.18208092485549132
rxn05691_c_upper_bound,0.0136838962939064,0.9663093415007658,0.10404624277456648
rxn31356_c_upper_bound,0.013558463020198239,0.9663093415007658,0.1069364161849711
rxn12524_c_upper_bound,0.013144415668372208,0.9724349157733537,0.12716763005780346
rxn12524_c_lower_bound,0.012360324792005165,0.9724349157733537,0.12716763005780346
rxn02161_c_upper_bound,0.012326115602274182,0.9770290964777948,0.1936416184971098
rxn05691_c_lower_bound,0.011311122541355533,0.9663093415007658,0.10404624277456648
rxn12298_c_upper_bound,0.011000117652968513,0.9892802450229708,0.18208092485549132
rxn02538_c_upper_bound,0.01027023948603956,0.9816232771822359,0.18208092485549132
rxn02161_c_lower_bound,0.009547387140048451,0.9770290964777948,0.1936416184971098
rxn29063_c_upper_bound,0.008333388734883597,0.9050535987748851,0.0838150289017341
rxn01761_c_lower_bound,0.008273988299864091,0.9770290964777948,0.1936416184971098
rxn01761_c_upper_bound,0.00787080220660461,0.9770290964777948,0.1936416184971098
rxn02538_c_lower_bound,0.007679265437969482,0.9816232771822359,0.18208092485549132
rxn12540_c_upper_bound,0.0057388323694111225,0.9816232771822359,0.18208092485549132
rxn12540_c_lower_bound,0.005449846878558018,0.9816232771822359,0.18208092485549132
rxn05303_c_upper_bound,0.004393503894972849,0.5926493108728943,0.10115606936416185
rxn29063_c_lower_bound,0.004099323845020014,0.9050535987748851,0.0838150289017341
rxn10175_c_upper_bound,0.0040464536946482055,0.7626339969372129,0.06358381502890173
rxn12537_c_lower_bound,0.0038593435942393577,0.9877488514548239,0.4653179190751445
rxn00966_c_upper_bound,0.0035900500992039836,0.010719754977029096,0.6011560693641619
rxn05303_c_lower_bound,0.0035549586759445846,0.5926493108728943,0.10115606936416185
rxn12537_c_upper_bound,0.002765405844389109,0.9877488514548239,0.4653179190751445
rxn01909_c_lower_bound,0.002755804578556136,0.8346094946401225,0.20809248554913296
rxn05647_c_lower_bound,0.0026219157983582713,0.8116385911179173,0.15606936416184972
rxn01005_c_lower_bound,0.0023496039144886138,0.7503828483920367,0.13005780346820808
rxn18456_c_upper_bound,0.0021755507574682397,0.7840735068912711,0.12427745664739884
rxn10175_c_lower_bound,0.002163402655087763,0.7626339969372129,0.06358381502890173
rxn00608_c_upper_bound,0.002137938860126131,0.8116385911179173,0.08092485549132948
rxn16381_c_upper_bound,0.0014507832757688082,0.018376722817764167,0.1416184971098266
rxn12575_c_upper_bound,0.0012988105293369673,0.9402756508422665,0.5115606936416185
rxn01909_c_upper_bound,0.0012491588998575851,0.8346094946401225,0.20809248554913296
rxn05647_c_upper_bound,0.001097774034009971,0.8116385911179173,0.15606936416184972
rxn10840_c_lower_bound,0.0010702768302206266,0.3016845329249617,0.031791907514450865
rxn10840_c_upper_bound,0.0009656040862389951,0.3016845329249617,0.031791907514450865
rxn01826_c_lower_bound,0.0009263457158016146,0.010719754977029096,0.10404624277456648
rxn00429_c_lower_bound,0.0009202920360355782,0.2986217457886677,0.45375722543352603
rxn12575_c_lower_bound,0.0008766133216515719,0.9402756508422665,0.5115606936416185
rxn05488_c_upper_bound,0.0008622565361749281,0.7595712098009189,0.17052023121387283
rxn16359_c_upper_bound,0.0008415050133218588,0.6064318529862175,0.06647398843930635
rxn01920_c_upper_bound,0.0008291076636473872,0.006125574272588055,0.06936416184971098
rxn07523_c_upper_bound,0.0008209356574830208,0.47013782542113325,0.049132947976878616
rxn05598_c_upper_bound,0.0008143655364643175,0.5803981623277182,0.07803468208092486
rxn29410_c_upper_bound,0.000770146349222481,0.4012251148545176,0.02601156069364162
rxn05655_c_lower_bound,0.0007646104424758115,0.6186830015313936,0.06647398843930635
rxn05154_c_upper_bound,0.0007568279634679035,0.16539050535987748,0.04046242774566474
rxn09992_c_upper_bound,0.0007379945902361779,0.5513016845329249,0.12138728323699421
rxn00429_c_upper_bound,0.000731203559581239,0.2986217457886677,0.45375722543352603
rxn00432_c_lower_bound,0.0007116839066037871,0.5313935681470138,0.05202312138728324
rxn15213_c_lower_bound,0.0006944731739178348,0.3721286370597244,0.11271676300578035
rxn09681_c_lower_bound,0.0006920380938509821,0.442572741194487,0.04046242774566474
rxn00957_c_lower_bound,0.000688250434807088,0.3782542113323124,0.2832369942196532
rxn03482_c_upper_bound,0.0006642883075416457,0.3721286370597244,0.09248554913294797
rxn09655_c_lower_bound,0.0006335794634618142,0.4900459418070444,0.03757225433526012
rxn00957_c_upper_bound,0.0006197421259011792,0.3782542113323124,0.2832369942196532
rxn00958_c_upper_bound,0.0006074112380529807,0.6217457886676876,0.5404624277456648
rxn00958_c_lower_bound,0.0006043241229764352,0.6217457886676876,0.5404624277456648
rxn01920_c_lower_bound,0.0005916920955682385,0.006125574272588055,0.06936416184971098
rxn28574_c_lower_bound,0.0005765335373436735,0.22052067381316998,0.03468208092485549
rxn05612_c_upper_bound,0.0005730215179631724,0.5803981623277182,0.049132947976878616
rxn06822_c_upper_bound,0.0005646523042067559,0.21592649310872894,0.2658959537572254
rxn05229_c_upper_bound,0.0005633919612934585,0.14241960183767227,0.13872832369942195
rxn05291_c_upper_bound,0.0005605976534641315,0.43797856049004597,0.3583815028901734
rxn36320_c_lower_bound,0.0005589699251055574,0.2327718223583461,0.02023121387283237
rxn04783_c_upper_bound,0.0005558196098051025,0.43797856049004597,0.5664739884393064
rxn05563_c_lower_bound,0.0005495328993189769,0.5099540581929556,0.4624277456647399
rxn00213_c_lower_bound,0.0005270735934502482,0.3001531393568147,0.3583815028901734
rxn01826_c_upper_bound,0.0005236262419541531,0.010719754977029096,0.10404624277456648
rxn06822_c_lower_bound,0.0005213020501731587,0.21592649310872894,0.2658959537572254
rxn05291_c_lower_bound,0.0005172130122950125,0.43797856049004597,0.3583815028901734
rxn05563_c_upper_bound,0.0005131766621468998,0.5099540581929556,0.4624277456647399
rxn05217_c_lower_bound,0.0004970971700611229,0.4241960183767228,0.06936416184971098
rxn30666_c_upper_bound,0.0004863176957510497,0.5635528330781011,0.6416184971098265
rxn36320_c_upper_bound,0.0004845030193198409,0.2327718223583461,0.02023121387283237
rxn01423_c_lower_bound,0.0004786334533881735,0.13782542113323124,0.3092485549132948
rxn09637_c_lower_bound,0.00046965313384609344,0.10719754977029096,0.1791907514450867
rxn00354_c_lower_bound,0.0004629055003455044,0.5467075038284839,0.14739884393063585
rxn18575_c_upper_bound,0.00045364429900931374,0.40735068912710565,0.046242774566473986
rxn01418_c_upper_bound,0.00045335684279676096,0.13782542113323124,0.3092485549132948
rxn09398_c_upper_bound,0.0004495155125385982,0.09188361408882083,0.057803468208092484
rxn09398_c_lower_bound,0.000443354844786239,0.09188361408882083,0.057803468208092484
rxn09637_c_upper_bound,0.00044011317738134454,0.10719754977029096,0.1791907514450867
