,importance,fraction active in 0,fraction active in 1
rxn01748_c_lower_bound,0.06673955576298088,0.0,1.0
rxn09370_c_lower_bound,0.06571221504471354,0.0,0.996875
rxn01748_c_upper_bound,0.06536014290123222,0.0,1.0
rxn09370_c_upper_bound,0.06378826657296925,0.0,0.996875
rxn00663_c_lower_bound,0.06331134486715337,0.9984848484848485,0.0
rxn09402_c_lower_bound,0.05562852445643046,0.9984848484848485,0.0
rxn23730_c_upper_bound,0.05269093915765227,0.0,1.0
rxn01522_c_upper_bound,0.046007109791733315,0.0,0.996875
rxn00663_c_upper_bound,0.04574102782257851,0.9984848484848485,0.0
rxn00949_c_upper_bound,0.04532199282230802,1.0,0.03125
rxn00679_c_upper_bound,0.04470872373122173,0.9984848484848485,0.0
rxn09402_c_upper_bound,0.040269343287248315,0.9984848484848485,0.0
rxn00949_c_lower_bound,0.03685236180780449,1.0,0.03125
rxn05316_c_lower_bound,0.030013088780458684,0.0,0.953125
rxn21286_c_upper_bound,0.026584261515155885,0.9621212121212122,0.0
rxn15500_c_lower_bound,0.024550410214253828,0.9151515151515152,0.0
rxn03374_c_upper_bound,0.018143195261945584,0.9151515151515152,0.0
rxn00668_c_upper_bound,0.01793343281996889,0.8863636363636364,0.0
rxn03374_c_lower_bound,0.01783644807057197,0.9151515151515152,0.0
rxn05316_c_upper_bound,0.016879309859592632,0.0,0.953125
rxn00128_c_lower_bound,0.014347095822331778,0.8681818181818182,0.0
rxn08114_c_upper_bound,0.013576786848823496,0.0,0.825
rxn15500_c_upper_bound,0.012681932223016138,0.9151515151515152,0.0
rxn00738_c_upper_bound,0.010260238245876685,0.8681818181818182,0.0
rxn08114_c_lower_bound,0.00936119179983993,0.0,0.825
rxn00327_c_upper_bound,0.00807707940986849,0.0,0.671875
rxn00738_c_lower_bound,0.00790314235676481,0.8681818181818182,0.0
rxn00673_c_upper_bound,0.00725220130385908,0.7666666666666667,0.0
rxn11674_c_lower_bound,0.006259462969394997,0.21818181818181817,0.98125
rxn11674_c_upper_bound,0.005640031698176328,0.21818181818181817,0.98125
rxn00128_c_upper_bound,0.004827921402638508,0.8681818181818182,0.0
rxn00562_c_upper_bound,0.004731495757027524,0.0,0.58125
rxn00668_c_lower_bound,0.004557019438891409,0.8863636363636364,0.0
rxn10036_c_upper_bound,0.004509054034089832,0.0,0.625
rxn10036_c_lower_bound,0.004398983153098776,0.0,0.625
rxn01934_c_upper_bound,0.004162069597058352,0.21818181818181817,0.98125
rxn00399_c_lower_bound,0.004080454044698689,0.9454545454545454,0.371875
rxn12585_c_upper_bound,0.002981935203948443,0.5136363636363637,0.015625
rxn00562_c_lower_bound,0.002708184391775565,0.0,0.58125
rxn00399_c_upper_bound,0.00252684924010939,0.9454545454545454,0.371875
rxn12522_c_lower_bound,0.002008375992449121,0.4863636363636364,0.015625
rxn00673_c_lower_bound,0.0019169533411379466,0.7666666666666667,0.0
rxn16597_c_upper_bound,0.0017766685653921664,0.9454545454545454,0.371875
rxn09429_c_lower_bound,0.0014094683189875092,0.07272727272727272,0.628125
rxn30666_c_upper_bound,0.001195633043465999,0.7833333333333333,1.0
rxn12585_c_lower_bound,0.0011622737228901094,0.5136363636363637,0.015625
rxn00229_c_lower_bound,0.0009453926290307824,0.0,0.221875
rxn05744_c_lower_bound,0.0008587587930124269,0.21818181818181817,0.0
rxn09429_c_upper_bound,0.0007782793686589571,0.07272727272727272,0.628125
rxn03991_c_lower_bound,0.0006672527370950328,0.6287878787878788,0.209375
rxn01934_c_lower_bound,0.000626360771636475,0.21818181818181817,0.98125
rxn09468_c_upper_bound,0.0005637418950940901,0.0,0.190625
rxn12522_c_upper_bound,0.0005605729651310735,0.4863636363636364,0.015625
rxn09472_c_upper_bound,0.0005258353620909888,0.0,0.190625
rxn09468_c_lower_bound,0.0005150242418736812,0.0,0.190625
rxn01746_c_lower_bound,0.0004288181994187841,0.0,0.20625
rxn10663_c_upper_bound,0.0003956162042394745,0.6166666666666667,0.865625
rxn10667_c_lower_bound,0.00038766891766810495,0.045454545454545456,0.040625
rxn05744_c_upper_bound,0.0003836865323755862,0.21818181818181817,0.0
rxn09472_c_lower_bound,0.00035204572382882413,0.0,0.190625
rxn00657_c_upper_bound,0.00033815811882816505,0.0,0.190625
rxn03991_c_upper_bound,0.00032817212313060885,0.6287878787878788,0.209375
rxn09460_c_upper_bound,0.000304281428238865,0.0,0.190625
rxn00229_c_upper_bound,0.0002523866185131748,0.0,0.221875
rxn00688_c_upper_bound,0.0002331856046920122,0.0015151515151515152,0.03125
rxn10030_c_upper_bound,0.00017278192943444518,0.9196969696969697,0.7125
rxn25583_c_lower_bound,0.00016770147838739434,0.0,0.190625
rxn15949_c_upper_bound,0.00016613312742794168,0.08484848484848485,0.1125
rxn20495_c_upper_bound,0.00015357802866013343,0.0,0.071875
rxn28604_c_upper_bound,0.00015065079774454973,0.0,0.059375
rxn00688_c_lower_bound,0.00014826073016909835,0.0015151515151515152,0.03125
rxn00656_c_lower_bound,0.000142840965661088,0.06212121212121212,0.0
rxn10665_c_lower_bound,0.00012875359009495142,0.6166666666666667,0.80625
rxn25583_c_upper_bound,0.00011757493787249047,0.0,0.190625
rxn00346_c_upper_bound,9.418297841929841e-05,0.7833333333333333,0.809375
