,importance,fraction active in 0,fraction active in 1
rxn05316_c_upper_bound,0.0956128230305513,0.5177664974619289,0.0
rxn05316_c_lower_bound,0.083944976621071,0.5177664974619289,0.0
rxn12424_c_lower_bound,0.07888517548753156,0.43147208121827413,0.0
rxn12424_c_upper_bound,0.07882574675417062,0.43147208121827413,0.0
rxn05571_c_upper_bound,0.06661308815490799,0.3426395939086294,0.0
rxn05571_c_lower_bound,0.06319115461148186,0.3426395939086294,0.0
rxn28604_c_upper_bound,0.04761103231021304,0.3223350253807107,0.0
rxn28604_c_lower_bound,0.043236415017875555,0.3223350253807107,0.0
rxn31356_c_lower_bound,0.006576139972057366,0.3730964467005076,0.15041322314049588
rxn31356_c_upper_bound,0.006305237129671904,0.3730964467005076,0.15041322314049588
rxn10923_c_upper_bound,0.005759930573204641,0.14720812182741116,0.023140495867768594
rxn15881_c_upper_bound,0.005600144875090926,0.3350253807106599,0.12892561983471074
rxn18456_c_upper_bound,0.0052211183581493265,0.31218274111675126,0.12892561983471074
rxn05487_c_upper_bound,0.005121859771422218,0.3477157360406091,0.15867768595041323
rxn10923_c_lower_bound,0.0047733990391477885,0.14720812182741116,0.023140495867768594
rxn17713_c_upper_bound,0.004638649223850724,0.2969543147208122,0.10743801652892562
rxn05531_c_lower_bound,0.00423238609525211,0.35786802030456855,0.16198347107438016
rxn05531_c_upper_bound,0.004231243914363732,0.35786802030456855,0.16198347107438016
rxn02269_c_upper_bound,0.004055107783571124,0.7309644670050761,0.856198347107438
rxn01524_c_upper_bound,0.004026265232622755,0.08375634517766498,0.0
rxn05487_c_lower_bound,0.003989705612443272,0.3477157360406091,0.15867768595041323
rxn01748_c_upper_bound,0.003933205682565004,0.08375634517766498,0.0
rxn23730_c_upper_bound,0.003931791465330007,0.08375634517766498,0.0
rxn30069_c_upper_bound,0.0038927336164683965,0.08375634517766498,0.0
rxn08688_c_upper_bound,0.0038050682084526076,0.700507614213198,0.8347107438016529
