,importance,fraction active in 0,fraction active in 1
rxn12298_c_upper_bound,0.13100494343843455,1.0,0.0
rxn01919_c_lower_bound,0.11816357075350996,1.0,0.0
rxn12298_c_lower_bound,0.11408604237717873,1.0,0.0
rxn04455_c_lower_bound,0.10964392029431648,1.0,0.0
rxn23629_c_upper_bound,0.10125760857093721,1.0,0.0
rxn04455_c_upper_bound,0.0919338345249191,1.0,0.0
rxn01919_c_upper_bound,0.09083494765313445,1.0,0.0
rxn07524_c_lower_bound,0.0346200106977438,0.5347682119205298,0.0
rxn07524_c_upper_bound,0.030521275022496998,0.5347682119205298,0.0
rxn07523_c_lower_bound,0.02814535720825472,0.48509933774834435,0.0
rxn07523_c_upper_bound,0.02679144040162015,0.48509933774834435,0.0
rxn05531_c_lower_bound,0.008801812284633809,0.7897350993377483,0.3626943005181347
rxn31356_c_lower_bound,0.008434135956920242,0.7980132450331126,0.38082901554404147
rxn29410_c_upper_bound,0.008013827446292745,0.7615894039735099,0.34974093264248707
rxn29063_c_upper_bound,0.006753796158479821,0.7665562913907285,0.344559585492228
rxn05531_c_upper_bound,0.006647663190402372,0.7897350993377483,0.3626943005181347
rxn10183_c_lower_bound,0.006355899684318177,0.7731788079470199,0.36787564766839376
rxn29063_c_lower_bound,0.0063221527917662786,0.7665562913907285,0.344559585492228
rxn12524_c_lower_bound,0.006300973694650629,0.7632450331125827,0.35751295336787564
rxn31356_c_upper_bound,0.004864467168741574,0.7980132450331126,0.38082901554404147
rxn29748_c_upper_bound,0.004538984563573143,0.7284768211920529,0.34196891191709844
rxn10183_c_upper_bound,0.0043677822966039954,0.7731788079470199,0.36787564766839376
rxn05316_c_lower_bound,0.004354431432439054,0.7615894039735099,0.39896373056994816
rxn29410_c_lower_bound,0.003887393590944639,0.7615894039735099,0.34974093264248707
rxn05316_c_upper_bound,0.003624096999954077,0.7615894039735099,0.39896373056994816
rxn12524_c_upper_bound,0.0034362532801608696,0.7632450331125827,0.35751295336787564
rxn21111_c_upper_bound,0.003029888445313478,0.7615894039735099,0.34974093264248707
rxn00356_c_lower_bound,0.00176733902975139,0.597682119205298,0.2694300518134715
rxn00356_c_upper_bound,0.0015257349567511487,0.597682119205298,0.2694300518134715
rxn10960_c_upper_bound,0.0013324334985430962,0.6572847682119205,0.3316062176165803
rxn10960_c_lower_bound,0.0011548824190640366,0.6572847682119205,0.3316062176165803
rxn05598_c_upper_bound,0.0011197915360079509,0.5513245033112583,0.22797927461139897
rxn03374_c_lower_bound,0.0009100199902623545,0.22847682119205298,0.08031088082901554
rxn15500_c_lower_bound,0.000878938531194676,0.22847682119205298,0.08031088082901554
rxn15500_c_upper_bound,0.000808987963377448,0.22847682119205298,0.08031088082901554
rxn03374_c_upper_bound,0.0008035871365444211,0.22847682119205298,0.08031088082901554
rxn01350_c_lower_bound,0.0007994340503725595,0.0,0.10621761658031088
rxn04941_c_lower_bound,0.0007727543024806693,0.35927152317880795,0.15025906735751296
rxn01350_c_upper_bound,0.0007446631960774271,0.0,0.10621761658031088
rxn00456_c_lower_bound,0.0007099981598758518,0.0,0.10621761658031088
rxn03883_c_lower_bound,0.0006742605451530443,0.4718543046357616,0.22538860103626943
rxn15570_c_lower_bound,0.0006484137308634752,0.2731788079470199,0.11658031088082901
rxn00430_c_lower_bound,0.0006321175418096545,0.40894039735099336,0.17875647668393782
rxn05488_c_lower_bound,0.0006052364791984697,0.6788079470198676,0.4015544041450777
rxn15570_c_upper_bound,0.0005900230057823886,0.2731788079470199,0.11658031088082901
rxn00663_c_lower_bound,0.0005502712714637699,0.25496688741721857,0.23316062176165803
rxn12060_c_upper_bound,0.0005303403019251381,0.0,0.10621761658031088
rxn05488_c_upper_bound,0.000523983806178417,0.6788079470198676,0.4015544041450777
rxn00432_c_upper_bound,0.0005226154066121662,0.4155629139072848,0.19170984455958548
rxn00456_c_upper_bound,0.0005225365426862594,0.0,0.10621761658031088
rxn03883_c_upper_bound,0.0005086513922776244,0.4718543046357616,0.22538860103626943
rxn13085_c_upper_bound,0.000506335836659873,0.2533112582781457,0.48704663212435234
rxn00663_c_upper_bound,0.00045751903624577286,0.25496688741721857,0.23316062176165803
rxn03978_c_upper_bound,0.00044947199945648427,0.6009933774834437,0.7823834196891192
rxn03978_c_lower_bound,0.00044907975817174177,0.6009933774834437,0.7823834196891192
rxn12060_c_lower_bound,0.0004230953190452528,0.0,0.10621761658031088
rxn00668_c_lower_bound,0.0004208301116666037,0.22185430463576158,0.22538860103626943
rxn10169_c_lower_bound,0.0004147439738482136,0.22350993377483444,0.10880829015544041
rxn36320_c_upper_bound,0.0004121776699231416,0.3956953642384106,0.18911917098445596
rxn20627_c_upper_bound,0.0004081437974930328,0.6920529801324503,0.8031088082901554
rxn00430_c_upper_bound,0.00035962154800924087,0.40894039735099336,0.17875647668393782
rxn36320_c_lower_bound,0.0003352843044303451,0.3956953642384106,0.18911917098445596
rxn00432_c_lower_bound,0.00028656038438182194,0.4155629139072848,0.19170984455958548
rxn00128_c_upper_bound,0.0002858086183005807,0.006622516556291391,0.10621761658031088
rxn05902_c_lower_bound,0.0002497538950765362,0.9735099337748344,0.8730569948186528
rxn00125_c_lower_bound,0.00024836302475780814,0.2533112582781457,0.38082901554404147
