,importance,fraction active in 0,fraction active in 1
rxn12060_c_lower_bound,0.14124333783657955,1.0,0.0
rxn12060_c_upper_bound,0.13672717538127538,1.0,0.0
rxn00693_c_upper_bound,0.04896639296839089,0.08602150537634409,0.8515950069348127
rxn00693_c_lower_bound,0.04724117965897674,0.08602150537634409,0.8515950069348127
rxn09458_c_lower_bound,0.03384069188512745,1.0,0.2926490984743412
rxn09458_c_upper_bound,0.03000384059325022,1.0,0.2926490984743412
rxn09468_c_upper_bound,0.02953707345268276,1.0,0.2926490984743412
rxn09468_c_lower_bound,0.025770783991465228,1.0,0.2926490984743412
rxn11674_c_upper_bound,0.024930718190170682,0.8064516129032258,0.217753120665742
rxn01188_c_upper_bound,0.02416525134190372,0.8064516129032258,0.1955617198335645
rxn07764_c_lower_bound,0.02225833826283619,0.4050179211469534,0.0
rxn10213_c_upper_bound,0.021473505325049963,0.9713261648745519,0.2884882108183079
rxn07764_c_upper_bound,0.020622151711944547,0.4050179211469534,0.0
rxn11674_c_lower_bound,0.01871800312445252,0.8064516129032258,0.217753120665742
rxn01934_c_lower_bound,0.016161625603578374,0.8064516129032258,0.217753120665742
rxn01934_c_upper_bound,0.015385387958255227,0.8064516129032258,0.217753120665742
rxn07757_c_upper_bound,0.015136646705572875,0.31899641577060933,0.0
rxn10204_c_upper_bound,0.014168811479243868,0.9713261648745519,0.2884882108183079
rxn09472_c_lower_bound,0.013792541657572557,0.0,0.6047156726768377
rxn09460_c_upper_bound,0.012548365637877855,0.0,0.6047156726768377
rxn07758_c_lower_bound,0.011894476935036868,0.3548387096774194,0.0
rxn09460_c_lower_bound,0.010122666376445181,0.0,0.6047156726768377
rxn07763_c_lower_bound,0.009779744417123357,0.26881720430107525,0.0
rxn12424_c_lower_bound,0.009756859672092631,0.18996415770609318,0.6144244105409153
rxn07758_c_upper_bound,0.009148349695283806,0.3548387096774194,0.0
rxn09180_c_lower_bound,0.008839290821976015,0.34767025089605735,0.005547850208044383
rxn12424_c_upper_bound,0.00830049897073969,0.18996415770609318,0.6144244105409153
rxn12215_c_lower_bound,0.008271806149874338,0.017921146953405017,0.14840499306518723
rxn07763_c_upper_bound,0.008168788812981317,0.26881720430107525,0.0
rxn09180_c_upper_bound,0.00796662024593218,0.34767025089605735,0.005547850208044383
rxn07757_c_lower_bound,0.007655558375430814,0.31899641577060933,0.0
rxn09472_c_upper_bound,0.007350875363511414,0.0,0.6047156726768377
rxn12215_c_upper_bound,0.006925409868787043,0.017921146953405017,0.14840499306518723
rxn01825_c_lower_bound,0.006281999954404944,0.1935483870967742,0.026352288488210817
rxn09402_c_upper_bound,0.005946118064227318,0.07885304659498207,0.49514563106796117
rxn01827_c_lower_bound,0.005823429390825997,0.1935483870967742,0.026352288488210817
rxn01072_c_lower_bound,0.005730433490262793,1.0,0.7558945908460472
rxn02276_c_upper_bound,0.005692520439962294,0.1935483870967742,0.026352288488210817
rxn01827_c_upper_bound,0.005081605268430521,0.1935483870967742,0.026352288488210817
rxn01072_c_upper_bound,0.004913521113917646,1.0,0.7558945908460472
rxn00962_c_upper_bound,0.004625880620578227,0.44802867383512546,0.09153952843273232
rxn00833_c_upper_bound,0.004535404124793495,0.25448028673835127,0.019417475728155338
rxn01825_c_upper_bound,0.004530268386948078,0.1935483870967742,0.026352288488210817
rxn07760_c_upper_bound,0.004525231903531498,0.1971326164874552,0.0
rxn07760_c_lower_bound,0.004216402855750982,0.1971326164874552,0.0
rxn02276_c_lower_bound,0.003712602445946662,0.1935483870967742,0.026352288488210817
rxn07766_c_lower_bound,0.0036239783861344303,0.1863799283154122,0.0
rxn00993_c_upper_bound,0.003556503626913391,0.1935483870967742,0.026352288488210817
rxn05313_c_upper_bound,0.003357095398244251,0.4551971326164875,0.7864077669902912
rxn00833_c_lower_bound,0.0033178906469512196,0.25448028673835127,0.019417475728155338
rxn07765_c_lower_bound,0.00331521933925253,0.13978494623655913,0.0
rxn07766_c_upper_bound,0.0032986224622635653,0.1863799283154122,0.0
rxn09402_c_lower_bound,0.0030327215676265694,0.07885304659498207,0.49514563106796117
rxn07759_c_lower_bound,0.0027527966597536663,0.12903225806451613,0.0
rxn05313_c_lower_bound,0.0026937949231205854,0.4551971326164875,0.7864077669902912
rxn01014_c_lower_bound,0.0023756961530503754,0.12544802867383512,0.4909847434119279
rxn00993_c_lower_bound,0.0023174902696951765,0.1935483870967742,0.026352288488210817
rxn00422_c_upper_bound,0.0022497013628503663,0.06451612903225806,0.19694868238557559
rxn07765_c_upper_bound,0.0022220568842630114,0.13978494623655913,0.0
rxn00456_c_upper_bound,0.0021937751601711934,0.0,0.12066574202496533
rxn00178_c_upper_bound,0.0018163137257536782,0.35842293906810035,0.6851595006934813
rxn00422_c_lower_bound,0.0017894898324420396,0.06451612903225806,0.19694868238557559
rxn01350_c_lower_bound,0.0017721270963702287,0.0,0.12066574202496533
rxn00949_c_lower_bound,0.0017216781057849077,0.07885304659498207,0.37170596393897365
rxn10878_c_upper_bound,0.0016547476490117192,0.0,0.08183079056865465
rxn00553_c_lower_bound,0.0016365538364937842,0.17204301075268819,0.5728155339805825
rxn00949_c_upper_bound,0.0015479415500738297,0.07885304659498207,0.37170596393897365
rxn00777_c_upper_bound,0.0015110324374786415,0.3548387096774194,0.11789181692094314
rxn12585_c_lower_bound,0.001507788100526734,0.15412186379928317,0.49514563106796117
rxn00960_c_upper_bound,0.001461179074558063,0.35842293906810035,0.10402219140083217
rxn07759_c_upper_bound,0.001450892752890264,0.12903225806451613,0.0
rxn00777_c_lower_bound,0.001445084883314631,0.3548387096774194,0.11789181692094314
rxn05488_c_upper_bound,0.0013727334667450945,0.22580645161290322,0.5769764216366158
rxn00456_c_lower_bound,0.0013101637303490053,0.0,0.12066574202496533
rxn01350_c_upper_bound,0.0013024391099442317,0.0,0.12066574202496533
rxn00962_c_lower_bound,0.0012016378193803825,0.44802867383512546,0.09153952843273232
rxn00960_c_lower_bound,0.0011935699383488426,0.35842293906810035,0.10402219140083217
rxn18910_c_upper_bound,0.0011615000382301421,0.6523297491039427,0.8890429958391124
rxn05488_c_lower_bound,0.0010327796223029988,0.22580645161290322,0.5769764216366158
rxn00419_c_upper_bound,0.0010157344387190707,0.34767025089605735,0.2857142857142857
rxn10878_c_lower_bound,0.0010135400040875023,0.0,0.08183079056865465
rxn10960_c_lower_bound,0.0009724407101757915,0.3046594982078853,0.6171983356449375
rxn13905_c_lower_bound,0.0009206603259122714,0.3046594982078853,0.09015256588072122
rxn00229_c_lower_bound,0.0008866941857304411,0.5627240143369175,0.4895977808599168
rxn00553_c_upper_bound,0.0008671711036415904,0.17204301075268819,0.5728155339805825
rxn13905_c_upper_bound,0.0008501052699987707,0.3046594982078853,0.09015256588072122
rxn01014_c_upper_bound,0.0008205266877527569,0.12544802867383512,0.4909847434119279
rxn00419_c_lower_bound,0.0008193102662377833,0.34767025089605735,0.2857142857142857
rxn38902_c_lower_bound,0.000817153446642384,0.5734767025089605,0.4535367545076283
rxn10960_c_upper_bound,0.0006990578852272828,0.3046594982078853,0.6171983356449375
rxn00767_c_upper_bound,0.0006573252064572903,0.27598566308243727,0.13314840499306518
rxn09997_c_upper_bound,0.0006522595314110972,0.0,0.10818307905686546
rxn30023_c_lower_bound,0.0006253961996254197,0.025089605734767026,0.07905686546463246
rxn00767_c_lower_bound,0.000622029358756581,0.27598566308243727,0.13314840499306518
rxn05291_c_upper_bound,0.0006022780273032327,0.4910394265232975,0.4646324549237171
rxn30017_c_upper_bound,0.0006007100477312822,0.24014336917562723,0.22052704576976423
rxn30023_c_upper_bound,0.0005787657729698513,0.025089605734767026,0.07905686546463246
rxn00229_c_upper_bound,0.0005691128747343415,0.5627240143369175,0.4895977808599168
rxn38902_c_upper_bound,0.000557234647211776,0.5734767025089605,0.4535367545076283
rxn00178_c_lower_bound,0.000552713066117543,0.35842293906810035,0.6851595006934813
rxn00469_c_lower_bound,0.0005452450795064771,0.043010752688172046,0.020804438280166437
rxn02929_c_lower_bound,0.0005262353321731863,0.5734767025089605,0.5603328710124826
rxn05291_c_lower_bound,0.0005167406959785777,0.4910394265232975,0.4646324549237171
rxn33990_c_upper_bound,0.0004838286440011944,0.035842293906810034,0.024965325936199722
rxn30666_c_upper_bound,0.0004817630405317712,0.5089605734767025,0.536754507628294
rxn38867_c_lower_bound,0.00047431134806817806,0.1935483870967742,0.2510402219140083
rxn02928_c_upper_bound,0.00046323120830313644,0.4265232974910394,0.44105409153952846
rxn20495_c_upper_bound,0.0004503594043946907,0.8924731182795699,0.9237170596393898
rxn10904_c_upper_bound,0.0004171142422056975,0.13978494623655913,0.1636615811373093
rxn25799_c_lower_bound,0.00040961885303335174,0.1863799283154122,0.13314840499306518
rxn20495_c_lower_bound,0.00040396574710220367,0.8924731182795699,0.9237170596393898
rxn09997_c_lower_bound,0.0003931532204666003,0.0,0.10818307905686546
rxn00469_c_upper_bound,0.00039052131336268846,0.043010752688172046,0.020804438280166437
rxn02760_c_upper_bound,0.00038943388315477003,0.08602150537634409,0.3342579750346741
rxn02929_c_upper_bound,0.0003885580035791915,0.5734767025089605,0.5603328710124826
rxn02928_c_lower_bound,0.0003818544694647782,0.4265232974910394,0.44105409153952846
rxn00394_c_upper_bound,0.000377938708587743,0.021505376344086023,0.04854368932038835
rxn38867_c_upper_bound,0.0003768672585332361,0.1935483870967742,0.2510402219140083
rxn10904_c_lower_bound,0.00037580005445647804,0.13978494623655913,0.1636615811373093
rxn33986_c_upper_bound,0.0003658133061379142,0.043010752688172046,0.020804438280166437
rxn30000_c_upper_bound,0.0003647167162528379,0.021505376344086023,0.1262135922330097
rxn00957_c_upper_bound,0.0003615414284235459,0.3333333333333333,0.37725381414701803
rxn00958_c_upper_bound,0.00035626751283855554,0.4157706093189964,0.5423023578363384
rxn02760_c_lower_bound,0.00034822567619976417,0.08602150537634409,0.3342579750346741
rxn12575_c_upper_bound,0.0003202744771531144,0.07526881720430108,0.07905686546463246
rxn38868_c_upper_bound,0.0003148262905764865,0.1935483870967742,0.2510402219140083
rxn00957_c_lower_bound,0.00031212508524031894,0.3333333333333333,0.37725381414701803
rxn30324_c_upper_bound,0.00031034239503064596,0.035842293906810034,0.04854368932038835
rxn05562_c_lower_bound,0.0003004427338438053,0.007168458781362007,0.023578363384188627
rxn11158_c_lower_bound,0.0002905608436720942,0.3655913978494624,0.27739251040221913
rxn25799_c_upper_bound,0.0002844211156922364,0.1863799283154122,0.13314840499306518
rxn30074_c_upper_bound,0.00028401962477922585,0.16487455197132617,0.18169209431345354
rxn33675_c_upper_bound,0.0002803934252374835,0.1039426523297491,0.3231622746185853
rxn30302_c_lower_bound,0.0002786173798170101,0.13261648745519714,0.18585298196948682
rxn30350_c_upper_bound,0.0002756649169466976,0.1111111111111111,0.008321775312066574
rxn00916_c_lower_bound,0.0002737751642356681,0.4551971326164875,0.39389736477115117
rxn10820_c_lower_bound,0.00027204004615872705,0.007168458781362007,0.07350901525658807
rxn30064_c_upper_bound,0.00026939058192887704,0.25448028673835127,0.19972260748959778
rxn00917_c_upper_bound,0.00026458984184770686,0.5448028673835126,0.6061026352288488
rxn30306_c_upper_bound,0.00026105733006479204,0.03225806451612903,0.015256588072122053
rxn30044_c_upper_bound,0.00025960253396944467,0.03225806451612903,0.019417475728155338
rxn10838_c_lower_bound,0.0002579957717968095,0.6917562724014337,0.6296809986130375
rxn08444_c_upper_bound,0.0002562346954258905,0.02867383512544803,0.004160887656033287
rxn10838_c_upper_bound,0.00025324412266539213,0.6917562724014337,0.6296809986130375
rxn00916_c_upper_bound,0.0002517905772401934,0.4551971326164875,0.39389736477115117
rxn05307_c_lower_bound,0.00024960218969567516,0.014336917562724014,0.1622746185852982
rxn22163_c_upper_bound,0.0002486876658684578,0.05017921146953405,0.019417475728155338
rxn30302_c_upper_bound,0.00024050048071410927,0.13261648745519714,0.18585298196948682
rxn00958_c_lower_bound,0.00023767546559968288,0.4157706093189964,0.5423023578363384
rxn10155_c_lower_bound,0.00022385365794859696,0.13261648745519714,0.26490984743411927
rxn05466_c_upper_bound,0.00021951050873281148,0.6379928315412187,0.7614424410540915
rxn30043_c_lower_bound,0.00021354739747999046,0.017921146953405017,0.015256588072122053
rxn05562_c_upper_bound,0.0001945689556739118,0.007168458781362007,0.023578363384188627
rxn12582_c_upper_bound,0.0001938983524125936,0.007168458781362007,0.023578363384188627
rxn05563_c_lower_bound,0.00019296395708302732,0.07526881720430108,0.07905686546463246
rxn12575_c_lower_bound,0.00018951386456093585,0.07526881720430108,0.07905686546463246
rxn10820_c_upper_bound,0.00018876484733275115,0.007168458781362007,0.07350901525658807
rxn12585_c_upper_bound,0.00018778571627433443,0.15412186379928317,0.49514563106796117
rxn30043_c_upper_bound,0.00018345553532940468,0.017921146953405017,0.015256588072122053
rxn00156_c_upper_bound,0.00017928274296064438,0.0,0.023578363384188627
