,importance,fraction active in 0,fraction active in 1
rxn00521_c_lower_bound,0.08506124940901058,0.42382271468144045,0.0
rxn00521_c_upper_bound,0.07978766431494883,0.42382271468144045,0.0
rxn00958_c_lower_bound,0.06421488013009426,0.5096952908587258,0.0
rxn00958_c_upper_bound,0.057314574051187304,0.5096952908587258,0.0
rxn00957_c_lower_bound,0.05005979348228382,0.3448753462603878,0.0
rxn00957_c_upper_bound,0.04747733372800721,0.3448753462603878,0.0
rxn08688_c_lower_bound,0.020665679796574,0.12742382271468145,0.5643939393939394
rxn09402_c_upper_bound,0.01579552990268332,0.12188365650969529,0.5606060606060606
rxn04794_c_lower_bound,0.015270285039966454,0.11911357340720222,0.5606060606060606
rxn04794_c_upper_bound,0.014892913789708915,0.11911357340720222,0.5606060606060606
rxn09402_c_lower_bound,0.013765938656208487,0.12188365650969529,0.5606060606060606
rxn08688_c_upper_bound,0.011897758307685946,0.12742382271468145,0.5643939393939394
rxn10923_c_lower_bound,0.011713083214795533,0.18559556786703602,0.32954545454545453
rxn10923_c_upper_bound,0.01022526681104344,0.18559556786703602,0.32954545454545453
rxn09458_c_upper_bound,0.009871019590706163,0.05124653739612189,0.3712121212121212
rxn09458_c_lower_bound,0.0092141149286201,0.05124653739612189,0.3712121212121212
rxn00157_c_lower_bound,0.00915326457071012,0.01662049861495845,0.09090909090909091
rxn00157_c_upper_bound,0.00915291991380801,0.01662049861495845,0.09090909090909091
rxn00777_c_lower_bound,0.00816618983863045,0.6260387811634349,0.44696969696969696
rxn09468_c_upper_bound,0.007878101807380678,0.05124653739612189,0.3712121212121212
rxn13143_c_upper_bound,0.007833004658527909,0.0110803324099723,0.08333333333333333
rxn00128_c_lower_bound,0.007815136004032242,0.054016620498614956,0.3712121212121212
rxn00949_c_lower_bound,0.007751899935100276,0.14127423822714683,0.5681818181818182
rxn13143_c_lower_bound,0.007464418021585074,0.0110803324099723,0.08333333333333333
rxn00738_c_upper_bound,0.007413559285974925,0.054016620498614956,0.3712121212121212
rxn10204_c_upper_bound,0.007408049639131287,0.0443213296398892,0.3409090909090909
rxn00777_c_upper_bound,0.007376827462564558,0.6260387811634349,0.44696969696969696
rxn00738_c_lower_bound,0.007253325717254032,0.054016620498614956,0.3712121212121212
rxn00128_c_upper_bound,0.007093060683540495,0.054016620498614956,0.3712121212121212
rxn00949_c_upper_bound,0.006540267033700295,0.14127423822714683,0.5681818181818182
rxn13085_c_lower_bound,0.006047992147949794,0.0664819944598338,0.39015151515151514
rxn09468_c_lower_bound,0.005532525377477946,0.05124653739612189,0.3712121212121212
rxn09180_c_upper_bound,0.005457943796882009,0.06509695290858726,0.32575757575757575
rxn10213_c_upper_bound,0.004848279427262885,0.0443213296398892,0.3409090909090909
rxn10115_c_lower_bound,0.0048205474732694415,0.01662049861495845,0.06439393939393939
rxn00419_c_upper_bound,0.004606014207678597,0.5304709141274239,0.26136363636363635
rxn13085_c_upper_bound,0.004556773375968667,0.0664819944598338,0.39015151515151514
rxn10115_c_upper_bound,0.004525301164109289,0.01662049861495845,0.06439393939393939
rxn00419_c_lower_bound,0.00435901990716483,0.5304709141274239,0.26136363636363635
rxn00229_c_upper_bound,0.0041106103173569036,0.3074792243767313,0.06439393939393939
rxn00229_c_lower_bound,0.004034246511369957,0.3074792243767313,0.06439393939393939
rxn38868_c_upper_bound,0.003897346281044754,0.44321329639889195,0.4053030303030303
rxn09180_c_lower_bound,0.0038709285097837747,0.06509695290858726,0.32575757575757575
rxn13905_c_lower_bound,0.0038699527491975246,0.3808864265927978,0.2916666666666667
rxn38867_c_upper_bound,0.003869298996255658,0.43351800554016623,0.38636363636363635
rxn38907_c_upper_bound,0.003838010075799576,0.5069252077562327,0.4583333333333333
rxn38907_c_lower_bound,0.0037649045553177847,0.5069252077562327,0.4583333333333333
rxn38867_c_lower_bound,0.0037161986655634065,0.43351800554016623,0.38636363636363635
rxn05291_c_upper_bound,0.0037149565006084797,0.36149584487534625,0.3522727272727273
rxn01101_c_upper_bound,0.0036429344044542145,0.5013850415512465,0.29545454545454547
rxn13905_c_upper_bound,0.0034417286958447336,0.3808864265927978,0.2916666666666667
rxn05554_c_lower_bound,0.0034328906192693004,0.45429362880886426,0.4166666666666667
rxn12537_c_lower_bound,0.0033853838322471337,0.5484764542936288,0.48863636363636365
rxn01101_c_lower_bound,0.003368498357177769,0.5013850415512465,0.29545454545454547
rxn10838_c_upper_bound,0.0033533606885331204,0.12742382271468145,0.20833333333333334
rxn05531_c_upper_bound,0.0033212681413349334,0.2520775623268698,0.14015151515151514
rxn05554_c_upper_bound,0.003313246526332744,0.45429362880886426,0.4166666666666667
