,importance,fraction active in 0,fraction active in 1
rxn01640_c_upper_bound,0.14464737523251558,0.0,0.7628865979381443
rxn01640_c_lower_bound,0.13930775840428292,0.0,0.7628865979381443
rxn05299_c_upper_bound,0.1241148586342728,0.0,0.6391752577319587
rxn05299_c_lower_bound,0.12129291869248478,0.0,0.6391752577319587
rxn05164_c_upper_bound,0.07175837775703693,0.0,0.29896907216494845
rxn35344_c_upper_bound,0.034558165484880304,0.0,0.27835051546391754
rxn35344_c_lower_bound,0.02933298480621057,0.0,0.27835051546391754
rxn30076_c_upper_bound,0.018985303788757135,0.009060022650056626,0.26804123711340205
rxn10932_c_upper_bound,0.010846995465708999,0.0,0.061855670103092786
rxn10932_c_lower_bound,0.010056499441109285,0.0,0.061855670103092786
rxn20495_c_upper_bound,0.009655239089523622,0.03397508493771234,0.25773195876288657
rxn20495_c_lower_bound,0.007755541244532027,0.03397508493771234,0.25773195876288657
rxn00530_c_upper_bound,0.003612808540005458,0.14609286523216308,0.3402061855670103
rxn00958_c_upper_bound,0.0035011782484563867,0.34541336353340885,0.5567010309278351
rxn00958_c_lower_bound,0.003468353079423851,0.34541336353340885,0.5567010309278351
rxn00530_c_lower_bound,0.00325450284227066,0.14609286523216308,0.3402061855670103
rxn12777_c_lower_bound,0.002835080384600866,0.14722536806342015,0.27835051546391754
rxn10923_c_upper_bound,0.0027601153644218153,0.05436013590033975,0.12371134020618557
rxn38906_c_lower_bound,0.002741780200442808,0.4960362400906002,0.35051546391752575
rxn12777_c_upper_bound,0.0027239618003928935,0.14722536806342015,0.27835051546391754
rxn38867_c_lower_bound,0.002528942989805164,0.49263873159682897,0.422680412371134
rxn08336_c_upper_bound,0.0024743121450588822,0.0362400906002265,0.08247422680412371
rxn38867_c_upper_bound,0.0024535681434004098,0.49263873159682897,0.422680412371134
rxn10923_c_lower_bound,0.0023930652257319685,0.05436013590033975,0.12371134020618557
rxn38906_c_upper_bound,0.002365492516226073,0.4960362400906002,0.35051546391752575
rxn36697_c_upper_bound,0.002324862573913042,0.16421291053227632,0.12371134020618557
rxn00521_c_upper_bound,0.002283760393059145,0.7780294450736127,1.0
rxn05581_c_upper_bound,0.0022525960136266076,0.01925254813137033,0.07216494845360824
rxn05581_c_lower_bound,0.0022481362508477614,0.01925254813137033,0.07216494845360824
rxn34028_c_upper_bound,0.002246303969999942,0.40090600226500567,0.422680412371134
rxn09016_c_upper_bound,0.0021648956702756397,0.5277463193657984,0.422680412371134
rxn34424_c_lower_bound,0.0021345022350143907,0.10758776896942242,0.15463917525773196
rxn38868_c_upper_bound,0.0020866322286966954,0.5118912797281994,0.422680412371134
rxn38907_c_lower_bound,0.0020805959923007574,0.24122310305775765,0.17525773195876287
rxn10960_c_lower_bound,0.002072925374482811,0.06568516421291053,0.09278350515463918
rxn00521_c_lower_bound,0.002065128939816255,0.7780294450736127,1.0
rxn34424_c_upper_bound,0.002064336122992305,0.10758776896942242,0.15463917525773196
rxn00917_c_upper_bound,0.002051146789218847,0.30804077010192527,0.2268041237113402
rxn10053_c_upper_bound,0.0019840411940734775,0.4337485843714609,0.4536082474226804
rxn00957_c_upper_bound,0.0019799769702768407,0.33748584371460927,0.3917525773195876
rxn00125_c_upper_bound,0.0019622159123195617,0.5039637599093998,0.5567010309278351
rxn01611_c_upper_bound,0.001950422862412087,0.289920724801812,0.44329896907216493
rxn05649_c_upper_bound,0.0019276881830966029,0.05889014722536806,0.07216494845360824
rxn38907_c_upper_bound,0.0019267166286054745,0.24122310305775765,0.17525773195876287
rxn10053_c_lower_bound,0.001925171745170791,0.4337485843714609,0.4536082474226804
rxn08335_c_upper_bound,0.0018963608681437276,0.0362400906002265,0.09278350515463918
rxn15949_c_upper_bound,0.0018829368724750952,0.44280860702151753,0.44329896907216493
rxn00916_c_upper_bound,0.0018768756450064164,0.1812004530011325,0.16494845360824742
rxn06031_c_lower_bound,0.0018677655246684037,0.22083805209513024,0.23711340206185566
rxn05940_c_lower_bound,0.0018305753709721591,0.3431483578708947,0.3402061855670103
rxn10960_c_upper_bound,0.0018253521497126092,0.06568516421291053,0.09278350515463918
rxn09462_c_upper_bound,0.0018193323635488211,0.7180067950169875,0.6804123711340206
rxn09016_c_lower_bound,0.0017977638013118562,0.5277463193657984,0.422680412371134
rxn00916_c_lower_bound,0.0017773047155041509,0.1812004530011325,0.16494845360824742
rxn12424_c_upper_bound,0.0017618453822804186,0.08607021517553794,0.13402061855670103
rxn00957_c_lower_bound,0.001753013056464859,0.33748584371460927,0.3917525773195876
