,importance,fraction active in 0,fraction active in 1
rxn00958_c_lower_bound,0.17549233119661659,0.5833333333333334,0.0
rxn00958_c_upper_bound,0.15083446083889537,0.5833333333333334,0.0
rxn00957_c_upper_bound,0.08436170259929113,0.29444444444444445,0.0
rxn00957_c_lower_bound,0.0843283153996571,0.29444444444444445,0.0
rxn00521_c_lower_bound,0.057561244869520425,0.2740740740740741,0.0
rxn00521_c_upper_bound,0.05345583638801046,0.2740740740740741,0.0
rxn02276_c_upper_bound,0.028549710618606398,0.0,0.30368098159509205
rxn02276_c_lower_bound,0.027305725070510815,0.0,0.30368098159509205
rxn00993_c_upper_bound,0.026138877081073247,0.0,0.30368098159509205
rxn00993_c_lower_bound,0.02203149889273202,0.0,0.30368098159509205
rxn01423_c_lower_bound,0.009759373968152688,0.016666666666666666,0.20245398773006135
rxn10559_c_lower_bound,0.00925012583609057,0.14074074074074075,0.0
rxn00033_c_lower_bound,0.009137801134140955,0.14074074074074075,0.0
rxn10559_c_upper_bound,0.009107991889502837,0.14074074074074075,0.0
rxn00033_c_upper_bound,0.008906627434267813,0.14074074074074075,0.0
rxn01990_c_upper_bound,0.008643991791078628,0.1814814814814815,0.03680981595092025
rxn01423_c_upper_bound,0.007562801571832792,0.016666666666666666,0.20245398773006135
rxn01990_c_lower_bound,0.006846066735885481,0.1814814814814815,0.03680981595092025
rxn01418_c_upper_bound,0.005590901635119816,0.016666666666666666,0.20245398773006135
rxn01418_c_lower_bound,0.00545686447105225,0.016666666666666666,0.20245398773006135
rxn31356_c_lower_bound,0.005052942997849491,0.08333333333333333,0.009202453987730062
rxn03886_c_upper_bound,0.004830522414656855,0.10740740740740741,0.012269938650306749
rxn31356_c_upper_bound,0.004566246956743592,0.08333333333333333,0.009202453987730062
rxn03886_c_lower_bound,0.004258019244957864,0.10740740740740741,0.012269938650306749
rxn01644_c_upper_bound,0.003918125768266915,0.9851851851851852,0.8374233128834356
rxn10484_c_lower_bound,0.003822276828667925,0.9851851851851852,0.8374233128834356
rxn12424_c_lower_bound,0.003744238025108679,0.08518518518518518,0.015337423312883436
rxn05299_c_lower_bound,0.0031307486063063606,0.05740740740740741,0.0
rxn02928_c_upper_bound,0.0031162747400209833,0.8462962962962963,0.656441717791411
rxn12424_c_upper_bound,0.003052009597283317,0.08518518518518518,0.015337423312883436
rxn34424_c_lower_bound,0.003044458721726911,0.09074074074074075,0.012269938650306749
rxn01934_c_upper_bound,0.003036515804788472,0.9185185185185185,1.0
rxn34424_c_upper_bound,0.0029757150379846314,0.09074074074074075,0.012269938650306749
rxn23024_c_upper_bound,0.0029425599139923262,0.2462962962962963,0.2361963190184049
rxn05299_c_upper_bound,0.0029265711190156925,0.05740740740740741,0.0
rxn10484_c_upper_bound,0.0029025134542508602,0.9851851851851852,0.8374233128834356
rxn09638_c_lower_bound,0.0028708593192081204,0.016666666666666666,0.15337423312883436
rxn11674_c_upper_bound,0.0028453796928512693,0.9185185185185185,1.0
rxn05557_c_upper_bound,0.002793780172147649,0.09074074074074075,0.012269938650306749
rxn01934_c_lower_bound,0.0026877211375788365,0.9185185185185185,1.0
