,importance,fraction active in 0,fraction active in 1
rxn00521_c_upper_bound,0.11698343122047819,0.8768699654775605,0.0
rxn00521_c_lower_bound,0.11006577787619917,0.8768699654775605,0.0
rxn00924_c_upper_bound,0.03975927014873305,0.4441887226697353,0.0
rxn00489_c_upper_bound,0.033426361256691614,0.4441887226697353,0.0
rxn00924_c_lower_bound,0.0328735756040832,0.4441887226697353,0.0
rxn00489_c_lower_bound,0.032108145121299836,0.4441887226697353,0.0
rxn08131_c_upper_bound,0.02444567654264783,0.9217491369390104,0.5234375
rxn01934_c_lower_bound,0.019219509648190056,0.9286536248561565,1.0
rxn11674_c_lower_bound,0.01811396499030494,0.9286536248561565,1.0
rxn00957_c_lower_bound,0.01754042104332224,0.33256616800920596,0.0
rxn00957_c_upper_bound,0.017297167944608206,0.33256616800920596,0.0
rxn08131_c_lower_bound,0.017060664182913035,0.9217491369390104,0.5234375
rxn01934_c_upper_bound,0.01687430987873657,0.9286536248561565,1.0
rxn11674_c_upper_bound,0.016186769126760626,0.9286536248561565,1.0
rxn00958_c_upper_bound,0.015740032257172812,0.3256616800920598,0.0
rxn00958_c_lower_bound,0.013735994074596023,0.3256616800920598,0.0
rxn01418_c_lower_bound,0.013283671220231727,0.5454545454545454,0.9375
rxn01644_c_upper_bound,0.012984192031415182,0.46375143843498273,0.0625
rxn01418_c_upper_bound,0.012408866156943772,0.5454545454545454,0.9375
rxn01423_c_upper_bound,0.011658165097740387,0.5454545454545454,0.9375
rxn01423_c_lower_bound,0.01165283157837845,0.5454545454545454,0.9375
rxn01256_c_upper_bound,0.011448001851717354,0.8952819332566168,1.0
rxn10484_c_upper_bound,0.010847574536841934,0.46375143843498273,0.0625
rxn10484_c_lower_bound,0.010317383997544251,0.46375143843498273,0.0625
rxn02276_c_lower_bound,0.010203419490259989,0.6501726121979287,1.0
rxn02276_c_upper_bound,0.01006833392709664,0.6501726121979287,1.0
rxn00993_c_lower_bound,0.009610221603763954,0.6501726121979287,1.0
rxn00993_c_upper_bound,0.009275607238224355,0.6501726121979287,1.0
rxn10878_c_upper_bound,0.007920923327055263,0.0713463751438435,0.3046875
rxn00198_c_upper_bound,0.007004121916117308,0.10356731875719218,0.3359375
rxn10878_c_lower_bound,0.006394068754319608,0.0713463751438435,0.3046875
rxn00198_c_lower_bound,0.005696026245190758,0.10356731875719218,0.3359375
rxn00688_c_upper_bound,0.005106476749986461,0.09205983889528194,0.296875
rxn09637_c_lower_bound,0.004955556688896779,0.29804372842347526,0.5546875
rxn09637_c_upper_bound,0.004668381887751212,0.29804372842347526,0.5546875
rxn33907_c_upper_bound,0.004581923397599397,0.01380897583429229,0.125
rxn14000_c_lower_bound,0.0044917882971537496,0.04948216340621404,0.2109375
rxn00688_c_lower_bound,0.004438809705475028,0.09205983889528194,0.296875
rxn14000_c_upper_bound,0.004141080743149761,0.04948216340621404,0.2109375
rxn02928_c_lower_bound,0.003980068790969545,0.27502876869965476,0.03125
rxn00155_c_lower_bound,0.0037586532103463044,0.27963176064441886,0.484375
rxn28948_c_upper_bound,0.00338516663925793,0.0011507479861910242,0.0546875
rxn07429_c_upper_bound,0.003282249872338133,0.3567318757192175,0.40625
rxn00155_c_upper_bound,0.0031747795923460142,0.27963176064441886,0.484375
rxn00156_c_lower_bound,0.0031479051272022386,0.07825086306098965,0.234375
rxn07429_c_lower_bound,0.0030895392252236983,0.3567318757192175,0.40625
rxn00156_c_upper_bound,0.003056297891651932,0.07825086306098965,0.234375
rxn13905_c_lower_bound,0.0029242684651362805,0.15765247410817032,0.1796875
rxn02250_c_lower_bound,0.0028505488835612997,0.02186421173762946,0.140625
rxn38906_c_upper_bound,0.002724734165190701,0.5155350978135789,0.578125
rxn05229_c_upper_bound,0.002681441449574952,0.616800920598389,0.609375
rxn38907_c_upper_bound,0.0026343088796162584,0.4372842347525892,0.3671875
rxn10838_c_upper_bound,0.002606414553446552,0.3084004602991945,0.4296875
rxn13905_c_upper_bound,0.0024743946090840705,0.15765247410817032,0.1796875
rxn38907_c_lower_bound,0.00238108271044223,0.4372842347525892,0.3671875
rxn02928_c_upper_bound,0.002378927108135262,0.27502876869965476,0.03125
rxn10053_c_lower_bound,0.002333357677774141,0.522439585730725,0.515625
rxn38906_c_lower_bound,0.0023255019525939354,0.5155350978135789,0.578125
rxn10838_c_lower_bound,0.002319547828367276,0.3084004602991945,0.4296875
rxn09638_c_upper_bound,0.00225838470328637,0.2474108170310702,0.3828125
rxn34028_c_upper_bound,0.0022252135851704934,0.3383199079401611,0.3203125
rxn05744_c_upper_bound,0.0021495979917058113,0.15304948216340622,0.03125
rxn05676_c_lower_bound,0.0021141738603877003,0.08630609896432681,0.015625
rxn05694_c_lower_bound,0.002109262311071285,0.0713463751438435,0.1953125
rxn05562_c_upper_bound,0.002080814286292544,0.27848101265822783,0.359375
rxn05562_c_lower_bound,0.00200421119860771,0.27848101265822783,0.359375
rxn00160_c_upper_bound,0.0019886872238770253,0.0759493670886076,0.109375
rxn12582_c_upper_bound,0.001957829982849054,0.27848101265822783,0.359375
rxn05744_c_lower_bound,0.0019509837633389397,0.15304948216340622,0.03125
rxn28948_c_lower_bound,0.0019479147603676489,0.0011507479861910242,0.0546875
rxn09421_c_upper_bound,0.0019414385695238651,0.23475258918296893,0.25
rxn10187_c_upper_bound,0.0019236112271612939,0.08630609896432681,0.015625
rxn00186_c_upper_bound,0.0019211616297420166,0.0713463751438435,0.15625
rxn02929_c_upper_bound,0.0018967257356759988,0.19102416570771003,0.03125
rxn00899_c_upper_bound,0.0018565630047995961,0.04257767548906789,0.125
rxn05694_c_upper_bound,0.0018497343049183987,0.0713463751438435,0.1953125
rxn10904_c_upper_bound,0.0018364207844820193,0.04948216340621404,0.1328125
rxn09638_c_lower_bound,0.0017957869722165112,0.2474108170310702,0.3828125
rxn01401_c_lower_bound,0.0017940870754713405,0.009205983889528193,0.0859375
rxn05676_c_upper_bound,0.0017856834630875032,0.08630609896432681,0.015625
rxn01359_c_lower_bound,0.0017536823232861076,0.13924050632911392,0.1875
rxn02250_c_upper_bound,0.0017146108377289499,0.02186421173762946,0.140625
rxn10053_c_upper_bound,0.001710927350424691,0.522439585730725,0.515625
rxn10187_c_lower_bound,0.0017075670982973792,0.08630609896432681,0.015625
rxn16285_c_upper_bound,0.0017044526863216718,0.07825086306098965,0.1953125
rxn05673_c_upper_bound,0.001701419369957351,0.142692750287687,0.0
rxn09462_c_lower_bound,0.001693309381390235,0.7537399309551208,0.8046875
rxn16285_c_lower_bound,0.001690750410239119,0.07825086306098965,0.1953125
rxn01401_c_upper_bound,0.0016893470937673202,0.009205983889528193,0.0859375
rxn36697_c_upper_bound,0.0016766806551338587,0.14499424626006904,0.1796875
rxn00317_c_lower_bound,0.0016750746981760059,0.12543153049482164,0.203125
rxn18396_c_upper_bound,0.001668051081800511,0.07825086306098965,0.1953125
rxn00777_c_lower_bound,0.0016241040250492024,0.07825086306098965,0.0546875
rxn04783_c_upper_bound,0.0015804056742130955,0.009205983889528193,0.0703125
rxn12582_c_lower_bound,0.0015720844883727017,0.27848101265822783,0.359375
rxn15947_c_lower_bound,0.0015664731056919342,0.38434982738780205,0.265625
rxn01990_c_upper_bound,0.0015641502343195259,0.379746835443038,0.1953125
rxn18910_c_upper_bound,0.001547546727828817,0.18757192174913695,0.21875
rxn08336_c_upper_bound,0.0015448794527299977,0.09896432681242807,0.109375
rxn10904_c_lower_bound,0.0015421382404074595,0.04948216340621404,0.1328125
rxn08335_c_upper_bound,0.0015364478674840282,0.12197928653624857,0.0546875
rxn00157_c_upper_bound,0.0015280761923597912,0.01380897583429229,0.078125
rxn32232_c_upper_bound,0.0015262216489175652,0.07825086306098965,0.1953125
rxn00899_c_lower_bound,0.0015046284761753626,0.04257767548906789,0.125
rxn09462_c_upper_bound,0.0015011842041164757,0.7537399309551208,0.8046875
rxn15949_c_upper_bound,0.0014759638249300941,0.38434982738780205,0.265625
rxn05673_c_lower_bound,0.0014731714546521914,0.142692750287687,0.0
rxn15947_c_upper_bound,0.0014685787796196981,0.38434982738780205,0.265625
rxn15500_c_upper_bound,0.001448959765400257,0.023014959723820484,0.109375
rxn13085_c_upper_bound,0.0014468362194073698,0.5937859608745685,0.5859375
rxn05603_c_lower_bound,0.0014333465038292128,0.0759493670886076,0.109375
rxn05603_c_upper_bound,0.0014124565102081883,0.0759493670886076,0.109375
rxn02186_c_lower_bound,0.0013991959841003594,0.9574223245109321,0.8671875
rxn00204_c_upper_bound,0.0013989651495618961,0.10701956271576525,0.140625
rxn01990_c_lower_bound,0.0013980952628608898,0.379746835443038,0.1953125
rxn01361_c_lower_bound,0.0013799291147163178,0.09896432681242807,0.1171875
rxn09421_c_lower_bound,0.001366886929504093,0.23475258918296893,0.25
rxn00125_c_lower_bound,0.0013518877808933296,0.5661680092059839,0.46875
rxn01359_c_upper_bound,0.0013306502942925162,0.13924050632911392,0.1875
rxn00204_c_lower_bound,0.0013287908611373728,0.10701956271576525,0.140625
rxn00125_c_upper_bound,0.001324095490193259,0.5661680092059839,0.46875
rxn11152_c_lower_bound,0.0013134484887454122,0.03222094361334868,0.109375
rxn00128_c_upper_bound,0.001299540310998518,0.02761795166858458,0.1171875
rxn00738_c_lower_bound,0.0012990261455499458,0.02761795166858458,0.1171875
rxn02186_c_upper_bound,0.0012806519025920543,0.9574223245109321,0.8671875
