,importance,fraction active in 0,fraction active in 1
rxn01640_c_lower_bound,0.19974122897314353,0.9468085106382979,0.0
rxn01640_c_upper_bound,0.18781357981501554,0.9468085106382979,0.0
rxn05299_c_lower_bound,0.10783538785958657,0.6170212765957447,0.0
rxn05299_c_upper_bound,0.09636944354457638,0.6170212765957447,0.0
rxn05164_c_upper_bound,0.04334745765815765,0.2127659574468085,0.0
rxn35344_c_upper_bound,0.026975593672245005,0.23404255319148937,0.0
rxn30076_c_upper_bound,0.02692674800957069,0.23404255319148937,0.0
rxn35344_c_lower_bound,0.026151529758014415,0.23404255319148937,0.0
rxn10932_c_lower_bound,0.02545486496749993,0.1702127659574468,0.0
rxn10932_c_upper_bound,0.022056876385236818,0.1702127659574468,0.0
rxn16285_c_upper_bound,0.004608936059537879,0.06382978723404255,0.0034403669724770644
rxn32232_c_upper_bound,0.004464014842036278,0.06382978723404255,0.0034403669724770644
rxn16285_c_lower_bound,0.0040045577118091305,0.06382978723404255,0.0034403669724770644
rxn00957_c_lower_bound,0.003597067015894614,0.6276595744680851,0.3176605504587156
rxn00957_c_upper_bound,0.0035798388452231555,0.6276595744680851,0.3176605504587156
rxn00521_c_lower_bound,0.0030046110943711822,0.5957446808510638,0.286697247706422
rxn04794_c_upper_bound,0.002941951030061454,0.14893617021276595,0.03096330275229358
rxn00916_c_lower_bound,0.0028565804310830595,0.5,0.6662844036697247
rxn00917_c_upper_bound,0.0027551794930697525,0.26595744680851063,0.3360091743119266
rxn04794_c_lower_bound,0.00272860674970548,0.14893617021276595,0.03096330275229358
rxn05571_c_lower_bound,0.0026034186253337185,0.09574468085106383,0.020642201834862386
rxn00521_c_upper_bound,0.002523998662780488,0.5957446808510638,0.286697247706422
rxn01990_c_upper_bound,0.0022632804722101177,0.3404255319148936,0.18004587155963303
rxn00688_c_upper_bound,0.0022566989696578272,0.18085106382978725,0.08944954128440367
rxn00958_c_lower_bound,0.002096260647841346,0.3723404255319149,0.38876146788990823
rxn38902_c_lower_bound,0.002019879121921246,0.19148936170212766,0.38646788990825687
rxn08793_c_upper_bound,0.0020142684067386498,0.07446808510638298,0.01261467889908257
rxn01990_c_lower_bound,0.0020131753067141717,0.3404255319148936,0.18004587155963303
rxn31356_c_upper_bound,0.001929771340999199,0.1702127659574468,0.09288990825688073
rxn00688_c_lower_bound,0.001885245443050791,0.18085106382978725,0.08944954128440367
rxn00916_c_upper_bound,0.0018433581111705838,0.5,0.6662844036697247
rxn38902_c_upper_bound,0.0018401356931196618,0.19148936170212766,0.38646788990825687
rxn10999_c_upper_bound,0.0018232971634825803,0.1276595744680851,0.040137614678899085
rxn05571_c_upper_bound,0.001758037168507632,0.09574468085106383,0.020642201834862386
rxn01356_c_upper_bound,0.0017290232017466833,0.13829787234042554,0.034403669724770644
rxn00958_c_upper_bound,0.0016773858001573874,0.3723404255319149,0.38876146788990823
rxn10999_c_lower_bound,0.0016646669427657686,0.1276595744680851,0.040137614678899085
rxn12424_c_upper_bound,0.001653397527488135,0.1595744680851064,0.06995412844036697
rxn31356_c_lower_bound,0.00164829185640566,0.1702127659574468,0.09288990825688073
rxn01005_c_lower_bound,0.0015950106348429477,0.1276595744680851,0.0768348623853211
rxn05488_c_lower_bound,0.0015813038790333828,0.07446808510638298,0.04243119266055046
rxn00145_c_lower_bound,0.001541806549693524,0.02127659574468085,0.0022935779816513763
rxn05215_c_upper_bound,0.0015094654059738056,0.02127659574468085,0.0011467889908256881
rxn12424_c_lower_bound,0.0014841992094892927,0.1595744680851064,0.06995412844036697
rxn05744_c_lower_bound,0.0014436044474863314,0.2872340425531915,0.16857798165137614
rxn09421_c_upper_bound,0.0014387355662552187,0.40425531914893614,0.4151376146788991
rxn01356_c_lower_bound,0.0014357625678844237,0.13829787234042554,0.034403669724770644
rxn10053_c_upper_bound,0.00142451843009967,0.6170212765957447,0.5458715596330275
rxn09462_c_lower_bound,0.0014167063636400508,0.43617021276595747,0.5298165137614679
rxn12441_c_upper_bound,0.0014162751084553454,0.09574468085106383,0.047018348623853214
rxn07429_c_upper_bound,0.00141530953765256,0.4787234042553192,0.47706422018348627
rxn34424_c_lower_bound,0.001414240653029147,0.18085106382978725,0.0860091743119266
rxn18396_c_upper_bound,0.0014044411476333727,0.1595744680851064,0.07912844036697247
rxn34424_c_upper_bound,0.0013969262776555484,0.18085106382978725,0.0860091743119266
rxn00315_c_lower_bound,0.0013945251143468293,0.19148936170212766,0.20527522935779816
rxn15209_c_upper_bound,0.0013624078065363036,0.1276595744680851,0.0768348623853211
rxn02831_c_upper_bound,0.0013614367660839928,0.7446808510638298,0.7763761467889908
rxn05557_c_upper_bound,0.00133770794192005,0.18085106382978725,0.0860091743119266
rxn02276_c_upper_bound,0.001328593747421252,0.4148936170212766,0.5435779816513762
rxn33937_c_upper_bound,0.001327575553514148,0.2553191489361702,0.3440366972477064
rxn34028_c_upper_bound,0.0012927914295563778,0.6382978723404256,0.6215596330275229
rxn09421_c_lower_bound,0.0012792802329725551,0.40425531914893614,0.4151376146788991
rxn12442_c_upper_bound,0.0012479136007747071,0.0851063829787234,0.06307339449541284
rxn11132_c_lower_bound,0.0012461673471041207,0.07446808510638298,0.0194954128440367
rxn00033_c_upper_bound,0.0012442398755083844,0.22340425531914893,0.08027522935779817
rxn10921_c_upper_bound,0.0012416233603816777,0.0425531914893617,0.03096330275229358
rxn10626_c_lower_bound,0.0012380018121433967,0.3191489361702128,0.2786697247706422
rxn07429_c_lower_bound,0.0012144217352343548,0.4787234042553192,0.47706422018348627
rxn05634_c_upper_bound,0.0012133702075705101,0.10638297872340426,0.07224770642201835
rxn05488_c_upper_bound,0.001197979071565888,0.07446808510638298,0.04243119266055046
rxn00731_c_upper_bound,0.0011972881211789054,0.13829787234042554,0.034403669724770644
rxn00315_c_upper_bound,0.0011961001005014423,0.19148936170212766,0.20527522935779816
rxn00499_c_upper_bound,0.0011926189769517924,0.05319148936170213,0.052752293577981654
rxn04675_c_lower_bound,0.0011917017882748472,0.7340425531914894,0.7717889908256881
rxn14000_c_lower_bound,0.001186132090637573,0.2127659574468085,0.22477064220183487
rxn12441_c_lower_bound,0.001173393697305376,0.09574468085106383,0.047018348623853214
rxn00155_c_lower_bound,0.0011700816018702044,0.24468085106382978,0.3761467889908257
rxn12442_c_lower_bound,0.0011676910455466832,0.0851063829787234,0.06307339449541284
rxn09462_c_upper_bound,0.0011545405261698014,0.43617021276595747,0.5298165137614679
rxn15132_c_upper_bound,0.0011501073629923877,0.1702127659574468,0.07224770642201835
rxn02276_c_lower_bound,0.0011495591713274965,0.4148936170212766,0.5435779816513762
rxn24330_c_upper_bound,0.0011437806400486784,0.2553191489361702,0.22362385321100917
rxn10626_c_upper_bound,0.001143049465830131,0.3191489361702128,0.2786697247706422
rxn00145_c_upper_bound,0.0011345992825268988,0.02127659574468085,0.0022935779816513763
rxn09637_c_upper_bound,0.0011304235116459075,0.5638297872340425,0.7075688073394495
rxn09637_c_lower_bound,0.0011249942320685309,0.5638297872340425,0.7075688073394495
rxn05484_c_lower_bound,0.0011179255845557936,0.031914893617021274,0.020642201834862386
rxn00731_c_lower_bound,0.0011096293837224058,0.13829787234042554,0.034403669724770644
rxn09638_c_upper_bound,0.0011079862249068117,0.425531914893617,0.2947247706422018
rxn04675_c_upper_bound,0.0011078166057217423,0.7340425531914894,0.7717889908256881
rxn02269_c_upper_bound,0.001106566527023953,0.7446808510638298,0.6548165137614679
rxn10170_c_upper_bound,0.0011045797149685252,0.11702127659574468,0.0481651376146789
rxn10053_c_lower_bound,0.0010747711890294598,0.6170212765957447,0.5458715596330275
rxn10559_c_upper_bound,0.0010740142648924711,0.22340425531914893,0.08027522935779817
rxn09638_c_lower_bound,0.0010636644728585995,0.425531914893617,0.2947247706422018
rxn11132_c_upper_bound,0.0010597646098466206,0.07446808510638298,0.0194954128440367
rxn00033_c_lower_bound,0.0010572417875366392,0.22340425531914893,0.08027522935779817
rxn10170_c_lower_bound,0.0010565003680100466,0.11702127659574468,0.0481651376146789
rxn24330_c_lower_bound,0.001039766615805461,0.2553191489361702,0.22362385321100917
rxn11258_c_upper_bound,0.0010282931387453186,0.031914893617021274,0.0011467889908256881
rxn05744_c_upper_bound,0.0010089662139247716,0.2872340425531915,0.16857798165137614
rxn05152_c_upper_bound,0.0010080889637170524,0.05319148936170213,0.033256880733944956
rxn14000_c_upper_bound,0.0010012874129074767,0.2127659574468085,0.22477064220183487
rxn00499_c_lower_bound,0.000998188755078544,0.05319148936170213,0.052752293577981654
rxn01934_c_upper_bound,0.0009801372887168734,0.5851063829787234,0.6823394495412844
rxn05229_c_upper_bound,0.0009795214697742077,0.5638297872340425,0.6146788990825688
rxn00993_c_upper_bound,0.0009781484211469943,0.4148936170212766,0.5435779816513762
rxn05484_c_upper_bound,0.0009759031474640498,0.031914893617021274,0.020642201834862386
rxn05565_c_upper_bound,0.0009751341720520918,0.13829787234042554,0.0779816513761468
rxn00155_c_upper_bound,0.0009737629293572594,0.24468085106382978,0.3761467889908257
rxn05634_c_lower_bound,0.0009606986108574271,0.10638297872340426,0.07224770642201835
rxn05565_c_lower_bound,0.0009412345997734323,0.13829787234042554,0.0779816513761468
rxn03883_c_lower_bound,0.0009343965330141568,0.1276595744680851,0.06077981651376147
rxn01005_c_upper_bound,0.0009178340188002323,0.1276595744680851,0.0768348623853211
rxn05581_c_upper_bound,0.0009137163122063079,0.06382978723404255,0.02522935779816514
rxn01945_c_upper_bound,0.0009079238890913001,0.1276595744680851,0.03784403669724771
rxn00993_c_lower_bound,0.0008875815482865804,0.4148936170212766,0.5435779816513762
rxn10836_c_upper_bound,0.0008836732121330394,0.0851063829787234,0.03784403669724771
rxn03883_c_upper_bound,0.0008769765881628368,0.1276595744680851,0.06077981651376147
rxn29748_c_upper_bound,0.0008747328290765507,0.10638297872340426,0.05504587155963303
rxn00317_c_lower_bound,0.0008730392723015708,0.20212765957446807,0.24541284403669725
rxn01934_c_lower_bound,0.000860700439211396,0.5851063829787234,0.6823394495412844
rxn05581_c_lower_bound,0.0008600955030648853,0.06382978723404255,0.02522935779816514
rxn29080_c_lower_bound,0.0008533855651345725,0.06382978723404255,0.03096330275229358
rxn16140_c_lower_bound,0.000829223311090706,0.05319148936170213,0.06995412844036697
rxn02269_c_lower_bound,0.0008210554390589651,0.7446808510638298,0.6548165137614679
rxn00103_c_lower_bound,0.000819007951517737,0.0851063829787234,0.040137614678899085
rxn11258_c_lower_bound,0.0008163971094199213,0.031914893617021274,0.0011467889908256881
rxn00317_c_upper_bound,0.0008033899150735521,0.20212765957446807,0.24541284403669725
rxn08792_c_upper_bound,0.000785327182607937,0.05319148936170213,0.0194954128440367
rxn04706_c_upper_bound,0.0007753712764316243,0.1276595744680851,0.03784403669724771
rxn18456_c_upper_bound,0.0007742084113374885,0.10638297872340426,0.047018348623853214
rxn04706_c_lower_bound,0.0007701336499658664,0.1276595744680851,0.03784403669724771
rxn18913_c_upper_bound,0.0007584559554686553,0.02127659574468085,0.0022935779816513763
rxn10559_c_lower_bound,0.0007311738559577133,0.22340425531914893,0.08027522935779817
rxn11674_c_upper_bound,0.000721302400933257,0.5851063829787234,0.6823394495412844
rxn00156_c_lower_bound,0.0007122555301647722,0.0851063829787234,0.18922018348623854
rxn11674_c_lower_bound,0.0007098880624832528,0.5851063829787234,0.6823394495412844
rxn29406_c_lower_bound,0.0007087655574616292,0.0425531914893617,0.027522935779816515
rxn01611_c_upper_bound,0.0007070385745486127,0.2127659574468085,0.10091743119266056
rxn10921_c_lower_bound,0.0006978305941627457,0.0425531914893617,0.03096330275229358
rxn05217_c_lower_bound,0.0006929071228602211,0.06382978723404255,0.0389908256880734
rxn01360_c_upper_bound,0.0006892286531813972,0.11702127659574468,0.11467889908256881
rxn08336_c_upper_bound,0.0006713088668875028,0.05319148936170213,0.02981651376146789
rxn10836_c_lower_bound,0.0006630177325019058,0.0851063829787234,0.03784403669724771
rxn00594_c_upper_bound,0.0006518262445237553,0.13829787234042554,0.04357798165137615
rxn05215_c_lower_bound,0.0006487773506890452,0.02127659574468085,0.0011467889908256881
rxn09682_c_upper_bound,0.0006403720365866437,0.010638297872340425,0.0011467889908256881
rxn00156_c_upper_bound,0.0006367564095092416,0.0851063829787234,0.18922018348623854
rxn05559_c_upper_bound,0.0006337429044982434,0.02127659574468085,0.0034403669724770644
rxn01359_c_lower_bound,0.0006266147985735482,0.07446808510638298,0.06192660550458716
rxn29406_c_upper_bound,0.0006208736293064103,0.0425531914893617,0.027522935779816515
rxn29080_c_upper_bound,0.0005993427877588433,0.06382978723404255,0.03096330275229358
rxn10878_c_lower_bound,0.0005973635260906837,0.0851063829787234,0.12270642201834862
rxn00103_c_upper_bound,0.0005827569105673166,0.0851063829787234,0.040137614678899085
rxn13943_c_lower_bound,0.0005811451363541523,0.11702127659574468,0.06995412844036697
rxn00168_c_lower_bound,0.000576008663462069,0.031914893617021274,0.017201834862385322
rxn10838_c_lower_bound,0.0005735382685591879,0.8617021276595744,0.7706422018348624
rxn12551_c_lower_bound,0.000565183514036427,0.031914893617021274,0.02408256880733945
rxn13943_c_upper_bound,0.0005643008284133006,0.11702127659574468,0.06995412844036697
rxn05559_c_lower_bound,0.0005638525354747602,0.02127659574468085,0.0034403669724770644
rxn01207_c_lower_bound,0.0005607737903624921,0.10638297872340426,0.10435779816513761
rxn00508_c_upper_bound,0.0005584044170364146,0.0425531914893617,0.0389908256880734
rxn12571_c_lower_bound,0.0005555070593837329,0.07446808510638298,0.1158256880733945
rxn01306_c_lower_bound,0.0005498054611070763,0.14893617021276595,0.09747706422018348
rxn08335_c_upper_bound,0.0005482472101588267,0.0425531914893617,0.03211009174311927
rxn04932_c_lower_bound,0.0005448460520984704,0.07446808510638298,0.0481651376146789
rxn01306_c_upper_bound,0.000543639812630682,0.14893617021276595,0.09747706422018348
rxn17400_c_lower_bound,0.0005378852429050377,0.02127659574468085,0.0022935779816513763
rxn00594_c_lower_bound,0.0005244520461870786,0.13829787234042554,0.04357798165137615
rxn00530_c_upper_bound,0.0005215886760705349,0.2127659574468085,0.09747706422018348
rxn05572_c_upper_bound,0.0005208186992810759,0.05319148936170213,0.0389908256880734
rxn05572_c_lower_bound,0.0005203394577432969,0.05319148936170213,0.0389908256880734
rxn05217_c_upper_bound,0.0005160850539028174,0.06382978723404255,0.0389908256880734
rxn00586_c_lower_bound,0.0005085843803221709,0.18085106382978725,0.07224770642201835
rxn10115_c_upper_bound,0.0005061272428385588,0.05319148936170213,0.026376146788990827
rxn12571_c_upper_bound,0.0005059873901086608,0.07446808510638298,0.1158256880733945
rxn35594_c_upper_bound,0.0004990115846532893,0.0425531914893617,0.051605504587155966
rxn00168_c_upper_bound,0.0004883876759198171,0.031914893617021274,0.017201834862385322
rxn12551_c_upper_bound,0.0004787534412214068,0.031914893617021274,0.02408256880733945
rxn38867_c_lower_bound,0.00047060994135534175,0.05319148936170213,0.058486238532110095
rxn00530_c_lower_bound,0.0004684719034724147,0.2127659574468085,0.09747706422018348
rxn25273_c_upper_bound,0.00046339510192471153,0.0851063829787234,0.14793577981651376
rxn16140_c_upper_bound,0.0004554581853133525,0.05319148936170213,0.06995412844036697
rxn01611_c_lower_bound,0.000443059436063154,0.2127659574468085,0.10091743119266056
rxn01359_c_upper_bound,0.00043668587302530534,0.07446808510638298,0.06192660550458716
rxn12575_c_upper_bound,0.0004356664741324464,0.05319148936170213,0.09288990825688073
rxn23755_c_upper_bound,0.0004329782376044057,0.010638297872340425,0.0
rxn05307_c_lower_bound,0.00043177837189995464,0.031914893617021274,0.01834862385321101
rxn10878_c_upper_bound,0.0004307533418503516,0.0851063829787234,0.12270642201834862
rxn10838_c_upper_bound,0.00041803483538819944,0.8617021276595744,0.7706422018348624
rxn12529_c_upper_bound,0.00041321930742073025,0.0425531914893617,0.022935779816513763
rxn12575_c_lower_bound,0.0004121716726053849,0.05319148936170213,0.09288990825688073
rxn05496_c_upper_bound,0.0004071118660657374,0.02127659574468085,0.01261467889908257
rxn10883_c_lower_bound,0.00040574098117834834,0.05319148936170213,0.03211009174311927
rxn00586_c_upper_bound,0.00039421857470490427,0.18085106382978725,0.07224770642201835
rxn10155_c_upper_bound,0.0003910811923331934,0.02127659574468085,0.016055045871559634
rxn12585_c_lower_bound,0.00039094245556032544,0.031914893617021274,0.03096330275229358
rxn17400_c_upper_bound,0.00038283338949704086,0.02127659574468085,0.0022935779816513763
rxn01207_c_upper_bound,0.00037453552828143005,0.10638297872340426,0.10435779816513761
rxn01361_c_upper_bound,0.000370453699647297,0.0425531914893617,0.02981651376146789
rxn00160_c_upper_bound,0.00036896835861415075,0.0425531914893617,0.06077981651376147
rxn08764_c_lower_bound,0.0003688147158635755,0.010638297872340425,0.008027522935779817
rxn05496_c_lower_bound,0.00035998354946180133,0.02127659574468085,0.01261467889908257
rxn04941_c_upper_bound,0.00035988525069077413,0.02127659574468085,0.04128440366972477
rxn00229_c_lower_bound,0.0003593954878951957,0.010638297872340425,0.0022935779816513763
rxn13775_c_lower_bound,0.0003555629215083284,0.02127659574468085,0.008027522935779817
rxn12585_c_upper_bound,0.000353748463785193,0.031914893617021274,0.03096330275229358
rxn05938_c_upper_bound,0.00035310748544243703,0.031914893617021274,0.11811926605504587
rxn12529_c_lower_bound,0.0003516154560832856,0.0425531914893617,0.022935779816513763
rxn36697_c_upper_bound,0.00035084237062707176,0.0425531914893617,0.11238532110091744
rxn05307_c_upper_bound,0.0003504290271826203,0.031914893617021274,0.01834862385321101
rxn05563_c_lower_bound,0.0003451343898019653,0.05319148936170213,0.09288990825688073
rxn04942_c_upper_bound,0.0003444546073851111,0.07446808510638298,0.05045871559633028
rxn12537_c_upper_bound,0.0003430909965755053,0.031914893617021274,0.05045871559633028
rxn02346_c_lower_bound,0.0003410223425502222,0.010638297872340425,0.051605504587155966
rxn09682_c_lower_bound,0.0003321989016460503,0.010638297872340425,0.0011467889908256881
rxn01418_c_lower_bound,0.00032976488619991317,0.9893617021276596,0.9988532110091743
rxn00198_c_lower_bound,0.0003242226190539886,0.031914893617021274,0.13073394495412843
rxn05676_c_upper_bound,0.00032421494268016756,0.031914893617021274,0.02522935779816514
rxn10151_c_lower_bound,0.0003220729555480605,0.010638297872340425,0.0034403669724770644
rxn12537_c_lower_bound,0.00031645369216712615,0.031914893617021274,0.05045871559633028
rxn29769_c_upper_bound,0.0003150092163341549,0.0425531914893617,0.04472477064220184
rxn10904_c_lower_bound,0.00031294293066359526,0.031914893617021274,0.021788990825688075
rxn01361_c_lower_bound,0.00031014499631140403,0.0425531914893617,0.02981651376146789
rxn10883_c_upper_bound,0.000309701193096411,0.05319148936170213,0.03211009174311927
rxn05603_c_upper_bound,0.00030933272230534504,0.0425531914893617,0.06077981651376147
rxn04932_c_upper_bound,0.0003033420087231901,0.07446808510638298,0.0481651376146789
rxn05563_c_upper_bound,0.00030206717592120403,0.05319148936170213,0.09288990825688073
rxn01896_c_lower_bound,0.0002960897759207899,0.010638297872340425,0.0
