,importance,fraction active in 0,fraction active in 1
rxn01640_c_upper_bound,0.19998791930877888,0.0,0.83125
rxn01640_c_lower_bound,0.17402887519375326,0.0,0.83125
rxn05299_c_lower_bound,0.1118134740535909,0.0,0.525
rxn05299_c_upper_bound,0.11006127095202585,0.0,0.525
rxn05164_c_upper_bound,0.07871657733814429,0.0,0.3125
rxn10932_c_lower_bound,0.029982102616712917,0.0,0.175
rxn10932_c_upper_bound,0.02864991009049105,0.0,0.175
rxn00521_c_lower_bound,0.00559815207858489,0.30445246690734057,0.55
rxn00521_c_upper_bound,0.004776699912154992,0.30445246690734057,0.55
rxn05313_c_lower_bound,0.0029492021689161607,0.098676293622142,0.21875
rxn05313_c_upper_bound,0.0028610545498944876,0.098676293622142,0.21875
rxn05565_c_upper_bound,0.0027148967684572007,0.07581227436823104,0.175
rxn34028_c_upper_bound,0.0027080508026688017,0.4741275571600481,0.56875
rxn10170_c_lower_bound,0.002512255274595905,0.06618531889290012,0.14375
rxn05229_c_upper_bound,0.0024908482027299656,0.49217809867629364,0.49375
rxn10170_c_upper_bound,0.002419545187852639,0.06618531889290012,0.14375
rxn05634_c_lower_bound,0.0023255479761655085,0.09747292418772563,0.19375
rxn05565_c_lower_bound,0.0023237739698728378,0.07581227436823104,0.175
rxn29779_c_upper_bound,0.002298512023674491,0.009626955475330927,0.04375
rxn00958_c_upper_bound,0.002269144505226049,0.4332129963898917,0.53125
rxn36697_c_upper_bound,0.002232367838801675,0.17689530685920576,0.0875
rxn34424_c_lower_bound,0.002192203806664611,0.13357400722021662,0.2375
rxn10836_c_lower_bound,0.002176429740676426,0.04693140794223827,0.10625
rxn08335_c_upper_bound,0.002152906289872488,0.04332129963898917,0.08125
rxn10836_c_upper_bound,0.002122623027333779,0.04693140794223827,0.10625
rxn05634_c_upper_bound,0.0021222725723711038,0.09747292418772563,0.19375
rxn07429_c_upper_bound,0.0020784735695442863,0.5932611311672683,0.59375
rxn00957_c_upper_bound,0.0020749917653232874,0.3838748495788207,0.46875
rxn29070_c_upper_bound,0.002030644309477207,0.013237063778580024,0.04375
rxn10999_c_lower_bound,0.002004649147585896,0.0842358604091456,0.14375
rxn01990_c_upper_bound,0.001999484924949415,0.14921780986762936,0.24375
rxn31356_c_upper_bound,0.0019771088304182493,0.10348977135980746,0.16875
rxn00958_c_lower_bound,0.0019751024214631455,0.4332129963898917,0.53125
rxn00957_c_lower_bound,0.0018910746897731663,0.3838748495788207,0.46875
rxn15132_c_upper_bound,0.0018728543436154186,0.15282791817087846,0.25
rxn10999_c_upper_bound,0.0018726830340160562,0.0842358604091456,0.14375
rxn31356_c_lower_bound,0.0018181559781273858,0.10348977135980746,0.16875
rxn16285_c_lower_bound,0.0017912948430046606,0.00842358604091456,0.0375
rxn12424_c_upper_bound,0.0017415069380134142,0.12154031287605295,0.20625
rxn12575_c_upper_bound,0.0017289027756445224,0.7388688327316486,0.68125
rxn23755_c_upper_bound,0.001717814034384622,0.0,0.01875
rxn00315_c_lower_bound,0.0016904296061547883,0.23104693140794225,0.25625
rxn00155_c_lower_bound,0.001650261605194449,0.38267148014440433,0.2375
rxn08793_c_upper_bound,0.0016376698646902183,0.018050541516245487,0.05
rxn09682_c_upper_bound,0.001636518472595759,0.0036101083032490976,0.03125
rxn00315_c_upper_bound,0.0016253015932181846,0.23104693140794225,0.25625
rxn01361_c_lower_bound,0.0016187020416511806,0.08664259927797834,0.09375
rxn29080_c_upper_bound,0.0016075255313523253,0.05174488567990373,0.10625
rxn32232_c_upper_bound,0.0015987476081602845,0.00842358604091456,0.0375
rxn07429_c_lower_bound,0.0015940626535589418,0.5932611311672683,0.59375
rxn10883_c_upper_bound,0.0015905201326965553,0.04091456077015644,0.0875
rxn01361_c_upper_bound,0.001541525537227022,0.08664259927797834,0.09375
rxn12424_c_lower_bound,0.0015384982373896734,0.12154031287605295,0.20625
rxn00603_c_lower_bound,0.0015267880190590532,0.07340553549939831,0.13125
rxn00317_c_upper_bound,0.0014901929956148763,0.2045728038507822,0.20625
rxn10906_c_lower_bound,0.0014885403954873766,0.01684717208182912,0.04375
rxn23755_c_lower_bound,0.0014646531280195088,0.0,0.01875
rxn10923_c_upper_bound,0.0014640769409864627,0.09386281588447654,0.15
rxn01990_c_lower_bound,0.0014588167799978145,0.14921780986762936,0.24375
rxn02276_c_upper_bound,0.0014572525354279652,0.4753309265944645,0.3625
rxn12582_c_upper_bound,0.0014317123549914166,0.18170878459687123,0.225
rxn34424_c_upper_bound,0.001431152340625504,0.13357400722021662,0.2375
rxn05572_c_lower_bound,0.0014250547116322959,0.11191335740072202,0.125
rxn09638_c_lower_bound,0.0014217529388550736,0.8267148014440433,0.80625
rxn09637_c_upper_bound,0.0013880915152416856,0.16967509025270758,0.19375
rxn10153_c_upper_bound,0.0013840584708665004,0.018050541516245487,0.03125
rxn05496_c_lower_bound,0.0013714550532494575,0.027677496991576414,0.0625
rxn05557_c_upper_bound,0.001369590154532717,0.13357400722021662,0.2375
