,importance,fraction active in 0,fraction active in 1
rxn01640_c_lower_bound,0.17658076167505457,0.8978102189781022,0.0
rxn01640_c_upper_bound,0.14344497677208498,0.8978102189781022,0.0
rxn05299_c_upper_bound,0.10455566055366278,0.6058394160583942,0.0
rxn05299_c_lower_bound,0.09910987969297917,0.6058394160583942,0.0
rxn05164_c_upper_bound,0.03417433241794939,0.24087591240875914,0.0
rxn10932_c_lower_bound,0.022898586561311055,0.16058394160583941,0.0
rxn10932_c_upper_bound,0.022370465654555423,0.16058394160583941,0.0
rxn01014_c_upper_bound,0.007490785121363316,0.7153284671532847,0.9186991869918699
rxn01014_c_lower_bound,0.007484526094689093,0.7153284671532847,0.9186991869918699
rxn01072_c_upper_bound,0.006978903179770485,0.2846715328467153,0.08478513356562137
rxn01072_c_lower_bound,0.006779248390133368,0.2846715328467153,0.08478513356562137
rxn05607_c_upper_bound,0.00381945320512302,0.26277372262773724,0.09059233449477352
rxn00993_c_upper_bound,0.0037461328285460192,0.46715328467153283,0.4889663182346109
rxn18574_c_upper_bound,0.0036919952328522596,0.18248175182481752,0.05226480836236934
rxn02276_c_upper_bound,0.003678213212402673,0.46715328467153283,0.4889663182346109
rxn00990_c_upper_bound,0.0036329967036711182,0.35766423357664234,0.4274099883855981
rxn00229_c_upper_bound,0.003525182820926399,0.5474452554744526,0.6631823461091754
rxn08131_c_upper_bound,0.0034901667394234763,0.781021897810219,0.8292682926829268
rxn29063_c_lower_bound,0.0032840029355371008,0.24087591240875914,0.07665505226480836
rxn08131_c_lower_bound,0.0031775732638966055,0.781021897810219,0.8292682926829268
rxn02276_c_lower_bound,0.003153477833801382,0.46715328467153283,0.4889663182346109
rxn00608_c_upper_bound,0.0031520340587674524,0.1897810218978102,0.06039488966318235
rxn05607_c_lower_bound,0.0030743795528798182,0.26277372262773724,0.09059233449477352
rxn10175_c_upper_bound,0.00304284815056055,0.24087591240875914,0.09523809523809523
rxn00990_c_lower_bound,0.003005336969842391,0.35766423357664234,0.4274099883855981
rxn29063_c_upper_bound,0.0029056323457581725,0.24087591240875914,0.07665505226480836
rxn00993_c_lower_bound,0.0028623003979976556,0.46715328467153283,0.4889663182346109
rxn00957_c_upper_bound,0.002699619270460474,0.5620437956204379,0.3623693379790941
rxn00229_c_lower_bound,0.0025880733774913964,0.5474452554744526,0.6631823461091754
rxn00957_c_lower_bound,0.0025445709640854342,0.5620437956204379,0.3623693379790941
rxn00607_c_upper_bound,0.0025064138501294645,0.22627737226277372,0.07781649245063879
rxn18575_c_upper_bound,0.002391746257101573,0.2116788321167883,0.08246225319396051
rxn02161_c_upper_bound,0.0023230341903157153,0.24087591240875914,0.0975609756097561
rxn00693_c_lower_bound,0.0021976890494169207,0.3284671532846715,0.23693379790940766
