,importance,fraction active in 0,fraction active in 1
rxn12060_c_lower_bound,0.15321112550553145,0.0,0.8959276018099548
rxn12060_c_upper_bound,0.13362029939496728,0.0,0.8959276018099548
rxn07764_c_upper_bound,0.048774294971885436,0.0,0.3438914027149321
rxn07764_c_lower_bound,0.03971289646574037,0.0,0.3438914027149321
rxn12215_c_upper_bound,0.03915498028363597,0.6290115532734275,0.04524886877828054
rxn07757_c_upper_bound,0.039105645179243136,0.0,0.3393665158371041
rxn07757_c_lower_bound,0.037948061633630764,0.0,0.3393665158371041
rxn07758_c_lower_bound,0.034739104893142754,0.0,0.2895927601809955
rxn07763_c_upper_bound,0.033000318048553114,0.0,0.2895927601809955
rxn07758_c_upper_bound,0.031003895516815993,0.0,0.2895927601809955
rxn12215_c_lower_bound,0.03094274702029515,0.6290115532734275,0.04524886877828054
rxn07763_c_lower_bound,0.028499409090617437,0.0,0.2895927601809955
rxn00693_c_upper_bound,0.027259857495291147,0.3851091142490372,0.027149321266968326
rxn00693_c_lower_bound,0.02194326616888202,0.3851091142490372,0.027149321266968326
rxn07759_c_upper_bound,0.019022111537530036,0.0,0.17194570135746606
rxn07759_c_lower_bound,0.01665766953821015,0.0,0.17194570135746606
rxn07765_c_upper_bound,0.015550323585006897,0.0,0.15384615384615385
rxn07765_c_lower_bound,0.012761328640094365,0.0,0.15384615384615385
rxn07766_c_lower_bound,0.012144421344300904,0.0,0.11312217194570136
rxn07760_c_lower_bound,0.01063955612087567,0.0,0.09502262443438914
rxn06196_c_upper_bound,0.009543599705494954,0.0,0.04524886877828054
rxn06195_c_upper_bound,0.008786336387444482,0.0,0.04524886877828054
rxn07760_c_upper_bound,0.008537453118085245,0.0,0.09502262443438914
rxn06195_c_lower_bound,0.008054705051582439,0.0,0.04524886877828054
rxn07766_c_upper_bound,0.007892141763399054,0.0,0.11312217194570136
rxn06196_c_lower_bound,0.007606274657969481,0.0,0.04524886877828054
rxn21076_c_upper_bound,0.005200860560913581,0.0,0.027149321266968326
rxn25866_c_upper_bound,0.005097592273090308,0.0,0.027149321266968326
rxn21076_c_lower_bound,0.004928906530305616,0.0,0.027149321266968326
rxn18396_c_upper_bound,0.004821538909613873,0.0012836970474967907,0.11312217194570136
rxn25866_c_lower_bound,0.0047253096902376765,0.0,0.027149321266968326
rxn00211_c_upper_bound,0.004283419942168612,0.0012836970474967907,0.11312217194570136
rxn11537_c_upper_bound,0.003953714440427496,0.0,0.02262443438914027
rxn11537_c_lower_bound,0.0039030688490517868,0.0,0.02262443438914027
rxn01005_c_upper_bound,0.003894260633887322,0.0012836970474967907,0.11312217194570136
rxn01005_c_lower_bound,0.0038020967955402205,0.0012836970474967907,0.11312217194570136
rxn11535_c_upper_bound,0.0037628895181386385,0.0,0.02262443438914027
rxn15209_c_upper_bound,0.003737705603055837,0.0012836970474967907,0.11312217194570136
rxn11535_c_lower_bound,0.0035671145316662337,0.0,0.02262443438914027
rxn00211_c_lower_bound,0.0034626866713490085,0.0012836970474967907,0.11312217194570136
rxn09180_c_lower_bound,0.002741423023593963,0.3465982028241335,0.6289592760180995
rxn09180_c_upper_bound,0.0027331053664068354,0.3465982028241335,0.6289592760180995
rxn20627_c_lower_bound,0.002375003327701607,0.34017971758664955,0.6199095022624435
rxn20627_c_upper_bound,0.00213780593359992,0.34017971758664955,0.6199095022624435
rxn01361_c_upper_bound,0.0020152078839635523,0.24775353016688062,0.4343891402714932
rxn01014_c_lower_bound,0.0019118679982391403,0.472400513478819,0.248868778280543
rxn13647_c_lower_bound,0.0018258164992785337,0.6161745827984596,0.38461538461538464
rxn01360_c_upper_bound,0.0018252446086616638,0.7637997432605905,0.6244343891402715
rxn00957_c_upper_bound,0.0017440608495233698,0.2682926829268293,0.43891402714932126
rxn00958_c_upper_bound,0.001737820303322871,0.7329910141206675,0.5610859728506787
rxn27089_c_lower_bound,0.0017107620055612923,0.0,0.00904977375565611
rxn24199_c_lower_bound,0.0016779982108990421,0.0,0.00904977375565611
rxn13647_c_upper_bound,0.00158816672710588,0.6161745827984596,0.38461538461538464
rxn01361_c_lower_bound,0.0015496854208645204,0.24775353016688062,0.4343891402714932
rxn01014_c_upper_bound,0.0014752400135140387,0.472400513478819,0.248868778280543
rxn24199_c_upper_bound,0.0014520114935263526,0.0,0.00904977375565611
rxn00958_c_lower_bound,0.0014292709400832494,0.7329910141206675,0.5610859728506787
rxn00393_c_lower_bound,0.0013995413100884703,0.01540436456996149,0.049773755656108594
rxn00393_c_upper_bound,0.0013585417551230416,0.01540436456996149,0.049773755656108594
rxn27089_c_upper_bound,0.0011807597689898418,0.0,0.00904977375565611
rxn00957_c_lower_bound,0.001172605754346084,0.2682926829268293,0.43891402714932126
rxn02928_c_lower_bound,0.0011242526298746998,0.730423620025674,0.5701357466063348
rxn02929_c_lower_bound,0.0011024564704210044,0.28369704749679076,0.4434389140271493
rxn02928_c_upper_bound,0.0010228656020763503,0.730423620025674,0.5701357466063348
rxn36320_c_lower_bound,0.0008663667868679853,0.2079589216944801,0.20361990950226244
rxn36320_c_upper_bound,0.0008459429388646896,0.2079589216944801,0.20361990950226244
rxn02929_c_upper_bound,0.0008247838876958217,0.28369704749679076,0.4434389140271493
rxn00916_c_lower_bound,0.0008007615837746399,0.27214377406931967,0.37104072398190047
rxn05531_c_upper_bound,0.0007804962937573717,0.36970474967907574,0.2171945701357466
rxn00435_c_lower_bound,0.0007299376334953231,0.03594351732991014,0.03619909502262444
rxn09989_c_upper_bound,0.0007281384925276205,0.36970474967907574,0.2171945701357466
rxn12524_c_upper_bound,0.0007259050144572378,0.3157894736842105,0.3031674208144796
rxn09978_c_lower_bound,0.0007223094666876676,0.3157894736842105,0.3031674208144796
rxn10960_c_upper_bound,0.0006896308749059762,0.33504492939666236,0.19457013574660634
rxn09978_c_upper_bound,0.0006748383226979432,0.3157894736842105,0.3031674208144796
rxn05487_c_upper_bound,0.0006557238147357484,0.3761232349165597,0.2398190045248869
rxn01640_c_upper_bound,0.0006311927959555073,0.36970474967907574,0.21266968325791855
rxn01640_c_lower_bound,0.00062327048707346,0.36970474967907574,0.21266968325791855
rxn04942_c_lower_bound,0.0005954265376504497,0.3170731707317073,0.18552036199095023
rxn03978_c_lower_bound,0.000594624361017358,0.37997432605905007,0.2669683257918552
rxn14207_c_lower_bound,0.0005801277412863078,0.01797175866495507,0.013574660633484163
rxn00186_c_upper_bound,0.000571233649050768,0.3504492939666239,0.2398190045248869
rxn00435_c_upper_bound,0.0005594538385882041,0.03594351732991014,0.03619909502262444
rxn05531_c_lower_bound,0.0005479687238806127,0.36970474967907574,0.2171945701357466
rxn12524_c_lower_bound,0.0005382445862600308,0.3157894736842105,0.3031674208144796
rxn00432_c_lower_bound,0.0005053456071476046,0.16944801026957637,0.12669683257918551
rxn03978_c_upper_bound,0.000502725074104466,0.37997432605905007,0.2669683257918552
rxn10960_c_lower_bound,0.0005024966791815324,0.33504492939666236,0.19457013574660634
rxn38903_c_upper_bound,0.0004992780034774009,0.1527599486521181,0.1085972850678733
rxn38868_c_upper_bound,0.0004980767785362054,0.08600770218228498,0.058823529411764705
rxn36697_c_upper_bound,0.0004907802457065722,0.1822849807445443,0.17194570135746606
rxn00917_c_upper_bound,0.0004906792853498912,0.23106546854942234,0.2850678733031674
rxn00555_c_upper_bound,0.00047419103050325135,0.6264441591784339,0.579185520361991
