,importance,fraction active in 0,fraction active in 1
rxn00917_c_upper_bound,0.13410210297711903,0.4209445585215606,0.0
rxn38855_c_upper_bound,0.11352340249652552,0.10677618069815195,0.7109375
rxn00916_c_upper_bound,0.0942275918565874,0.486652977412731,0.0
rxn00916_c_lower_bound,0.09025898665581257,0.486652977412731,0.0
rxn01961_c_upper_bound,0.0345602646074903,0.1971252566735113,0.0
rxn38903_c_upper_bound,0.021235420348808084,0.06981519507186858,0.20703125
rxn02928_c_upper_bound,0.012877973458119559,0.43737166324435317,0.7578125
rxn38868_c_upper_bound,0.011596549736320093,0.053388090349075976,0.138671875
rxn02928_c_lower_bound,0.010102074510115439,0.43737166324435317,0.7578125
rxn02929_c_upper_bound,0.010030157057046895,0.5687885010266941,0.25390625
rxn02929_c_lower_bound,0.009340467544869363,0.5687885010266941,0.25390625
rxn00957_c_upper_bound,0.009151796624573999,0.5667351129363449,0.265625
rxn00958_c_upper_bound,0.008776027978046656,0.433264887063655,0.734375
rxn00958_c_lower_bound,0.008553153158278719,0.433264887063655,0.734375
rxn38867_c_upper_bound,0.008216095951095173,0.09240246406570841,0.166015625
rxn38867_c_lower_bound,0.007726282671919003,0.09240246406570841,0.166015625
rxn00957_c_lower_bound,0.007542691474772613,0.5667351129363449,0.265625
rxn01361_c_upper_bound,0.006840314947891561,0.23613963039014374,0.064453125
rxn01361_c_lower_bound,0.0052016231314051,0.23613963039014374,0.064453125
rxn08335_c_upper_bound,0.004339527856796471,0.25051334702258726,0.29296875
rxn38996_c_upper_bound,0.0042485241576662655,0.3921971252566735,0.361328125
rxn11158_c_upper_bound,0.004150136765430936,0.6981519507186859,0.818359375
rxn11158_c_lower_bound,0.004140695771342127,0.6981519507186859,0.818359375
rxn01014_c_upper_bound,0.003967132117543367,0.5174537987679672,0.46875
rxn05466_c_upper_bound,0.003950447269003383,0.22176591375770022,0.1328125
rxn18456_c_upper_bound,0.003938820377920937,0.5626283367556468,0.58203125
rxn12204_c_lower_bound,0.0038435400114599995,0.33675564681724846,0.25
rxn05466_c_lower_bound,0.0038295800570922658,0.22176591375770022,0.1328125
rxn01014_c_lower_bound,0.0038001381920819313,0.5174537987679672,0.46875
rxn13647_c_lower_bound,0.003759936786331296,0.32238193018480493,0.328125
rxn12204_c_upper_bound,0.0037279587893453603,0.33675564681724846,0.25
rxn01359_c_lower_bound,0.0036695017888644433,0.22587268993839835,0.3515625
rxn13647_c_upper_bound,0.003669091373261116,0.32238193018480493,0.328125
rxn00607_c_upper_bound,0.0036584454451933945,0.4004106776180698,0.37890625
rxn38902_c_lower_bound,0.0036429998859767287,0.13552361396303902,0.095703125
rxn05563_c_lower_bound,0.0035565961438990316,0.32854209445585214,0.3046875
rxn01360_c_upper_bound,0.003547674762656125,0.6529774127310062,0.669921875
rxn05554_c_lower_bound,0.003528021246818438,0.39835728952772076,0.388671875
rxn38902_c_upper_bound,0.003442362042968612,0.13552361396303902,0.095703125
rxn29080_c_lower_bound,0.0034162888940914332,0.4106776180698152,0.419921875
rxn05554_c_upper_bound,0.0033434029831140026,0.39835728952772076,0.388671875
rxn05488_c_upper_bound,0.003334093934149572,0.5913757700205339,0.544921875
rxn15120_c_upper_bound,0.0033068556295810076,0.4681724845995893,0.5078125
rxn00693_c_upper_bound,0.003285037817389185,0.44353182751540043,0.39453125
rxn00555_c_upper_bound,0.0032258459735819045,0.4394250513347023,0.513671875
rxn12215_c_lower_bound,0.003213550459080602,0.4702258726899384,0.53125
rxn00693_c_lower_bound,0.0032044394189016177,0.44353182751540043,0.39453125
rxn05488_c_lower_bound,0.003169244183551748,0.5913757700205339,0.544921875
rxn31356_c_upper_bound,0.0031261998747055884,0.6570841889117043,0.662109375
rxn10960_c_upper_bound,0.00312019888224376,0.5051334702258727,0.451171875
rxn15076_c_upper_bound,0.0031115216217627653,0.3613963039014374,0.34375
rxn12215_c_upper_bound,0.0031072436823198703,0.4702258726899384,0.53125
rxn00555_c_lower_bound,0.0031022005317001364,0.4394250513347023,0.513671875
rxn00704_c_lower_bound,0.0030717247522743644,0.25256673511293637,0.216796875
rxn10960_c_lower_bound,0.0030641538453522878,0.5051334702258727,0.451171875
rxn13141_c_lower_bound,0.003050180848328109,0.5544147843942505,0.48046875
rxn15132_c_upper_bound,0.003038577858652371,0.5544147843942505,0.595703125
rxn02095_c_upper_bound,0.003029731423697491,0.5605749486652978,0.625
rxn12575_c_upper_bound,0.0030287328976588866,0.6673511293634496,0.6953125
rxn01359_c_upper_bound,0.0030169696658004963,0.22587268993839835,0.3515625
rxn05313_c_upper_bound,0.003013841185315014,0.22792607802874743,0.29296875
rxn02409_c_upper_bound,0.0030072188226093676,0.41478439425051333,0.3984375
rxn00606_c_upper_bound,0.0029893438566062024,0.2053388090349076,0.22265625
rxn29080_c_upper_bound,0.0029865658699717314,0.4106776180698152,0.419921875
rxn05563_c_upper_bound,0.0029659846991482684,0.32854209445585214,0.3046875
rxn02429_c_upper_bound,0.002952873959695034,0.5544147843942505,0.595703125
rxn02408_c_lower_bound,0.0029526294584317713,0.41478439425051333,0.3984375
rxn00704_c_upper_bound,0.002946228955403693,0.25256673511293637,0.216796875
rxn00606_c_lower_bound,0.002911767012106278,0.2053388090349076,0.22265625
rxn02173_c_upper_bound,0.0028803503636869823,0.5544147843942505,0.595703125
rxn02408_c_upper_bound,0.0028801147936632562,0.41478439425051333,0.3984375
rxn09673_c_lower_bound,0.0028517168188768064,0.14784394250513347,0.224609375
rxn13141_c_upper_bound,0.0028427850240019896,0.5544147843942505,0.48046875
rxn05313_c_lower_bound,0.0028374262463664235,0.22792607802874743,0.29296875
rxn15122_c_upper_bound,0.0028357316504762967,0.42299794661190965,0.47265625
rxn00553_c_lower_bound,0.002832689026372638,0.5995893223819302,0.5859375
rxn02409_c_lower_bound,0.0028242421058599855,0.41478439425051333,0.3984375
rxn09348_c_lower_bound,0.0028190408076198665,0.188911704312115,0.201171875
rxn33675_c_upper_bound,0.002814397075047441,0.21149897330595482,0.228515625
rxn12537_c_upper_bound,0.002810133700718296,0.7433264887063655,0.74609375
rxn02094_c_upper_bound,0.0027860514086469747,0.5605749486652978,0.625
rxn15126_c_lower_bound,0.0027747797117904835,0.2135523613963039,0.2265625
rxn15122_c_lower_bound,0.0027647015139616172,0.42299794661190965,0.47265625
rxn02095_c_lower_bound,0.0027616271990071302,0.5605749486652978,0.625
rxn09989_c_upper_bound,0.0027612560304446435,0.6611909650924025,0.6796875
rxn05484_c_lower_bound,0.0027357919338362926,0.20739219712525667,0.2109375
rxn00553_c_upper_bound,0.00272306375742768,0.5995893223819302,0.5859375
rxn02760_c_upper_bound,0.002717233330932994,0.27720739219712526,0.291015625
rxn09673_c_upper_bound,0.002711170614845971,0.14784394250513347,0.224609375
rxn02760_c_lower_bound,0.002686205841471068,0.27720739219712526,0.291015625
rxn05484_c_upper_bound,0.0026796076842382746,0.20739219712525667,0.2109375
rxn12537_c_lower_bound,0.002672778191049203,0.7433264887063655,0.74609375
rxn02429_c_lower_bound,0.0026332056840639613,0.5544147843942505,0.595703125
rxn15126_c_upper_bound,0.002613448158257563,0.2135523613963039,0.2265625
rxn09348_c_upper_bound,0.0026018256128895008,0.188911704312115,0.201171875
rxn09180_c_lower_bound,0.0025974902593116763,0.20123203285420946,0.203125
rxn02094_c_lower_bound,0.002595539842385752,0.5605749486652978,0.625
rxn31356_c_lower_bound,0.0025822236391142223,0.6570841889117043,0.662109375
rxn20627_c_upper_bound,0.002565684081384203,0.13141683778234087,0.09765625
rxn02582_c_upper_bound,0.002564974452327805,0.24435318275154005,0.23828125
rxn12575_c_lower_bound,0.0025628083742344444,0.6673511293634496,0.6953125
rxn00355_c_lower_bound,0.002542112280947211,0.18480492813141683,0.21875
rxn05531_c_upper_bound,0.0025342778535945073,0.6611909650924025,0.6796875
rxn00214_c_lower_bound,0.002531879571487966,0.811088295687885,0.853515625
rxn05531_c_lower_bound,0.0025140315883238314,0.6611909650924025,0.6796875
rxn00214_c_upper_bound,0.0025092671312411923,0.811088295687885,0.853515625
rxn09180_c_upper_bound,0.0024981856142312834,0.20123203285420946,0.203125
rxn02582_c_lower_bound,0.0024631503520153543,0.24435318275154005,0.23828125
rxn36697_c_upper_bound,0.002460891270550868,0.1704312114989733,0.12109375
rxn00355_c_upper_bound,0.0024418693995748825,0.18480492813141683,0.21875
rxn01090_c_lower_bound,0.0024269010360078998,0.24435318275154005,0.23828125
rxn10904_c_lower_bound,0.0024114370721516013,0.1601642710472279,0.166015625
rxn20627_c_lower_bound,0.002406331528322124,0.13141683778234087,0.09765625
rxn10904_c_upper_bound,0.0023954111329389746,0.1601642710472279,0.166015625
rxn34080_c_upper_bound,0.0022828535894221713,0.07802874743326489,0.06640625
rxn13648_c_upper_bound,0.002266850202531611,0.08418891170431211,0.109375
rxn13648_c_lower_bound,0.0022619144333834596,0.08418891170431211,0.109375
rxn34080_c_lower_bound,0.002184355794318699,0.07802874743326489,0.06640625
rxn01090_c_upper_bound,0.0021781223250172993,0.24435318275154005,0.23828125
rxn10838_c_lower_bound,0.002085808256490924,0.06981519507186858,0.041015625
rxn10053_c_upper_bound,0.002072326901161265,0.9219712525667351,0.89453125
rxn10868_c_upper_bound,0.0020588964124857866,0.08624229979466119,0.052734375
rxn05170_c_upper_bound,0.002035274207480587,0.07597535934291581,0.083984375
rxn00701_c_lower_bound,0.002028233792103817,0.1026694045174538,0.1171875
rxn05229_c_upper_bound,0.002020002760803406,0.07802874743326489,0.107421875
rxn12060_c_lower_bound,0.0019458913352282988,0.12525667351129363,0.08984375
rxn00701_c_upper_bound,0.001936988116411398,0.1026694045174538,0.1171875
rxn10838_c_upper_bound,0.0019058594074571568,0.06981519507186858,0.041015625
rxn10053_c_lower_bound,0.0018393660860143738,0.9219712525667351,0.89453125
rxn10868_c_lower_bound,0.0018017626266095392,0.08624229979466119,0.052734375
rxn00705_c_upper_bound,0.0017981465551137896,0.06570841889117043,0.08203125
rxn08582_c_upper_bound,0.0017789218887752875,0.11909650924024641,0.1484375
rxn08582_c_lower_bound,0.0017786881722046358,0.11909650924024641,0.1484375
rxn12060_c_upper_bound,0.001752458355512084,0.12525667351129363,0.08984375
rxn12583_c_lower_bound,0.0017453711916888882,0.053388090349075976,0.03125
rxn08336_c_upper_bound,0.0017203260466577002,0.06365503080082136,0.083984375
rxn00705_c_lower_bound,0.0017111397736365222,0.06570841889117043,0.08203125
rxn10911_c_lower_bound,0.0016913422942658716,0.07186858316221766,0.068359375
rxn07763_c_upper_bound,0.001664415000433288,0.07597535934291581,0.01953125
rxn00703_c_lower_bound,0.00162986893639721,0.045174537987679675,0.083984375
rxn07763_c_lower_bound,0.0016189343641841425,0.07597535934291581,0.01953125
rxn03856_c_lower_bound,0.0016133991948051592,0.053388090349075976,0.03515625
rxn11342_c_upper_bound,0.0016096179214339298,0.09856262833675565,0.103515625
rxn00703_c_upper_bound,0.0015999376012725821,0.045174537987679675,0.083984375
rxn11342_c_lower_bound,0.0015942783121815616,0.09856262833675565,0.103515625
rxn13251_c_lower_bound,0.0015234423791413492,0.045174537987679675,0.078125
rxn07757_c_lower_bound,0.0015169257457174898,0.06776180698151951,0.013671875
rxn12583_c_upper_bound,0.0015151382166544633,0.053388090349075976,0.03125
rxn07757_c_upper_bound,0.0014859899998236957,0.06776180698151951,0.013671875
rxn10911_c_upper_bound,0.0014418867067516141,0.07186858316221766,0.068359375
rxn15030_c_lower_bound,0.0014212544329957819,0.026694045174537988,0.033203125
rxn13251_c_upper_bound,0.0014153485176675927,0.045174537987679675,0.078125
rxn03856_c_upper_bound,0.001362932083477196,0.053388090349075976,0.03515625
rxn19753_c_upper_bound,0.001321952346872697,0.09240246406570841,0.0703125
rxn15030_c_upper_bound,0.001281794439500833,0.026694045174537988,0.033203125
rxn19753_c_lower_bound,0.0012567974381533487,0.09240246406570841,0.0703125
rxn27412_c_upper_bound,0.0012359560602589333,0.09240246406570841,0.0703125
rxn27412_c_lower_bound,0.001231923511738963,0.09240246406570841,0.0703125
rxn00393_c_upper_bound,0.0010455647227073151,0.030800821355236138,0.025390625
rxn08445_c_upper_bound,0.0010166142219383563,0.03696098562628337,0.029296875
rxn00393_c_lower_bound,0.0009927889774322088,0.030800821355236138,0.025390625
rxn09468_c_upper_bound,0.0008753941233866955,0.03696098562628337,0.029296875
rxn07758_c_lower_bound,0.0008138186667940161,0.02053388090349076,0.05078125
rxn05566_c_upper_bound,0.0008108913438804877,0.026694045174537988,0.03515625
rxn01072_c_upper_bound,0.0008031313232510257,0.971252566735113,0.974609375
rxn03978_c_upper_bound,0.0007919992061730558,0.028747433264887063,0.025390625
rxn03978_c_lower_bound,0.0007748331561058287,0.028747433264887063,0.025390625
rxn09468_c_lower_bound,0.0007634125714150108,0.03696098562628337,0.029296875
rxn00816_c_lower_bound,0.0007280845762170445,0.024640657084188913,0.048828125
rxn08445_c_lower_bound,0.0006989847472106454,0.03696098562628337,0.029296875
rxn07764_c_upper_bound,0.0006787930869451763,0.012320328542094456,0.044921875
rxn07758_c_upper_bound,0.0006535118377214873,0.02053388090349076,0.05078125
rxn00816_c_upper_bound,0.000641750572747108,0.024640657084188913,0.048828125
rxn05566_c_lower_bound,0.0006382309120850357,0.026694045174537988,0.03515625
rxn01072_c_lower_bound,0.0006259543036159641,0.971252566735113,0.974609375
rxn10187_c_upper_bound,0.0006166524090743498,0.012320328542094456,0.00390625
rxn05676_c_lower_bound,0.0006046958858381218,0.012320328542094456,0.00390625
rxn10187_c_lower_bound,0.000587498809937796,0.012320328542094456,0.00390625
rxn05676_c_upper_bound,0.0005871119993683671,0.012320328542094456,0.00390625
rxn12582_c_lower_bound,0.0005704998850595692,0.01026694045174538,0.0078125
rxn01228_c_upper_bound,0.0005621316126289604,0.008213552361396304,0.015625
rxn07764_c_lower_bound,0.0005552418543967925,0.012320328542094456,0.044921875
rxn07765_c_lower_bound,0.0005096111326770434,0.028747433264887063,0.005859375
rxn10169_c_lower_bound,0.0004654801112086507,0.01642710472279261,0.03125
rxn29541_c_lower_bound,0.0004344743317843995,0.012320328542094456,0.01953125
rxn01228_c_lower_bound,0.0004163231510914162,0.008213552361396304,0.015625
rxn29541_c_upper_bound,0.00041098548890697745,0.012320328542094456,0.01953125
rxn12582_c_upper_bound,0.0004028452490232116,0.01026694045174538,0.0078125
rxn07765_c_upper_bound,0.00039756770767570247,0.028747433264887063,0.005859375
rxn10348_c_upper_bound,0.00039091976723594463,0.012320328542094456,0.021484375
rxn15095_c_lower_bound,0.000386963458343491,0.018480492813141684,0.0234375
rxn05562_c_lower_bound,0.0003816531210374443,0.01026694045174538,0.0078125
rxn07759_c_upper_bound,0.0003776699941398981,0.018480492813141684,0.0078125
rxn05562_c_upper_bound,0.00037379511812550434,0.01026694045174538,0.0078125
rxn07766_c_lower_bound,0.00036819515734848025,0.008213552361396304,0.01953125
rxn07760_c_lower_bound,0.0003505134169639736,0.018480492813141684,0.017578125
rxn07766_c_upper_bound,0.0003457453738308295,0.008213552361396304,0.01953125
rxn15095_c_upper_bound,0.000338304544438995,0.018480492813141684,0.0234375
rxn10169_c_upper_bound,0.00032402614989915704,0.01642710472279261,0.03125
rxn07760_c_upper_bound,0.00031824491068228417,0.018480492813141684,0.017578125
rxn10165_c_lower_bound,0.00027911977166098054,0.004106776180698152,0.0078125
rxn05746_c_upper_bound,0.00026802770421092146,0.006160164271047228,0.015625
rxn10348_c_lower_bound,0.00026771367193709997,0.012320328542094456,0.021484375
rxn15594_c_upper_bound,0.0002597961206842119,0.012320328542094456,0.021484375
rxn07759_c_lower_bound,0.00025808110154007475,0.018480492813141684,0.0078125
rxn05746_c_lower_bound,0.00023713904399241494,0.006160164271047228,0.015625
rxn01967_c_lower_bound,0.00022634671137589042,0.006160164271047228,0.005859375
rxn08933_c_lower_bound,0.00021928288937002183,0.008213552361396304,0.0078125
rxn26127_c_upper_bound,0.0002144190848040617,0.006160164271047228,0.013671875
rxn15064_c_lower_bound,0.0002112830209463466,0.006160164271047228,0.0078125
rxn08127_c_lower_bound,0.00020324648373750537,0.006160164271047228,0.0078125
rxn01132_c_lower_bound,0.0002028172999777765,0.006160164271047228,0.005859375
rxn10165_c_upper_bound,0.00020139540806995076,0.004106776180698152,0.0078125
rxn08127_c_upper_bound,0.00019468870232170062,0.006160164271047228,0.0078125
rxn26128_c_upper_bound,0.0001798644335656025,0.006160164271047228,0.005859375
rxn34028_c_upper_bound,0.00017701135096067974,0.008213552361396304,0.005859375
rxn01132_c_upper_bound,0.0001709027414633091,0.006160164271047228,0.005859375
rxn15062_c_lower_bound,0.0001617035384604372,0.006160164271047228,0.0078125
rxn15062_c_upper_bound,0.00015651560188139718,0.006160164271047228,0.0078125
rxn08126_c_lower_bound,0.00015270134904302787,0.004106776180698152,0.005859375
rxn08126_c_upper_bound,0.00015268956335866976,0.004106776180698152,0.005859375
rxn08933_c_upper_bound,0.0001516562097599012,0.008213552361396304,0.0078125
rxn01967_c_upper_bound,0.00014486217073587544,0.006160164271047228,0.005859375
rxn21344_c_upper_bound,0.00014116746451045848,0.0,0.001953125
rxn15103_c_upper_bound,0.00013971417323624887,0.008213552361396304,0.005859375
rxn06592_c_lower_bound,0.00013507340798314546,0.002053388090349076,0.00390625
rxn15064_c_upper_bound,0.00013075530294472297,0.006160164271047228,0.0078125
rxn08941_c_lower_bound,0.00011506498551969634,0.006160164271047228,0.013671875
rxn06592_c_upper_bound,0.00011389687678114898,0.002053388090349076,0.00390625
rxn08941_c_upper_bound,0.00010401404641881585,0.006160164271047228,0.013671875
rxn36797_c_upper_bound,8.456546013093187e-05,0.0,0.001953125
rxn30612_c_lower_bound,8.02160768324948e-05,0.002053388090349076,0.00390625
rxn08934_c_upper_bound,7.380003749161423e-05,0.002053388090349076,0.0
rxn06934_c_lower_bound,6.834392314094352e-05,0.0,0.00390625
rxn05210_c_lower_bound,6.499413124702947e-05,0.002053388090349076,0.0
rxn30612_c_upper_bound,6.206366658499123e-05,0.002053388090349076,0.00390625
rxn31407_c_lower_bound,5.795610357483211e-05,0.002053388090349076,0.0
rxn08934_c_lower_bound,5.442584412291735e-05,0.002053388090349076,0.0
rxn06677_c_lower_bound,5.1479454124833115e-05,0.0,0.001953125
rxn31407_c_upper_bound,5.0434106561987396e-05,0.002053388090349076,0.0
rxn05210_c_upper_bound,4.844384263016767e-05,0.002053388090349076,0.0
rxn06677_c_upper_bound,4.546536269791042e-05,0.0,0.001953125
rxn08129_c_lower_bound,4.477314322740816e-05,0.0,0.00390625
rxn06934_c_upper_bound,3.602951793229785e-05,0.0,0.00390625
rxn08936_c_upper_bound,3.4886393854378986e-05,0.0,0.00390625
rxn08936_c_lower_bound,3.166826137628786e-05,0.0,0.00390625
rxn19167_c_lower_bound,1.5076771776379088e-05,0.002053388090349076,0.0
rxn08129_c_upper_bound,1.1388551686307535e-05,0.0,0.00390625
rxn28570_c_upper_bound,7.742077278745355e-06,0.002053388090349076,0.0
rxn11139_c_lower_bound,6.745812118820608e-06,0.0,0.001953125
rxn19167_c_upper_bound,6.682506682506683e-06,0.002053388090349076,0.0
rxn05145_c_upper_bound,6.010396361273554e-06,0.0,0.001953125
rxn05145_c_lower_bound,5.653707052441227e-06,0.0,0.001953125
rxn11139_c_upper_bound,4.004104307117606e-06,0.0,0.001953125
rxn01360_c_lower_bound,0.0,0.0,0.0
rxn36697_c_lower_bound,0.0,0.0,0.0
rxn36797_c_lower_bound,0.0,0.0,0.0
rxn38855_c_lower_bound,0.0,0.0,0.0
rxn38868_c_lower_bound,0.0,0.0,0.0
rxn00607_c_lower_bound,0.0,0.0,0.0
rxn38903_c_lower_bound,0.0,0.0,0.0
rxn38996_c_lower_bound,0.0,0.0,0.0
rxn34028_c_lower_bound,0.0,0.0,0.0
rxn26128_c_lower_bound,0.0,0.0,0.0
rxn33675_c_lower_bound,0.0,0.0,0.0
rxn09989_c_lower_bound,0.0,0.0,0.0
rxn02173_c_lower_bound,0.0,0.0,0.0
rxn15076_c_lower_bound,0.0,0.0,0.0
rxn15103_c_lower_bound,0.0,0.0,0.0
rxn15120_c_lower_bound,0.0,0.0,0.0
rxn15132_c_lower_bound,0.0,0.0,0.0
rxn08336_c_lower_bound,0.0,0.0,0.0
rxn18361_c_lower_bound,0.0,0.0,0.0
rxn18361_c_upper_bound,0.0,0.0,0.001953125
rxn18456_c_lower_bound,0.0,0.0,0.0
rxn05170_c_lower_bound,0.0,0.0,0.0
rxn00917_c_lower_bound,0.0,0.0,0.0
rxn21344_c_lower_bound,0.0,0.0,0.0
rxn26127_c_lower_bound,0.0,0.0,0.0
rxn01961_c_lower_bound,0.0,0.0,0.0
rxn08335_c_lower_bound,0.0,0.0,0.0
rxn28570_c_lower_bound,0.0,0.002053388090349076,0.0
rxn05229_c_lower_bound,0.0,0.0,0.0
rxn15594_c_lower_bound,0.0,0.0,0.0
