,importance,fraction active in 0,fraction active in 1
rxn00553_c_upper_bound,0.09021122530420671,0.0,0.43733333333333335
rxn00553_c_lower_bound,0.08647635478143852,0.0,0.43733333333333335
rxn00214_c_lower_bound,0.063679845049621,0.0,0.6186666666666667
rxn00214_c_upper_bound,0.05167750737531455,0.0,0.6186666666666667
rxn02095_c_upper_bound,0.041550513907954424,0.03210272873194221,0.648
rxn02095_c_lower_bound,0.041462245525304454,0.03210272873194221,0.648
rxn02094_c_upper_bound,0.03930475197359808,0.03210272873194221,0.648
rxn18456_c_upper_bound,0.036104534135008026,0.025682182985553772,0.5493333333333333
rxn02094_c_lower_bound,0.033419625082728194,0.03210272873194221,0.648
rxn15122_c_lower_bound,0.028537969651987533,0.02086677367576244,0.5173333333333333
rxn33675_c_upper_bound,0.02472319457898488,0.028892455858747994,0.224
rxn02429_c_upper_bound,0.02418273504054204,0.030497592295345103,0.5333333333333333
rxn02429_c_lower_bound,0.02321666146218607,0.030497592295345103,0.5333333333333333
rxn15132_c_upper_bound,0.020855768974714927,0.030497592295345103,0.5333333333333333
rxn15122_c_upper_bound,0.020163833386724447,0.02086677367576244,0.5173333333333333
rxn02173_c_upper_bound,0.016538038198614484,0.030497592295345103,0.5333333333333333
rxn02409_c_upper_bound,0.015961920410591635,0.0,0.32
rxn15120_c_upper_bound,0.015028997075597607,0.0,0.2853333333333333
rxn02760_c_lower_bound,0.014228464856721825,0.02247191011235955,0.19733333333333333
rxn02408_c_lower_bound,0.013495541919519006,0.0,0.32
rxn02760_c_upper_bound,0.012982918244304153,0.02247191011235955,0.19733333333333333
rxn02409_c_lower_bound,0.012891930041328149,0.0,0.32
rxn02408_c_upper_bound,0.011995829177947762,0.0,0.32
rxn38996_c_upper_bound,0.00764215269212594,0.0,0.152
rxn02582_c_upper_bound,0.007443251064842346,0.0,0.2
rxn01090_c_upper_bound,0.007290517538765899,0.0,0.2
rxn01090_c_lower_bound,0.006457802110649229,0.0,0.2
rxn15126_c_lower_bound,0.006112431222442285,0.012841091492776886,0.224
rxn15126_c_upper_bound,0.005942297151049342,0.012841091492776886,0.224
rxn08582_c_upper_bound,0.005809354212637627,0.0,0.14133333333333334
rxn29080_c_upper_bound,0.005787300774599844,0.006420545746388443,0.21866666666666668
rxn29080_c_lower_bound,0.005580849107668718,0.006420545746388443,0.21866666666666668
rxn02582_c_lower_bound,0.004161831579030019,0.0,0.2
rxn00355_c_upper_bound,0.003963234216254311,0.0,0.10666666666666667
rxn08582_c_lower_bound,0.0038593032759915453,0.0,0.14133333333333334
rxn11342_c_lower_bound,0.003064107780041876,0.0,0.10666666666666667
rxn11342_c_upper_bound,0.0024952487750555838,0.0,0.10666666666666667
rxn00355_c_lower_bound,0.002224917721036162,0.0,0.10666666666666667
rxn18575_c_upper_bound,0.002039276976367943,0.025682182985553772,0.07466666666666667
rxn19753_c_lower_bound,0.0020362206853780087,0.0,0.06133333333333333
rxn27412_c_lower_bound,0.0019708778479050324,0.0,0.06133333333333333
rxn05691_c_lower_bound,0.0019484732287927695,0.1476725521669342,0.34933333333333333
rxn27412_c_upper_bound,0.001859417538153555,0.0,0.06133333333333333
rxn09348_c_lower_bound,0.0018592635623727138,0.0,0.10666666666666667
rxn05487_c_lower_bound,0.0018574362132334026,0.18459069020866772,0.376
rxn34424_c_lower_bound,0.0018153603472361249,0.1637239165329053,0.2986666666666667
rxn34424_c_upper_bound,0.001804868767331133,0.1637239165329053,0.2986666666666667
rxn09348_c_upper_bound,0.0017783950721958158,0.0,0.10666666666666667
rxn05487_c_upper_bound,0.0017314926687366091,0.18459069020866772,0.376
rxn10183_c_lower_bound,0.00170790778212153,0.13804173354735153,0.264
rxn01620_c_upper_bound,0.0016456593939650347,0.1476725521669342,0.34933333333333333
rxn19753_c_upper_bound,0.0015551474391496565,0.0,0.06133333333333333
rxn10183_c_upper_bound,0.0015362194088437621,0.13804173354735153,0.264
rxn02319_c_upper_bound,0.0015223259690977417,0.1476725521669342,0.34933333333333333
rxn02319_c_lower_bound,0.0015197700805663526,0.1476725521669342,0.34933333333333333
rxn05691_c_upper_bound,0.0013851687242719026,0.1476725521669342,0.34933333333333333
rxn01014_c_lower_bound,0.001344515373340419,0.2808988764044944,0.3333333333333333
rxn01857_c_upper_bound,0.0013173460015382483,0.16693418940609953,0.31466666666666665
