,importance,fraction active in 0,fraction active in 1
rxn05693_c_upper_bound,0.0657778256891111,0.4740853658536585,0.0
rxn05693_c_lower_bound,0.06546898678308351,0.4740853658536585,0.0
rxn18456_c_upper_bound,0.06079572499329135,0.3856707317073171,0.0
rxn05643_c_lower_bound,0.048474513522738856,0.35060975609756095,0.0
rxn05612_c_upper_bound,0.04525913419321568,0.34603658536585363,0.0
rxn05643_c_upper_bound,0.043653523207631474,0.35060975609756095,0.0
rxn05612_c_lower_bound,0.041884207291688035,0.34603658536585363,0.0
rxn18574_c_upper_bound,0.026296638438528232,0.15853658536585366,0.0
rxn18495_c_upper_bound,0.0158601600262828,0.12347560975609756,0.0
rxn29080_c_upper_bound,0.012931658767629733,0.13414634146341464,0.0
rxn21111_c_upper_bound,0.012714087688087157,0.4298780487804878,0.11011904761904762
rxn29080_c_lower_bound,0.012071220060050281,0.13414634146341464,0.0
rxn29063_c_upper_bound,0.01159996329565795,0.4405487804878049,0.11904761904761904
rxn09180_c_upper_bound,0.011468731966733326,0.1600609756097561,0.48214285714285715
rxn01369_c_upper_bound,0.01085619487147577,0.1600609756097561,0.48214285714285715
rxn29063_c_lower_bound,0.009336413211724735,0.4405487804878049,0.11904761904761904
rxn01919_c_lower_bound,0.008471258907728487,0.45884146341463417,0.13095238095238096
rxn01369_c_lower_bound,0.00846959942580563,0.1600609756097561,0.48214285714285715
rxn09180_c_lower_bound,0.00818064941459475,0.1600609756097561,0.48214285714285715
rxn04455_c_upper_bound,0.0067996931115505204,0.45884146341463417,0.13095238095238096
rxn01919_c_upper_bound,0.006700984444605984,0.45884146341463417,0.13095238095238096
rxn12524_c_upper_bound,0.006700118337993662,0.4451219512195122,0.13988095238095238
rxn05531_c_upper_bound,0.0066443220206931,0.4405487804878049,0.15773809523809523
rxn12298_c_upper_bound,0.006267153044754573,0.45884146341463417,0.13095238095238096
rxn11674_c_upper_bound,0.006242436610356536,0.0,0.13690476190476192
rxn31356_c_upper_bound,0.006208912985794418,0.4176829268292683,0.12797619047619047
rxn12298_c_lower_bound,0.006171183615236402,0.45884146341463417,0.13095238095238096
rxn31356_c_lower_bound,0.006000542575264006,0.4176829268292683,0.12797619047619047
rxn23629_c_upper_bound,0.005884965309537407,0.45884146341463417,0.13095238095238096
rxn12524_c_lower_bound,0.005853942117346257,0.4451219512195122,0.13988095238095238
rxn09989_c_upper_bound,0.005705218290888771,0.4405487804878049,0.15773809523809523
rxn04455_c_lower_bound,0.00563510218639447,0.45884146341463417,0.13095238095238096
rxn05531_c_lower_bound,0.005588204108613611,0.4405487804878049,0.15773809523809523
rxn10183_c_lower_bound,0.005472285320609672,0.32621951219512196,0.11607142857142858
rxn10183_c_upper_bound,0.005313241332535361,0.32621951219512196,0.11607142857142858
rxn00130_c_lower_bound,0.005295207542360236,0.663109756097561,0.40773809523809523
rxn05699_c_lower_bound,0.0052894542935329894,0.21189024390243902,0.041666666666666664
rxn00130_c_upper_bound,0.005105688325181954,0.663109756097561,0.40773809523809523
rxn00290_c_upper_bound,0.004969058518922202,0.0,0.13690476190476192
rxn00916_c_upper_bound,0.004737140461064981,0.573170731707317,0.6041666666666666
rxn00290_c_lower_bound,0.004679826529063788,0.0,0.13690476190476192
rxn05291_c_upper_bound,0.00467928244497548,0.4878048780487805,0.38392857142857145
rxn00347_c_lower_bound,0.004580926720731288,0.7942073170731707,0.5238095238095238
rxn05699_c_upper_bound,0.004478969764626768,0.21189024390243902,0.041666666666666664
rxn11674_c_lower_bound,0.004474647383718282,0.0,0.13690476190476192
rxn00916_c_lower_bound,0.004462400527720594,0.573170731707317,0.6041666666666666
rxn05291_c_lower_bound,0.004453578081235968,0.4878048780487805,0.38392857142857145
rxn30666_c_upper_bound,0.004405568560973089,0.5137195121951219,0.4642857142857143
rxn11174_c_upper_bound,0.004404497705428071,0.37652439024390244,0.25297619047619047
rxn00278_c_upper_bound,0.004358028839719889,0.5746951219512195,0.4494047619047619
rxn00957_c_upper_bound,0.004343693311228205,0.4969512195121951,0.4107142857142857
rxn11174_c_lower_bound,0.004340181443272405,0.37652439024390244,0.25297619047619047
rxn10204_c_upper_bound,0.0043243004462079114,0.0,0.15476190476190477
rxn01072_c_lower_bound,0.004222400050095876,0.7865853658536586,0.5535714285714286
rxn18959_c_lower_bound,0.004213186313999861,0.0,0.15476190476190477
rxn01934_c_lower_bound,0.004181311107012454,0.0,0.13690476190476192
rxn00917_c_upper_bound,0.0041624842033626385,0.2942073170731707,0.22321428571428573
rxn00278_c_lower_bound,0.0041571967130439565,0.5746951219512195,0.4494047619047619
rxn00347_c_upper_bound,0.004113831400901706,0.7942073170731707,0.5238095238095238
rxn00657_c_lower_bound,0.004094093966026599,0.19207317073170732,0.41964285714285715
rxn00957_c_lower_bound,0.0039886155228765945,0.4969512195121951,0.4107142857142857
rxn00657_c_upper_bound,0.003986031744992191,0.19207317073170732,0.41964285714285715
rxn09429_c_upper_bound,0.0038882830968963436,1.0,0.8452380952380952
rxn20665_c_upper_bound,0.003888185563902804,0.0,0.15476190476190477
rxn36320_c_lower_bound,0.0037352493509420774,0.1951219512195122,0.050595238095238096
rxn00849_c_upper_bound,0.0037141175327650602,0.3399390243902439,0.3125
rxn00958_c_lower_bound,0.00360733645475351,0.5030487804878049,0.4523809523809524
rxn00958_c_upper_bound,0.003449898398776064,0.5030487804878049,0.4523809523809524
rxn00346_c_upper_bound,0.0034492806140054306,0.8246951219512195,0.6011904761904762
rxn01072_c_upper_bound,0.0034416078598257737,0.7865853658536586,0.5535714285714286
rxn01961_c_upper_bound,0.0034276899902717013,0.14329268292682926,0.32142857142857145
rxn00849_c_lower_bound,0.003394998384328764,0.3399390243902439,0.3125
rxn07524_c_upper_bound,0.0033599793734480164,0.2942073170731707,0.0625
rxn01188_c_upper_bound,0.0032864029508008776,0.0,0.13690476190476192
rxn36320_c_upper_bound,0.003245133727668123,0.1951219512195122,0.050595238095238096
rxn00990_c_upper_bound,0.003215087536159762,0.44359756097560976,0.2916666666666667
rxn00419_c_lower_bound,0.0032032955420808525,0.19054878048780488,0.2976190476190476
rxn00419_c_upper_bound,0.0032009355903626657,0.19054878048780488,0.2976190476190476
rxn09673_c_lower_bound,0.0031960015619731546,0.21341463414634146,0.06845238095238096
rxn29410_c_lower_bound,0.0031738239833100823,0.21798780487804878,0.06845238095238096
rxn05170_c_upper_bound,0.0031246533128291487,0.0899390243902439,0.01488095238095238
rxn09673_c_upper_bound,0.003122808911752839,0.21341463414634146,0.06845238095238096
rxn02344_c_upper_bound,0.0029927414601237596,0.0,0.15476190476190477
rxn09429_c_lower_bound,0.0029342362380474244,1.0,0.8452380952380952
rxn10213_c_upper_bound,0.002888381859936358,0.0,0.15476190476190477
rxn00799_c_lower_bound,0.002858755690487817,0.11432926829268293,0.05952380952380952
rxn01256_c_upper_bound,0.002839687985755528,1.0,0.8452380952380952
rxn00799_c_upper_bound,0.002837079053135845,0.11432926829268293,0.05952380952380952
rxn29410_c_upper_bound,0.00283486567094602,0.21798780487804878,0.06845238095238096
rxn02403_c_upper_bound,0.0028134707790516494,0.0,0.15476190476190477
rxn00990_c_lower_bound,0.00280570174194919,0.44359756097560976,0.2916666666666667
rxn00321_c_upper_bound,0.002801756882208852,0.0,0.15476190476190477
rxn02344_c_lower_bound,0.002773759441810861,0.0,0.15476190476190477
rxn00432_c_lower_bound,0.0026430133063807784,0.2301829268292683,0.05357142857142857
rxn09458_c_upper_bound,0.0026361892430235958,0.0,0.15476190476190477
