,importance,fraction active in 0,fraction active in 1
rxn00656_c_upper_bound,0.15807390276849226,0.7526717557251908,0.0058997050147492625
rxn00656_c_lower_bound,0.13659277057506267,0.7526717557251908,0.0058997050147492625
rxn05291_c_lower_bound,0.09211399130352578,0.4916030534351145,0.0
rxn05291_c_upper_bound,0.08537583713430685,0.4916030534351145,0.0
rxn30666_c_upper_bound,0.06078701082916895,0.5145038167938931,0.831858407079646
rxn00278_c_upper_bound,0.03167669386091043,0.16793893129770993,0.5014749262536873
rxn00278_c_lower_bound,0.03014982528939721,0.16793893129770993,0.5014749262536873
rxn01072_c_lower_bound,0.016859472632328464,0.7969465648854962,0.40117994100294985
rxn01072_c_upper_bound,0.016011900913986944,0.7969465648854962,0.40117994100294985
rxn18959_c_upper_bound,0.006450993633698445,0.0,0.168141592920354
rxn01256_c_upper_bound,0.005576166706704053,1.0,0.831858407079646
rxn02403_c_lower_bound,0.005494419783418194,0.0,0.168141592920354
rxn09468_c_upper_bound,0.004994187536010852,0.010687022900763359,0.19469026548672566
rxn00849_c_lower_bound,0.004913126239964562,0.17557251908396945,0.2890855457227139
rxn18959_c_lower_bound,0.004902469810906168,0.0,0.168141592920354
rxn10213_c_upper_bound,0.004891021621280755,0.0061068702290076335,0.17994100294985252
rxn09468_c_lower_bound,0.0047850463450484085,0.010687022900763359,0.19469026548672566
rxn02403_c_upper_bound,0.0047776175580664685,0.0,0.168141592920354
rxn20665_c_lower_bound,0.004692913164266831,0.0,0.168141592920354
rxn00321_c_upper_bound,0.004657730300271283,0.0,0.168141592920354
rxn00849_c_upper_bound,0.004610995811866505,0.17557251908396945,0.2890855457227139
rxn02344_c_upper_bound,0.004496517324194109,0.0,0.168141592920354
rxn02344_c_lower_bound,0.004341046517059342,0.0,0.168141592920354
rxn00321_c_lower_bound,0.004130679187364438,0.0,0.168141592920354
rxn09429_c_upper_bound,0.004050020377183262,1.0,0.831858407079646
rxn09429_c_lower_bound,0.00395277320363728,1.0,0.831858407079646
rxn00657_c_lower_bound,0.003948850977307023,0.01984732824427481,0.0
rxn00657_c_upper_bound,0.0038826787774496416,0.01984732824427481,0.0
rxn20665_c_upper_bound,0.003875746929888832,0.0,0.168141592920354
rxn10204_c_upper_bound,0.003833333604270557,0.0061068702290076335,0.17994100294985252
rxn00989_c_lower_bound,0.0037177849454513804,0.0,0.168141592920354
rxn09458_c_upper_bound,0.003637333398852709,0.0061068702290076335,0.18289085545722714
