,importance,fraction active in 0,fraction active in 1
rxn11676_c_upper_bound,0.15663783179773033,0.9410112359550562,0.0
rxn11676_c_lower_bound,0.15395574232681633,0.9410112359550562,0.0
rxn10183_c_upper_bound,0.08605933281110778,0.6685393258426966,0.0015625
rxn10183_c_lower_bound,0.08266457894332392,0.6685393258426966,0.0015625
rxn05486_c_upper_bound,0.05085241033965478,0.4241573033707865,0.003125
rxn05486_c_lower_bound,0.04217705152320552,0.4241573033707865,0.003125
rxn01014_c_upper_bound,0.020841271770661085,0.33146067415730335,0.0
rxn01014_c_lower_bound,0.017176145801120146,0.33146067415730335,0.0
rxn00168_c_lower_bound,0.014124202646396501,0.19382022471910113,0.0
rxn00168_c_upper_bound,0.013175481765507445,0.19382022471910113,0.0
rxn20627_c_lower_bound,0.01131921332541113,0.5056179775280899,0.828125
rxn20627_c_upper_bound,0.011179055048756884,0.5056179775280899,0.828125
rxn00419_c_lower_bound,0.010546278007676402,0.22191011235955055,0.0
rxn00419_c_upper_bound,0.009937416105415873,0.22191011235955055,0.0
rxn23730_c_upper_bound,0.008447959578346854,0.6685393258426966,0.9140625
rxn00680_c_upper_bound,0.008106688234474663,0.1151685393258427,0.0375
rxn00979_c_upper_bound,0.007996450748228152,0.6685393258426966,0.9140625
rxn01369_c_lower_bound,0.007277604772753329,0.848314606741573,1.0
rxn00680_c_lower_bound,0.007066387426723377,0.1151685393258427,0.0375
rxn00155_c_upper_bound,0.007052663861631848,0.14887640449438203,0.003125
rxn01369_c_upper_bound,0.006886627704164115,0.848314606741573,1.0
rxn00155_c_lower_bound,0.006078414832490064,0.14887640449438203,0.003125
rxn30071_c_upper_bound,0.00580955811702007,0.5561797752808989,0.853125
rxn11732_c_upper_bound,0.005561361122069613,0.07865168539325842,0.0234375
rxn05693_c_lower_bound,0.005424242226308873,0.5140449438202247,0.2453125
rxn11732_c_lower_bound,0.005347943687655222,0.07865168539325842,0.0234375
rxn05693_c_upper_bound,0.004730279740279998,0.5140449438202247,0.2453125
rxn25799_c_lower_bound,0.004197529430973759,0.10955056179775281,0.0
rxn10663_c_upper_bound,0.004078393207015562,0.17696629213483145,0.034375
rxn02519_c_upper_bound,0.0038468603865927033,0.056179775280898875,0.015625
rxn02519_c_lower_bound,0.0037039992293514596,0.056179775280898875,0.015625
rxn31356_c_lower_bound,0.003651180996050352,0.5,0.2796875
rxn02596_c_upper_bound,0.0035639091707502114,0.4550561797752809,0.2234375
rxn25799_c_upper_bound,0.003525768990104468,0.10955056179775281,0.0
rxn10036_c_lower_bound,0.0034914811927475938,0.17134831460674158,0.034375
rxn31356_c_upper_bound,0.003480025591234569,0.5,0.2796875
rxn00818_c_upper_bound,0.0028892491541596997,0.5,0.284375
rxn02976_c_upper_bound,0.0028470887416522906,0.31741573033707865,0.321875
rxn22163_c_upper_bound,0.0028413898045710866,0.09269662921348315,0.0
rxn05531_c_lower_bound,0.0026884599767133437,0.4747191011235955,0.2515625
rxn09989_c_upper_bound,0.002673592321333082,0.4747191011235955,0.2515625
rxn18456_c_upper_bound,0.0026437637677709123,0.41853932584269665,0.2171875
rxn10663_c_lower_bound,0.0024620060489601273,0.17696629213483145,0.034375
rxn22163_c_lower_bound,0.0024619623182754236,0.09269662921348315,0.0
rxn34080_c_lower_bound,0.002385519899701457,0.4606741573033708,0.2515625
rxn00229_c_lower_bound,0.0023614123157446073,0.9073033707865169,0.996875
rxn05643_c_upper_bound,0.0022923078330362306,0.3258426966292135,0.1671875
rxn00195_c_lower_bound,0.0021995594481663654,0.31741573033707865,0.321875
rxn02976_c_lower_bound,0.0021749239274504767,0.31741573033707865,0.321875
rxn00278_c_lower_bound,0.0020977217679711228,0.43820224719101125,0.246875
rxn05531_c_upper_bound,0.0020895682142918833,0.4747191011235955,0.2515625
rxn00229_c_upper_bound,0.0020712119603572402,0.9073033707865169,0.996875
rxn00272_c_lower_bound,0.0019812133336655816,0.29213483146067415,0.2875
rxn00272_c_upper_bound,0.0019782204250170013,0.29213483146067415,0.2875
rxn05643_c_lower_bound,0.0019575940780212375,0.3258426966292135,0.1671875
rxn08291_c_upper_bound,0.001956941017252899,0.06179775280898876,0.0421875
rxn10036_c_upper_bound,0.001954926059836819,0.17134831460674158,0.034375
rxn00195_c_upper_bound,0.0019185726813229856,0.31741573033707865,0.321875
rxn34080_c_upper_bound,0.0019022831115002516,0.4606741573033708,0.2515625
rxn11004_c_lower_bound,0.0018921996959359775,0.20786516853932585,0.084375
rxn00144_c_upper_bound,0.0018670937167344697,0.07303370786516854,0.0
rxn38867_c_lower_bound,0.0017787888387843073,0.3960674157303371,0.5671875
rxn00144_c_lower_bound,0.0015577585880213482,0.07303370786516854,0.0
rxn00395_c_upper_bound,0.001534332499805724,0.0,0.15
rxn00849_c_lower_bound,0.0014785961689324002,0.449438202247191,0.2671875
rxn02276_c_upper_bound,0.0014245671388784303,0.46629213483146065,0.48125
rxn30005_c_upper_bound,0.0014166172680110205,0.07303370786516854,0.0
rxn30025_c_upper_bound,0.0014078220570176042,0.07584269662921349,0.0
rxn08291_c_lower_bound,0.00137922906414163,0.06179775280898876,0.0421875
rxn38867_c_upper_bound,0.0013722183515147651,0.3960674157303371,0.5671875
rxn02760_c_upper_bound,0.0013662805315724036,0.2050561797752809,0.1109375
rxn00817_c_upper_bound,0.0013598205892240965,0.36235955056179775,0.2171875
rxn00849_c_upper_bound,0.0013433597756763807,0.449438202247191,0.2671875
rxn10960_c_lower_bound,0.0013347400063166712,0.38764044943820225,0.346875
rxn10960_c_upper_bound,0.0012932502410812163,0.38764044943820225,0.346875
rxn38902_c_lower_bound,0.0012741664569141727,0.23876404494382023,0.3671875
rxn18574_c_upper_bound,0.0012662004569159438,0.19101123595505617,0.090625
rxn00156_c_lower_bound,0.0012516982549157318,0.05898876404494382,0.0
rxn00278_c_upper_bound,0.0011837456228887381,0.43820224719101125,0.246875
rxn00817_c_lower_bound,0.0011836788761925366,0.36235955056179775,0.2171875
rxn00156_c_upper_bound,0.0011609583600875847,0.05898876404494382,0.0
rxn01822_c_upper_bound,0.001146869867626821,0.3792134831460674,0.396875
rxn02760_c_lower_bound,0.001122847382475957,0.2050561797752809,0.1109375
rxn02344_c_upper_bound,0.0011115458288870569,0.0,0.0859375
rxn38902_c_upper_bound,0.0010908709878354465,0.23876404494382023,0.3671875
rxn00553_c_lower_bound,0.0010794236434576244,0.35674157303370785,0.228125
rxn09669_c_upper_bound,0.0010713774917386722,0.1601123595505618,0.2421875
rxn02403_c_lower_bound,0.0010652246028468267,0.0,0.0859375
rxn11004_c_upper_bound,0.0010631697875426757,0.20786516853932585,0.084375
rxn09468_c_lower_bound,0.001038130156749842,0.011235955056179775,0.0984375
rxn00993_c_lower_bound,0.0010253505176069867,0.46629213483146065,0.48125
rxn30716_c_upper_bound,0.0010119919046096557,0.3342696629213483,0.178125
rxn09669_c_lower_bound,0.0009845490081457741,0.1601123595505618,0.2421875
rxn10213_c_upper_bound,0.0009813588848747471,0.0056179775280898875,0.1171875
rxn00607_c_upper_bound,0.0009729731314193274,0.24157303370786518,0.1421875
rxn02276_c_lower_bound,0.0009595257021492728,0.46629213483146065,0.48125
rxn09468_c_upper_bound,0.0009506448296236794,0.011235955056179775,0.0984375
rxn00290_c_upper_bound,0.0009441232471087778,0.2640449438202247,0.23125
rxn34776_c_upper_bound,0.0009104814174135565,0.1151685393258427,0.05625
rxn15171_c_upper_bound,0.0009063091899286862,0.33707865168539325,0.184375
rxn30350_c_upper_bound,0.0009054505318303878,0.09831460674157304,0.1296875
rxn09458_c_upper_bound,0.0008899421711073777,0.008426966292134831,0.121875
rxn36655_c_upper_bound,0.0008873441197306014,0.08426966292134831,0.1234375
rxn00957_c_lower_bound,0.0008698976162150123,0.4044943820224719,0.371875
rxn00916_c_upper_bound,0.0008691855571856533,0.6123595505617978,0.6265625
rxn10204_c_upper_bound,0.0008682042789387141,0.0056179775280898875,0.1171875
rxn15076_c_upper_bound,0.0008631870778322571,0.1348314606741573,0.0796875
rxn00916_c_lower_bound,0.0008618649042148934,0.6123595505617978,0.6265625
rxn12575_c_lower_bound,0.0008545347630467988,0.28370786516853935,0.1859375
rxn01825_c_lower_bound,0.0008523968465635896,0.46629213483146065,0.48125
rxn00553_c_upper_bound,0.0008424827592762476,0.35674157303370785,0.228125
rxn00957_c_upper_bound,0.0008412529639870113,0.4044943820224719,0.371875
rxn09458_c_lower_bound,0.0008312914299193518,0.008426966292134831,0.121875
rxn15171_c_lower_bound,0.0008311916522214521,0.33707865168539325,0.184375
rxn13905_c_lower_bound,0.0008241859107669903,0.7078651685393258,0.653125
rxn09658_c_upper_bound,0.0008173304737167242,0.05337078651685393,0.01875
rxn00321_c_lower_bound,0.0008147792343477726,0.0,0.0859375
rxn01934_c_lower_bound,0.0007995452351969588,0.0,0.0984375
rxn01820_c_upper_bound,0.0007986476487881536,0.08707865168539326,0.084375
rxn01825_c_upper_bound,0.0007957341638939853,0.46629213483146065,0.48125
rxn00917_c_upper_bound,0.0007839569861013927,0.39325842696629215,0.353125
rxn00958_c_lower_bound,0.0007832756878264098,0.5955056179775281,0.5296875
rxn05488_c_lower_bound,0.0007807999220841856,0.449438202247191,0.4390625
rxn07645_c_lower_bound,0.0007804093622046799,0.056179775280898875,0.1703125
rxn11174_c_lower_bound,0.0007732148706981009,0.1853932584269663,0.1453125
rxn30666_c_upper_bound,0.0007697270655223474,0.398876404494382,0.340625
rxn18495_c_upper_bound,0.0007399149435536694,0.14325842696629212,0.0609375
rxn05488_c_upper_bound,0.0007297207828494954,0.449438202247191,0.4390625
rxn00993_c_upper_bound,0.0007256860650378062,0.46629213483146065,0.48125
rxn00958_c_upper_bound,0.0007234505159945326,0.5955056179775281,0.5296875
rxn04092_c_lower_bound,0.0007233655200127625,0.949438202247191,0.9328125
rxn36655_c_lower_bound,0.0007158051572191561,0.08426966292134831,0.1234375
rxn09673_c_lower_bound,0.0007018218865550027,0.20786516853932585,0.13125
rxn15140_c_upper_bound,0.0007008628898236634,0.0702247191011236,0.0359375
rxn00290_c_lower_bound,0.0007001992887467722,0.2640449438202247,0.23125
rxn01188_c_upper_bound,0.0006982396247339364,0.0,0.0984375
rxn02832_c_upper_bound,0.0006903866472070831,0.3904494382022472,0.3953125
rxn11933_c_upper_bound,0.0006879733611319582,0.025280898876404494,0.0
rxn05291_c_lower_bound,0.0006816567878930337,0.6207865168539326,0.6
rxn04675_c_lower_bound,0.0006760605711022304,0.3904494382022472,0.3953125
rxn33675_c_upper_bound,0.0006742607182030989,0.11235955056179775,0.08125
rxn05291_c_upper_bound,0.0006738571466101876,0.6207865168539326,0.6
rxn01256_c_upper_bound,0.0006716931111473729,1.0,0.9140625
rxn05728_c_lower_bound,0.0006663892554359317,0.03651685393258427,0.0484375
rxn07645_c_upper_bound,0.000664441282559222,0.056179775280898875,0.1703125
rxn10878_c_upper_bound,0.0006613217431756996,0.033707865168539325,0.0015625
rxn01822_c_lower_bound,0.0006602427456797827,0.3792134831460674,0.396875
rxn11174_c_upper_bound,0.0006555958567309787,0.1853932584269663,0.1453125
rxn20665_c_upper_bound,0.0006554165041897632,0.0,0.0859375
rxn03783_c_upper_bound,0.000637981247812952,0.056179775280898875,0.1703125
rxn08688_c_lower_bound,0.0006248723878531299,0.9410112359550562,0.934375
rxn04092_c_upper_bound,0.000623382159896151,0.949438202247191,0.9328125
rxn38868_c_upper_bound,0.000622486870991837,0.07584269662921349,0.165625
rxn09673_c_upper_bound,0.0006220506924994284,0.20786516853932585,0.13125
rxn12575_c_upper_bound,0.0006189939613067724,0.28370786516853935,0.1859375
rxn05612_c_upper_bound,0.0006183394400531689,0.26685393258426965,0.16875
rxn00279_c_lower_bound,0.000618327929145479,0.25280898876404495,0.2828125
rxn05040_c_upper_bound,0.0006182071566836884,0.29213483146067415,0.346875
rxn30062_c_upper_bound,0.0005890504644662843,0.6095505617977528,0.6046875
rxn00279_c_upper_bound,0.0005856509363613812,0.25280898876404495,0.2828125
rxn05170_c_upper_bound,0.0005798231336842167,0.11797752808988764,0.0734375
rxn05612_c_lower_bound,0.0005777674616145145,0.26685393258426965,0.16875
rxn18959_c_upper_bound,0.0005765235140483039,0.0,0.0859375
rxn10878_c_lower_bound,0.0005711746494329027,0.033707865168539325,0.0015625
rxn04675_c_upper_bound,0.0005678870984210279,0.3904494382022472,0.3953125
rxn05176_c_upper_bound,0.0005675467273417947,0.033707865168539325,0.0453125
rxn13905_c_upper_bound,0.0005674208276239918,0.7078651685393258,0.653125
rxn03750_c_upper_bound,0.000566421794999976,0.056179775280898875,0.1703125
rxn00347_c_lower_bound,0.0005544068759357793,0.03651685393258427,0.0015625
rxn15949_c_upper_bound,0.0005477585389465349,0.16853932584269662,0.1921875
rxn30524_c_upper_bound,0.0005444562234956463,0.05337078651685393,0.071875
rxn09658_c_lower_bound,0.0005426896425350911,0.05337078651685393,0.01875
rxn05484_c_lower_bound,0.0005424476692118588,0.12359550561797752,0.134375
rxn05484_c_upper_bound,0.0005369573991372847,0.12359550561797752,0.134375
rxn31310_c_upper_bound,0.0005357157457167639,0.6095505617977528,0.6046875
rxn11674_c_upper_bound,0.0005354925274916189,0.0,0.0984375
rxn18575_c_upper_bound,0.0005282382906036063,0.09269662921348315,0.06875
rxn03750_c_lower_bound,0.0005204922690565683,0.056179775280898875,0.1703125
rxn33742_c_upper_bound,0.0005197989126204527,0.016853932584269662,0.0078125
rxn02928_c_lower_bound,0.0005141630253968321,0.7837078651685393,0.7734375
rxn02597_c_lower_bound,0.0005122730288666161,0.06179775280898876,0.021875
rxn15092_c_upper_bound,0.0005075211311811242,0.042134831460674156,0.059375
rxn15093_c_upper_bound,0.0005061274023421491,0.07303370786516854,0.090625
rxn11933_c_lower_bound,0.0004999133362138128,0.025280898876404494,0.0
rxn02929_c_lower_bound,0.0004866174558895633,0.21629213483146068,0.2265625
rxn38863_c_upper_bound,0.0004840339200325638,0.042134831460674156,0.0625
rxn08688_c_upper_bound,0.0004836030603196735,0.9410112359550562,0.934375
rxn05728_c_upper_bound,0.0004794274377993813,0.03651685393258427,0.0484375
rxn13085_c_lower_bound,0.000475267748294987,0.8286516853932584,0.8078125
rxn00623_c_lower_bound,0.0004714758672763888,0.03651685393258427,0.053125
rxn33742_c_lower_bound,0.00047009419062882187,0.016853932584269662,0.0078125
rxn15947_c_upper_bound,0.0004691939911837769,0.16853932584269662,0.1921875
rxn00990_c_upper_bound,0.0004684782598251614,0.22752808988764045,0.1515625
rxn08444_c_upper_bound,0.0004671333737009282,0.0028089887640449437,0.090625
rxn00623_c_upper_bound,0.0004636415738049196,0.03651685393258427,0.053125
rxn15407_c_upper_bound,0.0004575685897897987,0.016853932584269662,0.03125
rxn30304_c_upper_bound,0.0004407781079657825,0.03932584269662921,0.0
rxn00657_c_lower_bound,0.0004345982137208524,0.9157303370786517,0.85625
rxn00125_c_lower_bound,0.0004345887324785827,0.8286516853932584,0.8078125
rxn24330_c_lower_bound,0.0004258411360781172,0.8286516853932584,0.840625
rxn00990_c_lower_bound,0.0004235773575582796,0.22752808988764045,0.1515625
rxn01820_c_lower_bound,0.0004224929277085767,0.08707865168539326,0.084375
rxn19907_c_upper_bound,0.0004152937746954466,0.08146067415730338,0.1140625
rxn03838_c_upper_bound,0.00041487358415637275,0.042134831460674156,0.015625
rxn18959_c_lower_bound,0.00041186665132127647,0.0,0.0859375
rxn02831_c_upper_bound,0.0004093287884883567,0.17134831460674158,0.159375
rxn01934_c_upper_bound,0.0004083422305759274,0.0,0.0984375
rxn24330_c_upper_bound,0.00040102884046955175,0.8286516853932584,0.840625
rxn02928_c_upper_bound,0.0004006253288442898,0.7837078651685393,0.7734375
rxn02403_c_upper_bound,0.00039784729965150516,0.0,0.0859375
rxn00347_c_upper_bound,0.000393947815960385,0.03651685393258427,0.0015625
rxn29080_c_upper_bound,0.00039356124804440707,0.047752808988764044,0.0484375
rxn13085_c_upper_bound,0.0003924489621504219,0.8286516853932584,0.8078125
rxn15947_c_lower_bound,0.00038848682159657176,0.16853932584269662,0.1921875
rxn00989_c_lower_bound,0.00038596245840956796,0.008426966292134831,0.084375
rxn01737_c_upper_bound,0.00038590169884093414,0.0898876404494382,0.05
rxn08443_c_upper_bound,0.00038492949896139266,0.014044943820224719,0.0
rxn10904_c_upper_bound,0.0003833942816782391,0.08707865168539326,0.0796875
rxn14209_c_upper_bound,0.00038033049242511567,0.056179775280898875,0.1703125
rxn02929_c_upper_bound,0.00037538375575953375,0.21629213483146068,0.2265625
rxn29080_c_lower_bound,0.00037248032164012064,0.047752808988764044,0.0484375
rxn10904_c_lower_bound,0.0003699469151652863,0.08707865168539326,0.0796875
rxn03783_c_lower_bound,0.00036908902355260156,0.056179775280898875,0.1703125
rxn25052_c_upper_bound,0.0003671981723106846,0.08146067415730338,0.1140625
rxn38866_c_upper_bound,0.00036218547402860104,0.0449438202247191,0.0671875
rxn11674_c_lower_bound,0.000357341351965389,0.0,0.0984375
rxn01253_c_upper_bound,0.0003539307474137577,0.0,0.065625
rxn02344_c_lower_bound,0.0003537799990112273,0.0,0.0859375
rxn00973_c_upper_bound,0.00035264680604551324,0.1151685393258427,0.0765625
rxn25052_c_lower_bound,0.0003505579107700881,0.08146067415730338,0.1140625
rxn00125_c_upper_bound,0.0003443978227858663,0.8286516853932584,0.8078125
rxn33339_c_upper_bound,0.0003441941901831788,0.033707865168539325,0.0171875
rxn00346_c_upper_bound,0.00034121256541157593,0.08426966292134831,0.14375
rxn00973_c_lower_bound,0.00033143188739231504,0.1151685393258427,0.0765625
rxn01791_c_upper_bound,0.00031875641193875243,0.09269662921348315,0.090625
rxn01253_c_lower_bound,0.0003052921084575253,0.0,0.065625
rxn01792_c_lower_bound,0.0002985163055604219,0.9073033707865169,0.909375
rxn00198_c_lower_bound,0.0002981041584492996,0.07865168539325842,0.046875
rxn00198_c_upper_bound,0.0002943678859683376,0.07865168539325842,0.046875
rxn02597_c_upper_bound,0.000293776064813567,0.06179775280898876,0.021875
rxn13150_c_lower_bound,0.0002899476637138978,0.03651685393258427,0.059375
rxn08445_c_upper_bound,0.0002890814828927262,0.0056179775280898875,0.03125
rxn26313_c_upper_bound,0.0002873985403320373,0.016853932584269662,0.025
rxn10667_c_lower_bound,0.00028558691636608756,0.0056179775280898875,0.03125
rxn00657_c_upper_bound,0.0002836639685545463,0.9157303370786517,0.85625
rxn14209_c_lower_bound,0.000283539178099768,0.056179775280898875,0.1703125
rxn09470_c_lower_bound,0.0002831388442890744,0.014044943820224719,0.0
rxn01792_c_upper_bound,0.00028280370264998294,0.9073033707865169,0.909375
rxn01504_c_lower_bound,0.00028117516979785497,0.028089887640449437,0.0484375
rxn10432_c_lower_bound,0.0002788411868184749,0.033707865168539325,0.04375
rxn09566_c_lower_bound,0.0002730443242762949,0.0,0.0671875
rxn08445_c_lower_bound,0.0002704163331124726,0.0056179775280898875,0.03125
rxn00899_c_upper_bound,0.0002620290616184667,0.02247191011235955,0.046875
rxn10432_c_upper_bound,0.0002571091489036365,0.033707865168539325,0.04375
rxn15408_c_upper_bound,0.00025094841827821786,0.02247191011235955,0.0375
rxn09470_c_upper_bound,0.0002273441152400546,0.014044943820224719,0.0
rxn01504_c_upper_bound,0.00022703961694440112,0.028089887640449437,0.0484375
rxn15172_c_upper_bound,0.00022334004540636713,0.056179775280898875,0.0390625
rxn00962_c_upper_bound,0.00021322180281198186,0.0,0.0609375
rxn15057_c_upper_bound,0.00021133854376741417,0.03089887640449438,0.015625
rxn10074_c_upper_bound,0.00020797132827498474,0.02247191011235955,0.046875
rxn10667_c_upper_bound,0.00020199362510011596,0.0056179775280898875,0.03125
rxn13150_c_upper_bound,0.00019903069868947276,0.03651685393258427,0.059375
rxn15172_c_lower_bound,0.00019420757089967254,0.056179775280898875,0.0390625
rxn08443_c_lower_bound,0.00019352219779051564,0.014044943820224719,0.0
rxn15726_c_upper_bound,0.000193078953314351,0.025280898876404494,0.034375
rxn00130_c_upper_bound,0.00019194223432405803,0.03651685393258427,0.009375
rxn00505_c_upper_bound,0.00018704356149197555,0.03651685393258427,0.0296875
rxn00899_c_lower_bound,0.0001870100999336718,0.02247191011235955,0.046875
rxn29106_c_upper_bound,0.0001864691795823323,0.0056179775280898875,0.003125
rxn00285_c_lower_bound,0.00018630265847787033,0.0056179775280898875,0.0046875
rxn29985_c_upper_bound,0.00017973862780291432,0.0056179775280898875,0.0078125
rxn38855_c_upper_bound,0.00017960889256265868,0.019662921348314606,0.025
rxn14184_c_upper_bound,0.00017922249673078225,0.014044943820224719,0.0140625
rxn30306_c_upper_bound,0.00017674268221654806,0.011235955056179775,0.0
rxn01072_c_lower_bound,0.00017202956000139763,0.033707865168539325,0.0859375
rxn00285_c_upper_bound,0.00016942195692442504,0.0056179775280898875,0.0046875
rxn29994_c_lower_bound,0.00016912794519894066,0.028089887640449437,0.0125
rxn02889_c_upper_bound,0.00016706156976748545,0.028089887640449437,0.0484375
rxn13659_c_upper_bound,0.00016631451832475202,0.02247191011235955,0.0421875
rxn00877_c_upper_bound,0.0001587523763759977,0.02247191011235955,0.046875
rxn09566_c_upper_bound,0.00015802364007043958,0.0,0.0671875
rxn29106_c_lower_bound,0.00015295517934489947,0.0056179775280898875,0.003125
rxn08444_c_lower_bound,0.0001513921064407756,0.0028089887640449437,0.090625
rxn00378_c_lower_bound,0.00014919900885863776,0.011235955056179775,0.0171875
rxn00321_c_upper_bound,0.00014886190879818335,0.0,0.0859375
rxn15726_c_lower_bound,0.00014882672922668301,0.025280898876404494,0.034375
rxn32051_c_upper_bound,0.0001487943220826932,0.019662921348314606,0.00625
rxn02866_c_upper_bound,0.00014782321626479155,0.0056179775280898875,0.00625
rxn20665_c_lower_bound,0.0001440927319350497,0.0,0.0859375
rxn02889_c_lower_bound,0.00014375592996722548,0.028089887640449437,0.0484375
rxn30302_c_lower_bound,0.00014349218186872608,0.016853932584269662,0.00625
rxn00287_c_lower_bound,0.00014087755012576035,0.0056179775280898875,0.0046875
rxn10074_c_lower_bound,0.0001393972147636793,0.02247191011235955,0.046875
rxn03991_c_lower_bound,0.00013764279082270782,0.011235955056179775,0.0125
rxn00962_c_lower_bound,0.00013519321361690068,0.0,0.0609375
rxn13771_c_lower_bound,0.00013247532334729749,0.016853932584269662,0.0875
rxn14184_c_lower_bound,0.0001323629834170967,0.014044943820224719,0.0140625
rxn30302_c_upper_bound,0.0001303658067862493,0.016853932584269662,0.00625
rxn00399_c_lower_bound,0.00013034847060268857,0.011235955056179775,0.0140625
rxn00287_c_upper_bound,0.00012994118267382144,0.0056179775280898875,0.0046875
rxn29986_c_upper_bound,0.00012977075768798934,0.008426966292134831,0.0046875
rxn00130_c_lower_bound,0.00012716427855940843,0.03651685393258427,0.009375
rxn00399_c_upper_bound,0.00012463726341734288,0.011235955056179775,0.0140625
rxn23361_c_upper_bound,0.00012423038258484474,0.019662921348314606,0.0
rxn09457_c_upper_bound,0.00012257136239653984,0.0028089887640449437,0.0546875
rxn29994_c_upper_bound,0.00011698850842635343,0.028089887640449437,0.0125
rxn30006_c_upper_bound,0.00011415518244085181,0.011235955056179775,0.0
rxn00265_c_lower_bound,0.00011365756334152927,0.019662921348314606,0.0171875
rxn03978_c_upper_bound,0.00011333351115979172,0.011235955056179775,0.0140625
rxn30021_c_upper_bound,0.00010987727649684753,0.016853932584269662,0.0
rxn00197_c_lower_bound,0.00010288929158194903,0.011235955056179775,0.00625
rxn00877_c_lower_bound,9.716818301188958e-05,0.02247191011235955,0.046875
rxn13659_c_lower_bound,9.653610552782114e-05,0.02247191011235955,0.0421875
rxn03991_c_upper_bound,9.372102012735297e-05,0.011235955056179775,0.0125
rxn13771_c_upper_bound,9.353506565094e-05,0.016853932584269662,0.0875
rxn29997_c_upper_bound,9.27361746602882e-05,0.019662921348314606,0.0
rxn00415_c_lower_bound,9.233722288342915e-05,0.019662921348314606,0.0
