,importance,fraction active in 0,fraction active in 1
rxn11676_c_upper_bound,0.1417737042733,0.0,1.0
rxn11676_c_lower_bound,0.11627546576506961,0.0,1.0
rxn10183_c_lower_bound,0.09319959313911552,0.013280212483399735,0.7350427350427351
rxn10183_c_upper_bound,0.07981593369204004,0.013280212483399735,0.7350427350427351
rxn05486_c_upper_bound,0.061473615309599224,0.0026560424966799467,0.42735042735042733
rxn05486_c_lower_bound,0.04797233799873422,0.0026560424966799467,0.42735042735042733
rxn09468_c_lower_bound,0.04426568366544548,0.9760956175298805,0.42735042735042733
rxn09468_c_upper_bound,0.029430542602905677,0.9760956175298805,0.42735042735042733
rxn00916_c_lower_bound,0.018501927500222216,0.03054448871181939,0.4188034188034188
rxn10878_c_upper_bound,0.017984150217506482,0.006640106241699867,0.3333333333333333
rxn10878_c_lower_bound,0.01772859397584652,0.006640106241699867,0.3333333333333333
rxn00917_c_upper_bound,0.016077241325162007,0.03054448871181939,0.41025641025641024
rxn00229_c_lower_bound,0.015904410382405774,1.0,0.7948717948717948
rxn00916_c_upper_bound,0.014378227311171526,0.03054448871181939,0.4188034188034188
rxn01014_c_lower_bound,0.012438724640700618,0.0,0.2692307692307692
rxn01014_c_upper_bound,0.011360495692243256,0.0,0.2692307692307692
rxn00229_c_upper_bound,0.009601505179365144,1.0,0.7948717948717948
rxn10663_c_upper_bound,0.00779761913558526,0.006640106241699867,0.27350427350427353
rxn11004_c_lower_bound,0.007663276527784996,0.00796812749003984,0.27350427350427353
rxn11004_c_upper_bound,0.007590766037470181,0.00796812749003984,0.27350427350427353
rxn10036_c_lower_bound,0.007113374509934701,0.006640106241699867,0.27350427350427353
rxn30307_c_upper_bound,0.007044456142871798,0.0026560424966799467,0.1623931623931624
rxn00168_c_lower_bound,0.006784382087211137,0.0013280212483399733,0.16666666666666666
rxn10036_c_upper_bound,0.0066149082548043,0.006640106241699867,0.27350427350427353
rxn00347_c_upper_bound,0.006221639967947883,0.005312084993359893,0.1623931623931624
rxn00168_c_upper_bound,0.006105600611607948,0.0013280212483399733,0.16666666666666666
rxn00347_c_lower_bound,0.0051505245079401275,0.005312084993359893,0.1623931623931624
rxn01369_c_upper_bound,0.004932993702870629,0.9760956175298805,0.7307692307692307
rxn10663_c_lower_bound,0.0047835153248833905,0.006640106241699867,0.27350427350427353
rxn00130_c_lower_bound,0.00410964293660924,0.025232403718459494,0.16666666666666666
rxn00156_c_upper_bound,0.003688625833429207,0.00398406374501992,0.11965811965811966
rxn00130_c_upper_bound,0.00318789012225586,0.025232403718459494,0.16666666666666666
rxn08445_c_lower_bound,0.0029555640086537114,0.40106241699867196,0.1794871794871795
rxn00156_c_lower_bound,0.002820850687831591,0.00398406374501992,0.11965811965811966
rxn00155_c_upper_bound,0.002818372342960845,0.0013280212483399733,0.09829059829059829
rxn01369_c_lower_bound,0.0027819022876576422,0.9760956175298805,0.7307692307692307
rxn09669_c_upper_bound,0.0026987635801672327,0.17928286852589642,0.18803418803418803
rxn08445_c_upper_bound,0.002687293645526654,0.40106241699867196,0.1794871794871795
rxn09458_c_lower_bound,0.002578717753868658,0.6666666666666666,0.3034188034188034
rxn31356_c_upper_bound,0.0024980024877499095,0.21779548472775564,0.49572649572649574
rxn31356_c_lower_bound,0.002478288583530356,0.21779548472775564,0.49572649572649574
rxn09458_c_upper_bound,0.002324465241856254,0.6666666666666666,0.3034188034188034
rxn05531_c_lower_bound,0.0023191143270130123,0.21779548472775564,0.5128205128205128
rxn09669_c_lower_bound,0.002239013371705452,0.17928286852589642,0.18803418803418803
rxn01242_c_upper_bound,0.0021815919424348395,0.0,0.06837606837606838
rxn10204_c_upper_bound,0.0021094832373674747,0.6653386454183267,0.29914529914529914
rxn05531_c_upper_bound,0.0020825276282616626,0.21779548472775564,0.5128205128205128
rxn09989_c_upper_bound,0.0020721543245409355,0.21779548472775564,0.5128205128205128
rxn00606_c_upper_bound,0.0020158086851362923,0.16334661354581673,0.41025641025641024
rxn08443_c_upper_bound,0.00199739070717028,0.0,0.09829059829059829
rxn00155_c_lower_bound,0.001991630328808311,0.0013280212483399733,0.09829059829059829
rxn10213_c_upper_bound,0.001963559598028756,0.6653386454183267,0.29914529914529914
rxn36672_c_upper_bound,0.0017261564793859838,0.021248339973439574,0.1623931623931624
rxn25799_c_lower_bound,0.0017114534566061137,0.0,0.09401709401709402
rxn10667_c_upper_bound,0.0017028971187130937,0.40106241699867196,0.1794871794871795
rxn10667_c_lower_bound,0.0016922083764866931,0.40106241699867196,0.1794871794871795
rxn09179_c_upper_bound,0.0016868010541327527,0.09428950863213811,0.18376068376068377
rxn01547_c_lower_bound,0.0015645679622240322,0.0013280212483399733,0.038461538461538464
rxn11674_c_lower_bound,0.0015522813879497476,0.24169986719787517,0.0
rxn01934_c_upper_bound,0.0015345481493496756,0.24169986719787517,0.0
rxn05634_c_upper_bound,0.0015236250362974226,0.3200531208499336,0.452991452991453
rxn00422_c_upper_bound,0.0015167131242735227,0.0,0.08974358974358974
rxn05634_c_lower_bound,0.0014789185580419625,0.3200531208499336,0.452991452991453
rxn25799_c_upper_bound,0.001464500542779743,0.0,0.09401709401709402
rxn00979_c_upper_bound,0.0014622263926606322,0.9269588313413014,0.7307692307692307
rxn23730_c_upper_bound,0.001408233618285154,0.9269588313413014,0.7307692307692307
rxn00553_c_lower_bound,0.0013473178802394384,0.15139442231075698,0.3547008547008547
rxn38855_c_upper_bound,0.0013429718869629446,0.8154050464807437,0.6196581196581197
rxn00606_c_lower_bound,0.0012842435224763513,0.16334661354581673,0.41025641025641024
rxn01242_c_lower_bound,0.0012723745668492702,0.0,0.06837606837606838
rxn00553_c_upper_bound,0.0012254261609110876,0.15139442231075698,0.3547008547008547
rxn15171_c_upper_bound,0.0011696832594207845,0.199203187250996,0.4188034188034188
rxn09179_c_lower_bound,0.0011566431105233801,0.09428950863213811,0.18376068376068377
rxn00290_c_upper_bound,0.0010821647848048089,0.16069057104913678,0.2222222222222222
