,importance,fraction active in 0,fraction active in 1
rxn05291_c_lower_bound,0.2244629877234356,0.9607476635514018,0.0
rxn05291_c_upper_bound,0.21831466848088937,0.9607476635514018,0.0
rxn30666_c_upper_bound,0.1303908030666662,0.18691588785046728,0.8939393939393939
rxn01822_c_lower_bound,0.007477430942167858,0.12897196261682242,0.37445887445887444
rxn01822_c_upper_bound,0.006628100630522746,0.12897196261682242,0.37445887445887444
rxn38867_c_lower_bound,0.0048768815712766835,0.5644859813084112,0.3528138528138528
rxn38867_c_upper_bound,0.004391088753987635,0.5644859813084112,0.3528138528138528
rxn09106_c_upper_bound,0.0037576747684033053,0.25981308411214954,0.11904761904761904
rxn30074_c_upper_bound,0.003740894257589251,0.14579439252336449,0.04112554112554113
rxn10030_c_upper_bound,0.003644903896492766,0.020560747663551402,0.0
rxn20627_c_upper_bound,0.00351450064116233,0.2542056074766355,0.2922077922077922
rxn10030_c_lower_bound,0.0035000680901880635,0.020560747663551402,0.0
rxn05643_c_lower_bound,0.0033954187864218286,0.2691588785046729,0.1471861471861472
rxn10204_c_upper_bound,0.0033035643722122555,0.5850467289719626,0.49134199134199136
rxn07645_c_upper_bound,0.0032998569660096016,0.12149532710280374,0.3225108225108225
rxn09997_c_lower_bound,0.003183808694700953,0.31401869158878504,0.170995670995671
rxn09997_c_upper_bound,0.003167282574054624,0.31401869158878504,0.170995670995671
rxn03750_c_upper_bound,0.0031513283821380652,0.12149532710280374,0.3225108225108225
rxn00656_c_lower_bound,0.003116475216751846,0.026168224299065422,0.0
rxn00656_c_upper_bound,0.0030646581317313633,0.026168224299065422,0.0
rxn14209_c_lower_bound,0.0030580219137707927,0.12149532710280374,0.3225108225108225
rxn09458_c_lower_bound,0.003048026626050704,0.5850467289719626,0.49134199134199136
rxn03978_c_upper_bound,0.0030180074617629235,0.4205607476635514,0.6341991341991342
rxn20627_c_lower_bound,0.0030105711081782702,0.2542056074766355,0.2922077922077922
rxn02344_c_upper_bound,0.0030076015258220573,0.0,0.10606060606060606
rxn03750_c_lower_bound,0.0029122870110610656,0.12149532710280374,0.3225108225108225
rxn09458_c_upper_bound,0.0028806624582814705,0.5850467289719626,0.49134199134199136
rxn05643_c_upper_bound,0.0028784270616273246,0.2691588785046729,0.1471861471861472
rxn07645_c_lower_bound,0.0027857984741631236,0.12149532710280374,0.3225108225108225
rxn10213_c_upper_bound,0.002777845657222152,0.5850467289719626,0.49134199134199136
rxn00321_c_lower_bound,0.002756590045661823,0.0,0.10606060606060606
rxn08445_c_upper_bound,0.002755651163334703,0.37383177570093457,0.4458874458874459
rxn20665_c_lower_bound,0.0026826360806892317,0.0,0.10606060606060606
rxn01256_c_upper_bound,0.0026340434167727743,1.0,0.8939393939393939
rxn01820_c_upper_bound,0.0026333822361306568,0.17757009345794392,0.08441558441558442
rxn00229_c_lower_bound,0.002625344257926611,0.6392523364485981,0.7727272727272727
rxn00399_c_upper_bound,0.0026029693825831484,0.4205607476635514,0.6341991341991342
rxn00989_c_lower_bound,0.0025996811361638592,0.0,0.1038961038961039
rxn10818_c_upper_bound,0.0025854061534373025,0.33457943925233646,0.2077922077922078
rxn03978_c_lower_bound,0.0025717740957452557,0.4205607476635514,0.6341991341991342
rxn01820_c_lower_bound,0.00251645874959899,0.17757009345794392,0.08441558441558442
rxn10667_c_upper_bound,0.0025097294349868144,0.3719626168224299,0.4458874458874459
rxn10818_c_lower_bound,0.002488758277406202,0.33457943925233646,0.2077922077922078
rxn09429_c_upper_bound,0.002488014593074621,1.0,0.8939393939393939
rxn02403_c_upper_bound,0.0024783860723449624,0.0,0.10606060606060606
rxn00399_c_lower_bound,0.0024568908287930335,0.4205607476635514,0.6341991341991342
rxn00321_c_upper_bound,0.0024320099746339835,0.0,0.10606060606060606
rxn30017_c_upper_bound,0.002406416172417226,0.38691588785046727,0.2813852813852814
rxn03991_c_lower_bound,0.0023993791652672093,0.3514018691588785,0.5346320346320347
rxn02344_c_lower_bound,0.0023928510124349715,0.0,0.10606060606060606
rxn03783_c_upper_bound,0.0023880896262493834,0.12149532710280374,0.3225108225108225
rxn09429_c_lower_bound,0.002298745249933535,1.0,0.8939393939393939
rxn18959_c_lower_bound,0.0022882913030506046,0.0,0.10606060606060606
rxn05488_c_lower_bound,0.002265183787869532,0.2766355140186916,0.26406926406926406
rxn38902_c_upper_bound,0.002260038412090981,0.19065420560747665,0.30735930735930733
rxn00229_c_upper_bound,0.00223723573719822,0.6392523364485981,0.7727272727272727
rxn10667_c_lower_bound,0.002212867006212356,0.3719626168224299,0.4458874458874459
rxn02403_c_lower_bound,0.002201466191069978,0.0,0.10606060606060606
rxn00958_c_upper_bound,0.002191315201723162,0.6336448598130842,0.6515151515151515
rxn00916_c_lower_bound,0.002151351536020565,0.5551401869158878,0.6147186147186147
rxn05488_c_upper_bound,0.002119871382836371,0.2766355140186916,0.26406926406926406
rxn00917_c_upper_bound,0.002112139644891538,0.44485981308411215,0.3852813852813853
rxn29063_c_lower_bound,0.002108562639840288,0.34579439252336447,0.26406926406926406
rxn30007_c_upper_bound,0.0021000458818610963,0.12897196261682242,0.045454545454545456
rxn31356_c_upper_bound,0.0020911975596957988,0.37570093457943926,0.25757575757575757
rxn38902_c_lower_bound,0.002068695585114815,0.19065420560747665,0.30735930735930733
rxn00916_c_upper_bound,0.0020506645998447696,0.5551401869158878,0.6147186147186147
rxn31356_c_lower_bound,0.0020332304870517397,0.37570093457943926,0.25757575757575757
rxn14209_c_upper_bound,0.0020307793680628163,0.12149532710280374,0.3225108225108225
rxn29063_c_upper_bound,0.0020247803648051387,0.34579439252336447,0.26406926406926406
rxn21111_c_upper_bound,0.0020155384804373807,0.33457943925233646,0.23593073593073594
rxn09669_c_lower_bound,0.002008414735535693,0.4672897196261682,0.41774891774891776
rxn00657_c_lower_bound,0.0020083733004668857,0.014953271028037384,0.0
rxn00657_c_upper_bound,0.002002872013469415,0.014953271028037384,0.0
rxn18456_c_upper_bound,0.0019682229230091838,0.23177570093457944,0.19696969696969696
rxn03783_c_lower_bound,0.0019673668236109753,0.12149532710280374,0.3225108225108225
rxn05487_c_upper_bound,0.0019406782225400508,0.36822429906542054,0.2813852813852814
rxn08445_c_lower_bound,0.0019352268599457786,0.37383177570093457,0.4458874458874459
rxn00957_c_lower_bound,0.0019282292179498802,0.34766355140186916,0.27056277056277056
rxn10960_c_lower_bound,0.00187418668026377,0.30467289719626167,0.3787878787878788
rxn03991_c_upper_bound,0.0018726508989841625,0.3514018691588785,0.5346320346320347
rxn00553_c_upper_bound,0.0018570688891521125,0.2523364485981308,0.23809523809523808
rxn30350_c_upper_bound,0.0018297491274122243,0.13644859813084112,0.15800865800865802
rxn00958_c_lower_bound,0.0018125034529736191,0.6336448598130842,0.6515151515151515
rxn05531_c_upper_bound,0.0017816419689672142,0.308411214953271,0.25757575757575757
rxn20665_c_upper_bound,0.0017717416035372027,0.0,0.10606060606060606
rxn00962_c_lower_bound,0.0017714594018088026,0.011214953271028037,0.06277056277056277
rxn05487_c_lower_bound,0.0017550895635918167,0.36822429906542054,0.2813852813852814
rxn18574_c_upper_bound,0.0017419245246038878,0.12710280373831775,0.07575757575757576
rxn00306_c_upper_bound,0.0017381576891003416,0.2,0.21861471861471862
rxn30064_c_upper_bound,0.0017363424800818587,0.18504672897196262,0.15151515151515152
rxn00290_c_lower_bound,0.0017340023635678582,0.03925233644859813,0.09956709956709957
rxn09989_c_upper_bound,0.0017317613437842724,0.308411214953271,0.25757575757575757
rxn05693_c_lower_bound,0.0017312573652540576,0.32710280373831774,0.24891774891774893
rxn05693_c_upper_bound,0.0017265839844199846,0.32710280373831774,0.24891774891774893
rxn05612_c_lower_bound,0.0017242909757602897,0.2504672897196262,0.19913419913419914
rxn00553_c_lower_bound,0.001719835825985475,0.2523364485981308,0.23809523809523808
rxn09669_c_upper_bound,0.0017157691306999674,0.4672897196261682,0.41774891774891776
rxn00989_c_upper_bound,0.0017070313652886439,0.0,0.1038961038961039
rxn10960_c_upper_bound,0.001702904449716406,0.30467289719626167,0.3787878787878788
rxn02760_c_upper_bound,0.0017007193646242462,0.11962616822429907,0.11255411255411256
rxn00607_c_upper_bound,0.0016835621992665132,0.15140186915887852,0.170995670995671
rxn01934_c_lower_bound,0.0016670645822114802,0.018691588785046728,0.07792207792207792
rxn09673_c_lower_bound,0.001640918898133907,0.10093457943925234,0.12337662337662338
rxn05531_c_lower_bound,0.0016379753025070759,0.308411214953271,0.25757575757575757
rxn05612_c_upper_bound,0.0016263117680980065,0.2504672897196262,0.19913419913419914
rxn00306_c_lower_bound,0.0016233259661300877,0.2,0.21861471861471862
rxn02989_c_upper_bound,0.001622019874140637,0.1925233644859813,0.22510822510822512
rxn01188_c_upper_bound,0.0015998864244553344,0.018691588785046728,0.07792207792207792
rxn29410_c_upper_bound,0.0015939772922081655,0.33457943925233646,0.23593073593073594
rxn00957_c_upper_bound,0.0015808765979388568,0.34766355140186916,0.27056277056277056
rxn08444_c_upper_bound,0.0015580995297491886,0.04672897196261682,0.12554112554112554
rxn09673_c_upper_bound,0.0015201456460743254,0.10093457943925234,0.12337662337662338
rxn33742_c_lower_bound,0.0015048587497564717,0.12897196261682242,0.09956709956709957
rxn18959_c_upper_bound,0.001497861835622138,0.0,0.10606060606060606
rxn00290_c_upper_bound,0.001485192567275732,0.03925233644859813,0.09956709956709957
rxn02760_c_lower_bound,0.001477223969398369,0.11962616822429907,0.11255411255411256
rxn00979_c_upper_bound,0.0014766885677731036,0.1252336448598131,0.15367965367965367
rxn09149_c_upper_bound,0.0014587867521633005,0.0691588785046729,0.030303030303030304
rxn23730_c_upper_bound,0.001452047138919694,0.1252336448598131,0.15367965367965367
rxn30021_c_lower_bound,0.0014443123885993444,0.07102803738317758,0.04112554112554113
rxn24330_c_upper_bound,0.0014219316205806775,0.7308411214953271,0.6623376623376623
rxn02276_c_upper_bound,0.0014201168033373811,0.31588785046728973,0.46320346320346323
rxn00993_c_lower_bound,0.0014104682148172096,0.31588785046728973,0.46320346320346323
rxn23244_c_upper_bound,0.0014101551711153998,0.27102803738317754,0.26406926406926406
rxn29410_c_lower_bound,0.0014050246606888636,0.33457943925233646,0.23593073593073594
