,importance,fraction active in 0,fraction active in 1
rxn03374_c_upper_bound,0.0664322039932055,0.0,0.9847094801223242
rxn15500_c_upper_bound,0.06388526804964755,0.0,0.9847094801223242
rxn00663_c_lower_bound,0.05777880018683785,0.0,0.9969418960244648
rxn00663_c_upper_bound,0.057005471795451235,0.0,0.9969418960244648
rxn12522_c_lower_bound,0.05658714682244112,0.010416666666666666,1.0
rxn00668_c_upper_bound,0.052827353163754594,0.0,0.9755351681957186
rxn00949_c_upper_bound,0.04931134126468482,0.010416666666666666,1.0
rxn00668_c_lower_bound,0.046525764267848,0.0,0.9755351681957186
rxn15500_c_lower_bound,0.045668352763208034,0.0,0.9847094801223242
rxn12522_c_upper_bound,0.041525653123327906,0.010416666666666666,1.0
rxn03374_c_lower_bound,0.039501612472031614,0.0,0.9847094801223242
rxn00949_c_lower_bound,0.03894527336770914,0.010416666666666666,1.0
rxn00738_c_upper_bound,0.031988905980029986,0.0,0.8868501529051988
rxn00128_c_upper_bound,0.02933257733438722,0.0,0.8868501529051988
rxn00738_c_lower_bound,0.029066034358020913,0.0,0.8868501529051988
rxn00128_c_lower_bound,0.028962049601487273,0.0,0.8868501529051988
rxn00679_c_upper_bound,0.028017750030613034,0.0,0.8348623853211009
rxn09402_c_lower_bound,0.026732618949530097,0.0,0.8348623853211009
rxn09402_c_upper_bound,0.022175316156060783,0.0,0.8348623853211009
rxn00229_c_lower_bound,0.01421820722549621,0.9836309523809523,0.363914373088685
rxn02976_c_lower_bound,0.012140844436074494,0.0,0.5779816513761468
rxn00195_c_upper_bound,0.012055665022313368,0.0,0.5779816513761468
rxn00195_c_lower_bound,0.01146044477596803,0.0,0.5779816513761468
rxn00229_c_upper_bound,0.010654753221109573,0.9836309523809523,0.363914373088685
rxn02976_c_upper_bound,0.010386308817101569,0.0,0.5779816513761468
rxn02276_c_upper_bound,0.010179313028187472,0.6086309523809523,0.0
rxn01825_c_upper_bound,0.008626824214786841,0.6086309523809523,0.0
rxn05488_c_upper_bound,0.00808749800300794,0.46279761904761907,0.0030581039755351682
rxn05488_c_lower_bound,0.006412903164328494,0.46279761904761907,0.0030581039755351682
rxn00993_c_upper_bound,0.005984103049500772,0.6086309523809523,0.0
rxn02276_c_lower_bound,0.004415071160330655,0.6086309523809523,0.0
rxn10960_c_lower_bound,0.004018795907692142,0.43452380952380953,0.0
rxn01825_c_lower_bound,0.0037172989790398665,0.6086309523809523,0.0
rxn00993_c_lower_bound,0.0033402830604963973,0.6086309523809523,0.0
rxn10960_c_upper_bound,0.003272073806420549,0.43452380952380953,0.0
rxn00990_c_lower_bound,0.002770028720118548,0.4330357142857143,0.0
rxn10667_c_lower_bound,0.0022976960653922573,0.001488095238095238,0.18654434250764526
rxn36655_c_lower_bound,0.002285176583650021,0.0,0.2018348623853211
rxn01822_c_lower_bound,0.002141816420886359,0.4181547619047619,0.0
rxn00990_c_upper_bound,0.0020048535149812525,0.4330357142857143,0.0
rxn08445_c_upper_bound,0.0018009968145311457,0.001488095238095238,0.1926605504587156
rxn01822_c_upper_bound,0.001795108150011192,0.4181547619047619,0.0
rxn15617_c_lower_bound,0.0016695086700166512,0.0,0.12232415902140673
rxn38863_c_upper_bound,0.0015704049995526913,0.0,0.20795107033639143
rxn23244_c_upper_bound,0.0015586461751466425,0.0,0.12232415902140673
rxn00602_c_lower_bound,0.0014575547667190548,0.0,0.12232415902140673
rxn36655_c_upper_bound,0.0014411148396203115,0.0,0.2018348623853211
rxn00602_c_upper_bound,0.001379510429521735,0.0,0.12232415902140673
rxn08445_c_lower_bound,0.0013316455179498577,0.001488095238095238,0.1926605504587156
rxn03783_c_lower_bound,0.001256348756432647,0.22916666666666666,0.0
rxn13143_c_upper_bound,0.0012559260479217604,0.0,0.14984709480122324
rxn00399_c_upper_bound,0.0012494487624657327,0.0,0.14678899082568808
rxn13143_c_lower_bound,0.001244719789303779,0.0,0.14984709480122324
rxn03607_c_lower_bound,0.0011961253252734142,0.0,0.14067278287461774
rxn09180_c_upper_bound,0.0010729562373014603,0.4226190476190476,0.7522935779816514
rxn03978_c_upper_bound,0.0010127617758993917,0.0,0.14678899082568808
rxn04092_c_lower_bound,0.0009961911057578177,0.9970238095238095,0.8593272171253823
rxn23244_c_lower_bound,0.000987067453232326,0.0,0.12232415902140673
rxn15617_c_upper_bound,0.000970731724577487,0.0,0.12232415902140673
rxn00155_c_lower_bound,0.0009397879517605613,0.10119047619047619,0.0
rxn05109_c_upper_bound,0.0009331479443717075,0.0,0.13761467889908258
rxn16597_c_upper_bound,0.0009175350845871216,0.0,0.14678899082568808
rxn00155_c_upper_bound,0.0008036044514114924,0.10119047619047619,0.0
rxn09180_c_lower_bound,0.0007770214502765083,0.4226190476190476,0.7522935779816514
rxn09468_c_upper_bound,0.0007325353649144449,0.04017857142857143,0.24770642201834864
rxn05061_c_upper_bound,0.0007294070422249536,0.0,0.14067278287461774
rxn03607_c_upper_bound,0.0006373003253291203,0.0,0.14067278287461774
rxn10667_c_upper_bound,0.0006110093851427526,0.001488095238095238,0.18654434250764526
rxn09944_c_upper_bound,0.000506649001466169,0.0,0.11314984709480122
rxn03978_c_lower_bound,0.0005042866458326023,0.0,0.14678899082568808
rxn09468_c_lower_bound,0.00045780634663903833,0.04017857142857143,0.24770642201834864
rxn05109_c_lower_bound,0.00045769128739399725,0.0,0.13761467889908258
rxn02751_c_upper_bound,0.0004077646071973799,0.0,0.13761467889908258
rxn02749_c_lower_bound,0.00040438130557824136,0.0,0.13761467889908258
rxn20627_c_upper_bound,0.00039928451790743934,0.6026785714285714,0.8929663608562691
rxn09944_c_lower_bound,0.0003877120494057046,0.0,0.11314984709480122
rxn00399_c_lower_bound,0.00035767668681857827,0.0,0.14678899082568808
rxn03783_c_upper_bound,0.0003574891315561945,0.22916666666666666,0.0
rxn02749_c_upper_bound,0.00034838486894384963,0.0,0.13761467889908258
rxn00125_c_upper_bound,0.0003470238325982576,0.8839285714285714,0.7522935779816514
rxn04095_c_upper_bound,0.0003396642689779725,0.0,0.10703363914373089
rxn00489_c_lower_bound,0.00031786822682942293,0.15178571428571427,0.0
rxn15947_c_upper_bound,0.0003144347585167793,0.1130952380952381,0.10397553516819572
rxn00168_c_lower_bound,0.00030388007992797,0.0818452380952381,0.0
rxn11985_c_upper_bound,0.00029861104357954324,0.0,0.14067278287461774
rxn01256_c_upper_bound,0.0002673488398842699,0.9136904761904762,1.0
rxn36672_c_upper_bound,0.0002655911921376214,0.0,0.09480122324159021
rxn20627_c_lower_bound,0.00025953688778756383,0.6026785714285714,0.8929663608562691
rxn04096_c_upper_bound,0.0002422193897453473,0.0,0.10703363914373089
rxn00657_c_upper_bound,0.00023706163818712798,0.20238095238095238,0.13761467889908258
rxn00673_c_upper_bound,0.0002346663091682752,0.0,0.021406727828746176
