	mean fractional importance	mean cluster ratio	reaction count
Protein Metabolism	0.02248439304757295	0.5998876809635573	3
Secondary Metabolism	0.015250368392451839	0.6978775350841508	8
Cell Wall and Capsule	0.015101358502587458	0.38303068008501717	27
Nitrogen Metabolism	0.011757836787318097	0.7017890529488584	16
Clustering-based subsystems	0.01162259351469166	0.6040378265222954	58
Regulation and Cell signaling	0.010855336105815898	0.5503551927743999	8
Membrane Transport	0.008745229496694188	0.5512538775341744	63
Nucleosides and Nucleotides	0.008148442470693722	0.7023170542801427	52
Amino Acids and Derivatives	0.005643323890620879	0.47902687138474925	192
Virulence	0.00552133234168081	0.41797796111999563	10
Motility and Chemotaxis	0.005419894077455435	0.49774092072573467	1
Experimental Subsystems	0.005324021957288893	0.5329155084741374	391
Carbohydrates	0.004659429472907092	0.5212955947203235	451
Unassigned	0.0045614499540383765	0.6044292092620787	2437
Fatty Acids, Lipids, and Isoprenoids	0.0034837515435824588	0.6917276321905252	42
Cofactors, Vitamins, Prosthetic Groups, Pigments	0.0029525532144641965	0.4626352009864013	62
Stress Response	0.0028880199138889844	0.5148767397367773	18
Sulfur Metabolism	0.002710128641454159	0.3850337211986902	16
RNA Metabolism	0.0020655644775581673	0.6470815465430079	3
Metabolism of Aromatic Compounds	0.002013354377267119	0.730732644981587	29
Phosphorus Metabolism	0.001768575471208572	0.5667564153607151	14
Miscellaneous	0.0017225584182416164	0.7352774354436004	7
Respiration	0.001147155896669541	0.7011404085814833	64
-	0.00022442672466140858	0.4952774468597034	1
Potassium metabolism	3.3564693322581536e-05	1.0	4
